Source_Name_4FGL,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Category_4FGL,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Category_Prob
4FGL J0221.1+3556,142.60892,-23.48552,777.61743,-18.6458998,2.2902513,0.017301261,0.05033082,5.532537,-0.2357408,-0.5322366,0.0002179712,0.6666667,-0.66975254,-0.59876835,-0.7487758,-0.60768455,8.10983618,LogParabola,AGN,0.008707321,0.02446247,3FGL J0221.1+3556,3FHL J0221.1+3556,FSRQ,B2 0218+357,1,0.997393,0,0.934664717,0.0653352827,0.930000932,0.069999068,0.932528051,0.0674719486,0.93334285,0.0666571496,288,AGN
4FGL J0221.5+2513,147.42923,-33.32016,2788.7664,-21.9368254,1.981981,0.2469939,0.40704477,3.5631661,-0.9995758,0.9994855,0.0030859052,0.6666667,0.5996522,-0.40463683,-0.6330943,-0.9996189,2.01229864,LogParabola,AGN,0.18095997,0.56362444,3FGL J0221.2+2518,3FHL J0221.4+2512,bcu,2MASS J02212698+2514338,0.99666756,0,0,0.961218597,0.0387814028,0.933499778,0.0665002216,0.955008393,0.0449916066,0.953890078,0.0461099217,282,AGN
4FGL J0222.0-1616,190.26573,-66.37347,702.3584,-21.6791441,2.5262475,0.07386183,-0.0024556443,0,0.9777078,-0.6847244,0.00045070698,0.6666667,-0.7941011,-0.5451591,-0.7566513,-0.21331185,3.526444,PowerLaw,AGN,0.03839852,0.086943395,3FGL J0222.1-1616,,fsrq,PKS 0219-164,0.99804723,0.9656646,0,0.932117145,0.0678828548,0.929983756,0.0700162441,0.930669064,0.0693309355,0.935254493,0.0647455072,309,AGN
4FGL J0222.6+4302,140.14612,-16.765535,1211.3397,-17.9529581,1.9616839,0.015519,0.044980064,5.033986,-0.17067303,-0.35922948,7.8802026e-05,0.6666667,-0.5087032,-0.44543067,-0.5689903,-0.47503823,6.88357296,LogParabola,AGN,0.00603624,0.017972896,3FGL J0222.6+4301,3FHL J0222.6+4302,BLL,3C 66A,1,0.99890774,0,0.9462365,0.0537634996,0.932506048,0.0674939524,0.940045486,0.0599545144,0.94467035,0.0553296498,299,AGN
4FGL J0223.0+6821,131.24452,6.9841895,3919.891,-21.3693875,2.045199,0.110053636,0.054774262,1.1252382,0.9019743,-0.2811231,0.0003879582,0.6666667,-0.60434335,-0.41696474,-0.6595785,-0.3414444,2.28906397,PowerLaw,AGN,0.051060546,0.1371063,3FGL J0223.3+6820,3FHL J0222.9+6821,bll,NVSS J022304+682154,0.9991872,0.8680781,0,0.958181704,0.0418182964,0.933194901,0.0668050989,0.945381175,0.0546188246,0.947498921,0.0525010789,328,AGN
4FGL J0223.0-3447,239.94745,-68.98428,780.4389,-22.69946,2.527469,0.2915386,0.22830124,1.1897821,-0.6139959,-0.19190452,0.0074287895,0.6666667,-0.7120375,-0.7539227,-0.99922884,-0.8610361,1.30619793,PowerLaw,AGN,0.25785014,0.6077431,,,fsrq,PKS 0220-349,0.97915876,0.9988268,0,0.898677131,0.101322869,0.927034281,0.0729657194,0.891961718,0.108038282,0.897331056,0.102668944,286,AGN
4FGL J0223.1-1117,181.07068,-63.264236,3466.0942,-21.9675902,1.864341,0.22070399,0.14897095,1.7626456,0.9999145,-0.6287866,0.0012672034,0.6666667,-0.63511443,-0.057352766,-0.5018885,-0.70379883,2.5998619,PowerLaw,AGN,0.11197403,0.3674383,3FGL J0222.9-1117,3FHL J0223.0-1119,bll,1RXS J022314.6-111741,0.99899405,0.89173037,0,0.953309073,0.0466909269,0.933408192,0.0665918082,0.948149059,0.051850941,0.951683282,0.0483167182,278,AGN
4FGL J0223.5+3912,141.78235,-20.260767,2480.1208,-21.9684004,2.1172771,0.17184009,0.1394439,1.6357447,0.7114288,-0.52848005,0.0019453014,0.6666667,-0.67028266,-0.41753572,-0.48626032,-0.9995914,2.50952321,PowerLaw,AGN,0.09988006,0.37976974,,,bcu,B3 0220+390,0.9979409,0.9011579,0,0.925296167,0.0747038326,0.931916388,0.0680836122,0.918794098,0.0812059018,0.924926273,0.0750737273,301,AGN
4FGL J0223.5+5415,136.21916,-6.2290106,6520.909,-22.795545,1.7810875,0.35483357,0.45928568,2.5913637,-0.9904469,-0.9991566,0.008375408,0.6666667,0.9999978,-0.12009349,-0.56255877,-0.66379815,2.36888073,PowerLaw,AGN,0.29541594,2.3543453,,,bcu,GB6 J0223+5413,,0,0,0.942824779,0.0571752206,0.934439085,0.0655609148,0.938801755,0.0611982451,0.942230764,0.0577692365,305,AGN
4FGL J0223.5-0928,178.2338,-61.996376,1867.6776,-22.4703766,2.1276088,0.2964109,0.31978244,2.3695683,-0.99999976,0.9999995,0.0047924737,0.6666667,-0.4876829,-0.46576658,-0.79873747,-0.9993811,2.20688658,PowerLaw,AGN,0.20595746,0.65787435,,,bcu,PMN J0223-0925,0.9724417,0.894612,0,0.953516517,0.0464834826,0.926705332,0.0732946675,0.943181861,0.0568181386,0.943664918,0.0563350818,303,AGN
4FGL J0224.0-1850,196.56476,-67.18424,3752.2744,-22.3147861,1.9159176,0.22289157,0.22275537,2.146584,-0.89977616,0.76938707,0.0019707957,0.6666667,0.73713154,-0.30839556,-0.4457604,-0.9999974,1.58052097,PowerLaw,AGN,0.1373964,0.4709528,3FGL J0224.1-1846,3FHL J0223.9-1850,bcu,GALEXASC J022404.29-185029.9,0.9974888,0,0,0.920695671,0.079304329,0.932039964,0.0679600361,0.914570842,0.0854291578,0.919704517,0.0802954831,322,AGN
4FGL J0224.0-7941,297.9118,-36.515594,1818.0762,-21.8846773,2.223035,0.10306518,-0.024208078,0.49724576,0.9106665,-0.6462203,0.0005170088,0.6666667,-0.6123429,-0.72285295,-0.20872459,-0.7019444,2.51322905,PowerLaw,AGN,0.044201575,0.14875104,3FGL J0224.1-7941,3FHL J0223.9-7941,bll,PMN J0223-7940,0.9916354,0.9173541,0,0.933191088,0.0668089118,0.927928964,0.072071036,0.929813897,0.0701861031,0.932792056,0.0672079442,274,AGN
4FGL J0224.2+0700,159.62587,-49.133923,827.8121,-22.1297837,2.5390615,0.1505922,0.117757,1.4478867,0.50353783,-0.7109448,0.003636816,0.6666667,-0.7196201,-0.8423465,-0.3906974,-0.9995555,3.0493968,PowerLaw,AGN,0.09819398,0.28940976,,,fsrq,PKS 0221+067,0.9911936,0.9368385,0,0.911666345,0.0883336548,0.926199329,0.0738006711,0.909706804,0.0902931959,0.91546211,0.0845378901,306,AGN
4FGL J0224.2+1616,153.07039,-41.10926,1710.3744,-22.0173252,2.3042967,0.14104575,0.027088638,0.37538692,-0.63133276,-0.3365624,0.0010280395,0.6666667,-0.72888106,-0.68140864,-0.32951906,-0.672741,2.22313254,PowerLaw,AGN,0.071915254,0.20587535,3FGL J0224.4+1615,,bcu,NVSS J022411+161500,0.9949844,0,0,0.908029328,0.0919706718,0.924846959,0.0751530412,0.900689705,0.0993102949,0.899709885,0.100290115,301,AGN
4FGL J0224.9+1843,151.77812,-38.859947,311.8147,-22.7332194,2.9371924,0.20326445,0.44315866,3.261548,-0.11110459,-0.7091734,0.012656599,0.6666667,-0.9052979,-0.9999285,-0.99947745,0.9588554,3.5936171,LogParabola,AGN,0.18212591,0.45950803,,,fsrq,TXS 0222+185,0.9793322,0.882262,0,0.933087569,0.0669124312,0.932266345,0.0677336549,0.929168713,0.0708312867,0.932251122,0.0677488784,282,AGN
4FGL J0225.1-2604,215.40344,-69.06013,509.7327,-21.176437,2.5516932,0.051241547,0.016349565,0.4806335,-0.40107718,-0.63191575,0.0012244082,0.6666667,-0.7323744,-0.68067133,-0.89695287,-1,4.84310782,PowerLaw,AGN,0.030120108,0.09353806,3FGL J0225.2-2602,,bcu,PMN J0225-2603,0.9966667,0.93948525,0,0.928731572,0.0712684277,0.931458292,0.0685417078,0.928260322,0.0717396776,0.926261168,0.0737388316,325,AGN
