Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,Category_Prob
3FGL J1902.6+0655,-29.8696645,-26.0429739,2.230735,0.589871823,3.48524927,0.999706067,-0.696331182,-0.576087803,-0.676574594,0.6821919,3998.193,PowerLaw,0.747524654,0.252475346,0.868951595,0.131048405,0.859560742,0.140439258,0.65039254,0.34960746,0,0,0.004,0.011,AGN
3FGL J1903.9+0052,-30.6821946,-26.5305249,2.1441157,-3.10614665,3.87672601,-0.675106172,-0.99307198,0.907621515,-0.61968064,-2.3959641,4229.389,PowerLaw,0.997296735,0.002703265,0.996282566,0.003717434,0.999999979,2.05e-08,0.964546543,0.035453457,0,0,0,0,AGN
3FGL J1904.7-0708,-25.8570734,-26.8907854,2.587031,-1.81398011,4.06032119,-0.75291069,-0.601671181,-0.686582591,-0.955007516,-6.205411,666.9612,PowerLaw,0.963877323,0.036122677,0.994349902,0.005650098,0.999939572,6.04e-05,0.890426136,0.109573864,0,0,0,0,AGN
3FGL J1904.9+0818,-29.7408622,-26.1487794,2.2969902,0.157027167,3.87281991,0.900294817,-0.95653095,-0.203794381,-0.438750726,0.79587436,3254.3347,PowerLaw,0.865043032,0.134956968,0.972815761,0.027184239,0.997928155,0.002071845,0.760119348,0.239880652,0,0,0,0,AGN
3FGL J1908.9+1022,-26.1281321,-26.1923884,2.5853598,1.23878719,3.70487002,-0.57408956,-0.739481553,-0.868965156,-0.495757988,0.88411564,812.12787,PowerLaw,0.037003747,0.962996253,0.597951926,0.402048074,0.643229382,0.356770618,0.498678543,0.501321457,1,0.172,0.104,0.512,MIXED
3FGL J1911.1-5318,-27.6926637,-27.7369206,2.4525633,1.2222445,3.67617357,-0.300007991,-0.764672099,-0.939269096,-0.999789218,-24.290834,745.5432,PowerLaw,0.728043481,0.271956519,0.461307858,0.538692142,0.297161161,0.702838839,0.703417648,0.296582352,0,0.631,0.997,0,MIXED
3FGL J1911.7+0307,-28.6343547,-26.7148838,2.3222234,-1.58150845,3.96924996,-0.660914068,-0.820966254,-0.413584643,-0.625973681,-3.0762205,1859.1138,PowerLaw,0.998793738,0.001206262,0.993200451,0.006799549,0.999965772,3.42e-05,0.98058216,0.01941784,0,0,0,0,AGN
3FGL J1912.7+4610,-28.4720599,-27.8376628,2.38747,-0.550712535,3.77283066,-0.754386907,-0.614943671,-0.637531382,-0.685643815,15.772907,994.48083,PowerLaw,0.99949246,0.000508,0.994333574,0.005666426,0.998629756,0.001370244,0.979084931,0.020915069,0,0,0,0,AGN
3FGL J1917.1-3024,-28.1553605,-27.3935423,2.2369213,-0.925655318,3.83025297,-0.7215544,-0.587686192,-0.482373414,-0.629403992,-18.469482,1315.7145,PowerLaw,0.99930306,0.000697,0.994219895,0.005780105,0.999741849,0.000258,0.991701219,0.008298781,0,0,0,0,AGN
3FGL J1919.0+0452,-26.8013196,-26.7391935,2.5962675,-0.174482003,3.77471496,-0.549525816,-0.946524937,-0.195662662,-0.665254936,-3.888492,770.7191,PowerLaw,0.999661952,0.000338,0.981834115,0.018165885,0.998902994,0.001097006,0.977879835,0.022120165,0,0,0,0,AGN
