Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,Ln_LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Flags,Category_Prob,GLON
4FGL J0009.1+0628,-54.868298,-21.5005361,2.1171386,0.09896444,0.04512154,0.9813813,0.99918073,0.16351931,0.000711,-0.6908289,-0.42011616,-0.6028625,-0.49038437,2.42395615,7.534822,AGN,bll,PowerLaw,3FGL J0009.1+0630,TXS 0006+061,0.999804506,0.000195,0.994816729,0.005183271,0.997723014,0.002276986,0.998412633,0.001587367,281,0,AGN,104.480736
4FGL J0009.3+5030,-11.803588,-19.689924,1.987031,0.035371866,0.06981315,4.3845778,0.21764593,-0.44758025,0.000245,-0.49609715,-0.4564068,-0.6103414,-0.5451608,4.88353731,7.17818264,AGN,bll,LogParabola,3FGL J0009.3+5030,NVSS J000922+503028,0.999901797,9.82e-05,0.995709815,0.004290185,0.999187322,0.000813,0.998387855,0.001612145,291,0,AGN,116.124367
4FGL J0009.7-3217,-79.58928,-22.4192488,2.1981528,0.1775985,0.075799,0.8613283,-0.99999344,0.99998164,0.001664313,-0.5080589,-0.7994823,-0.15733007,-0.9999585,2.77714108,7.44162662,AGN,rdg,PowerLaw,3FGL J0009.6-3211,IC 1531,0.995691529,0.004308471,0.991693498,0.008306502,0.999904381,9.56e-05,0.946998423,0.053001577,321,0,AGN,0.672720671
4FGL J0009.8-4317,-71.76617,-22.255112,2.145199,0.11915045,-0.040844724,0.7269835,0.9976258,-0.7498374,0.000715,-0.57202005,-0.5466139,-0.20197983,-0.99989754,2.46083182,7.58049361,AGN,bll,PowerLaw,,SUMSS J000949-431654,0.999934134,6.59e-05,0.996941673,0.003058327,0.999941372,5.86e-05,0.999303256,0.000697,295,0,AGN,327.775055
4FGL J0010.6+2043,-41.12827,-22.563906,2.316534,0.3254802,0.21123806,1.5020043,0.99960864,-0.5378855,0.005072495,-0.702886,-0.521426,-0.99986005,-0.99290526,2.95293446,7.16989952,AGN,fsrq,PowerLaw,,TXS 0007+205,0.999578875,0.000421,0.995248328,0.004751672,0.99702058,0.00297942,0.992223935,0.007776065,317,0,AGN,110.218742
4FGL J0010.6-3025,-80.482315,-21.8247237,2.4291213,0.109506525,0.10359336,1.7034289,0.90000385,-0.50310785,0.002234478,-0.6358786,-0.8608819,-0.6418626,-0.9999945,4.36220622,6.68249248,AGN,fsrq,PowerLaw,,PKS 0008-307,0.999892491,0.000108,0.994863412,0.005136588,0.9998439,0.000156,0.990901184,0.009098816,302,0,AGN,10.2637081
4FGL J0010.8-2154,-79.400505,-22.9766412,2.4946294,0.19624367,-0.034287505,0.3283757,0.98301333,-0.41385394,0.001863804,-0.6621985,-0.7733015,-0.55652726,-0.19732912,2.33997129,6.79400747,AGN,bcu,PowerLaw,,PKS 0008-222,0.999881799,0.000118,0.995510156,0.004489844,0.999785092,0.000215,0.996374611,0.003625389,307,0,AGN,60.2811813
4FGL J0011.4+0057,-60.302692,-21.4667681,2.3197815,0.11698573,0.055365816,0.9152117,-0.40855178,-0.6915806,0.001853443,-0.6581666,-0.46316186,-0.8582718,-0.92524153,4.37340517,7.09646936,AGN,fsrq,PowerLaw,2FGL J0011.3+0054,RX J0011.5+0058,0.999890892,0.000109,0.996741551,0.003258449,0.999864581,0.000135,0.997987452,0.002012548,296,0,AGN,102.407234
4FGL J0011.8-3142,-80.23526,-22.9100858,1.9738964,0.28676894,0.14012496,1.0242977,-0.4804183,-0.8730768,0.001906841,-0.6048648,-0.19277471,-0.5248339,-0.53191084,3.02863512,8.18283653,AGN,bcu,PowerLaw,,SUMSS J001141-314220,0.993627158,0.006372842,0.992717739,0.007282261,0.999824741,0.000175,0.966484152,0.033515848,278,0,AGN,2.55854559
4FGL J0012.0+7043,8.111637,-21.5636239,2.4747853,0.1142351,0.008237447,0.16537851,0.91432005,-0.719811,0.001218281,-0.7224102,-0.63522357,-0.6704733,-0.99433124,2.58745216,7.45772302,AGN,bcu,PowerLaw,3FGL J0012.4+7040,TXS 0008+704,0.999635831,0.000364,0.995508304,0.004491696,0.994302897,0.005697103,0.996966022,0.003033978,316,0,AGN,119.661102
4FGL J0013.1-3955,-74.936165,-21.5247311,2.0500717,0.10833041,0.07450506,1.4529521,0.75587547,-0.32381836,0.001067878,-0.5099509,-0.58401316,-0.36393547,-0.97305566,2.41275082,7.57848807,AGN,bll,PowerLaw,3FGL J0013.2-3954,PKS 0010-401,0.999799051,0.000201,0.99585813,0.00414187,0.999649802,0.00035,0.998043971,0.001956029,312,0,AGN,332.339874
4FGL J0013.6+4051,-21.451033,-22.4339304,2.21155,0.14623235,-0.001752545,0.012294384,-0.3695242,-0.49439335,0.000443,-0.5855026,-0.64891684,-0.83440757,0.40872505,2.0312457,7.62099098,AGN,agn,PowerLaw,,4C +40.01,0.999322205,0.000678,0.997102715,0.002897285,0.998504813,0.001495187,0.993134084,0.006865916,307,0,AGN,115.257797
4FGL J0013.6-0424,-65.55318,-22.4718272,2.3586702,0.14496373,-0.08897229,1.0614702,-0.99938726,0.96326756,0.00032,-0.74510133,-0.6099102,-0.4173698,-0.99768794,1.81922074,7.52099909,AGN,fsrq,PowerLaw,,PKS 0011-046,0.999867475,0.000133,0.99501871,0.00498129,0.999010988,0.000989,0.992959171,0.007040829,293,16,AGN,99.660202
