Source_Name_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,GLON_4FGL,Flags
4FGL J1224.4+2436,83.433624,-20.511226267284627,1.9251257,0.04824708,0.050192367,2.1130295,0.052011363,0.06814351,2.1659752E-4,-0.4760207,-0.44213352,-0.6132381,-0.25649494,5.186004237389278,7.703676533240786,AGN,bll,PowerLaw,3FGL J1224.5+2436,MS 1221.8+2452,0.999924696834943,7.530316505810987E-5,0.9984832988658305,0.0015167011341689646,0.9998510702912011,1.489297087991112E-4,0.9984953409550849,0.00150465904491437,293,0.9998466346265191,1.5336537348054286E-4,0.9995904215212277,4.09578478772645E-4,0.9997082562030395,2.917437969605355E-4,0.9989420311115557,0.0010579688884448507,293,233.94032,0
4FGL J1224.7-8313,-20.397455,-21.390007726046626,2.6391585,0.072851166,0.07713255,1.8414173,0.04563169,-0.70048094,0.0016309813,-0.7471046,-0.7901974,-0.682021,-0.9999748,3.2661964145036486,6.507502463246047,AGN,bcu,PowerLaw,3FGL J1224.6-8312,PKS 1221-82,0.9998266130591861,1.7338694081354332E-4,0.9965339182236826,0.0034660817763182286,0.9988032540173183,0.0011967459826826875,0.9975657400575331,0.002434259942466681,319,0.9997794264071628,2.2057359283661382E-4,0.9965189074445993,0.003481092555401146,0.9874291197714309,0.012570880228569043,0.9951499683695958,0.004850031630403973,319,302.09558,0
4FGL J1224.9+2122,81.66161,-17.907283988380417,2.3418603,0.008904248,0.04587176,7.5950456,-0.25559527,-0.5775541,1.5286845E-4,-0.6763513,-0.65841067,-0.74440396,-0.6526797,9.922892698886438,5.972263888592235,AGN,FSRQ,LogParabola,3FGL J1224.9+2122,4C +21.35,0.9989557935938949,0.0010442064061047557,0.9978356215374912,0.0021643784625091523,0.9999941747834038,5.8252165962890265E-6,0.9923992912646963,0.007600708735302935,285,0.998829340080533,0.0011706599194656908,0.9982980875317684,0.0017019124682317935,0.9999849069583936,1.5093041607176496E-5,0.9960824591817212,0.0039175408182786685,285,255.06793,0
4FGL J1224.9+4334,72.70947,-21.62581304518843,2.4458585,0.06987812,0.022082435,0.57106215,-0.2842454,-0.63039595,0.0011854565,-0.7079502,-0.5891709,-0.8498361,-0.99999714,2.094679354279876,6.620108939225269,AGN,bll,PowerLaw,3FGL J1224.6+4332,B3 1222+438,0.9935592171038612,0.006440782896139086,0.997440208189621,0.002559791810379043,0.9928303699531572,0.007169630046843113,0.9766623967098278,0.023337603290172343,268,0.9684526481404435,0.031547351859556594,0.9967470744712849,0.003252925528714826,0.9473711932854989,0.052628806714501396,0.9494050032326954,0.05059499676730467,268,139.25989,0
4FGL J1225.0+0330,65.55143,-21.55592375943499,2.6270943,0.16598248,0.34648612,2.9146297,-0.29393753,-0.5288442,0.00782605,-0.49477112,-0.83207947,-0.85036886,-0.9994763,5.460051745866789,6.871052351943576,AGN,fsrq,LogParabola,,4C +03.23,0.9984268920299788,0.0015731079700212881,0.9983073613736098,0.0016926386263897532,0.9996369803067419,3.630196932581249E-4,0.9624524610160816,0.03754753898391852,291,0.9990013932653604,9.986067346394788E-4,0.9993245306214298,6.7546937857106E-4,0.9978337583262579,0.002166241673741969,0.8977906811738487,0.10220931882615138,291,286.82056,0
4FGL J1225.3-3446,27.784737,-22.73301371808265,2.0675948,0.14625454,-0.055031557,0.8884906,-0.54482275,-0.6665473,4.2699574E-4,-0.79430133,-0.3587967,-0.2875036,-0.45520738,1.9160274027781365,8.19771639464446,AGN,bcu,PowerLaw,3FGL J1225.4-3448,1RXS J122534.0-344737,0.9997635150475213,2.3648495247867985E-4,0.9972471635373835,0.0027528364626164107,0.9991712011907119,8.287988092872367E-4,0.9981335073862081,0.0018664926137920673,318,0.9993366381175403,6.633618824596787E-4,0.9972550357950336,0.002744964204966111,0.9952082854921045,0.004791714507895863,0.995609432804219,0.004390567195781357,318,296.88968,0
4FGL J1225.4-1550,46.565624,-23.4820780525377,1.6731858,0.69781405,0.5495656,1.9667095,-0.96010894,0.90898675,0.0016973804,0.23919863,0.9349304,-0.16116212,-0.71550316,2.5739674946273694,9.10948535795208,AGN,bcu,PowerLaw,,1RXS J122525.2-155251,0.9872598360201785,0.012740163979822569,0.9974397192113983,0.0025602807886024527,0.9993281280582822,6.718719417171383E-4,0.9886282086441196,0.011371791355881131,324,0.9977924480012336,0.0022075519987670876,0.9991263400859104,8.736599140887557E-4,0.9986383500449045,0.001361649955095256,0.9888938879353959,0.011106112064604034,324,293.8328,0
4FGL J1225.5-2851,33.667103,-22.32253814467072,2.433368,0.23690343,0.3286344,2.1944232,0.9892824,-0.41173515,0.007838753,-0.57240325,-0.89361656,-0.39073962,-0.999568,3.163732983103331,6.935807607255548,AGN,bcu,PowerLaw,,AT20G J122515-284956,0.9995716993124072,4.2830068759248404E-4,0.9956614374343293,0.0043385625656705,0.9973948176590112,0.0026051823409892496,0.9884411317544656,0.011558868245534305,300,0.9992210162013483,7.789837986514587E-4,0.9959384971638574,0.004061502836142216,0.9807129099566327,0.019287090043366505,0.973344625666531,0.026655374333469355,300,296.125,0
4FGL J1225.6-7313,-10.455269,-21.707159620839892,2.1666746,0.11637621,0.04536807,0.9726506,0.9997053,-0.17023538,7.986888E-4,-0.7757241,-0.3697962,-0.6532067,-0.45110935,3.1393028235320357,7.8543150850668155,AGN,bcu,PowerLaw,3FGL J1225.7-7314,PMN J1225-7313,0.9998819838461666,1.1801615383356202E-4,0.9962640487055912,0.003735951294408865,0.9987549249483173,0.0012450750516825025,0.9987218873780396,0.0012781126219605869,316,0.9998560100235577,1.4398997644243997E-4,0.9966221850564326,0.003377814943567567,0.9942836175962395,0.005716382403759725,0.9984510892031857,0.0015489107968146508,316,301.04294,4
4FGL J1226.0+5622,60.409664,-22.954298284139693,2.5548704,0.16761419,0.0030842125,0.0,0.9630066,-0.76722187,0.0024622525,-0.6837537,-0.62135834,-0.6485698,-0.9943166,2.786176797282977,6.749945561366855,AGN,bll,PowerLaw,,SDSS J122602.81+562254.6,0.9998646493526578,1.3535064734187366E-4,0.9983156265043338,0.0016843734956654536,0.9991823879037075,8.176120962928398E-4,0.9974498911404437,0.002550108859556225,275,0.9998700584139547,1.2994158604477137E-4,0.9995353079293481,4.6469207065157536E-4,0.9960679851849366,0.003932014815063026,0.9950143900393768,0.004985609960623016,275,130.0468,0
