Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,Flags,Category_Prob
4FGL J1902.7-3246,4.073442,-16.491135,-22.4335786,2.4101644,0.504021,0.33570674,1.5542271,0.99958223,-0.49651647,0.021871198,-0.7724576,-0.92973274,-0.09595835,-0.08069986,2.04622661,7.09796092,UNAS,None,PowerLaw,,,0.956194636,0.152960235,0.043805364,0.152960235,0.978470458,0.023734919,0.021529542,0.023734919,0.889806978,0.044687845,0.110193022,0.044687845,0.991899024,0.003018717,0.008100976,0.003018717,0.983611959,0.043391429,0.016388041,0.043391429,0.946552446,0.114560726,0.053447554,0.114560726,0.806067824,0.067066995,0.193932176,0.067066995,0.902909274,0.057978419,0.097090726,0.057978419,4096,AGN
4FGL J1903.5-0825,26.776232,-6.4963603,-21.5886874,2.6730006,4.8694663,0.99999774,3.2809613,-0.53234315,-0.72737586,0.01059854,-0.6103276,-0.94380176,-0.9918186,-0.9816161,1.83494379,6.92703757,UNAS,None,LogParabola,,,0.891632271,0.184563299,0.108367729,0.184563299,0.380297738,0.275681297,0.619702262,0.275681297,0.845816849,0.046830282,0.154183151,0.046830282,0.215285987,0.221376562,0.784714013,0.221376562,0.894906868,0.159718365,0.105093132,0.159718365,0.353246429,0.376219425,0.646753571,0.376219425,0.577163046,0.085503034,0.422836954,0.085503034,0.015375188,0.069141141,0.984624812,0.069141141,2313,MIXED
4FGL J1904.0-5925,336.9073,-24.677341,-22.0772465,2.485888,0.2566791,0.35915408,2.99243,0.9994732,-0.47302178,0.004545611,-0.5820455,-0.7844319,-0.9999885,-0.67678666,2.08621282,6.92979056,UNAS,None,LogParabola,,,0.99569867,0.005095609,0.00430133,0.005095609,0.934674334,0.046340689,0.065325666,0.046340689,0.963691441,0.016130949,0.036308559,0.016130949,0.950534636,0.011400373,0.049465364,0.011400373,0.96937928,0.030951974,0.03062072,0.030951974,0.762632417,0.186770247,0.237367583,0.186770247,0.837204036,0.055045652,0.162795964,0.055045652,0.599246406,0.069637398,0.400753594,0.069637398,0,AGN
4FGL J1904.4-1129,24.098803,-8.071897,-21.6041255,2.5356991,0.3522842,0.6037929,3.0617576,0.6731153,-0.87974614,0.006764875,-0.32756224,-0.7656369,-0.9999995,0.99888086,2.09317407,7.12281214,UNAS,None,LogParabola,,,0.866258238,0.125632104,0.133741762,0.125632104,0.882657768,0.085389452,0.117342232,0.085389452,0.901330152,0.038098566,0.098669848,0.038098566,0.865047928,0.039349277,0.134952072,0.039349277,0.652723243,0.210709886,0.347276757,0.210709886,0.768454299,0.251242336,0.231545701,0.251242336,0.623773094,0.088508708,0.376226906,0.088508708,0.301871818,0.107624393,0.698128182,0.107624393,0,MIXED
4FGL J1904.6-2713,9.553711,-14.727111,-22.0389837,2.6625006,0.16764246,0.099679,1.1754115,-0.34360096,-0.6949341,0.003528219,-0.7685381,-0.6249516,-0.9796435,-0.9935622,2.58221264,6.46024968,UNAS,None,PowerLaw,1FGL J1904.4-2725,,0.999386071,0.00088,0.000614,0.00088,0.992935668,0.005870533,0.007064332,0.005870533,0.993160865,0.006517916,0.006839135,0.006517916,0.994882379,0.00172727,0.005117621,0.00172727,0.99864387,0.001273074,0.00135613,0.001273074,0.990015479,0.02038059,0.009984521,0.02038059,0.983776324,0.015421135,0.016223676,0.015421135,0.954972561,0.018719495,0.045027439,0.018719495,0,AGN
4FGL J1904.7+0615,40.01003,-0.09347409,-20.1449234,2.5450501,0.30599213,0.5396042,4.161475,-0.84890467,-0.003804312,0.006615936,-0.7121453,-0.9274697,-0.93303657,-0.12391474,2.34083601,7.04134526,UNAS,None,LogParabola,,,0.598359662,0.265739734,0.401640338,0.265739734,0.45529072,0.146409869,0.54470928,0.146409869,0.646766526,0.069250069,0.353233474,0.069250069,0.511125562,0.065736444,0.488874438,0.065736444,0.303061321,0.253007354,0.696938679,0.253007354,0.057740061,0.095257814,0.942259939,0.095257814,0.190586767,0.06246865,0.809413233,0.06246865,0.029625372,0.012418962,0.970374628,0.012418962,13,MIXED
4FGL J1904.7-0708,28.069603,-6.200763,-20.1267077,2.422393,0.081937216,0.37224713,7.41922,0.39010563,-0.20415296,0.002714883,-0.5713304,-0.7517352,-0.8512735,-0.999991,2.80896097,7.04070021,UNAS,None,LogParabola,3FGL J1904.7-0708,,0.148923101,0.176872481,0.851076899,0.176872481,0.089196252,0.050361133,0.910803748,0.050361133,0.316163005,0.082010509,0.683836995,0.082010509,0.256257721,0.051483876,0.743742279,0.051483876,0.011316787,0.025919653,0.988683213,0.025919653,0.00808517,0.018897189,0.99191483,0.018897189,0.049800723,0.033426336,0.950199277,0.033426336,0.012967858,0.004324219,0.987032142,0.004324219,0,PSR
4FGL J1905.2-5120,345.53888,-22.93443,-21.9755004,2.429792,0.19064766,0.22198793,2.3134234,-0.116067424,-0.5718561,0.005566733,-0.69760114,-0.7183078,-0.7838876,-0.70748967,2.49984149,7.30167567,UNAS,None,PowerLaw,,,0.996094564,0.010577941,0.003905436,0.010577941,0.990198733,0.006811301,0.009801267,0.006811301,0.985876625,0.010580882,0.014123375,0.010580882,0.993347867,0.00185092,0.006652133,0.00185092,0.995133347,0.00579618,0.004866653,0.00579618,0.967940892,0.044100088,0.032059108,0.044100088,0.91752937,0.04288831,0.08247063,0.04288831,0.929912148,0.027253282,0.070087852,0.027253282,16,AGN
4FGL J1905.8+4942,80.15328,18.153082,-21.9582399,2.4296954,0.2371939,0.8016556,4.044165,-0.52161807,0.08494481,0.015638443,-0.56328267,-0.9582774,-0.19571209,-0.32313,2.8707942,6.71946721,UNAS,None,LogParabola,,,0.996423593,0.007567196,0.003576407,0.007567196,0.963884995,0.025632213,0.036115005,0.025632213,0.907383169,0.041260765,0.092616831,0.041260765,0.980876758,0.007009357,0.019123242,0.007009357,0.984389111,0.026154087,0.015610889,0.026154087,0.847379221,0.169283891,0.152620779,0.169283891,0.716441704,0.100284715,0.283558296,0.100284715,0.783811889,0.096115574,0.216188111,0.096115574,0,AGN
4FGL J1906.0-1718,18.956762,-10.949259,-21.5517568,2.4069312,0.29489192,0.6127181,3.5588348,0.98586446,0.019725302,0.006159013,-0.11237182,-0.65479624,-0.99976075,-0.9808879,2.30337098,7.26064557,UNAS,None,LogParabola,,,0.818592197,0.159322854,0.181407803,0.159322854,0.538008653,0.154870873,0.461991347,0.154870873,0.857888115,0.04651114,0.142111885,0.04651114,0.58368473,0.060329675,0.41631527,0.060329675,0.35133413,0.239736385,0.64866587,0.239736385,0.211466804,0.201842537,0.788533196,0.201842537,0.44537387,0.104556526,0.55462613,0.104556526,0.147645974,0.063364018,0.852354026,0.063364018,0,MIXED
