Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J1901.5-1112,24.054312,-7.308552,1208.208,-21.302995237331967,2.5068648,0.14659245,0.15649965,1.9174696,-0.4416745,-0.7696567,0.0032653126,0.6666667,-0.69147605,-0.82725435,-0.50200385,-0.9993885,2.1399498084606847,PowerLaw,0.09980857,0.34151667,,,,0.0,0.0,0
4FGL J1901.8-0718,27.589422,-5.6226,1952.3602,-21.031163071265286,2.3392565,0.22291507,0.4790827,3.6541455,-0.98667854,0.99508333,0.005530144,0.6666667,-0.4654592,-0.62575877,-0.88326037,-0.99999475,1.8352493343098726,LogParabola,0.19289343,0.70606136,,,,0.0,0.0,16
4FGL J1902.2+0448,38.446926,-0.2154043,1715.8763,-19.392150528452117,2.4738743,0.16401567,0.37685704,6.325335,0.9993744,-0.5973714,0.0034603497,0.6666667,-0.5504288,-0.7999431,-0.8888624,-0.9999994,1.7996267713780512,LogParabola,0.09696218,0.36923963,,,,0.0,0.0,19
4FGL J1902.4-3417,2.5671675,-16.98757,1646.9847,-21.783224024214196,2.3072608,0.31136304,0.683072,3.6737175,0.99689734,-0.2570927,0.017705174,0.6666667,-0.46894982,-0.7280306,-0.99997026,0.78118676,0.31317772264604304,LogParabola,0.33342028,1.7441795,,,,0.0,0.0,1
4FGL J1902.5+0654,40.3479,0.6840546,2609.424,-19.845129289508304,2.3732028,0.13119012,0.22900046,4.099363,-0.3427612,-0.0132697625,0.0016697694,0.6666667,-0.4726593,-0.6337635,-0.76907974,-0.93783987,1.7801707625536975,LogParabola,0.08813997,0.24482208,3FGL J1902.6+0655,,,0.0,0.0,0
4FGL J1902.7-3246,4.073442,-16.491135,934.2458,-22.311834882295866,2.5147667,0.34007743,0.30204368,1.3513347,0.99024725,-0.738031,0.018080264,0.6666667,-0.71695805,-0.95046055,-0.18948653,0.22111064,1.6851935247434922,PowerLaw,0.27221066,1.0787739,,,,0.0,0.0,0
4FGL J1903.5-0825,26.776232,-6.4963603,1066.5747,-21.527222688487576,2.612722,0.38327572,0.6755019,3.7604835,-0.68997365,-0.6607324,0.010719241,0.6666667,-0.6148959,-0.93237317,-0.9987495,0.4211073,1.5668601531602153,LogParabola,0.3042577,0.97051364,,,,0.0,0.0,9
4FGL J1904.0-5925,336.9073,-24.677341,989.65625,-22.351879138354665,2.504155,0.2528458,0.3353834,2.7140167,0.8112456,0.3798909,0.0064916713,0.6666667,-0.6705202,-0.83483255,-0.9991721,-0.4996457,1.8193328475068682,PowerLaw,0.17503916,0.6080881,,,,0.0,0.0,0
4FGL J1904.6-2713,9.553711,-14.727111,717.9894,-22.108002797621857,2.634103,0.19041423,0.07107139,0.7738963,-0.41001403,-0.7644942,0.0029175193,0.6666667,-0.67399746,-0.6228294,-0.9762746,-0.99999964,2.6299289107211523,PowerLaw,0.10028694,0.28115258,1FGL J1904.4-2725,,,0.0,0.0,0
4FGL J1904.7-0708,28.069603,-6.200763,1099.2357,-20.147054957920847,2.4646788,0.09837934,0.38167247,6.850799,-0.6397999,-0.15836225,0.0029820572,0.6666667,-0.5938541,-0.7481074,-0.90225726,-0.99976677,2.8329404437708496,LogParabola,0.082517765,0.26882273,3FGL J1904.7-0708,,,0.0,0.0,0
