Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J0833.1-4511e,263.3321,-3.10605,6632.442,-18.160795571947713,2.2073536,0.04536196,0.027837083,1.0781418,0.49180454,0.7613189,9.184763E-5,0.6666667,-0.3767195,-0.5584806,-0.7297409,-0.59504575,2.4818850612108028,PowerLaw,0.024177087,0.055280432,3FGL J0833.1-4511e,,PWN,,Vela X,,,,0
4FGL J0838.7-2827,250.57239,7.809594,1304.6708,-20.396783714166077,2.122518,0.0807656,0.28074825,6.4832973,0.81092,-0.10819604,0.0017630799,0.6666667,-0.48365363,-0.47838613,-0.9331557,-0.9914816,1.7643563050453928,LogParabola,0.06225511,0.206467,3FGL J0838.8-2829,,unk,,1RXS J083842.1-282723,,0.0,0.9642502,0
4FGL J0851.9-4620e,266.26007,-1.2322998,6999.5693,-18.461504043511884,1.7815572,0.020546166,-0.01281672,1.0516888,0.9917186,-0.4710782,4.050309E-5,0.6666667,-0.56820893,-0.43300146,-0.41023302,-0.19787234,2.48102586049368,PowerLaw,0.008514093,0.029919153,3FGL J0852.7-4631e,3FHL J0851.9-4620e,SNR,,RX J0852.0-4622,,,,0
4FGL J0852.5-3123,254.77513,8.371002,9166.346,-22.683748608702338,1.7633686,0.4310684,0.16913265,1.1179553,-0.9770147,-0.9999569,0.0012909642,0.6666667,0.9999955,-0.56144994,-0.25951207,-0.2682175,1.9472735865007131,PowerLaw,0.21291097,0.7228481,,3FHL J0852.5-3124,unk,,NVSS J085238-312331,,0.0,0.84441847,0
4FGL J0858.0-3130,255.60423,9.196126,5870.02,-21.80607170272496,1.8104843,0.14447413,0.047732808,0.831776,0.99781835,-0.93807214,4.329169E-4,0.6666667,0.22234987,-0.38825926,-0.48197287,-0.17112976,2.555865705945939,PowerLaw,0.06421295,0.21230616,3FGL J0858.1-3130,3FHL J0858.0-3131,unk,,NVSS J085802-313040,,0.0,0.98605096,0
4FGL J0904.7-4908c,269.78375,-1.4360971,701.959,-21.127563395254878,2.7643707,0.270497,0.58164185,3.7125587,-0.7002094,-0.12683375,0.004839268,0.6666667,-0.87636447,-0.83516103,-0.72825205,-0.9999998,1.270184167799902,LogParabola,0.13987103,0.3369747,3FGL J0905.6-4917,,unk,,1RXS J090505.3-490324,,0.0,0.8047491,49
4FGL J0910.0+4257,178.2341,42.924023,903.70844,-22.14736178073683,2.5162601,0.38856333,0.5278365,2.4584827,0.9996925,-0.6061924,0.008660955,0.6666667,-0.6227254,-0.91758364,-0.99983925,0.9992558,2.3204123003803727,PowerLaw,0.38136956,0.7378901,,,css,,3C 216,,0.0,0.96243405,0
4FGL J0912.1-6449,282.17368,-11.215276,1297.8901,-21.456251015820836,2.3138397,0.17780812,0.2777572,3.0664134,0.96543825,0.7890016,0.0030550077,0.6666667,-0.5045285,-0.6613404,-0.8332424,-0.99809575,1.9964324105327087,LogParabola,0.12216962,0.37743372,3FGL J0912.2-6452,,glc,,NGC 2808,,0.9973071,0.0,0
4FGL J0921.7-6317,281.7689,-9.40067,1760.3008,-21.736767034924224,2.2315495,0.30244607,0.40420043,3.1826384,-0.94050187,0.8844471,0.005580947,0.6666667,-0.5728391,-0.37759072,-0.99927205,-0.9996066,1.1987892142931833,LogParabola,0.21969612,0.7104067,,,lmb,,2S 0921-630,,0.86303204,0.0,256
4FGL J0951.7-5328,278.0827,0.5000744,3596.9739,-21.64481637599231,2.1242259,0.13411555,-0.056346893,0.7269377,-0.9999943,0.9999031,1.409205E-4,0.6666667,-0.6129298,-0.55348194,-0.9169788,0.40233496,1.8036472078006467,PowerLaw,0.05389804,0.1373736,,,spp,,SNR G279.0+01.1,,0.8,0.0,0
4FGL J0955.7+6940,141.42867,40.568253,1306.9602,-20.82369358432159,2.2008681,0.051250767,0.054211184,1.9618894,0.99874336,-0.43108726,4.8534657E-4,0.6666667,-0.55452776,-0.6508882,-0.57353497,-0.71512103,1.8648296744127442,PowerLaw,0.028189376,0.07778383,3FGL J0955.4+6940,3FHL J0955.8+6939,sbg,,M 82,,0.99874455,0.99849063,0
4FGL J1008.1-5706,282.1348,-0.97617835,1065.801,-20.0066076111865,2.7520726,0.12853038,0.16316858,3.325876,0.6621779,-0.27046263,9.6295204E-4,0.6666667,-0.81222725,-0.86843467,-0.7428435,-0.8404949,1.1611195229084164,LogParabola,0.061020095,0.4847074,3FGL J1008.6-5706,,unk,,1RXS J100718.2-570335,,0.0,0.83419794,258
4FGL J1011.1-4420,275.09564,9.692405,3383.213,-22.495034528997394,2.0515158,0.20493838,0.024284966,0.31560186,-0.5326193,-0.7776205,6.32841E-4,0.6666667,-0.64538944,-0.4872341,-0.27368194,-0.54660404,1.6904507550779944,PowerLaw,0.082996905,0.2485454,,,unk,,1RXS J101130.7-442241,,0.0,0.8644327,256
