spec_ind,signif_curv,var,hr45,class,source_name_1,pro_agn_GB,pro_psr_GB,pro_agn_NN,pro_psr_NN,pro_agn_rf,pro_psr_rf
2.4036627,-0.702608497999665,3.981569888755527,-0.9999683912855907,AGN,3FGL J0414.9-0840,0.9463721065701496,0.05362789342985033,0.9907927591638342,0.009207240836165753,0.9873485236131136,0.012651476386886351
2.4831734,0.42928813947031547,3.6663037804763103,-0.07509973173809711,AGN,3FGL J0415.7-4351,0.9757508796043701,0.024249120395629903,0.9854559512809462,0.01454404871905374,0.9636991814259616,0.03630081857403841
1.8452863,-2.805610434880471,3.700267513316448,-0.31903834158775124,AGN,3FGL J0420.4-6013,0.9844478955304732,0.015552104469526876,0.9920058566864904,0.007994143313509519,1.0,0.0
2.3351693,0.29861036553801684,3.987075003277932,-0.5661491520362788,AGN,3FGL J0420.6-3742,0.9759289064918548,0.024071093508145215,0.9849044615406487,0.015095538459351264,0.9749999999562108,0.025000000043789158
2.3310003,0.6241063257789569,3.85175800643967,-0.8933933252966542,AGN,3FGL J0421.6+1950,0.9561173917624572,0.043882608237542725,0.9597577308764179,0.04024226912358208,0.8172058393489183,0.18279416065108167
1.9710824,0.7459867538418614,3.787122737252871,-0.9218972291928482,AGN,3FGL J0430.1-3103,0.9482991961144367,0.051700803885563335,0.9444162258518238,0.05558377414817627,0.9620694368475224,0.037930563152477545
2.501354,-0.5871267426986833,3.655724864771727,-0.7512389777437518,AGN,3FGL J0447.1-2540,0.9790069809279351,0.020993019072064738,0.9903914944356691,0.009608505564330813,0.999999999627471,3.7252904094842696E-10
2.6509671,0.6875164577521543,3.7312047181581613,-0.8303447294875226,AGN,3FGL J0451.6+7231,0.9724392367454642,0.027560763254535776,0.9623054656103981,0.037694534389601915,0.9862548551909458,0.013745144809054241
2.486627,0.44252547657586566,3.3436605315183385,-0.5026742847368146,AGN,3FGL J0451.7+5722,0.9757508796043701,0.024249120395629903,0.9780962507789959,0.021903749221004187,0.7775853781430879,0.22241462185691208
2.1675987,1.1215789899658377,3.3065798419273054,-0.946843995712991,AGN,3FGL J0506.3-0357,0.33256804437865456,0.6674319556213455,0.5988875569283834,0.40111244307161664,0.42988073576275304,0.5701192642372469
1.8043303,-1.5887274620399159,3.5001334949686442,-0.4554918847971878,AGN,3FGL J0506.9+0321,0.9844478955304732,0.015552104469526876,0.991723178353126,0.008276821646874016,1.0,0.0
2.34381,2.869588233781981E-4,3.7907020863360272,-0.38635146226509015,AGN,3FGL J0507.5-0906,0.9759289064918548,0.024071093508145215,0.9891879982832938,0.010812001716706168,0.9993692693824128,6.307306175871547E-4
