Source_Name,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,CLASS2,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times used
4FGL J1246.7-2548,301.61105,37.057938,665.6832,-18.65835405478671,2.3088727,0.020271955,0.113648176,10.975209,-0.16873252,-0.51580703,3.949545E-4,0.6666667,-0.64837825,-0.6894303,-0.7478105,-0.966891,6.606561928766903,LogParabola,AGN,0.011982476,0.034416348,3FGL J1246.7-2547,3FHL J1246.6-2548,fsrq,PKS 1244-255,0.9998983,0.999793,0,0.9339121397666538,0.06608786023334663,0.9339111017581156,0.06608889824188421,0.9415328131205266,0.05846718687947285,0.916386564179131,0.08361343582086894,297
4FGL J1247.0+4421,125.55611,72.75067,3837.8506,-22.025608804589062,1.790054,0.15511869,0.1337311,2.004822,-0.75538033,-0.52133167,7.136949E-4,0.6666667,-0.3884477,-0.2806352,-0.4057156,-0.47827327,2.9779403492690544,PowerLaw,AGN,0.078944586,0.22560789,3FGL J1247.0+4421,3FHL J1247.0+4421,bll,RX J1246.9+4423,0.97824293,0.82134783,0,0.9369341625531642,0.06306583744683508,0.9330307331463354,0.06696926685366507,0.933719877981218,0.06628012201878113,0.9158655374698776,0.08413446253012236,298
4FGL J1248.3+5820,123.716736,58.780327,1138.3936,-19.106160358645585,1.8968896,0.022588901,0.04512963,4.1961193,-0.08114452,-0.44027245,1.2750903E-4,0.6666667,-0.46626472,-0.39543232,-0.53811544,-0.5260561,4.48566274684549,LogParabola,AGN,0.008698454,0.027941745,3FGL J1248.2+5820,3FHL J1248.3+5820,bll,PG 1246+586,0.99993694,0.99347126,0,0.9446920527869838,0.05530794721301581,0.9295689895523533,0.07043101044764664,0.9418475736096429,0.05815242639035775,0.9288732159085543,0.07112678409144586,291
4FGL J1248.7+5127,123.95831,65.659836,3357.313,-22.508794756433,1.9501473,0.14785127,0.0036713795,0.045992464,0.7655078,-0.7329864,4.3864403E-4,0.6666667,-0.5483167,-0.36955923,-0.5599719,-0.27548492,2.3764007076135707,PowerLaw,AGN,0.063232824,0.19542688,3FGL J1248.0+5130,3FHL J1248.8+5128,bll,RX J1248.4+5128,0.9969021,0.8969193,0,0.8976769396267044,0.10232306037329505,0.9288582157001278,0.07114178429987231,0.8988206777313934,0.10117932226860682,0.8837276428252367,0.11627235717476335,272
4FGL J1248.9+4840,124.03815,68.452965,839.8014,-22.507289682457994,2.5153959,0.13499649,-0.030481594,0.45582303,-0.733036,-0.6735816,0.0020102202,0.6666667,-0.7221169,-0.51665294,-0.95257086,-0.9971271,3.797695249438846,PowerLaw,AGN,0.061466847,0.26343435,,,bcu,87GB 124632.9+485605,0.99278635,0.84466755,0,0.9462338896317073,0.05376611036829292,0.9343513573742722,0.06564864262572798,0.942206500585157,0.05779349941484259,0.9244785539786694,0.07552144602133097,288
4FGL J1249.2-2809,302.3517,34.71921,1987.2848,-21.51952758778635,2.1372755,0.11288872,0.025709486,0.45186514,-0.69468814,-0.5168147,7.4223336E-4,0.6666667,-0.71087694,-0.301567,-0.5801742,-0.83491397,2.5501340526926026,PowerLaw,AGN,0.053770293,0.17198825,3FGL J1249.1-2808,3FHL J1249.2-2809,bcu,NVSS J124919-280833,0.9992732,0.84889597,0,0.9266200910115914,0.07337990898840901,0.9317528201816935,0.06824717981830654,0.927078045253415,0.07292195474658533,0.9161891495299894,0.08381085047001,300
4FGL J1249.3-0545,301.9553,57.105606,2746.9705,-21.79549398823515,2.0724275,0.19196324,0.15687522,1.606159,0.86378294,-0.5369201,0.001490521,0.6666667,-0.5935658,-0.36756533,-0.54114866,-0.9999803,2.782476250250809,PowerLaw,AGN,0.11049634,0.33793518,3FGL J1249.5-0546,,bcu,GALEXASC J124919.46-054539.7,0.9978922,0.8549474,0,0.950586555113761,0.04941344488623852,0.9342011220698245,0.06579887793017536,0.9448399764809087,0.055160023519090676,0.9259486211110591,0.07405137888894066,291
4FGL J1249.8+3707,124.76579,79.99196,3903.4841,-21.7469269819275,1.7687683,0.11977727,0.096924156,1.4524277,-0.9222084,-0.2599172,0.0010438082,0.6666667,-0.22873014,-0.23121525,-0.58335274,-0.3172179,3.404778430511196,PowerLaw,AGN,0.083699115,0.27948505,3FGL J1249.7+3705,3FHL J1249.8+3708,bll,2MASS J12494675+3707474,0.9986594,0.8568081,0,0.9389011926298934,0.06109880737010715,0.9328224648983816,0.06717753510161835,0.9360895755904649,0.06391042440953479,0.9213116638297849,0.07868833617021571,284
4FGL J1250.6+0217,302.43677,65.15855,2763.4346,-21.780391760648556,2.0025043,0.14310557,0.103838645,1.6017154,0.99999714,-0.47924474,9.736344E-4,0.6666667,-0.5116107,-0.36194307,-0.64444405,-0.60187185,2.129648225450177,PowerLaw,AGN,0.076229975,0.23645923,3FGL J1250.5+0217,,bll,PKS 1247+025,0.99772596,0.9630404,0,0.9316059244998568,0.06839407550014315,0.9338590950603265,0.06614090493967328,0.9349575868576739,0.06504241314232637,0.9208578027863162,0.07914219721368387,304
4FGL J1250.8+3117,124.55438,85.84071,1780.0481,-22.21917590447521,2.1582313,0.17721353,0.113478646,1.306155,0.99361736,-0.24925914,0.0020497907,0.6666667,-0.5024691,-0.7045468,-0.40155602,-0.99999297,2.30285227684072,PowerLaw,AGN,0.102790385,0.33891192,,,bcu,NVSS J125051+311706,0.9972323,0.80707645,0,0.9355940184815454,0.06440598151845503,0.9296237261180751,0.07037627388192541,0.9281825714942916,0.07181742850570773,0.9109871941292705,0.08901280587072984,311
