_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
121.997,49.7738,3FGL J0807.9+4946,6.07,1.9E-12,121.997,49.7738,0.0,AGN,0.0,AGN,181.2,1.12,0.12,,0.32,,Simbad
122.072,-7.8519,3FGL J0808.2-0751,73.84,3.5E-11,122.072,-7.8519,0.0,AGN,0.11,AGN,83.28,4.7,0.55,,0.66,,Simbad
122.396,40.7572,3FGL J0809.5+4045,5.37,1.6E-12,122.396,40.7572,0.0,AGN,0.0,AGN,165.6,1.34,0.02,,0.2,,Simbad
122.396,53.7087,3FGL J0809.5+5342,8.33,8.0E-13,122.396,53.7087,0.0,AGN,0.0,AGN,117.69,-0.02,0.12,,0.28,,Simbad
122.409,34.9416,3FGL J0809.6+3456,7.99,1.5E-14,122.409,34.9416,0.0,AGN,0.0,AGN,134.33,-0.55,0.0,,0.12,,Simbad
122.454,52.3077,3FGL J0809.8+5218,56.16,1.6E-12,122.454,52.3077,0.0,AGN,0.01,AGN,182.24,-0.55,0.22,,0.38,,Simbad
122.63,-52.2473,3FGL J0810.5-5214,7.23,3.0E-12,122.63,-52.2473,0.0,AGN,0.0,AGN,184.6,0.22,0.06,,0.27,,Simbad
122.811,-75.4915,3FGL J0811.2-7529,30.78,7.2E-13,122.811,-75.4915,0.04,AGN,0.01,AGN,166.38,-0.41,0.01,,0.22,,Simbad
122.848,1.7812,3FGL J0811.3+0146,28.75,2.7E-12,122.848,1.7812,0.0,AGN,0.0,AGN,150.68,-0.63,0.05,,0.25,,Simbad
123.003,2.6262,3FGL J0812.0+0237,7.78,1.2E-14,123.003,2.6262,0.0,AGN,0.0,AGN,122.15,-0.77,0.02,,0.2,,Simbad
123.242,55.9333,3FGL J0812.9+5555,5.64,4.9E-14,123.242,55.9333,0.0,AGN,0.0,AGN,130.65,-0.58,0.02,,0.23,,Simbad
123.349,65.166,3FGL J0813.3+6509,4.45,4.0E-14,123.349,65.166,0.0,AGN,0.01,AGN,113.57,0.19,0.02,,0.15,,Simbad
123.387,-3.9388,3FGL J0813.5-0356,5.17,7.0E-15,123.387,-3.9388,0.0,AGN,0.0,AGN,221.41,-0.03,0.0,,0.17,,Simbad
123.545,-10.2087,3FGL J0814.1-1012,15.35,3.7E-13,123.545,-10.2087,0.0,AGN,0.0,AGN,138.66,-0.74,0.16,,0.26,,Simbad
123.65,29.721,3FGL J0814.5+2943,5.85,3.2E-14,123.65,29.721,0.02,AGN,0.0,AGN,153.08,-0.4,0.0,,0.12,,Simbad
123.677,64.4799,3FGL J0814.7+6428,26.67,2.2E-12,123.677,64.4799,0.0,AGN,0.0,AGN,147.97,-0.62,0.02,,0.25,,Simbad
124.028,-50.7484,3FGL J0816.1-5044,7.75,2.4E-12,124.028,-50.7484,0.71,PSR,0.26,PSR,96.11,19.91,0.25,MSP,0.25,MSP,Simbad
124.116,-13.1908,3FGL J0816.4-1311,26.48,2.0E-13,124.116,-13.1908,0.0,AGN,0.0,AGN,110.18,-0.64,0.16,,0.3,,Simbad
124.144,20.8211,3FGL J0816.5+2049,4.4,4.4E-14,124.144,20.8211,0.0,AGN,0.01,AGN,100.86,0.6,0.01,,0.09,,Simbad
124.18,-24.3573,3FGL J0816.7-2421,10.56,2.2E-12,124.18,-24.3573,0.0,AGN,0.0,AGN,127.64,-0.01,0.12,,0.42,,Simbad
124.183,57.6603,3FGL J0816.7+5739,19.97,6.8E-13,124.183,57.6603,0.0,AGN,0.0,AGN,157.1,-0.67,0.02,,0.19,,Simbad
124.472,-9.5878,3FGL J0817.8-0935,17.49,4.3E-13,124.472,-9.5878,0.02,AGN,0.01,AGN,122.21,-0.54,0.05,,0.2,,Simbad
124.524,32.6301,3FGL J0818.0+3237,6.59,1.9E-13,124.524,32.6301,0.0,AGN,0.0,AGN,109.51,-0.64,0.02,,0.17,,Simbad
124.562,42.399,3FGL J0818.2+4223,67.44,1.9E-11,124.562,42.399,0.01,AGN,0.0,AGN,171.85,0.16,0.49,,0.53,,Simbad
124.714,27.8546,3FGL J0818.8+2751,5.76,7.8E-13,124.714,27.8546,0.03,AGN,0.03,AGN,159.42,7.66,0.02,,0.2,,Simbad
125.124,36.682,3FGL J0820.4+3640,6.86,2.9E-13,125.124,36.682,0.0,AGN,0.0,AGN,111.06,-0.56,0.02,,0.2,,Simbad
125.232,-12.9759,3FGL J0820.9-1258,4.11,8.2E-14,125.232,-12.9759,0.0,AGN,0.0,AGN,120.59,-0.51,0.02,,0.17,,Simbad
125.66,-42.84,3FGL J0822.6-4250e,31.71,1.7E-12,125.66,-42.84,0.52,PSR,0.33,PSR,39.34,4.75,0.82,YNG,,,Simbad
125.738,40.6947,3FGL J0822.9+4041,7.91,9.2E-13,125.738,40.6947,0.0,AGN,0.0,AGN,147.85,0.04,0.04,,0.28,,Simbad
125.848,-42.0929,3FGL J0823.3-4205c,4.71,1.8E-14,125.848,-42.0929,0.0,AGN,0.02,AGN,125.94,-0.01,0.22,,0.54,,Simbad
125.913,-48.6366,3FGL J0823.6-4838,7.43,4.2E-12,125.913,-48.6366,0.03,AGN,0.04,AGN,137.94,3.23,0.25,,0.31,,Simbad
126.036,24.5764,3FGL J0824.1+2434,7.4,1.1E-12,126.036,24.5764,0.0,AGN,0.0,AGN,144.1,-0.17,0.02,,0.28,,Simbad
126.231,55.8582,3FGL J0824.9+5551,15.23,7.1E-12,126.231,55.8582,0.0,AGN,0.0,AGN,180.05,0.72,0.02,,0.31,,Simbad
126.249,39.2768,3FGL J0824.9+3916,9.17,1.2E-12,126.249,39.2768,0.01,AGN,0.17,AGN,134.18,9.01,0.04,,0.13,,Simbad
126.356,-2.231,3FGL J0825.4-0213,4.19,4.7E-13,126.356,-2.231,0.08,AGN,0.05,AGN,251.42,4.55,0.01,,0.26,,Simbad
126.454,-32.2856,3FGL J0825.8-3217,10.45,3.3E-12,126.454,-32.2856,0.0,AGN,0.01,AGN,191.25,1.31,0.16,,0.35,,Simbad
126.498,-22.505,3FGL J0825.9-2230,47.84,3.2E-12,126.498,-22.505,0.0,AGN,0.0,AGN,161.43,-0.56,0.49,,0.48,,Simbad
126.519,3.1247,3FGL J0826.0+0307,8.33,1.0E-13,126.519,3.1247,0.0,AGN,0.0,AGN,120.08,-0.81,0.02,,0.23,,Simbad
126.589,-50.9478,3FGL J0826.3-5056,7.5,3.6E-13,126.589,-50.9478,0.55,PSR,0.48,PSR,39.9,41.69,0.02,MSP,0.17,MSP,Simbad
126.593,-64.0109,3FGL J0826.3-6400,5.93,4.3E-13,126.593,-64.0109,0.0,AGN,0.03,AGN,195.48,3.16,0.04,,0.22,,Simbad
126.809,-7.1901,3FGL J0827.2-0711,8.26,9.9E-14,126.809,-7.1901,0.0,AGN,0.0,AGN,120.06,-0.66,0.02,,0.23,,Simbad
127.14,52.2954,3FGL J0828.5+5217,4.17,4.8E-14,127.14,52.2954,0.0,AGN,0.01,AGN,72.37,2.18,0.0,,0.08,,Simbad
