_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
199.063,-64.7696,3FGL J1316.2-6446,10.13,2.7E-11,199.063,-64.7696,0.01,AGN,0.01,AGN,209.56,1.11,0.59,,0.68,,Simbad
199.403,-63.2598,3FGL J1317.6-6315,13.53,1.4E-12,199.403,-63.2598,0.97,PSR,0.64,PSR,10.19,440.8,1.0,YNG,0.81,YNG,Simbad
199.463,34.4998,3FGL J1317.8+3429,6.11,1.3E-12,199.463,34.4998,0.0,AGN,0.0,AGN,166.22,1.36,0.02,,0.16,,Simbad
199.694,-12.5408,3FGL J1318.7-1232,8.4,7.5E-13,199.694,-12.5408,0.0,AGN,0.0,AGN,125.12,-0.16,0.01,,0.22,,Simbad
199.837,14.0499,3FGL J1319.3+1402,4.3,9.3E-15,199.837,14.0499,0.0,AGN,0.0,AGN,139.83,-0.47,0.02,,0.16,,Simbad
199.903,77.9983,3FGL J1319.6+7759,9.1,1.7E-14,199.903,77.9983,0.0,AGN,0.0,AGN,131.89,-0.17,0.01,,0.13,,Simbad
200.269,22.2628,3FGL J1321.0+2215,20.58,2.9E-12,200.269,22.2628,0.0,AGN,0.0,AGN,154.97,0.52,0.02,,0.25,,Simbad
200.431,83.2067,3FGL J1321.7+8312,12.66,3.2E-12,200.431,83.2067,0.0,AGN,0.0,AGN,188.54,1.19,0.02,,0.15,,Simbad
200.582,8.6574,3FGL J1322.3+0839,7.76,3.7E-13,200.582,8.6574,0.0,AGN,0.0,AGN,128.52,1.68,0.02,,0.1,,Simbad
200.666,-16.3189,3FGL J1322.6-1619,5.32,3.9E-13,200.666,-16.3189,0.0,AGN,0.03,AGN,153.56,0.14,0.02,,0.17,,Simbad
200.706,-9.6449,3FGL J1322.8-0938,14.39,8.2E-12,200.706,-9.6449,0.0,AGN,0.0,AGN,188.2,0.44,0.04,,0.33,,Simbad
200.733,4.5966,3FGL J1322.9+0435,6.13,1.1E-14,200.733,4.5966,0.0,AGN,0.0,AGN,152.48,-0.47,0.0,,0.13,,Simbad
200.751,29.7125,3FGL J1323.0+2942,17.67,5.4E-13,200.751,29.7125,0.0,AGN,0.01,AGN,175.48,-0.06,0.02,,0.24,,Simbad
200.81,-39.0247,3FGL J1323.2-3901,5.6,8.7E-13,200.81,-39.0247,0.01,AGN,0.01,AGN,186.32,2.98,0.16,,0.25,,Simbad
200.992,14.0942,3FGL J1323.9+1405,6.31,9.2E-14,200.992,14.0942,0.0,AGN,0.0,AGN,124.56,-0.55,0.02,,0.2,,Simbad
201.0,-43.5,3FGL J1324.0-4330e,12.15,1.4E-11,201.0,-43.5,0.03,AGN,0.29,PSR,119.43,16.23,0.93,YNG,,,Simbad
201.314,-54.1859,3FGL J1325.2-5411,7.01,1.2E-12,201.314,-54.1859,0.96,PSR,0.46,PSR,92.69,155.73,0.22,MSP,0.34,MSP,Simbad
201.367,-43.0305,3FGL J1325.4-4301,43.86,4.2E-11,201.367,-43.0305,0.06,AGN,0.01,AGN,152.13,1.06,0.05,,0.54,,Simbad
201.533,29.5332,3FGL J1326.1+2931,4.8,1.4E-14,201.533,29.5332,0.0,AGN,0.0,AGN,126.5,0.02,0.01,,0.2,,Simbad
201.559,-46.8521,3FGL J1326.2-4651,4.71,3.9E-12,201.559,-46.8521,0.0,AGN,0.09,AGN,333.36,8.05,0.5,,0.42,,Simbad
201.663,-52.9393,3FGL J1326.6-5256,20.99,4.2E-12,201.663,-52.9393,0.0,AGN,0.01,AGN,179.68,0.43,0.16,,0.43,,Simbad
201.695,-47.4646,3FGL J1326.7-4727,11.34,1.1E-12,201.695,-47.4646,0.7,PSR,0.63,PSR,4.57,155.53,0.06,MSP,0.18,MSP,Simbad
201.722,22.1844,3FGL J1326.8+2211,26.22,1.2E-11,201.722,22.1844,0.0,AGN,0.0,AGN,144.64,0.64,0.22,,0.39,,Simbad
201.99,25.4011,3FGL J1327.9+2524,4.31,2.3E-15,201.99,25.4011,0.0,AGN,0.01,AGN,317.57,1.69,0.04,,0.2,,Simbad
202.147,-47.4814,3FGL J1328.5-4728,12.12,1.1E-14,202.147,-47.4814,0.0,AGN,0.0,AGN,153.41,-0.64,0.05,,0.21,,Simbad
202.24,-56.1309,3FGL J1328.9-5607,46.08,3.5E-11,202.24,-56.1309,0.0,AGN,0.01,AGN,315.81,4.81,0.81,,0.76,,Simbad
202.299,-5.6081,3FGL J1329.1-0536,5.6,1.9E-13,202.299,-5.6081,0.0,AGN,0.0,AGN,121.46,-0.5,0.16,,0.18,,Simbad
202.468,-61.162,3FGL J1329.8-6109,11.85,1.2E-12,202.468,-61.162,0.94,PSR,0.55,PSR,25.81,63.17,0.49,MSP,0.46,MSP,Simbad
202.506,-38.3132,3FGL J1330.0-3818,5.44,5.5E-12,202.506,-38.3132,0.33,PSR,0.06,AGN,384.12,8.45,0.5,YNG,0.44,MSP,Simbad
202.51,44.6313,3FGL J1330.0+4437,7.3,6.7E-14,202.51,44.6313,0.0,AGN,0.0,AGN,118.68,-0.69,0.0,,0.09,,Simbad
202.538,-70.0462,3FGL J1330.1-7002,32.55,1.4E-11,202.538,-70.0462,0.0,AGN,0.0,AGN,141.37,0.66,0.06,,0.33,,Simbad
202.612,56.688,3FGL J1330.4+5641,5.07,5.4E-12,202.612,56.688,0.0,AGN,0.0,AGN,192.81,-0.28,0.01,,0.26,,Simbad
202.636,30.3886,3FGL J1330.5+3023,5.25,1.2E-12,202.636,30.3886,0.01,AGN,0.07,AGN,156.05,8.22,0.01,,0.1,,Simbad
202.669,70.036,3FGL J1330.6+7002,10.88,3.8E-14,202.669,70.036,0.0,AGN,0.0,AGN,119.81,-0.77,0.01,,0.14,,Simbad
202.745,52.0295,3FGL J1330.9+5201,6.13,7.2E-14,202.745,52.0295,0.0,AGN,0.02,AGN,136.06,0.68,0.12,,0.25,,Simbad
202.787,-13.4818,3FGL J1331.1-1328,5.48,2.5E-13,202.787,-13.4818,0.02,AGN,0.15,AGN,104.1,8.09,0.16,,0.18,,Simbad
202.884,17.1983,3FGL J1331.5+1711,9.14,6.7E-12,202.884,17.1983,0.0,AGN,0.01,AGN,159.12,2.11,0.02,,0.21,,Simbad
202.972,47.3032,3FGL J1331.8+4718,8.63,2.0E-12,202.972,47.3032,0.0,AGN,0.0,AGN,161.76,0.72,0.01,,0.24,,Simbad
203.015,-5.1476,3FGL J1332.0-0508,49.71,4.1E-11,203.015,-5.1476,0.0,AGN,0.02,AGN,526.19,14.12,0.82,,0.69,,Simbad
203.158,-12.9387,3FGL J1332.6-1256,19.3,2.4E-12,203.158,-12.9387,0.0,AGN,0.01,AGN,142.24,-0.08,0.16,,0.37,,Simbad
203.209,27.3945,3FGL J1332.8+2723,9.44,8.6E-13,203.209,27.3945,0.0,AGN,0.01,AGN,136.52,2.57,0.02,,0.19,,Simbad
203.426,50.9541,3FGL J1333.7+5057,14.9,2.3E-12,203.426,50.9541,0.0,AGN,0.0,AGN,177.09,-0.22,0.01,,0.23,,Simbad
203.454,-44.2886,3FGL J1333.8-4417,5.55,2.5E-12,203.454,-44.2886,0.0,AGN,0.04,AGN,169.97,3.01,0.16,,0.23,,Simbad
203.587,-41.8685,3FGL J1334.3-4152,4.19,8.2E-15,203.587,-41.8685,0.0,AGN,0.0,AGN,124.05,-0.47,0.02,,0.23,,Simbad
203.783,-56.9237,3FGL J1335.1-5655,8.21,4.9E-13,203.783,-56.9237,0.02,AGN,0.07,AGN,147.19,2.77,0.16,,0.23,,Simbad
203.808,-40.9354,3FGL J1335.2-4056,7.2,4.4E-12,203.808,-40.9354,0.0,AGN,0.01,AGN,156.82,0.39,0.16,,0.41,,Simbad
203.853,-29.8292,3FGL J1335.4-2949,6.87,7.8E-14,203.853,-29.8292,0.0,AGN,0.0,AGN,100.88,-0.72,0.01,,0.17,,Simbad
204.415,-12.9571,3FGL J1337.6-1257,19.07,6.0E-12,204.415,-12.9571,0.01,AGN,0.0,AGN,131.75,0.53,0.5,,0.43,,Simbad
204.666,-24.0538,3FGL J1338.6-2403,7.89,3.3E-12,204.666,-24.0538,0.01,AGN,0.01,AGN,187.55,1.14,0.12,,0.28,,Simbad
204.743,65.542,3FGL J1338.9+6532,7.27,1.4E-11,204.743,65.542,0.0,AGN,0.0,AGN,192.39,2.97,0.12,,0.3,,Simbad
204.755,11.8918,3FGL J1339.0+1153,11.53,1.0E-13,204.755,11.8918,0.0,AGN,0.0,AGN,107.14,-0.66,0.01,,0.17,,Simbad
204.971,-1.5556,3FGL J1339.8-0133,5.0,1.0E-12,204.971,-1.5556,0.03,AGN,0.0,AGN,136.53,2.31,0.04,,0.17,,Simbad
205.164,44.2124,3FGL J1340.6+4412,5.81,9.6E-15,205.164,44.2124,0.0,AGN,0.0,AGN,128.81,-0.56,0.02,,0.19,,Simbad
205.166,-4.1371,3FGL J1340.6-0408,6.65,7.2E-14,205.166,-4.1371,0.0,AGN,0.0,AGN,105.13,-0.7,0.01,,0.1,,Simbad
205.263,39.9185,3FGL J1341.0+3955,5.5,6.8E-13,205.263,39.9185,0.0,AGN,0.0,AGN,175.55,-0.13,0.02,,0.24,,Simbad
205.385,55.2934,3FGL J1341.5+5517,6.05,6.1E-13,205.385,55.2934,0.0,AGN,0.0,AGN,175.02,-0.09,0.02,,0.25,,Simbad
205.49,-20.8949,3FGL J1341.9-2053,12.41,1.1E-11,205.49,-20.8949,0.0,AGN,0.0,AGN,155.6,1.62,0.12,,0.34,,Simbad
205.611,-69.0714,3FGL J1342.4-6904,4.48,1.2E-12,205.611,-69.0714,0.0,AGN,0.03,AGN,230.49,2.26,0.02,,0.3,,Simbad
205.678,9.7662,3FGL J1342.7+0945,5.15,2.6E-14,205.678,9.7662,0.22,PSR,0.0,AGN,210.97,0.01,0.01,MSP,0.18,MSP,Simbad
205.912,57.8994,3FGL J1343.6+5753,4.5,1.5E-13,205.912,57.8994,0.0,AGN,0.0,AGN,144.33,-0.18,0.02,,0.26,,Simbad
206.051,-17.401,3FGL J1344.2-1724,33.15,9.4E-12,206.051,-17.401,0.0,AGN,0.0,AGN,148.53,0.01,0.16,,0.35,,Simbad
206.126,-36.9295,3FGL J1344.5-3655,5.67,7.6E-14,206.126,-36.9295,0.0,AGN,0.0,AGN,152.93,0.57,0.12,,0.17,,Simbad
206.298,-62.4123,3FGL J1345.1-6224,10.53,1.6E-11,206.298,-62.4123,0.99,PSR,0.67,PSR,15.9,176.65,0.99,YNG,0.86,YNG,Simbad
206.3,19.8275,3FGL J1345.1+1949,4.84,1.1E-12,206.3,19.8275,0.0,AGN,0.0,AGN,181.1,-0.19,0.01,,0.18,,Simbad
206.401,44.8942,3FGL J1345.6+4453,75.77,8.4E-11,206.401,44.8942,0.0,AGN,0.0,AGN,171.25,0.22,0.05,,0.52,,Simbad
206.462,7.0798,3FGL J1345.8+0704,15.87,2.3E-12,206.462,7.0798,0.0,AGN,0.02,AGN,120.02,1.68,0.12,,0.2,,Simbad
206.497,-33.9643,3FGL J1345.9-3357,6.51,1.1E-12,206.497,-33.9643,0.0,AGN,0.0,AGN,171.69,-0.45,0.02,,0.27,,Simbad
206.57,-26.1397,3FGL J1346.2-2608,6.49,6.4E-13,206.57,-26.1397,0.04,AGN,0.07,AGN,100.52,4.43,0.01,,0.09,,Simbad
206.652,-60.4537,3FGL J1346.6-6027,10.41,6.8E-13,206.652,-60.4537,0.13,PSR,0.11,AGN,174.61,0.83,0.88,YNG,0.76,YNG,Simbad
206.745,-29.9725,3FGL J1346.9-2958,8.25,2.7E-14,206.745,-29.9725,0.0,AGN,0.0,AGN,103.6,-0.7,0.16,,0.2,,Simbad
206.924,-37.9033,3FGL J1347.6-3754,13.1,2.9E-12,206.924,-37.9033,0.0,AGN,0.0,AGN,151.13,0.99,0.16,,0.21,,Simbad
207.142,-71.8391,3FGL J1348.5-7150,5.15,1.9E-12,207.142,-71.8391,0.0,AGN,0.01,AGN,182.31,-0.31,0.06,,0.3,,Simbad
207.149,-58.5627,3FGL J1348.5-5833,7.12,9.8E-12,207.149,-58.5627,0.01,AGN,0.06,AGN,197.65,3.01,0.16,,0.39,,Simbad
207.407,-11.5596,3FGL J1349.6-1133,18.39,3.5E-12,207.407,-11.5596,0.0,AGN,0.01,AGN,147.87,1.61,0.16,,0.24,,Simbad
207.622,-62.412,3FGL J1350.4-6224,12.31,9.7E-13,207.622,-62.412,0.98,PSR,0.79,PSR,2.1,977.23,0.97,YNG,0.8,YNG,Simbad
207.704,30.5985,3FGL J1350.8+3035,20.22,4.1E-12,207.704,30.5985,0.0,AGN,0.0,AGN,136.36,1.09,0.02,,0.19,,Simbad
207.793,-27.7203,3FGL J1351.1-2743,5.4,2.4E-13,207.793,-27.7203,0.0,AGN,0.0,AGN,126.46,-0.13,0.02,,0.2,,Simbad
207.794,0.5142,3FGL J1351.1+0030,7.3,4.8E-13,207.794,0.5142,0.0,AGN,0.05,AGN,129.97,7.33,0.02,,0.09,,Simbad
207.851,11.2665,3FGL J1351.4+1115,12.86,4.4E-14,207.851,11.2665,0.0,AGN,0.0,AGN,131.01,-0.49,0.01,,0.18,,Simbad
207.927,-29.2265,3FGL J1351.7-2913,9.05,1.2E-12,207.927,-29.2265,0.0,AGN,0.0,AGN,132.49,0.83,0.02,,0.18,,Simbad
207.96,-15.4066,3FGL J1351.8-1524,4.41,2.1E-13,207.96,-15.4066,0.0,AGN,0.0,AGN,122.59,-0.6,0.02,,0.18,,Simbad
208.283,-44.2451,3FGL J1353.1-4414,9.77,3.9E-12,208.283,-44.2451,0.02,AGN,0.02,AGN,198.01,3.4,0.02,,0.2,,Simbad
208.317,14.6,3FGL J1353.2+1435,10.72,9.0E-13,208.317,14.6,0.0,AGN,0.0,AGN,149.87,-0.62,0.02,,0.24,,Simbad
208.39,-66.6667,3FGL J1353.5-6640,10.0,4.0E-14,208.39,-66.6667,0.0,AGN,0.0,AGN,105.37,-0.71,0.01,,0.16,,Simbad
208.632,37.0868,3FGL J1354.5+3705,7.81,4.2E-13,208.632,37.0868,0.0,AGN,0.07,AGN,150.88,2.85,0.04,,0.17,,Simbad
208.752,-10.7383,3FGL J1355.0-1044,11.63,1.6E-12,208.752,-10.7383,0.0,AGN,0.0,AGN,107.75,0.24,0.12,,0.28,,Simbad
209.081,-40.4884,3FGL J1356.3-4029,5.68,5.1E-14,209.081,-40.4884,0.0,AGN,0.0,AGN,137.24,0.18,0.04,,0.18,,Simbad
209.164,-64.4799,3FGL J1356.6-6428,17.95,1.6E-11,209.164,-64.4799,0.8,PSR,0.69,PSR,31.21,51.29,0.84,YNG,0.63,YNG,Simbad
209.399,1.433,3FGL J1357.5+0125,5.77,7.4E-14,209.399,1.433,0.0,AGN,0.0,AGN,131.89,-0.07,0.01,,0.16,,Simbad
209.407,76.7224,3FGL J1357.6+7643,12.79,1.9E-12,209.407,76.7224,0.0,AGN,0.05,AGN,130.41,3.22,0.02,,0.13,,Simbad
209.643,-60.4298,3FGL J1358.5-6025,15.43,1.2E-11,209.643,-60.4298,1.0,PSR,0.7,PSR,6.58,418.22,1.0,YNG,0.92,YNG,Simbad
209.765,55.7458,3FGL J1359.0+5544,17.44,5.9E-12,209.765,55.7458,0.0,AGN,0.0,AGN,195.78,0.49,0.04,,0.28,,Simbad
209.808,2.0696,3FGL J1359.2+0204,4.79,2.0E-13,209.808,2.0696,0.03,AGN,0.07,AGN,98.9,6.82,0.02,,0.09,,Simbad
209.982,-37.7763,3FGL J1359.9-3746,11.7,1.3E-13,209.982,-37.7763,0.0,AGN,0.0,AGN,111.53,-0.67,0.16,,0.2,,Simbad
210.067,-24.2317,3FGL J1400.2-2413,6.67,3.1E-13,210.067,-24.2317,0.36,PSR,0.51,PSR,43.04,119.11,0.01,MSP,0.05,MSP,Simbad
210.145,-14.617,3FGL J1400.5-1437,10.16,1.1E-12,210.145,-14.617,0.67,PSR,0.89,PSR,18.54,1117.36,0.01,MSP,0.08,MSP,Simbad
210.175,-56.091,3FGL J1400.7-5605,9.07,2.7E-12,210.175,-56.091,0.0,AGN,0.01,AGN,180.07,1.74,0.05,,0.24,,Simbad
210.69,-32.6667,3FGL J1402.7-3240,4.45,6.2E-13,210.69,-32.6667,0.0,AGN,0.01,AGN,139.67,0.75,0.12,,0.31,,Simbad
210.796,13.0796,3FGL J1403.1+1304,4.31,1.8E-13,210.796,13.0796,0.1,PSR,0.16,AGN,75.86,23.81,0.12,MSP,0.08,MSP,Simbad
211.077,-52.6981,3FGL J1404.3-5241,4.75,5.6E-13,211.077,-52.6981,0.15,PSR,0.13,AGN,191.83,3.65,0.07,MSP,0.29,MSP,Simbad
211.191,-58.7395,3FGL J1404.7-5844,5.03,1.7E-14,211.191,-58.7395,0.0,AGN,0.0,AGN,138.13,-0.34,0.22,,0.42,,Simbad
211.215,65.9118,3FGL J1404.8+6554,7.16,8.1E-14,211.215,65.9118,0.0,AGN,0.01,AGN,142.58,-0.58,0.02,,0.13,,Simbad
211.221,4.0263,3FGL J1404.8+0401,10.38,1.1E-13,211.221,4.0263,0.0,AGN,0.0,AGN,115.11,-0.72,0.02,,0.15,,Simbad
211.356,-61.3168,3FGL J1405.4-6119,24.82,2.9E-12,211.356,-61.3168,1.0,PSR,0.77,PSR,4.44,686.39,0.99,YNG,0.93,YNG,Simbad
211.522,-25.1477,3FGL J1406.0-2508,9.54,5.7E-14,211.522,-25.1477,0.0,AGN,0.0,AGN,99.78,-0.72,0.01,,0.14,,Simbad
211.651,16.7375,3FGL J1406.6+1644,5.06,4.7E-15,211.651,16.7375,0.0,AGN,0.0,AGN,140.08,-0.45,0.02,,0.22,,Simbad
211.949,-42.942,3FGL J1407.7-4256,8.15,1.6E-13,211.949,-42.942,0.0,AGN,0.01,AGN,94.84,1.37,0.02,,0.09,,Simbad
212.008,-29.4047,3FGL J1408.0-2924,7.42,6.5E-12,212.008,-29.4047,0.33,PSR,0.19,PSR,133.08,14.62,0.04,MSP,0.25,MSP,Simbad
212.204,-7.8565,3FGL J1408.8-0751,20.84,6.3E-12,212.204,-7.8565,0.0,AGN,0.0,AGN,137.97,-0.11,0.16,,0.36,,Simbad
212.303,-37.7216,3FGL J1409.2-3743,5.83,4.6E-12,212.303,-37.7216,0.04,AGN,0.07,AGN,185.44,9.55,0.12,,0.24,,Simbad
212.425,-61.5355,3FGL J1409.7-6132,11.36,6.6E-13,212.425,-61.5355,1.0,PSR,0.93,PSR,8.96,2319.19,0.88,YNG,0.94,YNG,Simbad
212.62,28.3557,3FGL J1410.4+2821,7.0,5.0E-14,212.62,28.3557,0.0,AGN,0.0,AGN,187.05,-0.17,0.0,,0.14,,Simbad
212.742,74.1073,3FGL J1410.9+7406,15.77,3.6E-13,212.742,74.1073,0.0,AGN,0.07,AGN,137.74,0.1,0.01,,0.14,,Simbad
212.796,37.2995,3FGL J1411.1+3717,5.09,4.3E-13,212.796,37.2995,0.0,AGN,0.02,AGN,165.85,1.38,0.01,,0.26,,Simbad
212.855,-7.4143,3FGL J1411.4-0724,4.72,1.1E-14,212.855,-7.4143,0.0,AGN,0.0,AGN,142.95,-0.45,0.01,,0.13,,Simbad
212.974,-57.7172,3FGL J1411.8-5743,9.73,1.4E-11,212.974,-57.7172,0.59,PSR,0.34,PSR,129.2,66.63,0.16,MSP,0.44,MSP,Simbad
213.02,52.8173,3FGL J1412.0+5249,4.65,3.4E-13,213.02,52.8173,0.0,AGN,0.01,AGN,160.69,0.38,0.01,,0.23,,Simbad
213.093,-66.5974,3FGL J1412.3-6635,7.54,1.2E-12,213.093,-66.5974,0.64,PSR,0.51,PSR,40.18,77.76,0.06,MSP,0.21,MSP,Simbad
213.317,-65.3037,3FGL J1413.2-6518,7.09,9.0E-13,213.317,-65.3037,0.02,AGN,0.02,AGN,110.86,1.07,0.06,,0.42,,Simbad
213.372,-62.0866,3FGL J1413.4-6205,62.43,1.9E-11,213.372,-62.0866,1.0,PSR,0.99,PSR,-0.62,2140.56,0.99,YNG,0.99,YNG,Simbad
213.756,-10.0184,3FGL J1415.0-1001,4.07,6.7E-13,213.756,-10.0184,0.01,AGN,0.04,AGN,196.06,3.14,0.12,,0.31,,Simbad
213.811,48.5396,3FGL J1415.2+4832,6.71,1.9E-12,213.811,48.5396,0.0,AGN,0.02,AGN,183.83,1.71,0.01,,0.15,,Simbad
214.006,13.4264,3FGL J1416.0+1325,9.29,8.8E-13,214.006,13.4264,0.0,AGN,0.0,AGN,168.67,-0.51,0.02,,0.22,,Simbad
214.039,-24.2989,3FGL J1416.1-2417,7.59,3.2E-14,214.039,-24.2989,0.0,AGN,0.0,AGN,123.91,-0.7,0.01,,0.12,,Simbad
214.377,-44.0427,3FGL J1417.5-4402,12.55,1.2E-12,214.377,-44.0427,0.05,AGN,0.16,AGN,85.89,5.85,0.16,,0.16,,Simbad
214.43,-50.4396,3FGL J1417.7-5026,6.18,9.6E-13,214.43,-50.4396,0.01,AGN,0.02,AGN,198.25,1.73,0.5,,0.37,,Simbad
214.462,25.6702,3FGL J1417.8+2540,6.54,1.2E-13,214.462,25.6702,0.0,AGN,0.0,AGN,117.91,-0.73,0.02,,0.19,,Simbad
214.609,-2.5638,3FGL J1418.4-0233,33.02,5.8E-13,214.609,-2.5638,0.06,AGN,0.02,AGN,165.01,0.55,0.21,,0.36,,Simbad
214.65,35.7186,3FGL J1418.5+3543,36.32,1.8E-12,214.65,35.7186,0.0,AGN,0.0,AGN,141.56,-0.55,0.16,,0.25,,Simbad
214.665,-60.9706,3FGL J1418.6-6058,39.98,9.7E-12,214.665,-60.9706,1.0,PSR,1.0,PSR,-0.54,2247.87,0.97,YNG,0.99,YNG,Simbad
214.747,77.5171,3FGL J1418.9+7731,11.24,5.6E-14,214.747,77.5171,0.0,AGN,0.0,AGN,109.64,-0.6,0.01,,0.1,,Simbad
214.776,-51.942,3FGL J1419.1-5156,6.53,4.2E-12,214.776,-51.942,0.02,AGN,0.1,AGN,267.31,7.32,0.22,,0.49,,Simbad
214.784,-55.5769,3FGL J1419.1-5534,9.17,2.0E-11,214.784,-55.5769,0.01,AGN,0.06,AGN,199.78,2.73,0.16,,0.4,,Simbad
214.875,-8.6105,3FGL J1419.5-0836,14.88,1.5E-12,214.875,-8.6105,0.0,AGN,0.0,AGN,116.06,0.94,0.02,,0.23,,Simbad
214.897,4.8262,3FGL J1419.5+0449,4.35,8.5E-15,214.897,4.8262,0.0,AGN,0.0,AGN,145.04,-0.41,0.01,,0.13,,Simbad
214.956,38.3248,3FGL J1419.8+3819,12.51,1.4E-12,214.956,38.3248,0.01,AGN,0.01,AGN,148.44,2.12,0.04,,0.2,,Simbad
214.984,54.4195,3FGL J1419.9+5425,20.08,1.6E-12,214.984,54.4195,0.0,AGN,0.01,AGN,150.53,-0.6,0.02,,0.22,,Simbad
215.008,-60.8147,3FGL J1420.0-6048,22.95,4.4E-13,215.008,-60.8147,1.0,PSR,0.93,PSR,7.35,1956.16,0.88,YNG,0.96,YNG,Simbad
215.243,-46.2549,3FGL J1420.9-4615,6.72,3.7E-12,215.243,-46.2549,0.03,AGN,0.04,AGN,233.26,5.68,0.16,,0.21,,Simbad
215.26,-24.528,3FGL J1421.0-2431,5.42,2.3E-13,215.26,-24.528,0.22,PSR,0.35,PSR,94.92,40.76,0.01,MSP,0.05,MSP,Simbad
215.262,-11.3746,3FGL J1421.0-1122,6.46,9.4E-14,215.262,-11.3746,0.0,AGN,0.04,AGN,123.4,0.68,0.02,,0.18,,Simbad
215.466,-79.3476,3FGL J1421.8-7920,4.43,1.1E-13,215.466,-79.3476,0.04,AGN,0.21,PSR,105.05,12.23,0.0,MSP,0.08,MSP,Simbad
215.614,32.452,3FGL J1422.4+3227,4.63,8.5E-13,215.614,32.452,0.0,AGN,0.02,AGN,155.98,8.05,0.01,,0.11,,Simbad
215.615,-61.6329,3FGL J1422.4-6137,25.36,1.2E-12,215.615,-61.6329,1.0,PSR,0.98,PSR,-0.45,3873.89,0.99,YNG,0.96,YNG,Simbad
215.719,-78.479,3FGL J1422.8-7828,4.37,5.2E-14,215.719,-78.479,0.0,AGN,0.0,AGN,97.65,-0.41,0.01,,0.11,,Simbad
215.722,58.0271,3FGL J1422.8+5801,6.95,2.9E-14,215.722,58.0271,0.0,AGN,0.01,AGN,154.79,-0.26,0.02,,0.26,,Simbad
216.092,4.5812,3FGL J1424.3+0434,6.19,4.1E-13,216.092,4.5812,0.0,AGN,0.0,AGN,110.49,0.37,0.02,,0.21,,Simbad
216.094,-17.886,3FGL J1424.3-1753,7.3,1.8E-13,216.094,-17.886,0.0,AGN,0.0,AGN,117.57,-0.79,0.01,,0.14,,Simbad
216.159,-68.1323,3FGL J1424.6-6807,17.5,1.1E-11,216.159,-68.1323,0.0,AGN,0.0,AGN,138.91,1.59,0.25,,0.37,,Simbad
216.244,36.2544,3FGL J1424.9+3615,15.37,3.4E-13,216.244,36.2544,0.0,AGN,0.01,AGN,113.45,-0.67,0.02,,0.16,,Simbad
216.564,34.0441,3FGL J1426.2+3402,6.93,4.5E-14,216.564,34.0441,0.0,AGN,0.01,AGN,118.8,-0.34,0.01,,0.13,,Simbad
216.757,23.7998,3FGL J1427.0+2347,107.36,1.5E-11,216.757,23.7998,0.01,AGN,0.01,AGN,620.77,4.02,0.88,,0.69,,Simbad
216.808,16.1739,3FGL J1427.2+1610,5.01,1.1E-11,216.808,16.1739,0.0,AGN,0.01,AGN,222.89,4.05,0.02,,0.26,,Simbad
216.909,-33.092,3FGL J1427.6-3305,19.6,5.6E-12,216.909,-33.092,0.0,AGN,0.0,AGN,134.82,-0.17,0.16,,0.42,,Simbad
216.96,-32.2518,3FGL J1427.8-3215,4.49,2.6E-14,216.96,-32.2518,0.0,AGN,0.0,AGN,126.21,-0.52,0.02,,0.19,,Simbad
216.991,-42.1106,3FGL J1427.9-4206,129.82,1.6E-10,216.991,-42.1106,0.0,AGN,0.08,AGN,254.03,19.39,0.99,,0.83,,Simbad
217.149,42.6711,3FGL J1428.5+4240,16.7,2.4E-14,217.149,42.6711,0.0,AGN,0.0,AGN,140.22,-0.51,0.05,,0.14,,Simbad
217.468,-59.1757,3FGL J1429.8-5910,40.35,2.6E-11,217.468,-59.1757,1.0,PSR,1.0,PSR,-0.61,2128.61,0.99,YNG,0.99,YNG,Simbad
217.713,-44.5687,3FGL J1430.8-4434,7.75,4.6E-13,217.713,-44.5687,0.0,AGN,0.02,AGN,139.0,1.28,0.16,,0.18,,Simbad
217.796,-64.4228,3FGL J1431.1-6425,5.02,3.2E-12,217.796,-64.4228,0.08,AGN,0.02,AGN,211.95,2.76,0.02,,0.24,,Simbad
218.539,42.0568,3FGL J1434.1+4203,8.36,6.8E-13,218.539,42.0568,0.0,AGN,0.01,AGN,154.61,0.04,0.01,,0.21,,Simbad
218.655,66.6821,3FGL J1434.6+6640,6.91,2.5E-15,218.655,66.6821,0.0,AGN,0.0,AGN,177.61,-0.26,0.01,,0.16,,Simbad
218.656,19.8646,3FGL J1434.6+1951,4.46,6.1E-14,218.656,19.8646,0.0,AGN,0.01,AGN,115.01,0.8,0.16,,0.19,,Simbad
218.82,20.3869,3FGL J1435.2+2023,5.83,5.5E-13,218.82,20.3869,0.01,AGN,0.02,AGN,199.14,9.12,0.16,,0.14,,Simbad
219.213,56.6607,3FGL J1436.8+5639,11.74,7.0E-14,219.213,56.6607,0.0,AGN,0.0,AGN,130.2,-0.5,0.01,,0.16,,Simbad
219.215,23.3669,3FGL J1436.8+2322,8.06,6.5E-13,219.215,23.3669,0.0,AGN,0.0,AGN,148.32,-0.61,0.02,,0.26,,Simbad
