ln(Flux_Density_3FGL),ln(Unc_Energy_Flux_100_3FGL),Spectral_Index_3FGL,signif_curv,ln(variability_3FGL),hr12,hr23,hr34,hr45,GLAT_1,CLASS_4FGL,Source_Name_3FGL,AGN_BDT,PSR_BDT,AGN_LR,PSR_LR,AGN_NN,PSR_NN,AGN_RF,PSR_RF,Source_Name_4FGL,RAJ2000,DEJ2000,GLON_4FGL,Extended_Source_Name_4FGL,Signif_Avg,Flux1000,Unc_Flux1000,Unc_Energy_Flux100,SpectrumType,PLEC_Flux_Density,PLEC_Index,PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Variability_Index,ASSOC1,ASSOC2,Flags
-27.68108432507599,-27.374483872544186,2.284116,1.8431790939689239,4.230030746198678,-0.35696757752887126,-0.040861278436219964,-0.7030139599081877,-0.9999732615184538,-1.7236029,PSR,3FGL J1528.3-5836,0.009937789472564471,0.9900622105274194,0.298436115356922,0.7015638846430771,0.08141057362788792,0.9185894263721124,0.2442395361025045,0.7557604638974965,4FGL J1528.4-5838,232.1087,-58.634,322.16876,,23.103027,3.1878993E-9,1.8379519E-10,1.4497675E-12,PLSuperExpCutoff,1.0830219E-12,0.40967533,0.015841667,0.6666667,9.3605585,4.8283186,PSR J1528-5838,,0
-27.161696779850182,-25.93664361283944,2.1264415,2.0157864968288015,3.995425993338665,0.9998459635579632,-0.3031181038421276,-0.535430206115531,-0.7500811057255069,-0.28015098,PSR,3FGL J1622.9-5004,0.007395289787605301,0.9926047102123907,0.2649483471933744,0.735051652806626,0.10256766837137628,0.8974323316286251,0.4329832235745335,0.5670167764254664,4FGL J1623.0-5004,245.7514,-50.0756,333.71722,,30.88466,9.449884E-9,4.8383203E-10,3.7094386E-12,PLSuperExpCutoff,6.5130036E-13,1.2969868,0.005613901,0.6666667,9.351979,4.3245444,PSR J1623-5005,,0
-26.30587396627628,-26.75842596169604,2.0572636,1.9904773956408415,3.9278058583637927,0.022930354563999344,-0.5115191438465421,-0.6587548394868892,-0.9592020022608071,6.142062,PSR,3FGL J1624.2-4041,3.0676779600913306E-4,0.9996932322039825,0.08415276352085652,0.9158472364791429,0.056167762712434746,0.9438322372875656,0.06740993721328252,0.9325900627867174,4FGL J1624.1-4042,246.0399,-40.7073,340.54596,,35.727985,4.32248E-9,1.6619478E-10,1.3488193E-12,PLSuperExpCutoff,2.1259604E-12,0.96988493,0.012964102,0.6666667,12.397253,11.926194,PSR J1624-4041,,0
-27.412648045284786,-25.76870626323809,2.4938385,1.937004367185144,4.00835375518284,0.25702724924614895,-0.5269743032385414,-0.6855408788155662,-0.8783023622113785,-0.9521964,PSR,3FGL J1650.3-4600,5.53507161598521E-4,0.9994464928383895,0.16514092474232256,0.8348590752576784,0.12496334461131686,0.8750366553886836,0.10842914879445198,0.8915708512055485,4FGL J1650.3-4600,252.5986,-46.0163,339.79538,,25.942955,8.723168E-9,4.3035467E-10,3.813599E-12,PLSuperExpCutoff,1.582052E-12,1.2140168,0.010297434,0.6666667,9.89585,9.162851,PSR J1650-4601,FGES J1652.2-4633 field,16
-27.64538011469241,-26.585903771571672,2.4792907,1.3827083892011565,3.688897453951938,0.7330155760084319,-0.2434268124148264,-0.488805341759877,-0.928155068987998,-1.4837972,PSR,3FGL J1827.3-1446,0.0035418306417547285,0.9964581693582276,0.5997866721738645,0.4002133278261352,0.2780847097805598,0.7219152902194409,0.1477197935706375,0.8522802064293632,4FGL J1827.4-1445,276.8733,-14.7622,17.097658,,18.47903,5.3627756E-9,3.6309303E-10,1.7551261E-12,PLSuperExpCutoff,1.021308E-12,1.053747E-5,0.018858058,0.6666667,8.459681,5.512928,PSR J1827-1446,,2064
-27.851962655950143,-26.075089196727088,2.2825232,1.7458009895531237,3.801825923528608,0.9989563279440085,0.1946337841769077,-0.5429667496756878,-0.8892539053494454,-0.14492497,PSR,3FGL J1844.3-0344,0.0030882646683395246,0.996911735331652,0.33954409018483694,0.6604559098151628,0.1296209553473183,0.8703790446526823,0.10804355424771354,0.8919564457522857,4FGL J1844.4-0345,281.1182,-3.7579,28.79405,,22.116482,8.3320515E-9,4.6536877E-10,3.1423965E-12,PLSuperExpCutoff,1.7747685E-12,0.65364933,0.014098187,0.6666667,10.494366,9.355194,PSR J1844-0346,,0
-26.351590844712366,-27.710863885257755,1.8963063,1.9256608954650285,3.6809872675779696,0.15306817471553333,-0.526869561123767,-0.7731796697724636,-0.9059312038438698,-29.562988,PSR,3FGL J1946.4-5403,2.5254414912012635E-4,0.9997474558508674,0.07114638940595537,0.928853610594046,0.1545221939073382,0.8454778060926604,0.08999266772786929,0.910007332272131,4FGL J1946.5-5402,296.6322,-54.0496,343.89774,,33.567764,1.6898672E-9,9.3950715E-11,6.0165143E-13,PLSuperExpCutoff,2.7337123E-12,0.44206157,0.019224469,0.6666667,11.683317,2.932694,PSR J1946-5403,,0
-26.020750010695988,-26.192494307813007,2.614499,2.5318159191992655,3.6853580111050794,0.5610597299669302,-0.498365909186253,-0.7704698360459722,-0.9814898107795468,0.41072208,PSR,3FGL J2017.9+3627,1.23420292801657E-4,0.9998765797072114,0.015235399020366296,0.9847646009796337,0.030454703588375345,0.9695452964116258,0.14308104474804942,0.8569189552519498,4FGL J2017.9+3625,304.4909,36.4277,74.51801,,43.06196,1.0243423E-8,3.3114028E-10,4.665203E-12,PLSuperExpCutoff,5.633242E-12,0.99139136,0.015097237,0.6666667,15.309065,7.409915,PSR J2017+3625,,256
-28.33457526158321,-28.20726559487911,1.8367444,1.677781559887395,4.078730342288933,0.9885686428872265,-0.04988038683709089,-0.6846197132466173,-0.999935775431332,-57.93874,PSR,3FGL J2310.1-0557,0.0499080909433397,0.9500919090566804,0.4267229102492102,0.5732770897507905,0.4196938093789469,0.5803061906210527,0.1586660695898551,0.8413339304101449,4FGL J2310.0-0555,347.5183,-5.9251,69.69335,,22.14494,1.0758044E-9,8.048836E-11,4.736668E-13,PLSuperExpCutoff,9.00477E-13,0.4017053,0.016620992,0.6666667,7.7717667,11.976834,PSR J2310-0555,,0
-31.572484157651193,-28.030843002008744,1.8667319,0.40310004688774054,3.803219190636362,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,-74.946754,AGN,3FGL J0000.2-3738,0.9997987710887614,2.0122891124679606E-4,0.9916209285179955,0.008379071482004657,0.9911822174506653,0.008817782549335306,0.9964047915128467,0.0035952084871536567,4FGL J2359.9-3736,359.9816,-37.616,345.66284,,8.283625,1.9467555E-10,3.26568E-11,3.6956094E-13,PowerLaw,5.381956E-14,1.4936775,0.0030138765,0.6666667,1.8248161,4.2310514,NVSS J000008-373819,,0
