Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy_1,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,RAJ2000,DEJ2000,GLON
3FGL J0212.1+5320,-26.63279002,-27.18507065,1.9522794,1.842188765,3.941008187,0.014306928,-0.40496939,-0.676390885,-0.924702913,-7.645654,1133.8235,LogParabola,2.08E-4,0.999791668,0.060320711,0.939679289,0.15180512,0.84819488,0.166854147,0.833145853,1.0,0.997,1.0,1.0,33.0371,53.336,134.92665
3FGL J0225.8+6159,-27.40820538,-26.085558,2.88211,1.672123092,3.843488393,0.991666927,-0.674423466,-0.809196969,-0.983943582,1.1206753,1804.9932,LogParabola,0.051019829,0.948980171,0.190617774,0.809382226,0.268275385,0.731724615,0.306430073,0.693569927,1.0,0.991,0.998,0.999,36.4722,61.987,133.77803
3FGL J0318.1+0252,-27.94280464,-27.9314807,1.7130586,1.747161954,3.916408057,-0.247108856,-0.114351567,-0.656608947,-0.952437393,-43.635,1475.8716,LogParabola,0.013379647,0.986620353,0.255210597,0.744789403,0.184951527,0.815048473,0.218076436,0.781923564,1.0,0.964,1.0,1.0,49.5362,2.8695,178.44518
3FGL J0336.1+7500,-27.11347101,-27.59225329,1.9428688,1.546900162,3.521888127,-0.303334611,-0.440471216,-0.65130927,-0.848773619,15.503392,1049.3801,LogParabola,0.006310823,0.993689177,0.167672131,0.832327869,0.172410211,0.827589789,0.429248045,0.570751955,1.0,0.996,1.0,0.869,54.0439,75.0153,133.10916
3FGL J0426.7+5437,-25.64812371,-26.64193478,2.4670362,2.0393272,3.948011346,-0.219263908,-0.595499862,-0.90209441,-0.99995292,3.873888,852.095,LogParabola,0.003854755,0.996145245,0.047667818,0.952332182,0.053614409,0.946385591,0.366015204,0.633984796,1.0,0.997,1.0,0.983,66.6813,54.6168,150.86702
3FGL J0541.1+3553,-26.71185125,-26.78578043,2.5379517,1.801680361,3.560129839,-0.293736105,-0.637781051,-0.801612084,-0.999971313,2.842268,1182.5917,LogParabola,0.09061613,0.90938387,0.051450629,0.948549371,0.059983338,0.940016662,0.422302304,0.577697696,1.0,0.997,1.0,0.912,85.2775,35.8975,173.57236
3FGL J0839.6-4133,-24.61875975,-26.60364618,2.66841,1.83337315,3.857656214,-0.007667584,-0.936566857,-0.854661,-0.999778584,0.029131241,593.70184,LogParabola,0.002562993,0.997437007,0.063934277,0.936065723,0.125492665,0.874507335,0.446618945,0.553381055,1.0,0.997,1.0,0.787,129.9201,-41.5555,261.14313
3FGL J0854.8-4503,-27.06518426,-26.54040884,2.3573065,1.867952052,3.805234804,0.307413102,-0.42241138,-0.704981224,-0.82461513,-0.022904674,1786.5521,LogParabola,1.83E-4,0.999817193,0.078222728,0.921777272,0.179658262,0.820341738,0.320000551,0.679999449,1.0,0.997,1.0,0.999,133.7108,-45.0616,265.60278
3FGL J0855.4-4818,-25.43519374,-26.46252577,2.8079157,1.970467603,3.521575329,-0.363781239,-0.826781308,-0.755936137,-0.926831682,-2.0487416,814.33234,LogParabola,0.001032334,0.998967666,0.051291132,0.948708868,0.068110254,0.931889746,0.428545412,0.571454588,1.0,0.997,1.0,0.865,133.855,-48.3163,268.15262
3FGL J0901.6-4700,-26.75730312,-26.30996037,2.592352,1.684431946,4.009122765,-0.631290683,-0.581379313,-0.777466831,-0.999963118,-0.39923817,1273.2411,LogParabola,0.065971183,0.934028817,0.131610075,0.868389925,0.189778709,0.810221291,0.35020868,0.64979132,1.0,0.996,1.0,0.99,135.4049,-47.0013,267.83966
3FGL J0907.0-4802,-27.03461586,-26.60601741,2.6750665,1.679466088,3.707578188,0.999905359,-0.720958471,-0.768848005,-0.999955604,-0.416362,1372.8569,LogParabola,0.160527637,0.839472363,0.099395821,0.900604179,0.208461596,0.791538404,0.451625766,0.548374234,1.0,0.997,1.0,0.798,136.7539,-48.043,269.22342
3FGL J0933.9-6232,-27.48039983,-27.57471706,1.4801999,2.176800587,4.080944177,-0.337519104,0.062804211,-0.55127219,-0.962199936,-7.8936515,1713.0546,LogParabola,6.2E-4,0.999379928,0.037749184,0.962250816,0.065184033,0.934815967,0.019078231,0.980921769,1.0,0.997,1.0,1.0,143.4812,-62.5338,282.23508
3FGL J0953.7-1510,-27.76481094,-27.9763977,1.8100071,1.770075632,3.694231357,0.752499692,-0.236787848,-0.73221733,-0.999960159,29.605461,1383.4703,LogParabola,0.014483258,0.985516742,0.153060673,0.846939327,0.093680599,0.906319401,0.211638206,0.788361794,1.0,0.991,1.0,1.0,148.4289,-15.1745,251.938
3FGL J1002.5-5709,-25.8731432,-26.30912862,2.3798265,1.431370255,3.451314062,0.34021463,-0.751186127,-0.81859984,-0.829762637,-1.4720495,911.0524,LogParabola,0.001488765,0.998511235,0.110786403,0.889213597,0.189089697,0.810910303,0.410303965,0.589696035,1.0,0.997,1.0,0.924,150.646,-57.1629,281.5582
3FGL J1026.2-5730,-26.84082967,-25.99219743,2.8420198,1.984018293,3.92036551,-0.734763769,-0.472185423,-0.802496816,-0.789783015,0.03263714,1818.6279,LogParabola,0.001661872,0.998338128,0.13141085,0.86858915,0.158549829,0.841450171,0.23154461,0.76845539,1.0,0.995,1.0,1.0,156.5597,-57.5166,284.39386
3FGL J1035.7-6720,-25.47308961,-27.2479595,1.9564838,2.127202843,3.850410057,-0.160173172,-0.508751825,-0.714307713,-0.94571813,-7.8283772,778.90356,LogParabola,4.48E-4,0.999552379,0.038435535,0.961564465,0.049535324,0.950464676,0.128198655,0.871801345,1.0,0.997,1.0,1.0,158.926,-67.3335,290.3908
3FGL J1039.1-5809,-27.85308744,-26.47087209,2.6934597,1.601186826,3.623387946,0.994823597,-0.515975648,-0.707415164,-0.99998526,0.35093978,1940.8593,LogParabola,0.032275774,0.967724226,0.125534852,0.874465148,0.243719264,0.756280736,0.325111278,0.674888722,1.0,0.997,1.0,0.997,159.789,-58.1572,286.20035
3FGL J1047.3-6005,-27.95114429,-26.23316374,2.635708,1.531072765,3.89259563,-0.479376518,-0.163636599,-0.839339399,-0.639181008,-0.8621091,2277.2017,LogParabola,0.249963002,0.750036998,0.399275789,0.600724211,0.489625952,0.510374048,0.485624672,0.514375328,1.0,0.788,0.477,0.58,161.8438,-60.0983,288.0462
3FGL J1112.0-6135,-25.92207947,-26.26254934,2.6534743,2.208694545,4.02031912,-0.266045993,-0.717288015,-0.751387402,-0.926257729,-0.958031,1227.508,LogParabola,0.00188575,0.99811425,0.055940322,0.944059678,0.07944961,0.92055039,0.360849121,0.639150879,1.0,0.997,1.0,0.983,168.0168,-61.5842,291.39816
3FGL J1119.9-2204,-25.76472813,-27.59943805,1.8113669,2.267684905,4.13711362,-0.042907963,-0.485484334,-0.769623939,-0.999989576,36.058777,791.70807,LogParabola,0.008849912,0.991150088,0.167431504,0.832568496,0.037447114,0.962552886,0.122039685,0.877960315,1.0,0.982,1.0,1.0,169.9845,-22.0673,276.46957
3FGL J1306.4-6043,-26.62735704,-26.71297113,1.9560455,1.969542478,3.574820943,-0.104235062,-0.357361536,-0.528834477,-0.857838178,2.0864322,1551.6885,LogParabola,1.6E-4,0.999839907,0.039585143,0.960414857,0.071304308,0.928695692,0.153188516,0.846811484,1.0,0.997,1.0,1.0,196.6146,-60.7317,304.76846
3FGL J1317.6-6315,-27.27675218,-26.40436798,2.4874306,1.576642514,3.922641331,0.99737042,-0.605245631,-0.751727306,-0.950192192,-0.5375745,1854.689,LogParabola,0.027546922,0.972453078,0.183429577,0.816570423,0.345684904,0.654315096,0.356234811,0.643765189,1.0,0.997,0.982,0.989,199.4028,-63.2598,305.87152
3FGL J1329.8-6109,-27.41140337,-26.7597739,2.1063187,1.516227726,4.019309545,-7.14E-4,-0.466009884,-0.592471651,-0.960487462,1.3645252,1582.1742,LogParabola,0.02037468,0.97962532,0.151692943,0.848307057,0.375605433,0.624394567,0.432076728,0.567923272,1.0,0.997,1.0,0.88,202.4678,-61.162,307.55142
3FGL J1358.5-6025,-25.16310409,-26.32643105,2.3573315,1.705462837,3.973339529,-0.286530434,-0.643654438,-0.767718374,-0.974270595,1.3692589,803.7275,LogParabola,0.003091867,0.996908133,0.084019915,0.915980085,0.176172345,0.823827655,0.350102054,0.649897946,1.0,0.997,1.0,0.996,209.6435,-60.4298,311.1274
3FGL J1405.4-6119,-26.55527869,-25.79468755,2.4550364,1.944846097,3.782708265,-0.30536204,-0.636466903,-0.733243287,-0.736873012,0.29036754,2151.661,LogParabola,0.001925544,0.998074456,0.094867129,0.905132871,0.11239533,0.88760467,0.277290678,0.722709322,1.0,0.997,1.0,0.999,211.3561,-61.3168,311.69092
3FGL J1456.7-6046,-24.24359425,-26.10617626,2.7192767,1.703979433,3.885507496,-0.155949578,-0.859297987,-0.878725243,-0.881008115,-1.5372295,552.5292,LogParabola,0.028236066,0.971763934,0.122627655,0.877372345,0.224980134,0.775019866,0.384990962,0.615009038,1.0,0.997,1.0,0.96,224.1955,-60.7768,317.6461
3FGL J1539.2-3324,-28.07776718,-27.60300408,1.5535094,2.269933174,4.058269962,0.999761433,0.738451828,-0.441304001,-0.923075323,17.534199,2381.748,LogParabola,0.002058621,0.997941379,0.096392732,0.903607268,0.161347934,0.838652066,0.077906933,0.922093067,1.0,0.997,1.0,1.0,234.8234,-33.4142,338.75925
3FGL J1552.8-5330,-26.96477726,-25.97442885,2.4749272,1.999617456,3.838155128,0.999943783,-0.424503375,-0.615169267,-0.998335417,0.30342412,2100.0127,LogParabola,5.93E-5,0.99994074,0.06444183,0.93555817,0.126528934,0.873471066,0.17829512,0.82170488,1.0,0.997,1.0,1.0,238.2121,-53.5131,327.96024
3FGL J1625.1-0021,-26.45359475,-27.39694546,1.6635656,2.271394587,3.619262459,-0.211100232,-0.115927565,-0.652756667,-0.97212945,31.837814,1163.7456,LogParabola,3.89E-5,0.999961075,0.12403378,0.87596622,0.01306469,0.98693531,0.045062066,0.954937934,1.0,0.992,1.0,1.0,246.2794,-0.3586,13.880847
3FGL J1645.7-2149,-27.16866629,-27.43526841,2.2908802,1.68480435,3.613134158,-0.185031741,-0.514317489,-0.810504325,-0.988869501,15.134063,1226.9476,LogParabola,0.002847596,0.997152404,0.138419503,0.861580497,0.089267237,0.910732763,0.326731602,0.673268398,1.0,0.997,1.0,1.0,251.4482,-21.8241,358.0921
3FGL J1653.6-0158,-25.29284178,-27.02549004,2.0618947,2.035145747,4.014641595,-0.368308599,-0.571164284,-0.664050803,-0.993434978,24.924627,784.82336,LogParabola,0.001341994,0.998658006,0.16268847,0.83731153,0.080768061,0.919231939,0.349281969,0.650718031,1.0,0.992,1.0,0.994,253.419,-1.9801,16.618132
3FGL J1730.6-0357,-28.03883102,-27.4058612,1.8674806,1.558622609,3.400252669,-0.406468885,0.087575704,-0.574148517,-0.947772626,15.965684,1610.488,LogParabola,0.007635488,0.992364512,0.132682401,0.867317599,0.110262523,0.889737477,0.267151429,0.732848571,1.0,0.997,1.0,1.0,262.6653,-3.9524,19.803669
3FGL J1736.0-2701,-26.72265216,-26.61315514,2.554614,1.605064262,3.649381062,0.68114554,-0.741771509,-0.670618768,-0.999985665,2.8016646,1273.441,LogParabola,0.086090473,0.913909527,0.096773883,0.903226117,0.226398718,0.773601282,0.484360591,0.515639409,1.0,0.997,1.0,0.608,264.0189,-27.0201,0.5107271
3FGL J1740.5-2843,-24.82487323,-25.82516037,2.397608,1.569120686,3.837762499,-0.246256947,-0.741662888,-0.796497204,-0.763532717,1.06893,839.0927,LogParabola,0.028195538,0.971804462,0.175527372,0.824472628,0.278651378,0.721348622,0.325796879,0.674203121,1.0,0.997,1.0,0.989,265.125,-28.717,359.59744
3FGL J1740.5-2726,-24.72223408,-26.20199076,2.323823,1.819739356,3.764741975,-0.397838351,-0.765035506,-0.830213525,-0.999952048,1.7333765,708.1641,LogParabola,7.1E-4,0.99928955,0.048362682,0.951637318,0.054485553,0.945514447,0.363616243,0.636383757,1.0,0.997,1.0,0.982,265.1345,-27.45,0.6765895
3FGL J1740.5-2642,-27.17251831,-26.70991667,2.301847,1.545487698,3.509239738,-0.070057376,-0.501455503,-0.696521133,-0.98116195,2.1229243,1557.8243,LogParabola,8.64E-5,0.999913592,0.068393752,0.931606248,0.121483588,0.878516412,0.31551266,0.68448734,1.0,0.997,1.0,1.0,265.1366,-26.7115,1.3043522
3FGL J1742.6-3321,-25.95204132,-26.46641159,2.3617508,2.052682054,3.876266949,0.216942697,-0.547729152,-0.815668493,-0.93607869,-1.7746465,1208.0585,LogParabola,1.72E-4,0.999828045,0.045252128,0.954747872,0.066096574,0.933903426,0.26139472,0.73860528,1.0,0.997,1.0,1.0,265.665,-33.3562,355.90237
3FGL J1744.1-7619,-25.9827103,-27.36380663,1.7686185,2.292818757,3.946015073,0.005107613,-0.398385633,-0.680894309,-0.999991141,-22.471127,972.3399,LogParabola,0.001567229,0.998432771,0.105404246,0.894595754,0.030943402,0.969056598,0.064582303,0.935417697,1.0,0.997,1.0,1.0,266.0452,-76.3286,317.10455
3FGL J1745.3-2903c,-25.08579875,-24.64800809,2.3672132,2.768302048,3.879871315,0.714158701,-0.504874464,-0.721327109,-0.888106293,-0.020071337,1935.382,LogParabola,5.58E-5,0.999944168,0.031866083,0.968133917,0.008218799,0.991781201,0.160746996,0.839253004,1.0,0.997,1.0,1.0,266.343,-29.063,359.86395
3FGL J1747.0-2828,-23.49856639,-25.50399442,2.0454767,2.497438464,4.506602326,-0.1578126,-0.649082313,-0.761365162,-0.940680781,-0.041327327,742.2312,LogParabola,0.021439471,0.978560529,0.037451768,0.962548232,0.040612655,0.959387345,0.238602811,0.761397189,1.0,0.997,1.0,1.0,266.7749,-28.4819,0.55716306
3FGL J1748.3-2815c,-27.76378179,-26.40688237,2.271907,1.969410623,3.528127786,0.669073048,0.00937709,-0.231354507,-0.828627428,-0.16514432,4087.345,LogParabola,2.32E-4,0.999767942,0.071141904,0.928858096,0.29341643,0.70658357,0.309824977,0.690175023,1.0,0.997,0.988,0.998,267.0925,-28.2589,0.8925632
