Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0524.8-6938,280.30667,-32.79878,-22.1820415167975,2.0746531,0.18368633,-2.828927E-4,0.0,-0.3783007,-0.5252061,4.991497E-4,-0.8634044,-0.5014743,-0.032536943,-0.6206067,2.045245368120914,8.367618266835153,PowerLaw,0.060336437,0.25368804,3FGL J0524.5-6937,,snr,,LMC SNR N 132D,LMC-Galaxy field,0.8,0.0,0,0.9998414161771916,0.0001585838228253559,0.9988852423643338,0.0011147576356653106,0.9999073105628978,9.268943710141644e-05,0.9986282798036031,0.0013717201963990137,0.0,0.0,0.0,0.0
4FGL J0526.7+4254,166.15872,4.3091006,-21.434278184727734,2.659573,0.1820713,0.21234687,2.3255284,-0.6410337,-0.3040222,0.004695828,-0.8056967,-0.7402494,-0.9982416,-0.87952024,1.609682881358648,6.485737726904988,PowerLaw,0.11833171,0.38580802,3FGL J0526.0+4253,,snr,,SNR G166.0+04.3,,0.8,0.8457636,0,0.9662857659867767,0.0337142340132174,0.956869847674927,0.04313015232507296,0.9240895781218641,0.07591042187813521,0.9418899786520624,0.05811002134793752,0.0,0.0,0.0,0.0
4FGL J0534.5+2201s,184.55287,-5.781456,-20.960084084650283,3.8646383,0.06282914,0.5210417,1.7930875,-0.60067636,-0.9388299,0.019771222,-0.911851,-0.9969491,0.3961471,-0.93417215,6.290011077813611,3.922930027021608,PowerLaw,0.118690744,0.26165476,3FGL J0534.5+2201s,3FHL J0534.5+2201,PWN,,Crab Nebula,,1.0,0.9998551,20,0.9993761514906674,0.000623848509325112,0.9991329926244713,0.000867007375527921,0.9999999148314741,8.516852619628105e-08,0.8744928447024921,0.1255071552975077,0.0,0.0,0.0,0.0
4FGL J0535.2-6736,277.75247,-32.160187,-21.161034453557892,2.624482,0.090004645,0.15324895,2.9743564,-0.049368676,-0.7845492,0.003025511,-0.6454642,-0.84569186,-0.96556413,-0.40421575,1.7008062534394184,6.623111253654913,LogParabola,0.060864482,0.21535945,,,HMB,,LMC P3,LMC-Galaxy field,1.0,0.9778559,0,0.9740138385951979,0.02598616140478401,0.9799461603252699,0.020053839674730806,0.9499277166545614,0.050072283345437035,0.9244806181057601,0.07551938189424018,0.0,0.0,0.0,0.0
4FGL J0537.8-6909,279.55023,-31.742825,-20.52747249622286,2.0045516,0.06279695,-0.037493497,1.4733363,-0.9998355,0.992121,1.0407293E-4,-0.40342712,-0.6130444,-0.6470529,-0.14941165,1.4745854353336707,8.639150790334627,PowerLaw,0.020711595,0.088872194,0FGL J0538.4-6856,3FHL J0537.9-6909,pwn,,N 157B,LMC-Galaxy field,0.9998788,0.9954455,4,0.9985100222517977,0.0014899777482191288,0.9954394605537566,0.004560539446243012,0.9598923877450013,0.040107612254998745,0.9783191181742477,0.021680881825752493,0.0,0.0,0.0,0.0
4FGL J0540.3+2756e,180.24426,-1.4998169,-18.7762994845757,2.1986804,0.055631332,0.124881044,4.463512,-0.52644295,-0.35393333,7.272519E-4,-0.5095046,-0.54472876,-0.78083557,-0.6160107,2.054523365636576,7.009508656733321,LogParabola,0.03126732,0.08962882,3FGL J0540.3+2756e,,SNR,,Sim 147,,,,4,0.8992427667573095,0.1007572332426988,0.7327529018013369,0.2672470981986635,0.7004246956367767,0.2995753043632242,0.799226999683277,0.20077300031672315,0.0,0.0,0.0,0.0
4FGL J0608.6+1149,197.51508,-3.909119,-21.946418816479486,2.2113583,0.18688767,-0.009533196,0.106578134,0.9952768,-0.6609152,0.0014186411,-0.92136365,0.24368474,-0.6630582,-0.6608048,2.48791834352637,8.0725566321414,PowerLaw,0.08367809,0.18788368,,,unk,,NVSS J060835+114942,,0.0,0.8162799,0,0.9996328568439522,0.00036714315606567124,0.9982403661393647,0.0017596338606359497,0.9984101974935154,0.0015898025064843362,0.9975243220045624,0.0024756779954376203,0.0,0.0,0.0,0.0
4FGL J0608.8+2034c,189.86746,0.35267115,-20.82185119256474,2.5035691,0.19330128,0.24593559,2.9081452,-0.79330295,0.98025215,0.00429836,-0.72710353,-0.7275743,-0.81585705,-0.9991911,2.232217031676917,7.445290562656977,PowerLaw,0.1300282,0.5451563,2FGL J0608.3+2037,,unk,,NVSS J060900+203746,,0.0,0.81158346,32,0.7837620579918708,0.21623794200814764,0.9654308327315733,0.03456916726842734,0.8803876161551994,0.11961238384480057,0.9278757690634751,0.07212423093652509,0.0,0.0,0.0,0.0
4FGL J0617.2+2234e,189.04765,3.0334508,-16.706329463408395,2.056883,0.015746957,0.12396469,20.777721,0.31100628,-0.24356602,1.4078073E-4,-0.5481992,-0.5528164,-0.69399655,-0.65096515,2.2116676500416363,8.206646695550734,LogParabola,0.005873362,0.019310035,3FGL J0617.2+2234e,3FHL J0617.2+2234e,SNR,,IC 443,,,,0,0.4232613224221358,0.5767386775778606,0.022089013144814672,0.977910986855186,8.819357411514406e-06,0.9999911806425886,0.6152755106085852,0.38472448939141596,0.0,0.0,0.0,0.0
4FGL J0618.1+7819,135.67383,24.865604,-22.543894871377148,2.1701653,0.10951475,-0.099867634,1.6801864,0.99998194,-0.6234372,4.4889198E-4,-0.7057972,-0.29045883,-0.8350089,0.21960782,1.0209501561064285,7.746880390395241,PowerLaw,0.03871525,0.21864551,3FGL J0618.0+7819,,sbg,,NGC 2146,,0.98871547,0.97111225,0,0.997145189440404,0.002854810559590094,0.987216333953358,0.012783666046641145,0.9734666458643138,0.026533354135686367,0.9833686880063265,0.01663131199367258,0.0,0.0,0.0,0.0
