Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags
3FGL J0109.8+6132,125.12660217285156,-1.2436273097991943,-23.702211382858003,-27.07056174493413,1.737008119131175,7.141317318100165,2.446458251642967,-0.621317541,-0.726534019,-0.847163478,-0.771482681,AGN,fsrq,0
3FGL J0109.9-4020,287.95025634765625,-76.25169372558594,-26.3646413903394,-27.778556020755953,-1.997083061854918,3.686542321153401,1.7273982763290405,-0.966231174,0.992051544,-0.712865108,-0.19801869,AGN,bll,0
3FGL J0110.2+6806,124.69588470458984,5.307917594909668,-24.561348871514948,-27.119948762184247,-1.069781158098627,3.596701513533419,1.9908618927001953,-0.47916773,-0.576304755,-0.485408084,-0.358164835,AGN,bll,0
3FGL J0110.9-1254,141.6884765625,-75.06940460205078,-26.440273815267567,-27.824341435999184,-0.9007336544921561,3.4729265607029998,1.925241231918335,0.408413039,-0.41806027,-0.818748921,0.205846966,AGN,bll,0
3FGL J0111.5+0535,132.11155700683594,-56.927940368652344,-26.57475866041852,-27.87938868067374,-0.24415309752821787,3.841665585334791,1.9169142246246338,0.897536271,-0.39756865,-0.217954907,-0.56740766,AGN,bll,0
3FGL J0112.1+2245,129.14393615722656,-39.8632698059082,-23.27703645826727,-26.637222913778444,1.5152963019822046,6.192502960320772,1.8732634311575163,-0.384521831,-0.52786749,-0.532239086,-0.615812538,AGN,BLL,0
3FGL J0112.8+3207,128.19253540039062,-30.5259952545166,-23.97437011624096,-27.363933782879595,0.722761160134422,6.8621979694398485,2.362600088119507,-0.608927224,-0.671323628,-0.704862238,-0.677856921,AGN,fsrq,0
3FGL J0113.0-3554,276.63189697265625,-80.09842681884766,-26.080530214693248,-28.022436977826327,-0.8127407956908418,4.425887068760614,2.5028228759765625,-0.633760054,-0.654710961,-0.983237192,0.668688119,AGN,fsrq,0
3FGL J0113.4+4948,126.57850646972656,-12.900712013244629,-25.28853621669173,-27.55020562473585,0.02213451974644224,3.8627561918823274,2.299100399017334,-0.614066995,-0.699942223,-0.590088329,-0.522177762,AGN,fsrq,0
3FGL J0114.8+1326,131.640869140625,-49.04095458984375,-24.959937319257723,-27.434899581345494,-1.7949683917762858,4.61647973998505,2.077293872833252,-0.365484182,-0.703210095,-0.459330942,-0.382105176,AGN,bll,0
3FGL J0115.7+0356,134.5545196533203,-58.38058090209961,-25.03710674388831,-27.471731877159534,0.07681249974478069,4.011092395827429,2.118065118789673,-0.402965275,-0.704773064,-0.432677505,-0.593530416,AGN,bll,0
3FGL J0115.8+2519,129.85496520996094,-37.21400451660156,-25.073837671800256,-27.382511972304183,0.5326746901820264,4.2126279609572475,1.986899495124817,-0.683423789,-0.514143715,-0.488212386,-0.319086748,AGN,bll,0
3FGL J0116.0-1134,144.51425170898438,-73.41014862060547,-24.915540926713334,-27.613337315237843,0.8412121379452746,6.17005122501402,2.3439040184020996,-0.471564989,-0.720911148,-0.70720271,-0.760116943,AGN,fsrq,0
3FGL J0116.2-2744,220.697265625,-84.45784759521484,-26.505537246562383,-27.94279525420509,0.03389229304466525,3.698803667169016,2.0224857330322266,0.805278667,-0.481051552,-0.641031608,-0.307067342,AGN,bcu,0
3FGL J0116.3-6153,297.8113708496094,-54.98884582519531,-26.089137386832036,-27.89649187386213,-0.04900591453270349,3.965613307956319,1.9620963335037231,-0.457248064,-0.668564663,-0.545630678,0.009837549,AGN,bll,0
3FGL J0117.8-2113,169.82968139648438,-81.57122039794922,-25.286920990379222,-27.243738601452616,0.7005251771496842,4.276468476975031,2.3226356506347656,0.191402312,-0.732478834,-0.613949733,-0.728005947,AGN,fsrq,16
