Source_Name,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1,Flags
4FGL J0656.3-0322,216.48453,-0.45396754,-24.324807976172032,-27.021636180412653,6.734423490711969,2.542708,0.05677307,0.23889947,7.17628,4.672430885931225,-0.16533811,-0.5324737,-0.7468113,-0.7968219,-0.8679291,-0.99999684,AGN,fsrq,3FGL J0656.2-0323,,TXS 0653-033,0
4FGL J0656.3+4235,173.97351,18.826145,-26.699698498088736,-28.313079638699193,8.397806710283437,1.9672728,0.17378043,0.10418731,1.4504396,2.576615274140321,0.9991475,-0.68670356,-0.27942377,-0.5331747,-0.705658,0.003772444,AGN,bll,3FGL J0656.4+4232,3FHL J0656.2+4235,4C +42.22,16
4FGL J0656.3-2404,235.1009,-9.69544,-27.05921286599705,-28.391988195831807,8.251871618967796,2.0777814,0.17538027,-0.00958816,0.12589745,2.015323629603981,-0.69578993,-0.6516821,-0.75893307,-0.03878654,-0.8570448,0.13874573,AGN,bll,,,PMN J0656-2403,0
4FGL J0658.1-5840,268.8168,-22.08252,-26.8242207856307,-28.60286939346222,7.580110277857011,2.1658854,0.14979279,0.08109802,1.0504543,1.8058950626663786,0.9890923,-0.26746246,-0.42734334,-0.74175245,-0.7073281,-0.15969598,AGN,bcu,3FGL J0658.3-5832,,PMN J0658-5840,0
4FGL J0658.2+2709,189.03993,13.400892,-27.018516065196245,-28.51958735201159,7.516897301532227,2.2404904,0.19177315,0.0062153516,0.051368397,2.7211165853781965,0.98114014,-0.36101186,-0.7124776,-0.32483748,-0.7840065,-0.43967155,AGN,bcu,,,B2 0655+27A,0
4FGL J0658.6+0636,207.8536,4.6042128,-26.322582593218844,-28.168269216715796,8.344734863909942,1.9390367,0.14950156,0.034521833,0.49108645,2.2323692722533353,0.6428484,-0.8734701,-0.2931233,-0.4141321,-0.5008145,-0.5818361,AGN,bcu,3FGL J0658.6+0636,3FHL J0658.5+0636,NVSS J065844+063711,0
4FGL J0659.6-2742,238.75319,-10.592452,-26.202242286937157,-28.078911089914186,6.8364703540354546,2.356899,0.14345667,0.3056935,3.8661,3.441271476946581,0.99940276,-0.4484929,-0.719746,-0.7629484,-0.8124256,-1.0,AGN,fsrq,,,TXS 0657-276,0
4FGL J0659.6-6742,278.3815,-24.189531,-27.354145657123226,-28.747021907262553,9.09567454309103,1.6735004,0.17544603,0.028211229,0.36625084,2.2349055559735143,-0.22466047,-0.99931586,0.9993561,-0.59173036,-0.4489541,-0.02643402,AGN,bcu,,3FHL J0659.5-6743,1RXS J065933.5-674356,0
4FGL J0659.9+1709,198.46768,9.555953,-26.20354253289851,-28.123193581813204,6.789811173836205,2.5174177,0.14011152,0.036247503,0.46650758,3.655047090760609,-0.5599618,-0.6958356,-0.7161799,-0.7308223,-0.8448734,-0.9999127,AGN,fsrq,3FGL J0700.0+1709,,TXS 0657+172,0
4FGL J0700.1-6311,273.59866,-23.05479,-26.69508826106631,-28.594937820311724,8.081079309089008,1.8442812,0.17585365,0.15343203,1.8478609,2.8691601209355238,-0.8778267,0.9993487,-0.42746085,-0.41281447,-0.6276719,-0.9046828,AGN,bcu,3FGL J0700.3-6310,,SUMSS J065958-631238,0
