GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
135.67383,24.865604,-22.64745997470649,2.1417797,0.12772222,-0.08293977,1.0406904,0.8505936,0.03620456,5.897958E-4,-0.66770214,-0.31026384,-0.90174174,0.3904814,1.2858695337768977,7.825178848952848,4FGL J0618.1+7819,sbg,OTHER,PowerLaw,0.051464424,0.22903228,3FGL J0618.0+7819,NGC 2146,0.98871547,0.97111225,0
205.61147,-1.4479226,-21.903875953290203,2.1703222,0.1289879,-0.09472202,2.123204,0.9280649,-0.68466854,5.198724E-4,-0.93121934,-0.40573782,-0.5219556,-0.49950677,2.1554611676014632,8.90575563766083,4FGL J0632.8+0550,hmb,OTHER,PowerLaw,0.034603726,0.11607566,,HESS J0632+057,0.8,0.9237122,16
206.87491,-1.7003806,-18.56385205161403,2.2631068,0.0460361,0.23192531,9.420627,-0.31500202,-0.23844084,0.001396951,-0.57889223,-0.7224752,-0.66721314,-0.7647244,1.5549927086263138,7.01468379468512,4FGL J0634.2+0436e,snr,OTHER,LogParabola,0.034624107,0.10996344,3FGL J0634.1+0424,Rosette,,,516
205.40027,0.5034855,-18.398021416598308,2.297204,0.07962603,0.24825741,7.5863013,0.99547005,-0.36078644,0.0019197016,-0.66834724,-0.64189047,-0.8683196,-0.6965816,2.1363543420259266,6.609120915215745,4FGL J0639.4+0655e,SNR,OTHER,LogParabola,0.04524796,0.1320209,3FGL J0640.9+0752,Monoceros,,,4
212.05276,-0.57211107,-21.29133951974683,2.5556605,0.5822296,0.15449211,1.9410406,0.99987894,-0.10424125,0.0020792563,-0.80404854,-0.8382465,-0.626596,-0.53135103,2.3161127798484547,6.906088059944528,4FGL J0647.7+0031,spp,OTHER,PowerLaw,0.5199855,0.24725172,3FGL J0647.6+0032,SNR G213.0-00.6,0.8,0.0,2
194.05469,9.203488,-21.519531470687948,1.7865936,0.110857315,0.075752385,1.7086893,0.9980814,-0.7080141,3.8193777E-4,-0.30476147,-0.3548127,-0.34969783,-0.47994265,2.2570006300693994,8.489052119719645,4FGL J0650.6+2055,unk,OTHER,PowerLaw,0.050047066,0.16679388,3FGL J0650.5+2055,NVSS J065035+205556,0.0,0.9463466,0
241.97298,-9.645979,-22.10867399086393,1.9605612,0.13315883,0.005669981,0.098895594,0.9999774,-0.7822771,4.3199048E-4,-0.3153784,-0.6112054,-0.33786383,-0.49795714,2.6595308102703688,8.25211765476984,4FGL J0709.7-3009,unk,OTHER,PowerLaw,0.058893148,0.18665406,,1RXS J070947.9-300901,0.0,0.9446162,0
241.35329,-0.7392291,-19.693850726348707,2.3406928,0.0775955,0.41880497,9.642151,0.6252562,-0.30136883,0.0015892987,-0.44296739,-0.6835741,-1.0,0.9999778,1.9764221168624572,7.1349837556167035,4FGL J0744.0-2525,bin,OTHER,LogParabola,0.06332105,0.17178804,3FGL J0744.1-2523,1FGL J0744.1-2523,,0.0,0
262.72278,-7.6400313,-21.774708359295147,2.4595487,0.14963572,0.10164312,1.344074,-0.39180475,-0.3733129,0.002168011,-0.7497035,-0.68076706,-0.6203011,-0.99999183,1.8607394095202878,7.188986438967702,4FGL J0809.5-4714,unk,OTHER,PowerLaw,0.08427169,0.28884634,,Gamma02 Velorum,0.0,0.8383361,0
243.70445,6.3586006,-22.483463559709293,2.765779,0.25126094,0.29971397,2.5786161,-0.48939583,-0.740379,0.0084548015,-0.77558243,-0.9799109,-0.98305094,-0.9896097,2.0153968319306825,6.322798731516989,4FGL J0816.0-2342,unk,OTHER,PowerLaw,0.1616486,0.51966405,,AT20G J081524-233846,0.0,0.87837595,16
