GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,CLASS2,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
103.49598,-52.397846,-22.374270239719014,2.035315,0.2954434,0.46910653,2.8967838,-0.6549203,-0.87394583,0.0049865237,0.053723566,-0.40610647,-0.9265024,-0.6266245,2.4294432691554784,7.845544102001783,bll,,4FGL J0004.0+0840,PowerLaw,0.24483436,0.82216865,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9922678,0.0,0
114.48897,-15.854909,-22.146486582006876,2.584969,0.15878025,0.06729238,0.8891839,0.78436494,0.28394482,0.0028312765,-0.71331286,-0.69412714,-0.99994564,-0.8453689,3.803552993627565,6.821241312808688,fsrq,,4FGL J0004.3+4614,PowerLaw,0.081770286,0.32934788,,MG4 J000421+4615,0.9988646,0.87434393,0
323.986,-67.53783,-21.553466491096803,2.36556,0.07818232,0.09203692,2.147012,-0.35318813,-0.6425631,0.0014095416,-0.68792325,-0.5983481,-0.79795176,-0.9999849,4.9353587933249745,6.819560758718091,fsrq,,4FGL J0004.4-4737,PowerLaw,0.047545202,0.14479707,3FGL J0004.7-4740,PKS 0002-478,0.9971799,0.97325,0
336.9915,-73.84534,-22.15177340988071,2.1451225,0.1340621,0.07936162,1.0656834,-0.38364682,-0.5637575,0.0010308938,-0.48629096,-0.46952993,-0.79586095,-0.047917493,3.545133498587175,7.575859639386199,,,4FGL J0004.4-4001,PowerLaw,0.08198707,0.20073663,,,0.0,0.0,0
118.60844,5.282127,-21.66957252404061,2.619722,0.24218635,0.24600372,2.6173093,-0.6132371,0.93979615,0.0057397927,-0.71999305,-0.7784815,-0.863141,-0.99990046,2.368906586191837,7.167432089323753,,,4FGL J0005.6+6746c,PowerLaw,0.1464791,0.5484323,,,0.0,0.0,56
113.23228,-23.613338,-21.578585183604098,2.6721156,0.08891583,0.18990411,3.11948,-0.21210183,-0.5759856,0.0039724554,-0.8141681,-0.85213053,-0.8250857,-0.99999815,3.2872637774285853,6.109386906391712,fsrq,,4FGL J0005.9+3824,LogParabola,0.06959758,0.21417004,3FGL J0006.4+3825,S4 0003+38,0.9926908,0.9090593,0
93.64702,-66.62518,-22.6910338480467,2.127844,0.22726855,0.16953455,1.3159934,-0.7247152,-0.09081931,0.0025130922,-0.6298404,-0.46428668,-0.7571772,-0.19542092,3.0161513284666817,7.678885339534126,bll,,4FGL J0006.3-0620,PowerLaw,0.17283614,0.3847199,,PKS 0003-066,0.9901411,0.9994688,0
100.47745,-59.29749,-22.607720565864394,2.0524669,0.33404583,0.32114387,1.7532287,0.7859185,0.014901766,0.003991583,-0.33946154,-0.45800528,-0.67855245,-0.9975516,1.8349259772274589,7.864101721456002,bll,,4FGL J0006.4+0135,PowerLaw,0.24654034,0.7428972,3FGL J0006.2+0135,NVSS J000626+013611,0.99729097,0.8214364,0
114.92035,-15.869719,-22.73321512251922,2.067589,0.4580926,0.57534486,2.3926308,-0.011914012,-0.99921906,0.0046647983,0.91955614,-0.27789238,-0.56709397,-0.999892,2.2812373426097556,8.228710932233763,,,4FGL J0006.6+4618,PowerLaw,0.374682,1.0117233,3FGL J0006.6+4618,,0.0,0.0,0
119.66263,10.46168,-16.524121716373617,2.0276394,0.008064565,0.2808079,69.318665,-0.031809665,-0.19659352,0.0032670076,-0.390042,-0.52529836,-0.8291276,-0.93905044,1.6339654382276647,7.295049627573326,PSR,,4FGL J0007.0+7303,PLSuperExpCutoff,0.0053019724,0.028280621,3FGL J0007.0+7302,PSR J0007+7303,1.0,0.0,0
