Source_Name_3FGL,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,Signif_Curve,SpectrumType,Spectral_Index,Unc_Spectral_Index,beta,Unc_beta,Cutoff,Unc_Cutoff,Exp_Index,Unc_Exp_Index,PowerLaw_Index,Flux30_100,Unc_Flux30_100,nuFnu30_100,Sqrt_TS30_100,Flux100_300,nuFnu100_300,Sqrt_TS100_300,Flux300_1000,nuFnu300_1000,Sqrt_TS300_1000,Flux1000_3000,nuFnu1000_3000,Sqrt_TS1000_3000,Flux3000_10000,nuFnu3000_10000,Sqrt_TS3000_10000,Flux10000_100000,nuFnu10000_100000,Sqrt_TS10000_100000,Variability_Index,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Extended_Source_Name,0FGL_Name,1FGL_Name,2FGL_Name,1FHL_Name,Flags,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,ASSOC1,ASSOC2,500MeV_Index
3FGL J2300.0+4053,345.0242004394531,40.89289855957031,101.2427749633789,-17.242765426635742,0.03694196417927742,0.03200814500451088,73.2300033569336,0.05990000069141388,0.051899999380111694,73.2300033569336,302,5.243399143218994,13459.2099609375,1.9040885608132517e-15,6.139822079708835e-16,1.7190353307494632e-10,7.462753331965999e-11,2.9087060451210567e-12,9.493869449275771e-13,0.0823957771062851,PowerLaw,1.5139174461364746,0.2571496367454529,-inf,-inf,-inf,-inf,-inf,-inf,1.5139174461364746,,,,,1.0841741948652839e-09,2.73446711237732e-13,0.35989415645599365,2.62681369711526e-12,1.9112163430643966e-15,0.0,1.467675703192839e-10,3.7017215464771325e-13,2.0856175422668457,8.192205594448332e-12,5.960482758401997e-14,0.39513832330703735,7.051691869319754e-11,1.5421491124031905e-12,6.471988201141357,36.24822998046875,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.5139174461364746
3FGL J2300.1-3547,345.0426025390625,-35.78770065307617,5.880707740783691,-64.84708404541016,0.09263243526220322,0.0724654570221901,56.38999938964844,0.1501999944448471,0.11749999970197678,56.38999938964844,532,6.0406494140625,1533.5880126953125,1.577812452089114e-13,3.019040909196108e-14,3.376134649624163e-10,6.725354995129607e-11,3.8414544982490195e-12,7.350413680495826e-13,0.5020298361778259,PowerLaw,2.184675693511963,0.14009618759155273,-inf,-inf,-inf,-inf,-inf,-inf,2.184675693511963,,,,,2.2854752812495605e-10,5.39340436461061e-14,0.0,1.4735577202884542e-09,9.900380211827486e-13,4.018656253814697,2.5873980735724444e-10,6.105900290584443e-13,4.404731750488281,6.534701252336461e-11,4.3904639581045235e-13,3.4795989990234375,1.7434418492223713e-11,2.883556295216888e-13,2.4058966636657715,49.86468505859375,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,2FGL J2300.0-3553 ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,2.184675693511963
3FGL J2300.3+3136,345.0779113769531,31.615999221801758,96.8290786743164,-25.562664031982422,0.021030399948358536,0.019550254568457603,55.060001373291016,0.0340999998152256,0.031700000166893005,55.060001373291016,501,15.62544059753418,2699.18359375,1.22516322716322e-13,1.3087815235051942e-14,8.86867024263438e-10,9.490883773333181e-11,1.0573849087980314e-11,1.2697680363757402e-12,3.1846632957458496,PowerLaw,1.8500044345855713,0.0736939013004303,-inf,-inf,-inf,-inf,-inf,-inf,1.8500044345855713,,,,,4.1408902973216755e-09,1.0099358415532889e-12,1.709078311920166,9.92881221684172e-10,6.939065207850481e-13,2.7236618995666504,6.346251857358709e-10,1.5478088645839994e-12,8.019704818725586,3.1907176900602963e-10,2.2299343361426027e-12,12.07345199584961,7.74931716018834e-11,1.4676483769612836e-12,7.693638801574707,70.49580383300781,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J2300.4+3138 ,2FGL J2300.6+3139 ,                  ,0,               ,              ,               ,N,                     ,bll  ,NVSS J230022+313703       ,                          ,1.8500044345855713
3FGL J2301.2+5853,345.31298828125,58.89799880981445,109.10901641845703,-0.9845156669616699,0.033981673419475555,0.03009629063308239,13.949999809265137,0.05510000139474869,0.04879999905824661,13.949999809265137,120,6.074844837188721,12251.8310546875,4.916957649142486e-15,1.1170908736406128e-15,3.8490099996124627e-10,9.935351152901006e-11,6.5156127021515076e-12,1.4971849714856544e-12,3.2185215950012207,PowerLaw,1.5135860443115234,0.11829560250043869,-inf,-inf,-inf,-inf,-inf,-inf,1.5135860443115234,,,,,8.645306828281366e-14,2.1805620801781908e-17,0.0,4.0885667112111265e-14,2.974876656324894e-17,0.0,4.4053566350399365e-10,1.1111410186046e-12,2.7803449630737305,1.9971421738596007e-10,1.4531378487656066e-12,4.592738628387451,9.405545786655978e-11,2.0572129069695855e-12,5.407223701477051,42.957183837890625,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,snr  ,CTB 109                   ,                          ,1.5135860443115234
3FGL J2302.7+4443,345.6846923828125,44.7224006652832,103.39542388916016,-13.986562728881836,0.013259637169539928,0.012889600358903408,-13.369999885559082,0.0215000007301569,0.020899999886751175,-13.369999885559082,331,51.665000915527344,1070.203857421875,5.89030907383048e-12,2.1952954048793522e-13,6.535120888884194e-09,2.34682884237003e-10,3.810107437884902e-11,1.3958879625103338e-12,14.111872673034668,PLExpCutoff,1.1934514045715332,0.07747868448495865,-inf,-inf,2979.3056640625,329.8581237792969,1.0,-inf,1.9591032266616821,,,,,1.1728016779954942e-08,3.036610459611344e-12,4.873732089996338,1.0594565225119368e-08,7.835873443162722e-12,21.94597625732422,4.989343604933083e-09,1.2260080103909665e-11,36.48678207397461,1.3868286519169715e-09,8.488628203129345e-12,27.878732681274414,7.128026641156637e-11,6.604300981961908e-13,5.839421272277832,54.72674560546875,-inf,-inf,-inf,-inf,-inf,                  ,0FGL J2302.9+4443,1FGL J2302.8+4443 ,2FGL J2302.7+4443 ,                  ,0,               ,              ,               ,N,                     ,PSR  ,PSR J2302+4442            ,                          ,1.6606521126726064
3FGL J2303.7+5555,345.9442138671875,55.91680145263672,108.20333862304688,-3.845337152481079,0.03490676358342171,0.031329747289419174,-7.920000076293945,0.05660000070929527,0.05079999938607216,-7.920000076293945,242,5.608253479003906,7298.22998046875,7.349185652128897e-15,1.8826183931827233e-15,3.0775093584622937e-10,8.74030986475205e-11,3.967571497037747e-12,1.018453333820335e-12,2.165895700454712,PowerLaw,1.7508636713027954,0.15230251848697662,-inf,-inf,-inf,-inf,-inf,-inf,1.7508636713027954,,,,,2.08356742232782e-13,5.1320902402247955e-17,0.0,8.092817729973487e-14,5.723230232774386e-17,0.0,3.065531162249613e-10,7.550791047104821e-13,2.77294921875,1.3937218046322641e-10,9.856382203465852e-13,4.939143180847168,3.203139489760254e-11,6.326262755838863e-13,4.254450798034668,37.93653106689453,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.7508636713027954
3FGL J2304.6+3704,346.1606140136719,37.082698822021484,100.34487915039062,-21.060867309570312,0.01924189180135727,0.018008437007665634,57.41999816894531,0.031199999153614044,0.029200000688433647,57.41999816894531,501,12.976789474487305,4452.57470703125,4.0482977484591204e-14,5.432355174690099e-15,7.302571325418228e-10,1.0240418235607507e-10,8.908286434905488e-12,1.2455979173445209e-12,1.596215844154358,PowerLaw,1.8173223733901978,0.10749590396881104,-inf,-inf,-inf,-inf,-inf,-inf,1.8173223733901978,,,,,7.732913864799684e-09,1.8921461619747504e-12,2.8478944301605225,1.7067001145676386e-09,1.197435596858587e-12,3.9492640495300293,2.515921915247077e-10,6.156142219257421e-13,3.0085654258728027,1.5888883264647546e-10,1.1147777579517681e-12,5.930816173553467,1.3775619533973327e-10,2.645112644542036e-12,11.10323429107666,64.13350677490234,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J2304.3+3709 ,2FGL J2304.7+3703 ,1FHL J2304.6+3704 ,0,               ,              ,EGR J2308+3645 ,N,                     ,bll  ,1RXS J230437.1+370506     ,                          ,1.8173223733901978
3FGL J2305.3-4219,346.3406066894531,-42.32740020751953,350.89154052734375,-63.61067581176758,0.05137338489294052,0.04532945528626442,-82.87000274658203,0.08330000191926956,0.07349999994039536,-82.87000274658203,556,4.2518157958984375,2562.46630859375,2.955241371169377e-14,8.530081717741163e-15,1.9219963121042127e-10,5.547684533979691e-11,2.135568631655982e-12,6.165016956140301e-13,0.44118359684944153,PowerLaw,2.0478663444519043,0.23781724274158478,-inf,-inf,-inf,-inf,-inf,-inf,2.0478663444519043,,,,,4.7081814003036015e-09,1.126043269045196e-12,2.2375998497009277,1.8126328216183651e-10,1.2374893861369363e-13,0.6179227232933044,1.7015497344452513e-10,4.0695514991716253e-13,3.3808021545410156,3.363950437651475e-11,2.296577912650616e-13,2.312532901763916,1.4010600839220455e-11,2.445912667282252e-13,2.7490596771240234,41.08641815185547,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,bcu  ,SUMSS J230512-421859      ,                          ,2.0478663444519043
3FGL J2305.8+1658,346.47259521484375,16.977500915527344,89.77235412597656,-39.00395584106445,0.07493236660957336,0.06993687152862549,49.43000030517578,0.12150000035762787,0.11339999735355377,49.43000030517578,280,4.61789083480835,720.84521484375,1.217927451599432e-12,2.519935215355984e-13,2.795133013933082e-10,7.357468106983234e-11,5.971392217501981e-12,1.4525274429424972e-12,1.3357900381088257,PowerLaw,2.7637691497802734,0.18249770998954773,-inf,-inf,-inf,-inf,-inf,-inf,2.7637691497802734,,,,,1.7734889112830388e-08,3.962112755939717e-12,2.9535958766937256,1.9021049180167893e-09,1.197529814027376e-12,2.922853469848633,1.198138532831905e-10,2.6767349729957257e-13,1.4598965644836426,4.8901077631668954e-11,3.0787208177805725e-13,2.1493897438049316,7.257796794113425e-12,9.820039204543052e-14,2.0809881687164307,65.11750030517578,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,2.7637691497802734
3FGL J2307.4-1208,346.8540954589844,-12.13640022277832,59.41407012939453,-61.38642501831055,0.058342400938272476,0.04995490983128548,72.56999969482422,0.09459999948740005,0.08100000023841858,72.56999969482422,781,5.033564567565918,4713.19775390625,1.2117014680577791e-14,3.2924225716916226e-15,2.3783361391416236e-10,6.707222971469307e-11,3.0102691173095053e-12,8.633857517814647e-13,0.6379815936088562,PowerLaw,1.7715518474578857,0.19385936856269836,-inf,-inf,-inf,-inf,-inf,-inf,1.7715518474578857,,,,,1.0092692653840274e-10,2.4808358356975466e-14,0.0,7.327299877957216e-10,5.169059624776651e-13,2.395198106765747,1.4747396359648945e-10,3.6249860535172984e-13,2.785923480987549,2.0281665236154822e-11,1.4307745797598886e-13,1.2121514081954956,6.812839875580678e-11,1.3337610096225694e-12,5.481358051300049,30.884063720703125,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,bll  ,1RXS J230722.5-120520     ,                          ,1.7715518474578857
3FGL J2307.7+1449,346.94000244140625,14.822099685668945,88.8335189819336,-41.08515930175781,0.03533847630023956,0.03139141947031021,-54.59000015258789,0.05730000138282776,0.05090000107884407,-54.59000015258789,280,13.445931434631348,1333.4691162109375,7.165778387330235e-13,6.998524345767573e-14,1.0985377052463718e-09,1.1538304339753225e-10,1.2818805912584441e-11,1.2526983573721284e-12,1.2754582166671753,PowerLaw,2.238483428955078,0.07679253816604614,-inf,-inf,-inf,-inf,-inf,-inf,2.238483428955078,,,,,1.2149201644717778e-08,2.85209269396125e-12,2.218735456466675,3.374500456843066e-09,2.253126938495109e-12,5.7918701171875,8.940868601037266e-10,2.0989184782577164e-12,8.053476333618164,1.907803498513161e-10,1.2738250124849637e-12,5.842820167541504,7.551401864924756e-11,1.2234444143541245e-12,6.0819573402404785,50.81184387207031,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J2307.3+1452 ,2FGL J2308.0+1457 ,1FHL J2308.1+1459 ,0,               ,              ,               ,N,                     ,bll  ,MG1 J230734+1449          ,                          ,2.238483428955078
3FGL J2309.0+5428,347.25201416015625,54.47589874267578,108.32015228271484,-5.463852882385254,0.050941672176122665,0.04341760277748108,-15.800000190734863,0.08259999752044678,0.07039999961853027,-15.800000190734863,242,4.5804924964904785,11661.42578125,2.42618654049012e-15,7.750273116829227e-16,2.1593694887744874e-10,9.543145440549239e-11,2.933021880924258e-12,9.463592019406941e-13,0.10497666895389557,PowerLaw,1.6974046230316162,0.25125202536582947,-inf,-inf,-inf,-inf,-inf,-inf,1.6974046230316162,,,,,3.961197011679782e-14,9.809122948321304e-18,0.0,7.959530812229332e-10,5.665095671215925e-13,1.4865840673446655,2.242902530369406e-10,5.554105894818584e-13,2.184887647628784,2.24735906967366e-11,1.5995294281798134e-13,0.9608142375946045,3.645793042461598e-11,7.366836632903551e-13,4.125267028808594,34.103736877441406,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,1.6974046230316162
3FGL J2309.6-3633,347.4153137207031,-36.561798095703125,2.9081711769104004,-66.51155853271484,0.030219636857509613,0.0281844362616539,-77.20999908447266,0.04899999871850014,0.04569999873638153,-77.20999908447266,532,9.279208183288574,3076.921875,4.792044853377947e-14,7.962092763531478e-15,4.420836474672285e-10,7.348464892142914e-11,5.255810543725037e-12,9.539538213185206e-13,0.3435339629650116,PowerLaw,1.8544026613235474,0.12242330610752106,-inf,-inf,-inf,-inf,-inf,-inf,1.8544026613235474,,,,,8.14109846203337e-09,1.9846925752159406e-12,3.536313533782959,8.937366402506086e-10,6.242891945583418e-13,3.0781450271606445,2.3107216140516584e-10,5.633235306175266e-13,4.224277496337891,1.5544056319871657e-10,1.0857769761410396e-12,6.513979434967041,4.2469149724722044e-11,8.028429266879189e-13,5.673576831817627,59.83103561401367,-inf,-inf,-inf,-inf,-inf,                  ,                 ,1FGL J2310.0-3627 ,2FGL J2309.8-3627 ,                  ,0,               ,              ,               ,N,                     ,bcu  ,1RXS J230940.6-363241     ,                          ,1.8544026613235474
3FGL J2310.1-0557,347.5462951660156,-5.951700210571289,69.69476318359375,-57.93873977661133,0.0791877806186676,0.07006022334098816,-53.47999954223633,0.12839999794960022,0.1136000007390976,-53.47999954223633,265,8.971941947937012,1490.3426513671875,4.948234747295666e-13,8.374693354160773e-14,7.929515932758591e-10,1.1669563926286486e-10,3.481088030679591e-12,5.62005032355567e-13,5.353665828704834,LogParabola,1.8367444276809692,0.2661826014518738,0.8166322708129883,0.2771778404712677,-inf,-inf,-inf,-inf,2.0597362518310547,,,,,4.175700583919362e-12,1.2178415251891308e-15,0.0,7.263938339718834e-10,6.150850228453519e-13,2.9825022220611572,6.573711019974837e-10,1.5669197710177496e-12,7.485082626342773,1.2306747287915698e-10,6.912367271454112e-13,5.198808670043945,3.9521045365074805e-15,3.6617270705750356e-17,0.0,59.0704231262207,-inf,-inf,-inf,-inf,-inf,                  ,                 ,                  ,                  ,                  ,0,               ,              ,               ,N,                     ,     ,                          ,                          ,0.0529692644161206
