Source_Name,GLON,GLAT,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Variability_Index,ASSOC_FGL,ASSOC_FHL,ASSOC1,HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,Flags
4FGL J0008.0-3937,335.9962,-74.58333,6.1612515,815.8528,1.4916648E-10,2.8882216E-11,2.4413722E-12,4.3218757E-13,3.996178E-13,6.6434115E-14,2.5832374,0.119510725,5.6485036E-13,1.063217E-13,2.5210016,0.2322572,0.4068936,0.23803687,2.4667616,5.432199E-13,1.0245108E-13,1.5301529,0.5882011,0.0154854655,0.008537701,0.6666667,2.4124649,12.51474,,,PMN J0008-3945,0.96521664,-0.5599435,-0.81050414,-0.84634143,-0.949194,-0.9996388,AGN,bcu,16
4FGL J0008.4-2339,50.26514,-79.690834,10.347475,6562.022,1.6445478E-10,3.0417942E-11,2.335474E-12,4.2642075E-13,5.0302894E-15,8.743426E-16,1.6560616,0.10671219,7.260525E-15,1.5298094E-15,1.3491105,0.26736003,0.27816898,0.1497709,2.683634,6.901727E-15,1.4291818E-15,0.73526967,0.4924482,0.0022702771,0.0012630847,0.6666667,2.9174957,13.834541,3FGL J0008.6-2340,3FHL J0008.4-2339,RBS 0016,-0.997901,0.99924535,-0.17414077,-0.18504943,-0.035520542,-0.78427786,AGN,bll,0
4FGL J0008.4+1455,107.72407,-46.6767,12.042193,2117.6416,3.4327866E-10,4.184089E-11,3.818386E-12,4.6345794E-13,7.8505094E-14,9.524432E-15,2.091194,0.088267766,9.467693E-14,1.3448039E-14,1.9389116,0.15499178,0.1600625,0.08949724,2.1714606,9.2851135E-14,1.2843492E-14,1.5247568,0.29107356,0.0030318913,0.0015910317,0.6666667,2.4894867,8.182927,3FGL J0008.3+1456,,NVSS J000825+145635,0.9982614,0.12763087,-0.42588946,-0.52930766,-0.5766764,-0.9999996,AGN,bcu,0
4FGL J0009.1+0628,104.480736,-54.868298,15.143667,1881.5137,4.770015E-10,4.728492E-11,5.3102943E-12,5.201532E-13,1.3995852E-13,1.3647623E-14,2.0990546,0.07226955,1.5035563E-13,1.7094761E-14,2.0630696,0.08882379,0.046000473,0.04379162,1.111143,1.465937E-13,1.5404477E-14,1.9771441,0.12933274,6.126273E-4,5.892951E-4,0.6666667,1.195704,13.0460005,3FGL J0009.1+0630,3FHL J0009.1+0628,TXS 0006+061,0.98877126,-0.22092612,-0.62225765,-0.48536688,-0.55182934,-0.49851298,AGN,bll,0
4FGL J0009.3+5030,116.12437,-11.803588,57.92722,1316.5792,2.6324594E-9,8.7119825E-11,2.4633039E-11,1.0489844E-12,1.4356928E-12,4.4386553E-14,1.9939121,0.022230837,1.5412519E-12,5.35627E-14,1.8976711,0.03283008,0.06228566,0.014364999,4.1640167,1.4942014E-12,4.9278615E-14,1.8078028,0.04375342,9.712381E-4,2.1954163E-4,0.6666667,4.692144,148.49959,3FGL J0009.3+5030,3FHL J0009.4+5030,NVSS J000922+503028,0.08271766,-0.46098366,-0.51481646,-0.4436469,-0.6030336,-0.55101514,AGN,bll,0
4FGL J0009.7-3217,0.6727207,-79.58928,7.188788,1941.9213,1.5854622E-10,2.878957E-11,1.7809407E-12,3.2120427E-13,4.3940956E-14,7.911868E-15,2.1454287,0.12836745,5.253848E-14,1.06705255E-14,2.0901954,0.18395445,0.12845568,0.10433852,1.4798275,5.0278917E-14,1.0006901E-14,1.8182477,0.3153031,0.0020341212,0.0019220422,0.6666667,1.4130726,15.285743,3FGL J0009.6-3211,,IC 1531,-0.8800698,0.9998189,-0.4720295,-0.72473025,-0.3973133,-0.99999607,AGN,rdg,0
4FGL J0009.8-4317,327.77505,-71.76617,10.615041,2124.034,2.0692376E-10,2.9457662E-11,2.2985062E-12,3.2696654E-13,4.685171E-14,6.6269927E-15,2.0651708,0.10823472,4.8496455E-14,7.971603E-15,2.046758,0.1232077,0.022229282,0.05756117,0.39822197,4.8543536E-14,7.500217E-15,1.9610726,0.1961333,4.7839107E-4,8.290876E-4,0.6666667,0.67794216,16.922379,,3FHL J0009.7-4319,SUMSS J000949-431654,0.9996603,-0.6025286,-0.512441,-0.6109618,-0.20934854,-0.9995643,AGN,bll,0
4FGL J0009.8+1340,107.75219,-47.971355,4.3865776,2446.3928,1.1838812E-10,3.1555175E-11,1.3377309E-12,3.7079758E-13,1.9970882E-14,5.319355E-15,2.1652951,0.19839297,2.46361E-14,7.9642984E-15,1.9495059,0.45761642,0.21887067,0.29830992,1.0791031,2.4449208E-14,7.705235E-15,1.2980076,0.83797175,0.004538142,0.004411801,0.6666667,1.2956945,10.738943,,,RX J0009.9+1341,0.9963938,-0.86354387,-0.582831,-0.37203237,-0.7122069,-0.9998007,AGN,bcu,0
4FGL J0010.6+2043,110.21874,-41.12827,5.650019,1386.2389,1.7261258E-10,3.4438032E-11,2.1226775E-12,4.1683185E-13,1.0691845E-13,2.0244514E-14,2.31787,0.14961761,1.1840626E-13,2.598593E-14,2.249444,0.20487434,0.08393108,0.11588864,0.8106672,1.1292412E-13,2.3697874E-14,2.141513,0.34786206,0.0011617348,0.0022688326,0.6666667,0.6511959,26.959314,,,TXS 0007+205,0.9937699,-0.51681966,-0.6943825,-0.6397762,-0.999752,0.9967195,AGN,fsrq,0
4FGL J0010.6-3025,10.263708,-80.482315,15.549888,735.7083,3.4923767E-10,3.6613886E-11,4.8907753E-12,4.0142615E-13,1.0815205E-12,8.8410114E-14,2.4560356,0.066498935,1.222906E-12,1.1867944E-13,2.3925977,0.09198754,0.106107526,0.05973913,2.040114,1.1770964E-12,1.1077351E-13,2.2005043,0.18206634,0.0030446646,0.002172687,0.6666667,1.8498825,91.594376,,,PKS 0008-307,0.014605773,-0.57178926,-0.6632103,-0.846694,-0.5830918,-0.9999959,AGN,fsrq,0
4FGL J0010.8-2154,60.28118,-79.400505,5.373616,1216.8711,1.1858327E-10,2.6714622E-11,1.534246E-12,3.3275794E-13,1.0259906E-13,2.0940277E-14,2.3778617,0.18326761,9.448026E-14,2.2346376E-14,2.4288561,0.15470818,-0.05275942,0.06161661,0.6962736,1.02492166E-13,2.149181E-14,2.3848865,0.24080807,-4.8473965E-5,9.5457083E-4,0.6666667,0.05364437,13.163711,,,PKS 0008-222,0.99603367,-0.4782088,-0.68945205,-0.6409936,-0.52018094,-0.624447,AGN,bcu,0
4FGL J0011.4-4110,330.75208,-73.720406,4.096958,746.64996,8.813913E-11,2.4898106E-11,1.4372186E-12,3.4361023E-13,2.9612678E-13,6.71322E-14,2.5804715,0.18308641,3.496387E-13,8.983489E-14,2.5198011,0.26279616,0.15830652,0.18671627,1.0063382,3.2993023E-13,8.498723E-14,2.2424846,0.4797227,0.0042924676,0.006002936,0.6666667,0.91285473,4.9725018,,,PMN J0011-4105,0.7368393,-0.73915875,-0.79110783,-0.64824104,-0.99964046,0.6274354,AGN,bcu,0
4FGL J0011.4+0057,102.407234,-60.302692,14.145285,1181.6992,4.2882067E-10,4.463101E-11,5.3419756E-12,5.0848903E-13,3.881936E-13,3.617369E-14,2.3342156,0.08108185,4.09098E-13,4.4695428E-14,2.2857835,0.108864665,0.047320575,0.058017768,0.84353405,4.1686554E-13,4.4053337E-14,2.0625453,0.22730602,0.0021053145,0.0017334975,0.6666667,1.5906515,71.97579,2FGL J0011.3+0054,,RX J0011.5+0058,-0.46836224,-0.6844149,-0.6825522,-0.4243361,-0.8740306,-0.999994,AGN,fsrq,0
4FGL J0011.8-3142,2.5585456,-80.23526,6.0288467,3338.3945,1.2288351E-10,2.7308142E-11,1.382106E-12,3.0288524E-13,1.1206882E-14,2.4541585E-15,1.9735353,0.16471277,1.2195253E-14,3.1274356E-15,1.9186677,0.22159815,0.06783949,0.1150808,0.66387033,1.1790252E-14,2.8995312E-15,1.7951508,0.37481338,6.4045785E-4,0.0013531348,0.6666667,0.6682252,20.387117,,,SUMSS J001141-314220,0.40856227,-0.8704807,-0.5781315,-0.31427428,-0.41365862,-0.57473737,AGN,bcu,0
4FGL J0012.0+7043,119.6611,8.111637,7.6966662,1832.2518,3.7565356E-10,5.4013558E-11,5.0084117E-12,8.836826E-13,1.2321958E-13,1.7670607E-14,2.4091682,0.11435696,1.2561068E-13,2.033427E-14,2.4050107,0.120379955,0.012992526,0.054403182,0.24992618,1.2537291E-13,2.5232107E-14,2.357184,0.12384678,3.07215E-4,0.0011679517,0.6666667,0.3993755,17.850988,3FGL J0012.4+7040,,TXS 0008+704,0.9802247,-0.72021985,-0.7204695,-0.64089274,-0.5467862,-0.9996062,AGN,bcu,0
4FGL J0013.1-3955,332.33987,-74.936165,18.347534,2175.2024,4.1848375E-10,3.7944693E-11,4.6749063E-12,4.3587781E-13,8.9358994E-14,8.035043E-15,2.0022683,0.067522354,1.0372072E-13,1.0884297E-14,1.9179044,0.09594044,0.11524172,0.05390513,2.4875875,1.0262653E-13,1.068909E-14,1.5953473,0.19458953,0.0022182325,0.0010895025,0.6666667,2.750766,12.1377325,3FGL J0013.2-3954,3FHL J0013.0-3956,PKS 0010-401,-0.93991286,0.44254082,-0.5231515,-0.4966849,-0.44742048,-0.9962501,AGN,bll,0
