Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing,Times in Testing_O,Flags
4FGL J1550.4-5354c,327.4324,0.22128148,-20.350404433426757,2.563181,0.4288089,0.21915418,2.2741132,0.99982834,0.020252008,0.009618528,-0.774396,-0.8412062,-0.50105184,-0.7445984,2.303294241488804,7.702652133952035,UNASS,None,PowerLaw,,,0.9876100089296919,0.012389991070291413,0.8958655229636482,0.10413447703635165,0.7968076457005566,0.20319235429944274,0.8474471255735883,0.15255287442641238,0.8267403960323112,0.1732596039676898,0.33963824756276906,0.6603617524372312,0.10457614590280935,0.8954238540971904,0.5230576472071264,0.47694235279287384,0,0,60
4FGL J1550.6+6027,93.4619,45.07481,-22.428540537818826,1.9567,0.106924,-0.077766836,1.2551243,-0.73340374,0.0500648,3.1528802E-4,-0.7376979,-0.20795555,-0.5435654,-0.4094399,2.829000954978065,8.222165915551514,UNASS,None,PowerLaw,3FGL J1550.4+6027,,0.9998901410609805,1.0985893900145351E-4,0.9990135789917599,9.86421008239265E-4,0.9991380956487003,8.61904351301818E-4,0.9991585321364529,8.414678635474344E-4,0.9998450051153279,1.5499488467195824E-4,0.9998115633636461,1.884366363533989E-4,0.9971176008285026,0.0028823991714959723,0.9993763548839875,6.236451160127657E-4,0,0,0
4FGL J1551.3-4920,330.42233,3.6836064,-21.73094049146996,2.598834,0.23313831,0.13521825,1.2826593,0.9990602,-0.4718811,0.0042228717,-0.8401879,-0.57520956,-0.9991113,0.9697823,1.7376267087730968,7.112885235327067,UNASS,None,PowerLaw,,,0.9928099785780938,0.007190021421887773,0.8730998933775506,0.12690010662244908,0.9809844224831211,0.01901557751688016,0.9731215338029782,0.02687846619702143,0.6571141227462274,0.34288587725377245,0.2150004798058165,0.7849995201941823,0.6722698294977092,0.32773017050229086,0.7109299888151166,0.28907001118488523,0,0,8
4FGL J1551.7-4257,334.53317,8.582413,-21.77463807653866,2.6244726,0.15588033,0.096581146,1.2608361,-0.7564521,-0.558851,0.0023196063,-0.7899671,-0.67393,-0.6743348,-0.9999695,2.458456833802985,6.900981085859218,UNASS,None,PowerLaw,,,0.9991665593938691,8.334406061376542E-4,0.9871796465457091,0.01282035345428914,0.996927344531165,0.0030726554688354636,0.9933950998720327,0.006604900127968263,0.9926399999402034,0.007360000059797088,0.8857010556912154,0.11429894430878393,0.9551107794810021,0.044889220518998116,0.9566770909220416,0.043322909077958674,0,0,0
4FGL J1551.9-6015,323.5966,-4.837719,-21.999025770205833,2.7484713,0.32719752,0.99988365,4.6200204,0.99861056,0.17940252,0.0018366172,-0.7948456,-0.9985741,0.80195796,-0.91570497,2.4837809330732976,6.650628146765872,UNASS,None,LogParabola,,,0.7291700608297639,0.270829939170249,0.8303716072028579,0.16962839279714195,0.9741338353710275,0.025866164628973103,0.7956875662861738,0.20431243371382596,0.08773592979332649,0.9122640702066748,0.2753978303441153,0.7246021696558851,0.38950208678684917,0.6104979132131503,0.5262553037720297,0.4737446962279705,0,0,2051
4FGL J1553.8-5325e,328.12726,0.27877477,-17.7561280157688,2.2197115,0.03037661,0.1067127,7.1586165,0.99997777,-0.19823349,2.2778152E-4,-0.50560105,-0.57575464,-0.6442944,-0.56804365,2.457900323040826,7.852759485034937,UNASS,None,LogParabola,3FGL J1554.4-5315c,,0.9493461370049991,0.050653862995012816,0.20403367124850288,0.7959663287514973,0.08136893910620703,0.9186310608937936,0.805098802634972,0.1949011973650277,0.9523637474076082,0.0476362525923923,0.005867483920327008,0.9941325160796732,0.0022998523735115687,0.9977001476264868,0.9066808142655449,0.09331918573445468,0,0,512
4FGL J1554.2+2008,33.57526,47.788612,-22.326525126443887,1.7788187,0.13887447,0.0909934,1.4674692,-0.99524355,-0.97662616,4.8447572E-4,0.9991868,-0.33377218,-0.768306,0.2390105,2.160724940915656,8.539979930446261,UNASS,None,PowerLaw,3FGL J1554.4+2010,,0.9988603156185787,0.0011396843814042172,0.9982639486771275,0.0017360513228720296,0.9974942336897735,0.002505766310227149,0.9919069323035719,0.008093067696427564,0.9963096045875923,0.0036903954124079593,0.9989340604143604,0.001065939585639212,0.9966379881545986,0.003362011845400222,0.9847944861829289,0.015205513817069853,0,0,0
4FGL J1555.2+7103,105.408806,39.204456,-22.671815195653668,2.279368,0.29492977,0.47308716,2.925852,-0.8503669,-0.2649005,0.005002225,-0.47943148,-0.6817653,-0.8969775,-0.9995501,1.8248217871789405,7.362700598836418,UNASS,None,PowerLaw,,,0.9953264222613128,0.00467357773869601,0.9219603311413673,0.07803966885863409,0.9247123257674984,0.07528767423250148,0.955194722390432,0.04480527760956869,0.98867370446847,0.011326295531529683,0.6323453818097036,0.36765461819029577,0.5823296523256231,0.41767034767437733,0.8369846981189143,0.16301530188108485,0,0,0
4FGL J1556.4-6911,318.14056,-11.981888,-22.247545609407606,2.2096388,0.24523625,0.4039212,2.8314767,0.33044055,0.9964449,0.0052493676,-0.4778844,-0.4124792,-0.93250924,-0.3256444,1.7842741070086114,7.549042794270502,UNASS,None,PowerLaw,,,0.993948052368984,0.006051947631002423,0.8369316130588512,0.16306838694114942,0.9344966015793559,0.06550339842064365,0.9672713358385034,0.03272866416149697,0.9697484837266623,0.030251516273337456,0.40392478372317875,0.5960752162768217,0.5588296705890495,0.44117032941095086,0.9058016959768769,0.09419830402312315,0,0,0
4FGL J1556.8-5242c,328.93124,0.53999096,-19.98269924078755,2.6039195,0.23258817,0.34929532,3.7306597,0.9984767,-0.5462825,0.0065802285,-0.6493073,-0.78367025,-0.85406,-0.9957865,1.7576958354522625,7.404537027563331,UNASS,None,LogParabola,,,0.13571648885081466,0.8642835111492024,0.5644032141560428,0.43559678584395695,0.24053847044468402,0.7594615295553149,0.6413103303398047,0.35868966966019616,0.19341578497605552,0.8065842150239446,0.05684919615075721,0.9431508038492427,0.008145411075335469,0.9918545889246645,0.205755694111512,0.7942443058884883,0,0,61
