GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
50.26514,-79.690834,-22.528385477130318,1.6560616,0.26736003,0.27816898,2.683634,-0.997901,0.99924535,0.0012630847,-0.17414077,-0.18504943,-0.035520542,-0.78427786,2.6271684359628336,8.789054066151818,bll,4FGL J0008.4-2339,PowerLaw,0.1497709,0.4924482,3FGL J0008.6-2340,RBS 0016,0.9926684,0.91516817,0
107.72407,-46.6767,-21.79247857877189,2.091194,0.15499178,0.1600625,2.1714606,0.9982614,0.12763087,0.0015910317,-0.42588946,-0.52930766,-0.5766764,-0.9999996,2.10204991057181,7.658058295600931,bcu,4FGL J0008.4+1455,PowerLaw,0.08949724,0.29107356,3FGL J0008.3+1456,NVSS J000825+145635,0.9917855,0.0,0
104.480736,-54.868298,-21.463501480391063,2.0990546,0.08882379,0.046000473,1.111143,0.98877126,-0.22092612,5.892951E-4,-0.62225765,-0.48536688,-0.55182934,-0.49851298,2.568481611699827,7.539831891431378,bll,4FGL J0009.1+0628,PowerLaw,0.04379162,0.12933274,3FGL J0009.1+0630,TXS 0006+061,0.9931449,0.86640173,0
116.12437,-11.803588,-19.755347294641435,1.9939121,0.03283008,0.06228566,4.1640167,0.08271766,-0.46098366,2.1954163E-4,-0.51481646,-0.4436469,-0.6030336,-0.55101514,5.000582197296182,7.182792136640716,bll,4FGL J0009.3+5030,LogParabola,0.014364999,0.04375342,3FGL J0009.3+5030,NVSS J000922+503028,0.9999694,0.92810774,0
0.6727207,-79.58928,-22.564974956287998,2.1454287,0.18395445,0.12845568,1.4798275,-0.8800698,0.9998189,0.0019220422,-0.4720295,-0.72473025,-0.3973133,-0.99999607,2.7269205639095015,7.571433122798381,rdg,4FGL J0009.7-3217,PowerLaw,0.10433852,0.3153031,3FGL J0009.6-3211,IC 1531,0.99067837,0.94048434,0
327.77505,-71.76617,-22.298670699684408,2.0651708,0.1232077,0.022229282,0.39822197,0.9996603,-0.6025286,8.290876E-4,-0.512441,-0.6109618,-0.20934854,-0.9995643,2.828636947131304,7.661072389766667,bll,4FGL J0009.8-4317,PowerLaw,0.05756117,0.1961333,,SUMSS J000949-431654,0.99851024,0.9318478,0
107.75219,-47.971355,-22.85705273635066,2.1652951,0.45761642,0.21887067,1.0791031,0.9963938,-0.86354387,0.004411801,-0.582831,-0.37203237,-0.7122069,-0.9998007,2.373876667105219,7.802369892070401,bcu,4FGL J0009.8+1340,PowerLaw,0.29830992,0.83797175,,RX J0009.9+1341,0.9967774,0.8974321,0
110.21874,-41.12827,-22.47997145465133,2.31787,0.20487434,0.08393108,0.8106672,0.9937699,-0.51681966,0.0022688326,-0.6943825,-0.6397762,-0.999752,0.9967195,3.2943288406165165,7.234349531418813,fsrq,4FGL J0010.6+2043,PowerLaw,0.11588864,0.34786206,,TXS 0007+205,0.96985173,0.0,0
10.263708,-80.482315,-21.77526842263802,2.4560356,0.09198754,0.106107526,2.040114,0.014605773,-0.57178926,0.002172687,-0.6632103,-0.846694,-0.5830918,-0.9999959,4.5173698724152755,6.600833708647041,fsrq,4FGL J0010.6-3025,PowerLaw,0.05973913,0.18206634,,PKS 0008-307,0.99674195,0.9643442,0
60.28118,-79.400505,-22.855405701709763,2.3778617,0.15470818,-0.05275942,0.6962736,0.99603367,-0.4782088,9.5457083E-4,-0.68945205,-0.6409936,-0.52018094,-0.624447,2.5774638770266742,7.104038171190666,bcu,4FGL J0010.8-2154,PowerLaw,0.06161661,0.24080807,,PKS 0008-222,0.9900694,0.95401853,0
330.75208,-73.720406,-23.152104527223734,2.5804715,0.26279616,0.15830652,1.0063382,0.7368393,-0.73915875,0.006002936,-0.79110783,-0.64824104,-0.99964046,0.6274354,1.603923093736875,6.615596480930652,bcu,4FGL J0011.4-4110,PowerLaw,0.18671627,0.4797227,,PMN J0011-4105,0.93391144,0.88084537,0
102.407234,-60.302692,-21.5699823030427,2.3342156,0.108864665,0.047320575,0.84353405,-0.46836224,-0.6844149,0.0017334975,-0.6825522,-0.4243361,-0.8740306,-0.999994,4.2763298124713485,7.074708681653965,fsrq,4FGL J0011.4+0057,PowerLaw,0.058017768,0.22730602,2FGL J0011.3+0054,RX J0011.5+0058,0.99867564,0.9197632,0
2.5585456,-80.23526,-22.81978428248402,1.9735353,0.22159815,0.06783949,0.66387033,0.40856227,-0.8704807,0.0013531348,-0.5781315,-0.31427428,-0.41365862,-0.57473737,3.0149031817498266,8.113245281780179,bcu,4FGL J0011.8-3142,PowerLaw,0.1150808,0.37481338,,SUMSS J001141-314220,0.0,0.85099846,0
119.6611,8.111637,-21.70235378025159,2.4091682,0.120379955,0.012992526,0.24992618,0.9802247,-0.72021985,0.0011679517,-0.7204695,-0.64089274,-0.5467862,-0.9996062,2.882058856833942,7.513300981204167,bcu,4FGL J0012.0+7043,PowerLaw,0.054403182,0.12384678,3FGL J0012.4+7040,TXS 0008+704,0.97765577,0.9222099,0
332.33987,-74.936165,-21.594383055904622,2.0022683,0.09594044,0.11524172,2.4875875,-0.93991286,0.44254082,0.0010895025,-0.5231515,-0.4966849,-0.44742048,-0.9962501,2.4963189889437625,7.684876996664471,bll,4FGL J0013.1-3955,PowerLaw,0.05390513,0.19458953,3FGL J0013.2-3954,PKS 0010-401,0.99866146,0.9994357,0
107.64184,-51.902443,-22.50538341892474,2.1515617,0.14281824,-0.06723811,0.7470528,-0.70172024,-0.79003656,9.973472E-4,-0.5812402,-0.33014557,-0.6775567,-0.18903436,2.5922454074342167,8.078232311361626,bcu,4FGL J0013.4+0950,PowerLaw,0.056608345,0.3741911,,1RXS J001328.4+094942,0.9979317,0.95954365,0
115.2578,-21.451033,-22.533070607672517,2.1912282,0.125686,-0.05117838,0.8209412,-0.83213615,-0.2558227,3.0009384E-4,-0.67766905,-0.5710642,-0.8586353,0.49964562,2.482016560834649,7.7213374866695315,agn,4FGL J0013.6+4051,PowerLaw,0.05129388,0.1602156,,4C +40.01,0.9970998,0.9888399,0
99.6602,-65.55318,-22.526679837152102,2.3075821,0.15297037,-0.06943933,0.897069,-0.882761,-0.60712713,3.2557902E-4,-0.81394285,-0.43385383,-0.40011236,-0.9999999,2.305702429049135,7.6010542480216285,fsrq,4FGL J0013.6-0424,PowerLaw,0.05404018,0.211341,,PKS 0011-046,0.9918854,0.95783323,0
74.58781,-78.09192,-21.935143872102213,1.9975508,0.11752892,0.037264645,0.6974277,-0.8395637,-0.15334669,6.610725E-4,-0.45917833,-0.45926666,-0.5496858,-0.44182596,1.478248917110853,7.823359375175959,bll,4FGL J0013.9-1854,PowerLaw,0.055545326,0.18017687,3FGL J0013.9-1853,RBS 0030,0.99950737,0.98459005,0
110.88994,-42.826824,-22.214405601972526,2.276216,0.1951286,0.1974029,2.0738826,-0.22796527,-0.45049578,0.00330977,-0.6108588,-0.59192926,-0.9306525,-0.9990277,3.6851981865554624,7.281590391407704,bll,4FGL J0014.1+1910,PowerLaw,0.12364888,0.42092597,2FGL J0013.8+1907,MG3 J001356+1910,0.9916659,0.8200502,0
317.45294,-65.69481,-22.07891507346525,2.0150008,0.13312161,0.03362283,0.5129989,0.97364044,-0.7979238,5.2120024E-4,-0.3927917,-0.5582394,-0.51264375,-0.5137554,0.7413293504144769,7.885557843690495,bll,4FGL J0014.1-5022,PowerLaw,0.06139799,0.17195363,3FGL J0014.0-5025,RBS 0032,0.999756,0.9081001,0
107.61855,-52.85195,-22.52473588157127,2.4726174,0.15705143,-0.036627624,0.43241048,-0.97572166,0.9992082,6.091653E-4,-0.6857422,-0.5994001,-0.99999696,0.99996555,2.24869632802172,7.109550977754327,bll,4FGL J0014.2+0854,PowerLaw,0.07113019,0.19990672,,MS 0011.7+0837,0.9983077,0.9370092,0
99.509476,-66.18239,-21.63755681965243,2.3695645,0.1206246,0.035951767,0.65076977,0.8615024,-0.4079027,0.0012335071,-0.77104783,-0.441135,-0.65951854,-1.0,3.0941988303915386,7.465577115892078,bcu,4FGL J0014.3-0500,PowerLaw,0.05683157,0.21797799,3FGL J0014.3-0455,GALEXASC J001420.46-045929.1,0.9956731,0.8810071,0
118.074745,-4.4981065,-22.227617781407453,1.7209659,0.17107075,0.17607784,2.0137968,-0.9962467,0.9973335,5.025283E-4,-0.30460748,0.05819872,-0.3259488,-0.4858182,2.6919414829154693,9.16155823777451,bll,4FGL J0014.7+5801,PowerLaw,0.09522893,0.2670285,3FGL J0014.7+5802,1RXS J001442.2+580201,0.9999288,0.9859474,0
118.5573,-1.257189,-20.958119686949,2.0499325,0.106652595,0.1399983,2.553188,-0.8563634,-0.039780136,7.6969777E-4,-0.6148493,-0.39928746,-0.47377905,-0.75293636,1.8158574335054432,8.27441906500402,bcu,4FGL J0014.8+6118,PowerLaw,0.060096458,0.2170094,3FGL J0014.6+6119,4C +60.01,0.9992715,0.9976481,0
114.00973,-30.021877,-21.77052915227707,2.6099987,0.08653521,0.14044356,2.2762253,0.9569795,-0.5808482,0.0035431685,-0.8015831,-0.7657342,-0.9989744,0.9801637,3.8390518022922397,6.345082611046253,bcu,4FGL J0014.9+3212,PowerLaw,0.06683185,0.21111426,,3C 6,0.96470517,0.96670157,0
114.71823,-26.677507,-22.99999363000812,1.926888,0.16159168,-0.040807247,0.57051593,-0.04364697,0.045969866,4.3270626E-4,-0.7826726,-0.48458856,-0.30437365,-0.3447078,2.0008521950736053,8.611071437401595,bll,4FGL J0015.2+3537,PowerLaw,0.06104151,0.27550164,,RX J0015.4+3536,0.99849707,0.91047436,0
117.8881,-6.6570644,-21.733959285494134,1.8762323,0.09850756,-0.0041418197,0.08676214,0.9997699,-0.41584232,2.2380576E-4,-0.5924068,-0.41114298,-0.43133068,-0.29123342,2.3379487619218247,8.647593361877345,bll,4FGL J0015.6+5551,PowerLaw,0.042473245,0.13378055,3FGL J0015.7+5552,GB6 J0015+5551,0.99993026,0.98932874,0
112.76397,-37.48992,-22.11564740759064,2.2468426,0.09474082,-0.0690817,1.5943102,-0.60892814,-0.7739449,3.6072196E-4,-0.68970186,-0.40922195,-0.7135571,-0.23165438,2.8411947605831056,7.471825929266809,bll,4FGL J0015.9+2440,PowerLaw,0.033436503,0.15244439,,GB6 J0016+2440,0.9978396,0.8603775,0
104.012276,-61.85269,-21.59833055992511,2.7406797,0.07610237,0.18483016,4.1252146,0.10687364,-0.6873954,0.0036195575,-0.7782242,-0.9594848,-0.5014087,-0.9917287,4.4083716008879925,5.919811819910513,fsrq,4FGL J0016.2-0016,LogParabola,0.05438087,0.18022117,3FGL J0016.3-0013,S3 0013-00,0.997477,0.97896254,0
111.096794,-45.029816,-22.6134583390125,2.6018126,0.2814636,0.29727963,2.1405456,-0.7067928,-0.64665174,0.0066781626,-0.653852,-0.8680669,-0.9998937,0.9989445,2.7592837270369954,6.297824956990646,fsrq,4FGL J0016.5+1702,PowerLaw,0.18108752,0.46576402,3FGL J0016.5+1713,GB6 J0015+1700,0.80752254,0.0,0
99.46171,-68.12262,-21.67043344083455,2.2981074,0.09126713,0.031068914,0.7001219,0.99347293,-0.5355643,7.6528784E-4,-0.6886256,-0.5284827,-0.72534674,-0.4279373,3.2764660121472473,7.145044151839484,bcu,4FGL J0017.0-0649,PowerLaw,0.045736376,0.13169561,3FGL J0017.2-0643,PMN J0017-0650,0.9970226,0.9240779,0
101.209854,-66.667816,-21.000074572303138,2.563,0.057559416,0.10512555,3.1402748,0.25573534,-0.64186424,0.001607263,-0.7555741,-0.79518634,-0.54521,-0.9999995,5.438757557121745,6.722372180448269,FSRQ,4FGL J0017.5-0514,LogParabola,0.03735587,0.11277906,3FGL J0017.6-0512,PMN J0017-0512,1.0,0.93868506,0
110.96526,-47.16783,-22.167400689173956,2.192974,0.22735922,0.19641905,1.7150996,0.9996944,-0.599508,0.006904991,-0.5049534,-0.53039414,-0.69415236,-0.7519606,2.6546560347611226,7.3627873288549655,bll,4FGL J0017.8+1455,PowerLaw,0.17512438,0.8204185,,GB6 J0017+1450,0.9556661,0.0,0
114.44117,-32.54827,-22.05756906722326,1.698466,0.13411729,0.10504266,1.7806312,0.98348415,-0.7276278,4.0131956E-4,-0.16339688,-0.2550024,-0.5445473,0.06417358,1.562601681094005,8.646080321127881,bll,4FGL J0018.4+2946,PowerLaw,0.06346696,0.18521589,3FGL J0018.4+2947,RBS 0042,0.9997198,0.98570234,0
311.75082,-59.890987,-21.96040081118569,2.204823,0.102056146,0.039407466,0.8072444,-0.14147468,-0.30710596,0.0012304279,-0.68318146,-0.44240114,-0.7245673,-0.9912672,4.511045752908178,7.279309318127952,bcu,4FGL J0019.2-5640,PowerLaw,0.051492866,0.19192521,3FGL J0019.1-5645,PMN J0019-5641,0.9977795,0.91748077,0
304.31436,-35.16209,-21.212746314560043,2.1124363,0.07578304,0.041055746,1.1407557,-0.58215064,-0.5642268,5.327315E-4,-0.5465431,-0.5113491,-0.52625775,-0.779203,2.96733105005957,7.576360863048206,bll,4FGL J0019.3-8152,PowerLaw,0.037742283,0.115620516,3FGL J0018.9-8152,PMN J0019-8152,0.9998258,0.9766397,0
120.63282,10.72648,-20.619761863597244,2.6243196,0.056082763,0.07415682,2.4712949,0.9928982,-0.5328598,0.001126805,-0.78729296,-0.65499556,-0.98937947,-0.9952977,5.764909119457615,6.897308096718747,fsrq,4FGL J0019.6+7327,PowerLaw,0.03186825,0.11218189,,S5 0016+73,0.99985063,0.99271715,512
112.90082,-41.875835,-21.871104588948594,2.1648295,0.12325742,0.118588634,1.7909195,0.9996886,-0.04197452,0.0022684927,-0.5912464,-0.6203103,-0.7835602,-0.32596222,2.7709087493752707,7.433340364045079,bll,4FGL J0019.6+2022,PowerLaw,0.08340289,0.2879556,3FGL J0019.4+2021,PKS 0017+200,0.9986458,0.9856926,0
120.17927,6.6266775,-22.093381619906573,2.5546942,0.22421771,0.189935,1.8183477,0.97605556,-0.19366726,0.0030835469,-0.61478865,-0.7922897,-0.99999744,0.9414829,0.6185497040031048,7.182104892879314,bcu,4FGL J0020.3+6919,PowerLaw,0.12676214,0.33323866,,TXS 0016+691,0.86617506,0.8231986,8
108.237045,-58.623074,-22.61682071770813,1.8674644,0.25475124,0.14454672,1.3273243,0.50898767,-0.5643468,0.0012912356,-0.6387603,-0.24561094,-0.4121958,-0.6992903,2.8642047575412426,8.36690388023353,bcu,4FGL J0021.0+0322,PowerLaw,0.13326305,0.42717397,3FGL J0020.9+0323,2MASS J00205023+0323578,0.89689606,0.0,0
