GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
308.52026,-61.256878,-24.162045684821468,1.3985571,0.3741302,0.103745095,0.42594868,-0.84182394,-0.98536736,7.551322E-4,0.85680073,-0.15844668,-0.9971966,0.9964225,2.6424270742146367,10.467461828448503,,4FGL J0032.3-5539,PowerLaw,0.22752878,0.953716,,,0.0,0.0,0
121.13443,1.8261667,-21.308171787094427,2.4277017,0.15504816,0.15892236,2.1845102,0.99889475,-0.22982882,0.0022607548,-0.7140629,-0.689199,-0.6589443,-0.9999955,2.316355790212906,7.559241519455387,,4FGL J0034.6+6438,PowerLaw,0.09372193,0.34943226,,,0.0,0.0,0
100.58408,-79.825195,-23.217733608939092,1.7723575,0.29486796,0.07908534,0.63586444,0.9990171,-0.8651392,9.5736404E-4,-0.43693557,-0.18748175,-0.52123064,-0.27001277,0.9878140524060625,8.681206079402092,,4FGL J0035.2-1739,PowerLaw,0.14010932,0.45488468,,,0.0,0.0,0
36.389965,-86.83259,-23.254458582302163,2.3432388,0.63978976,0.99663347,1.5991244,0.9984971,-0.65007794,0.0034273851,-0.4919031,-0.37675664,-0.9999725,-0.23161478,1.873907282687725,7.534119715352086,,4FGL J0037.2-2653,PowerLaw,0.1596801,0.0075552347,,,0.0,0.0,4352
121.53531,0.12189149,-20.038955486411847,2.3402355,0.12032628,0.5618268,8.308322,-0.5410787,-0.4203886,0.0016214728,-0.1946725,-0.64955246,-0.97542274,-0.92584616,2.1121903959216906,7.358786757240761,,4FGL J0039.1+6257,LogParabola,0.100593604,0.20237464,3FGL J0039.3+6256,,0.0,0.0,0
120.615395,-20.753937,-22.690827313491546,2.3676662,0.17574415,0.022996852,0.29128262,-0.43607685,-0.2051776,0.0015534045,-0.81486636,-0.5603058,-0.50781053,-1.0,2.645063399868797,7.445431575295015,,4FGL J0039.7+4203,PowerLaw,0.08826954,0.28487,,,0.0,0.0,0
25.413816,-87.495476,-23.090211866847042,2.540147,0.16694386,-0.05200459,0.6238613,0.9999986,-0.83866936,0.0018401649,-0.7117552,-0.41394618,-0.99998635,-0.08224542,1.6164188886189084,7.104452344569264,,4FGL J0040.2-2725,PowerLaw,0.068403214,0.34892288,,,0.74,0.0,0
304.10223,-45.138298,-22.41818446207104,2.0501628,0.21942602,0.3325937,2.3002222,0.625856,-0.976728,0.0023995575,0.80295134,-0.53177667,-0.7002696,-0.6484657,1.600977564405013,8.052040911323205,,4FGL J0040.7-7157,PowerLaw,0.18363231,0.47363,,,0.0,0.0,0
117.25753,-76.21324,-23.16965242282465,1.9596733,1.0975515,0.8808003,1.631531,-0.95346636,0.9997882,0.008630181,-0.88327533,0.17294449,-0.68796015,-0.9998141,2.292968703376296,8.223465950363007,,4FGL J0045.8-1324,PowerLaw,0.6759754,2.3048387,,,0.0,0.0,0
112.1175,-83.1215,-22.708453319957933,1.9733977,0.19521876,0.043517172,0.560286,-0.9654646,0.9986172,0.0011381657,-0.5759709,-0.5001584,-0.3148314,-0.82281464,2.3159388335930675,8.057048134358526,,4FGL J0045.9-2021,PowerLaw,0.087020285,0.3424041,,,0.0,0.0,0
