Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_4FGL,Category_3FGL,CLASS_3FGL,Flags,ASSOC_FGL
3FGL J0112.9-7506,301.0738,-41.94519,-26.434413425360255,-27.97391940421112,-3.0862578821082396,3.6784767361362145,2.1721508502960205,-0.7343473323047949,-0.698580464613628,-0.5521213409043308,-0.4059362319461393,AGN,UNAS,None,0,3FGL J0112.9-7506
3FGL J0127.6+4851,129.05373,-13.57893,-26.120579033737485,-27.673130769127315,-1.783416814119543,4.204564505679566,2.4481723308563232,-0.5518522621228569,-0.7083981567765543,-0.6338109881565702,-0.7665191891288293,AGN,UNAS,None,0,3FGL J0127.6+4851
3FGL J0138.5-4612,279.95227,-68.76349,-26.342062467657062,-27.957480446642087,-0.5641880963143303,3.6933890194102976,2.0609827041625977,-0.29989520611084197,-0.5478038886600485,-0.5488685059004542,-0.5851529309987537,AGN,UNAS,None,0,3FGL J0138.5-4612
3FGL J0158.6+0102,155.5121,-57.513157,-26.191634824855793,-27.770433571175833,0.3455815344829678,3.7890877408475756,2.5585057735443115,-0.7249082688828892,-0.9349736098443433,-0.028509537719664458,-0.2902053765254937,AGN,UNAS,None,0,3FGL J0158.6+0102
3FGL J0200.3-4108,262.05765,-70.08185,-26.43688569739518,-27.920167937530447,-0.6872598703005195,3.8462885383123977,1.8781707286834717,-0.9888026564481267,0.8269761349571996,-0.47471885160480776,-0.6231220575817921,AGN,UNAS,None,0,3FGL J0200.3-4108
3FGL J0216.0+0300,160.32379,-53.597607,-26.653053154491076,-27.893684452068488,-0.8398752926939451,3.6270176046538483,2.013767719268799,-0.8230451519042479,-0.5049686021907196,-0.3758665293178283,-0.6005503627197641,AGN,UNAS,None,0,3FGL J0216.0+0300
3FGL J0216.4+0507,158.6026,-51.753777,-26.463472725387728,-27.876963793951983,0.15101239547413606,3.9011666345143925,2.24003005027771,-0.5944720849349635,-0.2955960075724205,-0.8909999889551924,-0.3864808989040241,AGN,UNAS,None,0,3FGL J0216.4+0507
3FGL J0221.2+2518,147.33334,-33.273746,-26.300095061598235,-27.762214362721487,-0.18511253730700888,3.6385254390208,1.9356745481491089,-0.9621526475639446,0.5226030796009119,-0.364473908158513,-0.6485734538972411,AGN,UNAS,None,0,3FGL J0221.2+2518
3FGL J0224.1-1846,196.45181,-67.122475,-26.07990414826405,-27.88268344400521,-0.21116970915448327,3.720782951590383,2.4003536701202393,-0.5728396901259544,-0.8119210564867583,-0.33077708144904766,-0.7621781041342908,AGN,UNAS,None,0,3FGL J0224.1-1846
3FGL J0224.4+1615,153.12524,-41.091526,-26.303444130609847,-27.66363415391243,-1.0051141377284951,3.9618117582210473,2.261836051940918,-0.6559865188647604,-0.6811092103261182,-0.5994235176491967,-0.4252539113965246,AGN,UNAS,None,0,3FGL J0224.4+1615
