Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags
-26.601143448158055,-25.648406209927362,2.5215013,1.9025685714501044,4.35129296728603,0.18119545,-0.46823165,-0.66557807,-0.8176814,0.00535545,OTHER,spp,3FGL J1638.6-4654,LogParabola,1982.7982,,0
-31.353931819658726,-25.817040152527646,1.858322,-1.3867302256529899,3.634480394496728,0.89027447,-0.5696724,-0.5721027,-0.32406238,-0.020029241,OTHER,spp,3FGL J1640.4-4634c,PowerLaw,12843.685,,32
-27.152725441301442,-25.607861142270725,2.3755996,-0.24523793545402145,3.674611314637217,-0.6660917,-0.8483191,-0.4218384,-0.7027347,0.060354102,OTHER,spp,3FGL J1641.1-4619c,PowerLaw,1759.4744,,36
-26.346989368376136,-26.901401164086053,2.7149,0.9580432320604065,3.5979435243373312,-0.4304335,-0.89185864,-0.7875072,-0.9997931,-5.765146,OTHER,spp,3FGL J1645.9-5420,PowerLaw,608.825,,16
-26.695682165258464,-27.014281895467093,2.0659773,1.8073034843228157,3.848630393241266,-0.3149025,-0.5261133,-0.6799173,-0.7988968,7.3104925,OTHER,glc,3FGL J1701.2-3006,LogParabola,1266.4102,M62,0
-30.83652486970788,-25.853999731963988,1.6235359,0.672603958408558,3.682052116012859,0.26785427,-0.6803512,-0.2545265,-0.12497361,-0.4728954,OTHER,SNR,3FGL J1713.5-3945e,PowerLaw,14166.48,RX J1713.7-3946,4
-24.913156210461725,-25.66355699466622,2.243362,1.6637663661881867,4.2307689967464395,-0.46950474,-0.58272535,-0.6170255,-0.9073285,0.07697307,OTHER,snr,3FGL J1714.5-3832,LogParabola,1113.7568,CTB 37A,0
-26.515334043588343,-26.804525427711237,2.4893813,1.081364378699352,3.98256333417733,-0.5835012,-0.75474054,-0.6198644,-0.9999936,5.722799,OTHER,glc,3FGL J1716.6-2812,PowerLaw,809.012,NGC 6316,0
-28.637773630689992,-26.032377723049766,2.1343594,0.17257328215982504,3.7277336324055517,-0.7198329,-0.6213248,-0.49319828,-0.58166254,0.16170193,OTHER,snr,3FGL J1718.0-3726,PowerLaw,3397.181,SNR G349.7+00.2,4
-27.945424185820123,-26.688404270980946,2.5115986,0.32101790546688047,3.7099334911471633,-0.60158753,-0.8065348,-0.39163014,-0.9999916,-5.1674995,OTHER,spp,3FGL J1722.9-4529,PowerLaw,1268.2042,,1
-26.394256366342447,-26.525731383901878,2.6000779,1.1913328402293308,4.020734391731758,-0.6484468,-0.96083444,-0.3753156,-0.11241324,3.9976633,OTHER,spp,3FGL J1725.1-2832,PowerLaw,772.94617,,513
-28.644832450512794,-26.987224109786116,2.3268895,0.343811588287251,3.7301811004285783,-0.7968445,-0.4880588,-0.5124502,-0.89864373,-6.252981,OTHER,spp,3FGL J1728.0-4606,PowerLaw,1663.3168,,0
-25.146001574922575,-26.67440811526368,2.6920033,1.8094535138857082,3.9211026776215587,-0.20910525,-0.8365215,-0.8922596,-0.9998756,3.2665544,OTHER,spp,3FGL J1729.5-2824,LogParabola,650.7375,,2329
-26.13917258002368,-27.032518337137606,2.3757675,1.19961842140228,3.8493994789443895,-0.67797375,-0.523537,-0.6970055,-0.9731425,-6.7336917,OTHER,glc,3FGL J1736.2-4444,PowerLaw,826.98785,NGC 6388,512
-29.289295879297484,-26.11353284402655,2.142717,1.2347326720407192,4.038187162308492,-0.18911512,-0.7566326,-0.5557504,-0.7135542,-0.2434729,OTHER,spp,3FGL J1737.3-3214c,PowerLaw,3345.9114,,36
-26.69017405573721,-26.014933790899768,2.4812584,2.011863432527035,4.274405370631676,0.63054967,-0.45847696,-0.67463505,-0.95169014,-0.20572838,OTHER,snr,3FGL J1741.1-3053,LogParabola,1871.6743,MSH 17-39,4
-24.985228782242316,-25.498938688708847,2.720565,2.237542497892434,4.0889600789564025,-0.5900777,-0.60994786,-0.9141809,-0.6801188,-0.5787976,OTHER,spp,3FGL J1745.1-3011,LogParabola,1135.2062,,20
-26.43825447415334,-24.4004010452621,2.3217735,0.2686719217144097,4.223225948012447,-0.7390046,-0.68623245,-0.48663518,-0.6835484,-0.039297067,OTHER,spp,3FGL J1745.6-2859c,PowerLaw,2545.4705,,544
-26.392478942783246,-24.715495375954863,2.4289012,2.2350618771289112,4.044149564995911,0.92160136,-0.33983308,-0.6533861,-0.82222444,-0.10315697,OTHER,pwn,3FGL J1746.3-2851c,LogParabola,2933.66,PWN G0.13-0.11,48
-25.44785171776443,-26.141716550034623,2.0920227,2.2453754038204106,4.323004081882802,-0.23158383,-0.47418985,-0.6544078,-0.9094432,1.6885995,OTHER,glc,3FGL J1748.0-2447,LogParabola,1280.3826,Terzan 5,0
-24.932196419985136,-26.517430272837593,2.63544,0.4952769916664302,3.8173020989896473,-0.6184555,-0.79674983,-0.6398424,-0.95089775,3.791172,OTHER,glc,3FGL J1748.9-2021,PowerLaw,598.3107,NGC 6440,0
-27.218134213030723,-26.913517358970356,2.3378122,0.9839172757682524,3.676056694671279,-0.5661407,-0.65703297,-0.6788159,-0.8916788,-5.0206733,OTHER,glc,3FGL J1750.2-3704,PowerLaw,1128.9801,NGC 6441,0
-24.66394677633159,-25.424299788765644,2.3350856,2.751204921918363,4.607184604658346,-0.2704188,-0.5957562,-0.6635474,-0.77652854,-0.2512975,OTHER,SNR,3FGL J1801.3-2326e,LogParabola,1813.1833,W28,0
-26.913533759867537,-25.475499815495418,2.1913302,1.7564075608576908,4.480947747283654,-0.29026026,-0.5328302,-0.5925072,-0.627686,-0.21079257,OTHER,SNR,3FGL J1805.6-2136e,LogParabola,3469.0142,W30,0
