Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,CLASS_4FGL,ASSOC_FGL,ASSOC1,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,Flags_4FGL,Missing_Values_Flag,Category_Prob
4FGL J1427.8-6051,0.970857118,-0.14765339,-23.5980498,-25.8994036,7.54380345,2.7470639,0.08187712,0.1700888,4.5557003,1.54820356,0.12626444,0.37042236,-0.7454088,-0.8371787,-0.6731988,-0.5205366,UNAS,None,2FGL J1427.6-6048c,,0.733685628,0.263609892,0.266314372,0.263609892,0.210367475,0.143112753,0.789632525,0.143112753,0.512311862,0.091969817,0.487688138,0.091969817,0.209486717,0.058265103,0.790513283,0.058265103,0.382457571,0.257372472,0.617542429,0.257372472,0.0164927425,0.0231098721,0.983507257,0.0231098721,0.479100011,0.0918782051,0.520899989,0.0918782051,0.00487628744,0.00310067339,0.995123713,0.00310067339,516,0,MIXED
4FGL J1429.8-0739,0.0104427247,47.846813,-27.4006387,-28.9885991,7.33614505,2.166705,0.3149308,0.8901902,3.9196222,2.21931904,0.9301842,0.9984318,-0.42424512,-0.651075,-0.9363069,-0.9923479,UNAS,None,,,0.622037733,0.172587751,0.377962267,0.172587751,0.624152212,0.205699165,0.375847788,0.205699165,0.790734156,0.0654441323,0.209265844,0.0654441323,0.558147291,0.0772364934,0.441852709,0.0772364934,0.261027555,0.180193784,0.738972445,0.180193784,0.206024705,0.196064091,0.793975295,0.196064091,0.261203971,0.128096755,0.738796029,0.128096755,0.131370591,0.0517940897,0.868629409,0.0517940897,0,0,MIXED
4FGL J1431.0-4432,0.843312278,14.808187,-26.3534193,-28.1352932,7.50833399,2.0937598,0.29642835,0.16357099,1.1809862,3.09853749,-0.11954216,-0.8072273,-0.6303265,-0.36744162,-0.85365707,-0.99822605,UNAS,None,3FGL J1430.8-4434,,0.998772099,0.00103293127,0.00122790055,0.00103293127,0.996594899,0.00596529909,0.00340510058,0.00596529909,0.99314821,0.00637146,0.00685179043,0.00637146,0.998962959,0.000341414669,0.00103704064,0.000341414669,0.998722306,0.00116523569,0.00127769369,0.00116523569,0.978586635,0.0381759973,0.021413365,0.0381759973,0.983996158,0.0144741053,0.0160038419,0.0144741053,0.99608875,0.001751719,0.0039112504,0.001751719,0,0,AGN
4FGL J1431.5-6627,0.117498909,-5.509307,-26.2647594,-27.6936939,6.97306377,2.448922,0.24509677,0.21960847,2.0326173,1.39097143,0.9133535,-0.52326196,-0.75836337,-0.67240006,-0.99999344,0.6579849,UNAS,None,,,0.991426532,0.00741861375,0.00857346773,0.00741861375,0.921241405,0.0954287014,0.0787585946,0.0954287014,0.966449997,0.0166703621,0.0335500034,0.0166703621,0.951299776,0.0149162498,0.0487002245,0.0149162498,0.970813027,0.0265042962,0.0291869727,0.0265042962,0.389712844,0.277774504,0.610287156,0.277774504,0.756015075,0.0804919454,0.243984925,0.0804919454,0.512577083,0.10869781,0.487422917,0.10869781,8,0,MIXED
4FGL J1433.8-6357,0.962135357,-3.2903292,-26.8820378,-28.6550877,7.52663993,2.0902996,0.35688373,0.99995005,3.7263317,2.15177567,0.95836985,0.9966102,0.063261405,-0.7334142,-0.9357741,-0.99992204,UNAS,None,,,0.660540838,0.203777251,0.339459162,0.203777251,0.627881821,0.232086986,0.372118179,0.232086986,0.833890342,0.052126985,0.166109658,0.052126985,0.38509733,0.097297771,0.61490267,0.097297771,0.245853429,0.173744738,0.754146571,0.173744738,0.194465524,0.20080025,0.805534476,0.20080025,0.328880787,0.134702096,0.671119213,0.134702096,0.105364677,0.053137331,0.894635323,0.053137331,2056,0,MIXED
4FGL J1436.4+3900,0.528326195,65.12192,-27.6479745,-28.9194012,8.18895066,1.989181,0.24042557,0.034403436,0.30655774,2.15032394,-0.8569279,0.62997323,-0.44844544,-0.67261815,-0.33970758,-0.3076926,UNAS,None,,,0.999692547,0.000214018809,0.000307452571,0.000214018809,0.998634871,0.00165623555,0.00136512888,0.00165623555,0.997275673,0.00225044393,0.00272432701,0.00225044393,0.998509226,0.000557216395,0.00149077357,0.000557216395,0.999491646,0.00043976212,0.000508353856,0.00043976212,0.994356261,0.00810182898,0.00564373866,0.00810182898,0.996431419,0.00479045017,0.00356858075,0.00479045017,0.992117578,0.00450775363,0.00788242216,0.00450775363,0,0,AGN
4FGL J1438.0+0219,0.127287279,54.423267,-27.3038067,-28.6484574,7.55137903,2.168779,0.2806805,0.16828714,0.9795238,3.08036493,-0.9158583,0.9990104,-0.73533726,-0.54571736,-0.64567244,-0.99542487,UNAS,None,,,0.999864217,0.000108819434,0.000135782828,0.000108819434,0.998182878,0.00220001904,0.00181712208,0.00220001904,0.997027636,0.00248842065,0.00297236362,0.00248842065,0.999379953,0.000239460795,0.000620046857,0.000239460795,0.999898129,0.000104844294,0.000101871418,0.000104844294,0.991405171,0.0152827857,0.00859482883,0.0152827857,0.993511607,0.00734351378,0.00648839278,0.00734351378,0.996957728,0.0018518089,0.0030422721,0.0018518089,0,0,AGN
4FGL J1439.2-5142,0.494444528,7.6825876,-26.0122455,-27.6757803,6.98143335,2.386075,0.25112623,0.1878216,1.6258112,1.86730173,0.033992894,-0.7261498,-0.6146491,-0.7709225,-0.9999973,0.30269992,UNAS,None,,,0.98762312,0.0140422638,0.0123768802,0.0140422638,0.973583466,0.038623133,0.0264165341,0.038623133,0.960268127,0.0209185449,0.0397318733,0.0209185449,0.982667927,0.0056358162,0.0173320733,0.0056358162,0.923046964,0.0614054504,0.0769530363,0.0614054504,0.733179699,0.224600117,0.266820301,0.224600117,0.748415433,0.088531382,0.251584567,0.088531382,0.820593263,0.066596494,0.179406737,0.066596494,0,0,AGN
4FGL J1441.4-1934,-0.830520983,36.23165,-26.9417965,-28.4836904,8.58901455,1.3371314,0.33124122,0.5013011,3.5647383,1.31089313,0.11518095,-0.72580105,0.3841098,0.063710935,-0.1822029,-0.99973035,UNAS,None,,,0.985261489,0.0723725523,0.0147385111,0.0723725523,0.915639766,0.112034643,0.0843602338,0.112034643,0.969826821,0.018764478,0.0301731792,0.018764478,0.960688149,0.0156779547,0.0393118513,0.0156779547,0.990055432,0.0108635675,0.0099445678,0.0108635675,0.634009705,0.303744129,0.365990295,0.303744129,0.952215605,0.0304521791,0.0477843951,0.0304521791,0.820550048,0.0914994585,0.179449952,0.0914994585,0,0,AGN
4FGL J1442.0+0732,0.267467609,57.280407,-26.8652898,-28.4345621,7.29909992,2.1727672,0.25001186,0.33248284,1.9492278,1.70732117,0.98913544,-0.6153305,-0.55004036,-0.61212194,-0.8241425,-0.9930101,UNAS,None,,,0.984876653,0.0213710146,0.0151233471,0.0213710146,0.934818536,0.0898149059,0.0651814638,0.0898149059,0.935207516,0.0289463368,0.0647924843,0.0289463368,0.850550417,0.0354173459,0.149449583,0.0354173459,0.961678702,0.0442153899,0.0383212978,0.0442153899,0.594502734,0.294279662,0.405497266,0.294279662,0.860755884,0.0498011083,0.139244116,0.0498011083,0.430007244,0.0900637894,0.569992756,0.0900637894,0,0,MIXED
4FGL J1442.1-2800,-0.565240655,28.798138,-26.487682,-28.2562407,6.47783681,2.4235563,0.17631227,0.373229,3.464127,1.39350928,0.49423775,-0.46268186,-0.707601,-0.9603591,-0.9992056,-0.95198566,UNAS,None,,,0.964721452,0.0649414788,0.0352785476,0.0649414788,0.599968422,0.211751436,0.400031578,0.211751436,0.906093199,0.0340624062,0.0939068011,0.0340624062,0.70869133,0.0570242354,0.29130867,0.0570242354,0.816112832,0.167403787,0.183887168,0.167403787,0.134334684,0.162564444,0.865665316,0.162564444,0.613885321,0.107093433,0.386114679,0.107093433,0.113957595,0.0424355875,0.886042405,0.0424355875,0,0,MIXED
4FGL J1442.1-3707,0.88976971,20.676563,-26.8101356,-28.518265,8.10664696,1.9068223,0.19145414,0.13615137,1.6093556,2.13933662,0.99749434,-0.59313333,-0.5201931,-0.3604987,-0.51871586,-0.7091683,UNAS,None,,,0.999643881,0.000216698042,0.000356119446,0.000216698042,0.994420597,0.00733782545,0.00557940333,0.00733782545,0.997198051,0.00468543261,0.00280194888,0.00468543261,0.99553569,0.00107310498,0.00446431,0.00107310498,0.998862241,0.000840608052,0.00113775865,0.000840608052,0.972479002,0.0450063442,0.0275209984,0.0450063442,0.996936419,0.00464043261,0.00306358065,0.00464043261,0.977708058,0.0080585849,0.0222919421,0.0080585849,0,0,AGN
4FGL J1443.7-7037,-0.510476666,-9.76541,-26.0406911,-28.0614087,7.36225923,2.2607186,0.13490213,0.12693226,1.8715845,2.60634736,0.99633324,-0.5865588,-0.6407606,-0.521739,-0.77309406,-0.9999983,UNAS,None,3FGL J1444.0-7033,,0.997607832,0.00542528734,0.00239216778,0.00542528734,0.996089897,0.00631825104,0.00391010322,0.00631825104,0.995138103,0.00597901766,0.00486189714,0.00597901766,0.992441671,0.00194853471,0.00755832931,0.00194853471,0.969856401,0.0311668988,0.0301435992,0.0311668988,0.984214203,0.0298023921,0.0157857969,0.0298023921,0.956190279,0.0316897571,0.0438097212,0.0316897571,0.958795567,0.0125626966,0.041204433,0.0125626966,0,0,AGN
4FGL J1444.1+7601,0.193209127,39.189945,-27.6084581,-28.9649011,7.57941757,2.0055034,0.31799802,0.21300966,0.96902394,1.87982748,-0.9580568,0.9995477,-0.3166918,-0.62546504,-0.5998535,-0.9997192,UNAS,None,,,0.998630843,0.000972984556,0.00136915707,0.000972984556,0.996809299,0.00442772314,0.0031907005,0.00442772314,0.991782021,0.00552666569,0.008217979,0.00552666569,0.991381657,0.00242365724,0.00861834299,0.00242365724,0.998151121,0.0015697466,0.0018488793,0.0015697466,0.987674815,0.0208804761,0.0123251853,0.0208804761,0.973448203,0.0181256398,0.0265517965,0.0181256398,0.960492995,0.0157006711,0.0395070046,0.0157006711,0,0,AGN
4FGL J1444.8+3645,0.641982567,64.21431,-27.0359743,-28.4462985,6.86758945,1.7838836,0.6272132,0.7550872,2.4026864,2.10037938,0.98147404,-0.790078,-0.55426407,-0.91620225,-0.9977521,-0.9990789,UNAS,None,,,0.995639627,0.0212429165,0.00436037269,0.0212429165,0.950650961,0.0718199852,0.0493490387,0.0718199852,0.946606769,0.0214271317,0.0533932307,0.0214271317,0.850672812,0.0458684251,0.149327188,0.0458684251,0.969161708,0.0383455309,0.0308382921,0.0383455309,0.767599147,0.227576729,0.232400853,0.227576729,0.893087032,0.0426170259,0.106912968,0.0426170259,0.561029639,0.125737712,0.438970361,0.125737712,0,0,AGN
4FGL J1444.9-5939,-0.890543393,0.11439446,-23.8776883,-25.8339574,7.21057735,2.8416066,0.1068535,0.36191976,8.010425,1.43769221,0.948875,-0.23662697,-0.7153412,-0.8552808,-0.9940696,-0.99902064,UNAS,None,,,0.108153706,0.199634438,0.891846294,0.199634438,0.075043663,0.056933809,0.924956337,0.056933809,0.18942365,0.0738935288,0.81057635,0.0738935288,0.00719236726,0.00339958225,0.992807633,0.00339958225,0.0301480808,0.152316588,0.969851919,0.152316588,0.00884576565,0.0101684431,0.991154234,0.0101684431,0.0589884769,0.0382206997,0.941011523,0.0382206997,3.673708e-05,2.69259768e-05,0.999963263,2.69259768e-05,20,0,PSR
4FGL J1447.4-5757,-0.856708619,1.5231397,-24.5302484,-26.7375346,6.85371207,2.552729,0.091103286,0.4428073,7.9952803,1.65735895,0.99875075,-0.3095496,-0.69693756,-0.8899871,-0.8956249,-0.99980944,UNAS,None,3FGL J1447.3-5800,,0.0121468921,0.0257014755,0.987853108,0.0257014755,0.0761216247,0.0572459454,0.923878375,0.0572459454,0.161148142,0.0646964504,0.838851858,0.0646964504,0.029683901,0.0117753555,0.970316099,0.0117753555,0.0142440989,0.0907900393,0.985755901,0.0907900393,0.00866528758,0.00981859979,0.991334712,0.00981859979,0.0597181707,0.0387379182,0.940281829,0.0387379182,0.000307226025,0.000200498516,0.999692774,0.000200498516,0,0,PSR
4FGL J1449.8-5923c,-0.979898953,0.091335036,-24.657817,-26.2598695,7.41160239,2.5519197,0.13862526,0.3648048,5.3955846,2.5814888,-0.45555842,-0.037753217,-0.45112914,-0.7899007,-0.9086937,-0.9998172,UNAS,None,,,0.267072106,0.273582696,0.732927894,0.273582696,0.313562168,0.190331384,0.686437832,0.190331384,0.259648869,0.0678334518,0.740351131,0.0678334518,0.59806296,0.0801296018,0.40193704,0.0801296018,0.0186202045,0.0653781969,0.981379796,0.0653781969,0.0236708618,0.0370818849,0.976329138,0.0370818849,0.0365117374,0.023239203,0.963488263,0.023239203,0.0400299669,0.0199889549,0.959970033,0.0199889549,36,0,MIXED
4FGL J1450.8-1424,-0.600076779,39.35992,-26.9422797,-28.6705597,7.4125337,1.9398265,0.21468425,0.5155765,3.922941,1.83469273,0.99994904,-0.49514344,-0.2501766,-0.5122235,-0.9999995,-0.90896446,UNAS,None,,,0.856872484,0.153697605,0.143127516,0.153697605,0.71375601,0.177628826,0.28624399,0.177628826,0.775507691,0.0621469197,0.224492309,0.0621469197,0.757273593,0.0454352179,0.242726407,0.0454352179,0.745115679,0.196360962,0.254884321,0.196360962,0.248774849,0.216704022,0.751225151,0.216704022,0.281952858,0.103196899,0.718047142,0.103196899,0.274141848,0.0656053032,0.725858152,0.0656053032,0,0,MIXED
4FGL J1451.6-3726,0.404591689,19.535645,-26.5248561,-28.1672505,7.65597967,2.3274593,0.23518555,0.38265008,2.8941078,2.43664892,0.96053547,0.85717213,-0.41093627,-0.75740385,-0.5366206,-1,UNAS,None,,,0.990397806,0.00925246896,0.00960219449,0.00925246896,0.934971517,0.0671612218,0.0650284829,0.0671612218,0.956547862,0.0218320114,0.0434521375,0.0218320114,0.944229331,0.0162514635,0.0557706688,0.0162514635,0.956023005,0.0409853806,0.0439769947,0.0409853806,0.680936772,0.24580546,0.319063228,0.24580546,0.875052154,0.0503617194,0.124947846,0.0503617194,0.646130942,0.10269763,0.353869058,0.10269763,16,0,AGN
4FGL J1452.0-4148,0.615673483,15.645249,-27.1444705,-28.5136227,8.39633363,1.9814485,0.18063688,-0.0017407493,0.025389938,2.04108585,0.1181265,-0.5619769,-0.41941604,-0.44458002,-0.45684472,-1,UNAS,None,,,0.999419138,0.000373564732,0.000580861654,0.000373564732,0.996627065,0.00573694923,0.00337293454,0.00573694923,0.997563929,0.00226105964,0.00243607107,0.00226105964,0.99903203,0.000306127809,0.000967969985,0.000306127809,0.999485492,0.000405010398,0.000514508452,0.000405010398,0.981626657,0.0328190017,0.0183733428,0.0328190017,0.997145646,0.00449256469,0.00285435431,0.00449256469,0.995922148,0.00200472189,0.00407785161,0.00200472189,0,0,AGN
4FGL J1454.3-5551,0.679415433,2.9864678,-25.9634238,-27.3475583,6.78382794,2.8097687,0.27371147,0.4763614,3.00099,2.42168537,0.95384765,0.06587396,-0.84227294,-0.80774456,-0.85950184,-0.9996826,UNAS,None,,,0.963959113,0.0443984773,0.0360408865,0.0443984773,0.784851802,0.144715742,0.215148198,0.144715742,0.893843535,0.0389728974,0.106156465,0.0389728974,0.886627938,0.0274083321,0.113372062,0.0274083321,0.675835639,0.193907988,0.324164361,0.193907988,0.165711008,0.171895755,0.834288992,0.171895755,0.539062122,0.104964649,0.460937878,0.104964649,0.271179482,0.0834288488,0.728820518,0.0834288488,1,0,MIXED
