Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,OTHER_BDT_S,OTHER_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,OTHER_NN_S,OTHER_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,OTHER_RF_S,OTHER_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,OTHER_LR_S,OTHER_LR_STD_S,Missing_Values_Flag
4FGL J0211.1-0646,0.986138814,-62.21236,-26.6759624,-28.612339,7.59603731,2.0991583,0.13949893,0.029274283,0.46505317,2.85449039,-0.5699301,-0.72252226,-0.25086972,-0.560965,-0.5797403,-0.48931253,AGN,bll,3FGL J0211.2-0649,NVSS J021109-064551,0,0.9957279346709591,0.002798276601534712,3.9232764082505414E-4,2.2854443948097409E-4,0.0038797376882158223,0.0026871076346972685,0.9918059113464966,0.009063206726392298,2.6927780709436785E-4,7.727357153465471E-4,0.007924810846408883,0.008706479233286888,0.962273306197506,0.011793678774130545,0.0035614650236225564,0.002191307120903855,0.03416522877887136,0.010779710851654219,0.9904564410690008,0.0029657234812447944,4.932701674218605E-4,2.6421221316683303E-4,0.009050288763577358,0.002924484837697361,0
4FGL J0211.2+1051,-0.216195674,-47.36815,-23.7019676,-27.276369,6.73106537,2.050917,0.023057181,0.052381724,5.186368,5.72603338,0.13294569,-0.46629593,-0.5936814,-0.5305542,-0.64847004,-0.62575465,AGN,BLL,3FGL J0211.2+1051,MG1 J021114+1051,0,0.986592291013882,0.0077150104926598986,5.41715371938915E-4,3.7825849487816245E-4,0.012865993614178985,0.007601907197705669,0.9868228539949464,0.013435162720743035,6.233104341883724E-4,0.001128600111032849,0.012553835570865205,0.01316609517168602,0.9726529059860105,0.013471672119829527,0.005061980639425109,0.004220607426304405,0.022285113374564455,0.012412629660933337,0.9906834272901468,0.003783455533954174,5.999195828484066E-4,3.841298694280428E-4,0.008716653127004781,0.0036651313869229675,0
4FGL J0212.2-2559,0.95402709,-71.91617,-26.9943301,-28.7150654,7.92661723,1.8212202,0.20142026,0.11399721,1.1838245,2.33056225,-0.13693361,-0.8213573,0.05791124,-0.613862,-0.48249862,-0.3573341,AGN,bcu,,PMN J0212-2558,0,0.9866059295821031,0.008804326386612339,5.05156990599768E-4,3.3560670366833374E-4,0.012888913427297087,0.008684200275946345,0.9868462440839982,0.01550023552687527,5.703039244992252E-4,0.001325632864344243,0.012583451991502476,0.014800816067616697,0.943320611904872,0.013256381974380577,0.004208359102490824,0.0017834080479437878,0.05247102899263718,0.012424663174934895,0.9709339291544307,0.008374108368739218,7.564130569467903E-4,4.840129108443949E-4,0.02830965778862261,0.008329502921353253,0
4FGL J0212.2-0219,0.571271599,-58.537155,-26.8956178,-28.6368176,7.55704451,2.189448,0.13842745,-0.025599252,0.34143806,2.81534138,0.9970041,-0.56686884,-0.6187856,-0.66612375,-0.44662562,-0.37052158,AGN,bcu,,RX J0212.3-0222,0,0.9892761973554994,0.006968331314473083,7.380664031815999E-4,4.7396210331842887E-4,0.009985736241319007,0.006829804248366781,0.9907639653245569,0.00964794849544382,2.925903248856247E-4,6.992480221316341E-4,0.008943444350557557,0.009368256950505758,0.9539859555646243,0.013727515700356128,0.004389549551577594,0.0023361938835075764,0.041624494883798144,0.01270353354375608,0.9848906101916233,0.004449564602781119,7.318615535069237E-4,3.836550044675916E-4,0.014377528254869706,0.0044350865260719945,0
4FGL J0212.4-3502,-0.818905081,-70.98008,-26.3435841,-28.5612131,7.60421101,2.0250638,0.10086994,0.009321702,0.20186318,2.68900731,0.26984134,-0.70992905,-0.3964848,-0.47010848,-0.6781247,-0.2034035,AGN,bll,3FGL J0212.8-3504,RBS 0292,0,0.979215028007782,0.013395686691673132,0.0012677421341108412,6.980674481027393E-4,0.019517229858107152,0.013050601025201513,0.9887733376077097,0.012246791096094707,3.5060146555487235E-4,7.896320813824559E-4,0.010876060926735457,0.01184055945123349,0.9478811007118003,0.015247980040303154,0.005356574196116116,0.003226270912029223,0.04676232509208357,0.013806400633778394,0.9808509212844211,0.005065956845419885,0.0012959079436436183,6.06705366135153E-4,0.017853170771935187,0.004862151422125493,0
4FGL J0212.8-2721,0.022848587,-71.93011,-26.7983808,-28.7184836,7.04942543,2.2828758,0.14032105,0.04739993,0.6503986,2.51728551,0.9909471,-0.36644542,-0.59696704,-0.8036193,-0.22061597,-0.9999999,AGN,bcu,3FGL J0213.1-2720,PMN J0212-2719,0,0.9815396850402118,0.012994459260876601,0.0013233068173752812,0.0010732728532944632,0.01713700814241297,0.0126065885861682,0.9869488431122199,0.013732987587547842,5.185321578603206E-4,0.0011826824148816206,0.012532624729919832,0.013152981058174376,0.9276433905442708,0.01742113973205871,0.010338112821343629,0.005257269668531057,0.06201849663438571,0.015076803844597784,0.9859085839116211,0.004299802108856615,0.0011091385370043906,7.58310917857229E-4,0.012982277551374695,0.0041593471750992345,0
4FGL J0212.9+2244,-0.352088552,-36.374893,-25.8136457,-28.2371448,7.69110183,1.9931716,0.08574253,0.11998544,2.8814387,3.6200067,-0.96311307,0.996843,-0.52478445,-0.52016455,-0.6323826,-0.65521413,AGN,bll,3FGL J0213.0+2245,MG3 J021252+2246,0,0.9977191685635618,0.0013302912983448525,6.112446074684561E-4,4.6703548985906746E-4,0.001669586828969808,0.0011176374073423336,0.9846762953216139,0.01541887333888568,7.683057294991135E-4,0.0014310250529912397,0.014555398948886862,0.014699572823311975,0.9740080162361556,0.007527745714945255,0.003254862754286637,0.0016711534422128643,0.022737121009557954,0.00668970963912522,0.9732822016973496,0.0066357574470554065,0.005427917980504693,0.0021650204528579015,0.021289880322145842,0.0058746661223108764,0
4FGL J0213.8-6949,-0.722984879,-45.66284,-27.1326609,-28.752771,9.10418614,1.5550444,0.19930997,0.08610814,0.94231004,2.87933117,-0.9906772,0.998666,-0.5548224,-0.38283193,0.007931885,-0.57642645,AGN,bcu,,2MASS J02135882-6951360,0,0.9922118878704816,0.005790693137978817,3.2131137607001407E-4,2.4240147359677982E-4,0.007466800753448529,0.005682844484703451,0.9902336072144927,0.008863919227658274,2.0891355346855652E-4,5.524414826599991E-4,0.00955747923203877,0.00860441772062156,0.9345622809261837,0.020950423169577844,0.002285258362187091,0.0010559772753147992,0.06315246071162933,0.02070746775496354,0.9729652213761204,0.009843119326142203,5.765206863199842E-4,5.142292327173672E-4,0.026458257937559543,0.009814194887672685,0
4FGL J0214.1-4733,0.993096815,-63.945732,-27.500025,-28.9169302,8.22080142,1.7587647,0.4657363,0.090295635,0.47957563,2.2645864,-0.64827025,-0.2178617,-0.6049475,-0.22725843,-0.4271346,-0.99849755,AGN,bcu,,2MASS J02140989-4732357,0,0.9956425998746865,0.02084919021394775,1.9255976115524685E-4,0.0011574295592165537,0.00416484036415816,0.019868220846843462,0.9916899389520056,0.010204870129041919,2.110825084602329E-4,5.865708957391319E-4,0.00809897853953397,0.01001377494815053,0.9476279970763789,0.013906801232203274,0.003932282611139121,0.002008297021342747,0.04843972031248193,0.013355911210966494,0.9867466259356485,0.004981411097425925,1.8272214555825898E-4,1.9093164303346467E-4,0.0130706519187933,0.004995595190540359,0
4FGL J0214.2-7025,-0.450997921,-45.11999,-26.1611266,-28.4642262,6.19306982,2.7275033,0.09923655,0.062738694,1.0161506,2.25012101,-0.4453436,-0.7206117,-0.7658877,-0.77855384,-0.9142114,-0.02803732,AGN,bcu,,PMN J0214-7027,16,0.9621239887644396,0.027121862068424832,0.005782110678028514,0.004058070959621632,0.03209390055753193,0.025766487859948346,0.9421989736654082,0.05600057104928716,0.007401594426900302,0.017872373890686032,0.05039943190769157,0.047509266426857544,0.8920646277138037,0.029134880346766163,0.02487904402349026,0.013073326501794871,0.08305632826270597,0.023450486630131013,0.9669508890967895,0.012172379588079351,0.012405923592362575,0.006884587964013963,0.020643187310847834,0.008107493518093194,0
