Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags_3FGL,Missing_Values_Flag,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,OTHER_BDT_S,OTHER_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,OTHER_NN_S,OTHER_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,OTHER_RF_S,OTHER_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,OTHER_LR_S,OTHER_LR_STD_S
3FGL J0008.6-2340,50.2801132,-79.7525711,-26.3873569,-27.6848638,-0.1639293,3.857546,1.59893429,0.032599993,0.999570207,-0.739576457,0.416237882,AGN,bll,0,0,0.9921105643763596,0.032565522261730255,0.0010871012370369,0.0012216143252000513,0.006802334386603532,0.03246962422164319,0.9925143039481523,0.01089174447489456,6.715225208028005E-4,0.001967201674394852,0.00681417353104482,0.010466517693973356,0.9357224210928351,0.024654460924327878,0.030250737812384482,0.0184596870014695,0.03402684109478034,0.015089987222569164,0.9939536510187473,0.007311064412929802,5.69221269161345E-4,0.0016320558452724702,0.005477127712091184,0.00713942118103016
3FGL J0009.1+0630,104.489098,-54.8462601,-25.8009631,-27.7109196,-0.996861512,4.11671713,2.17936373,-0.513312783,-0.599315647,-0.541871893,-0.517110066,AGN,bll,0,0,0.9947898701978947,0.005261981947271203,3.5481123106906006E-4,3.452491934541116E-4,0.004855318571036067,0.005084595625904481,0.9928135983366838,0.006425854156521267,8.08277497714731E-4,0.0012442369477947473,0.006378124165601522,0.005730926114790017,0.9667040372740432,0.01383591939497015,0.010403079512660725,0.006075979328936991,0.022892883213296158,0.010705393298117835,0.982489846172354,0.008961782355323498,9.012809886805609E-5,1.1093831607398831E-4,0.017420025728778054,0.008920078120395391
3FGL J0009.3+5030,116.116417,-11.8032923,-24.0657128,-26.9785278,0.759633263,4.59952371,1.92863548,-0.531442468,-0.471129138,-0.403181438,-0.563149301,AGN,bll,0,0,0.9978839581508472,0.0032706951850361887,1.3626510460817474E-4,2.977649613019836E-4,0.001979776744544565,0.00305582333564604,0.9742251383206669,0.03389405956947346,0.005828081992090105,0.00939809705739905,0.01994677968724282,0.028060553404392483,0.9397536202318628,0.03139954835578206,0.013444054321746364,0.009793234919070627,0.046802325446390874,0.027044248149618335,0.8631348385638181,0.04735288369318051,0.007021356857151015,0.00613524850837394,0.12984380457903086,0.04651710190268802
3FGL J0009.6-3211,1.25166523,-79.6018448,-26.413112,-28.0248004,0.0270759099,3.75029336,2.30972981,-0.596740735,-0.623579577,-0.703260285,-0.637021066,AGN,bcu,1,0,0.9407122843972122,0.0683024307400863,0.004519088196388604,0.00450840995894814,0.054768627406399144,0.06751254510429244,0.9747807009382355,0.03030124437875708,0.002843647731824059,0.005193084855592373,0.02237565132994051,0.02848867301304271,0.9169721915907172,0.030843500500637618,0.024738479713522638,0.010691632919715569,0.05828932869576024,0.025281382850575455,0.945413195633247,0.02520669650055082,0.004504020919932318,0.0037288802074246486,0.05008278344682061,0.02464169064702635
3FGL J0012.4+7040,119.687393,8.04648304,-25.7915133,-27.2959122,-1.56607693,3.94305431,2.48374987,-0.59534088,-0.869545042,-0.568573316,-0.441835598,AGN,bcu,8,0,0.9768606965422971,0.032507658389651486,5.185872564850725E-4,4.70288811114683E-4,0.022620716201217816,0.03230973286787693,0.9375296480432874,0.08427400882572876,0.004047006183038833,0.005871502662666453,0.05842334577367382,0.08124564934848855,0.9113946817730101,0.040656545650529965,0.015403427045542468,0.007450125200857673,0.07320189118144735,0.03649218533809052,0.981465118772015,0.011631413239403685,2.8208709438176037E-5,3.8576611939283674E-5,0.018506672518546895,0.011627318558006739
3FGL J0013.2-3954,332.323792,-74.9621735,-25.6873113,-27.8588636,-1.88502294,4.0114714,2.21178341,-0.564600305,-0.626851708,-0.586269932,-0.350811907,AGN,bll,0,0,0.992875358349023,0.00806019814741504,3.882345568976054E-4,3.6103418043428637E-4,0.006736407094079535,0.00795225642455444,0.9938312884046738,0.0069549064995300825,5.617966341848133E-4,8.660632579644484E-4,0.0056069149611413785,0.006597803598620693,0.9555769729024091,0.01917074118165328,0.01191859682068773,0.005437731532497672,0.0325044302769032,0.016374562523145574,0.9921953883309343,0.0067070348952811215,1.3357671768222029E-5,3.031573597494156E-5,0.007791253997297424,0.006700403780794546
3FGL J0013.9-1853,74.6269226,-78.0783997,-26.6359931,-27.9947326,0.486400716,3.596183,1.93515062,0.99911541,0.342174432,-0.420619201,-0.836871206,AGN,bll,0,0,0.9458639422761594,0.08877216283273706,0.03570848560948623,0.0707929455463465,0.018427572114354487,0.05060815476544082,0.741961262235976,0.21425951799370133,0.114117402538542,0.1277945372479228,0.1439213352254821,0.1435290604119887,0.8230509484047519,0.05859740716693922,0.1130606793090814,0.046693003941582385,0.06388837228616677,0.028699634936261823,0.7332785329372891,0.15164149323772913,0.1846433520925852,0.13952241353512185,0.08207811497012582,0.05770673249500817
3FGL J0014.0-5025,317.451111,-65.6330643,-26.6014893,-28.0085523,0.371497981,3.836813,1.92387724,-0.739192463,-0.278573801,-0.630847604,-0.448877519,AGN,bll,0,0,0.9947808081247047,0.0307264589480253,0.0025043187121939893,0.03066798778545642,0.002714873163101169,0.0033310193217753153,0.9858333646225401,0.017126280759209755,0.0015501574880554861,0.0019435803563102618,0.012616477889404419,0.01643795465588499,0.9640266591946338,0.013464658119892664,0.012841460085744468,0.0061608816604949435,0.023131880719621807,0.009959544130244871,0.9657372255015011,0.018482259748705886,0.0035874666692730776,0.003803274869788306,0.030675307829225743,0.01777156294487768
3FGL J0014.6+6119,118.530342,-1.23858416,-25.5751636,-27.3197198,0.88886156,3.92760937,1.88748538,0.955237768,-0.084374271,-0.277528749,-0.458452091,AGN,bcu,0,0,0.9752302604864612,0.023941688384678087,0.009035628683364912,0.008529787842897037,0.015734110830173738,0.02113153312513413,0.04226331686964475,0.08330265376784014,0.05551498448792313,0.063233099313424,0.9022216986424323,0.1174801848756208,0.8886275714955664,0.03787969910131758,0.03354491281821913,0.014961861375913505,0.07782751568621449,0.032253329976442056,0.8474744061298423,0.06881414288620379,0.028256101195063815,0.02397553898474955,0.12426949267509388,0.06433322607467738
3FGL J0014.7+5802,118.075279,-4.4827323,-26.1816308,-27.5716737,-0.395428895,3.6765556,1.91281664,0.923888966,0.82992441,-0.538831261,-0.539200917,AGN,bll,0,0,0.9548017199558063,0.06017609050024762,0.0033609723698359417,0.0038299922942625357,0.0418373076743576,0.05909700864582937,0.7672178435032063,0.2421720207010374,0.046469368908875486,0.09507592435740782,0.18631278758791808,0.20484491890290057,0.9225596373751467,0.026526464376599727,0.024140295637907178,0.01068062962776775,0.05330006698694614,0.021511748932306896,0.9002198184359342,0.08198547291287757,0.06166290547571942,0.07449919387890676,0.03811727608834623,0.036450694756220356
3FGL J0015.7+5552,117.908981,-6.64867735,-26.0287653,-27.5650533,0.0424504972,3.62892605,2.11452818,-0.612040553,-0.708852423,-0.58331449,-0.588342847,AGN,bcu,0,0,0.8609905206980376,0.12109757525412165,0.0019319233520815318,0.002157692882539635,0.13707755594988075,0.12041927181269756,0.805266048023715,0.15641124349578744,0.02749906496411465,0.033066066600345716,0.16723488701217032,0.13725293278032535,0.9246088128492647,0.026578381636551084,0.019352750424780147,0.007672485536375177,0.056038436725955196,0.02238784307956896,0.8865039944886616,0.03315600762684561,0.007330491685744409,0.005816226948081014,0.10616551382559403,0.03271745773332411
3FGL J0016.3-0013,104.078606,-61.8087578,-25.232899,-27.7121846,1.22716598,5.03095041,2.6178546,-0.616784239,-0.795090013,-0.908771878,-0.355854503,AGN,fsrq,0,0,0.9977993645455517,0.004356118156886098,7.943973439109512E-4,0.0012939753089506814,0.0014062381105372408,0.0038453941456365695,0.9924509687280407,0.00866016163841148,8.354701835635436E-4,0.0014974258332820336,0.006713561088395726,0.00784716141717213,0.9490928323462612,0.023900703302688776,0.01735117229135305,0.012104935705483488,0.0335559953623858,0.019090876185604316,0.9763333473892021,0.02444025263784285,0.0020485072340648757,0.00322272974120916,0.021618145376733053,0.024051721073708277
3FGL J0017.2-0643,99.668541,-68.0363464,-26.1653803,-27.8091679,-0.0533356896,3.62139185,2.11619616,0.031875911,-0.167553473,-0.69133399,-0.771387465,AGN,bcu,0,0,0.9194641304949911,0.1268179257817202,0.01247968296394128,0.026401829516221612,0.06805618654106771,0.12130683530232955,0.9547481988613139,0.04400271298679356,0.01137436570303425,0.016467202432061758,0.033877435435651755,0.0335658205430586,0.9038189643885055,0.033807963625699565,0.046638297482351855,0.024197868286989558,0.049542738129142526,0.017979352093209146,0.839573817621462,0.06438098420268362,0.0475618529005389,0.03489723639703856,0.11286432947799922,0.051779397073583915
3FGL J0017.6-0512,101.258423,-66.6429901,-25.16291,-27.3903535,0.61752695,5.43845215,2.50628996,-0.651864181,-0.716061772,-0.813044896,-0.500378042,AGN,FSRQ,0,0,0.9992975829556607,5.355314759767248E-4,2.0342461418204646E-4,1.9087382232848136E-4,4.98992430157249E-4,4.6140175843677433E-4,0.9947413963870239,0.005829780660215668,5.968362886029421E-4,9.669043023505098E-4,0.004661767324373216,0.005283109080496979,0.9686798777100677,0.011722098229120594,0.009614295502098495,0.005928037571718607,0.02170582678783386,0.009139695006906175,0.9929515534322411,0.0062704473963853405,8.390803023402698E-5,1.6751110276710284E-4,0.006964538537525007,0.00625478958814625
3FGL J0018.4+2947,114.432129,-32.5320396,-26.7055515,-27.9788071,-2.43056546,4.030712,1.86451507,0.884908636,-0.839906357,-0.166074473,-0.173117601,AGN,bll,0,0,0.9995215769332645,4.900052159210283E-4,2.116716683004562E-5,1.8428524819569023E-5,4.5725589990555063E-4,4.839284538739296E-4,0.9940661246051274,0.00534268372662608,6.958643479069649E-4,9.296794863543195E-4,0.005238011046965517,0.0048779480958031475,0.9762032305844663,0.010956361138524584,0.005908459039901257,0.0042614594204839805,0.01788831037563247,0.009564944518125723,0.9985313807177623,0.0016723083962726232,1.2297003978173542E-7,2.632200379715324E-7,0.0014684963121980269,0.0016722440372850644
3FGL J0018.9-8152,304.330109,-35.1631241,-25.6493002,-27.6622817,-1.17116702,4.45029614,2.07544065,-0.658769818,-0.658890441,-0.518360336,-0.27289898,AGN,bll,0,0,0.9988339030238294,0.001437259166171241,4.5767032168552365E-5,5.248442086327505E-5,0.001120329944002227,0.001402610701316639,0.9925220691100167,0.006189288892509638,8.374727738579349E-4,0.001356191191714856,0.006640458116125334,0.005478816197127038,0.9795633997362964,0.009680626824557403,0.004459550315151501,0.0019174336043745062,0.01597704994855215,0.008875318440825376,0.9959726229804874,0.002844979656068053,6.5357579673956345E-6,1.1528093257930902E-5,0.0040208412615451135,0.002841173349454018
3FGL J0019.1-5645,311.731506,-59.8224411,-26.3115523,-28.0212093,-0.644644227,4.14085123,2.39093113,-0.882274398,-0.48227178,-0.598547156,-0.279748388,AGN,bcu,0,0,0.9991287952360904,0.0010500506207105351,3.238142097466699E-4,4.651874903457372E-4,5.473905541629703E-4,7.794550120175565E-4,0.9940564593255217,0.006148424194122378,6.368312586937495E-4,9.866290809611964E-4,0.00530670941578458,0.005611724121204223,0.9763406077987852,0.009883637512649611,0.009332613160765352,0.00652606772994623,0.014326779040449569,0.006327527977827356,0.9945399689637268,0.004027322558374509,5.527990470021689E-5,8.668255591114884E-5,0.005404751131572975,0.0040037794572791935
3FGL J0019.4+2021,112.843597,-41.8778076,-26.3908135,-27.88706,-0.557360435,4.0214274,2.24862981,0.406755556,-0.863557532,-0.410481412,-0.530666251,AGN,bll,0,0,0.9994111432105183,5.767625708633243E-4,8.221604549143291E-5,1.1662376676270381E-4,5.066407439902791E-4,5.259426781627717E-4,0.9917744996823801,0.006824051530970996,8.537460813497419E-4,0.0011904188381634815,0.007371754236270313,0.006303469730513253,0.9657381047215181,0.014622530799978401,0.00863738883608831,0.005003932380562408,0.025624506442393474,0.012564855729923942,0.9830311589075463,0.011350571913632496,1.0028240630849775E-4,1.1599710849324148E-4,0.016868558686145008,0.011333296394306396
3FGL J0021.6-6835,307.012085,-48.2998466,-26.2919761,-27.9971022,-0.577948654,3.94837058,2.65246964,-0.653451758,-0.775366819,-0.749340352,-0.999916108,AGN,bcu,256,0,0.994425207565517,0.05021219312755249,0.0025975953044422664,0.03298429462970616,0.00297719713004063,0.017384732498723597,0.9740004202806145,0.024738197563506335,0.0040663011615335596,0.006257185400239091,0.02193327855785209,0.021286588619965137,0.946048291252943,0.019508919175944887,0.025151177834961003,0.010705806799398787,0.028800530912096018,0.012243483919845227,0.9562734051140606,0.02596674824170602,0.005818916844424662,0.006915490562566737,0.03790767804151471,0.02388540905464391
3FGL J0021.6-2553,41.8113594,-83.2244415,-25.7372219,-27.8048643,-1.74733158,4.27064699,2.09928679,-0.663635885,-0.479427086,-0.442544053,-0.601381609,AGN,bll,0,0,0.9973306526483054,0.006769222004520167,1.2782822611603065E-4,1.4873503966950874E-4,0.002541519125578614,0.0067427225730731675,0.9794739772226735,0.038945054182577064,8.780864948635735E-4,0.001645619661456202,0.019647936282463033,0.038337930345952204,0.9719311113609961,0.020513735202436295,0.005501121384874356,0.003913165395541083,0.022567767254129605,0.020111568192803218,0.9932425171515085,0.00534166943352476,1.227985762234731E-5,2.2169775742051993E-5,0.006745202990869147,0.005338468122249131
3FGL J0022.1-1855,82.0309677,-79.3873596,-25.2197219,-27.3059323,0.891702341,4.21757054,1.79901814,0.958960662,-0.377814789,-0.258662286,-0.675488885,AGN,bll,0,0,0.9976901825614245,0.0023047964920281856,6.346796721246984E-4,6.095230545251184E-4,0.0016751377664506921,0.0019990095169418742,0.9627671842774737,0.05677386149487112,0.0040552485677844375,0.005394203527712865,0.03317756715474197,0.0546701128141836,0.9567099537412348,0.017816591064557064,0.015487604452825017,0.00873518465900162,0.027802441805940218,0.0141314062547542,0.789708594827072,0.08971746209256144,0.011214161913579873,0.011176416692260955,0.19907724325934806,0.088702741436511
3FGL J0022.1-5141,313.620239,-64.8261414,-25.5700185,-27.6803655,0.539554959,4.08447983,1.98743176,0.31534628,-0.404154307,-0.697587316,-0.252967591,AGN,bll,0,0,0.9953190573163482,0.004294945246055808,0.00226209607824946,0.0025906285569581664,0.0024188466054025043,0.002582077001308251,0.9916517917553561,0.008535607297912551,9.023072750274678E-4,0.001161845766954515,0.007445900969616422,0.007963210019231646,0.945117937306156,0.02179637507692469,0.027963207309250393,0.014420023277155192,0.026918855384593668,0.012761796793221791,0.9411507399010451,0.04143516225306469,0.004868070588915308,0.006509866995947822,0.05398118951003953,0.03986545322127058
3FGL J0022.5+0608,110.023605,-56.0087624,-24.4520463,-27.2297569,0.898164605,4.55603737,2.0732429,-0.390619162,-0.581622799,-0.512979611,-0.606588703,AGN,bll,0,0,0.9981360466859467,0.004033919003946235,2.051808374614909E-4,5.232145325922542E-4,0.0016587724765917819,0.0037158824461824653,0.9799130415833056,0.022433417523085208,0.003361374146090638,0.008023420789735104,0.016725584270603864,0.017107579358188744,0.9413260625444675,0.02594162205196374,0.01663715344308603,0.010928031195489067,0.042036784012446454,0.021356700031493453,0.8456170248555854,0.0560475414309005,0.008326168520239277,0.006982516660290186,0.14605680662417525,0.05557811186855213
3FGL J0023.4+0923,111.454788,-52.8578796,-25.6454277,-27.8427889,1.74617396,3.93914907,1.52410982,0.084742333,-0.590785824,-0.900730207,-0.734990598,PSR,PSR,0,0,0.33575907706639657,0.21293147520637593,0.18686158170361747,0.18267518534374702,0.47737934122998593,0.26535864054115793,0.5797770151644897,0.2623949415608503,0.2160541034878765,0.19089192990799558,0.20416888134763386,0.14821290122908395,0.4097169825926857,0.0885958733447968,0.3746635953136053,0.09378227715450174,0.21561942209370896,0.06510277366086306,0.3152520907295015,0.12766516159010086,0.5031560854717252,0.17381751520570465,0.18159182379877323,0.12054887984119035
3FGL J0023.5+4454,117.748222,-17.6849403,-25.6262464,-27.7359434,-1.3556449,4.24438535,2.56849313,-0.748537858,-0.678308109,-0.773361581,-0.679655957,AGN,fsrq,0,0,0.9981910992397106,0.001544668460083285,6.08924767189714E-4,6.072813072101029E-4,0.0011999759930995857,0.0011384465787743342,0.990730457405009,0.00867663778081495,0.0015451439439213004,0.0020118144191514586,0.007724398651069705,0.007631277703036526,0.9762600534637669,0.00850837669388622,0.006779075956058316,0.003211428857544419,0.016960870580174866,0.006852063538161864,0.987944071414166,0.009054325322297756,3.300531737335653E-4,6.54557580328632E-4,0.011725875412100394,0.008854375858706104
3FGL J0023.9-7203,305.916351,-44.9033661,-24.3700833,-27.399139,2.33898957,3.62112052,1.41089986,-0.08380534,-0.4344012,-0.70631915,-0.94180804,OTHER,glc,0,0,4.0885748786618657E-4,4.8110477236741785E-4,0.9913274882133017,0.013196026683286947,0.00826365429883211,0.013050749149795583,0.001987791047021693,0.004698671329068792,0.9595114886663219,0.04357367616468437,0.038500720286656645,0.042070363740084694,0.01339925440134759,0.007560984411829564,0.9364890860507189,0.023034716587694074,0.050111659547933486,0.0201565440081205,0.002924890563306633,0.002407625146417352,0.97156407835378,0.02026902747668528,0.025511031082913433,0.019138852332424877
3FGL J0024.4+0350,110.020332,-58.3504333,-26.0854193,-27.7452758,1.01588758,4.31683727,2.27822638,-0.528792,-0.71047057,-0.741809322,-0.658294945,AGN,fsrq,0,0,0.9929346535334386,0.024114790262347384,0.001824577867576689,0.0024626976430325875,0.005240768598984798,0.023824165994077478,0.9846923801147784,0.014452964603668248,0.0022903235498218347,0.0027867246390639294,0.01301729633539989,0.01296361262199372,0.9418187685835012,0.02238050358366096,0.021642335488937795,0.012233953964878539,0.03653889592756099,0.017071632573560376,0.9215615782033395,0.03604220642777441,0.011881284709023608,0.010557948380962811,0.06655713708763683,0.03350807917785166
3FGL J0025.7+6404,120.125992,1.33775485,-25.7937011,-27.2106478,-0.130025639,3.44338642,2.08674526,0.8748904,-0.74927413,-0.6897258,-0.16747986,OTHER,snr,0,0,0.899744634516041,0.10482118652611473,0.012747091223813066,0.01866307483058529,0.08750827426014599,0.10062956702764492,0.13553706772881302,0.2410397513323499,0.03224709144040253,0.0537909846286476,0.8322158408307843,0.24788169680856806,0.8527650059593505,0.04518442755254761,0.04373844037918771,0.021113639222004182,0.10349655366146181,0.037035104675638315,0.8197951086868632,0.09076836742876439,0.0057586449574175405,0.008680311013340563,0.17444624635571918,0.09004422685409906
3FGL J0026.7-4603,315.816589,-70.4458084,-26.5687069,-28.0621604,-1.04521367,4.04049114,2.45033908,-0.584864002,-0.7991077,-0.484040888,-0.75564025,AGN,bll,1,0,0.996822898742403,0.006112490432198571,2.3479330036749166E-4,3.99962450486911E-4,0.0029423079572293734,0.00601825957998474,0.9927034197604329,0.006706676884044001,6.584302504490582E-4,9.492284971886664E-4,0.006638149989118154,0.00615557302702529,0.9558561046510484,0.018376451080159287,0.010364242989871132,0.005619644547596255,0.033779652359080294,0.015378449113383406,0.9889386765814512,0.007114004819683699,7.554558156210033E-5,9.512723914627873E-5,0.010985777836986713,0.00708144473170456
3FGL J0028.6+7507,121.436699,12.3131237,-25.7097849,-27.5998318,-0.897725905,3.63061222,2.3414557,-0.696194307,-0.617722011,-0.439170963,-0.962001779,AGN,bcu,0,0,0.5170071089307877,0.21703718858641455,0.24303084067885636,0.15614655950068057,0.239962050390356,0.17469920563768918,0.7974541609056024,0.200314108288426,0.05293493448417418,0.06975812064254297,0.1496109046102234,0.16839678923341944,0.7738905100851473,0.06415744221833505,0.11877619894529758,0.04410934869522976,0.10733329096955511,0.03892419223261772,0.88542166216337,0.055828795777379175,0.014920718937789814,0.01891933681988962,0.09965761889884023,0.05061055305325366
3FGL J0028.8+1951,115.682663,-42.7020836,-25.9858591,-27.7955897,0.680839507,3.75054284,2.43367743,-0.704530255,-0.518921722,-0.95900621,0.035745992,AGN,bcu,256,0,0.8804559619067329,0.13375817169744222,0.05858526229112984,0.08775269181476061,0.0609587758021373,0.08693697375528438,0.9726777956802212,0.051251641317490784,0.005640038284792531,0.019239258197225308,0.021682166034986357,0.03578384763234533,0.8940497907843346,0.03869648994811787,0.040736760328470824,0.01877947181718822,0.06521344888719463,0.02881180820370111,0.9275333823902127,0.05587022053482935,0.018653650969773797,0.03374797452456824,0.05381296664001329,0.043252298138233294
