Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,Missing_Values_Flag
4FGL J1635.4-3249,-0.7036715788037603,9.845844,-25.9023612,-27.696382,7.04239084,2.48859,0.14607912,0.24053115,3.0819821,2.12645807,0.99997246,0.06996945,-0.6650531,-0.71466285,-0.7906972,-0.99954927,UNAS,None,,,0,0.2795903929447934,0.1863657870358726,0.7204096070552066,0.1863657870358726,0.29572313486401913,0.24583230326227856,0.7042768651359808,0.24583230326227856,0.34571001918588695,0.08623079643752482,0.6542899808141132,0.0862307964375248,0.3367663913195221,0.06941116595198674,0.6632336086804778,0.06941116595198674,0
4FGL J1636.9-4710c,-0.3020479929922165,0.03242511,-23.5971212,-25.2866986,7.75606888,2.8180735,0.1310586,0.24773829,5.6106334,2.2349077,0.27336296,-0.40327957,-0.49071684,-0.7932851,-0.9551851,0.04507761,UNAS,None,3FGL J1636.2-4709c,,52,0.0055780166902015225,0.04660553735713688,0.9944219833097984,0.04660553735713687,0.01741904441312919,0.03587586007740081,0.9825809555868708,0.03587586007740081,0.02115001569004709,0.014210274001764757,0.9788499843099528,0.014210274001764753,0.002926610812765461,0.0017542275436578088,0.9970733891872345,0.0017542275436578086,0
4FGL J1637.3-6325,0.09690802894814939,-10.835534,-26.6511363,-28.1292913,6.99756764,2.2520764,0.28157297,0.29602438,2.1152105,1.69938292,-0.90409493,0.99025476,-0.6034088,-0.5789721,-0.9998967,-0.9923052,UNAS,None,,,0,0.9654585595711958,0.03942352486020123,0.03454144042880428,0.03942352486020123,0.8738937040214846,0.17210661013179773,0.12610629597851536,0.17210661013179773,0.7884309121093107,0.0627041135229715,0.2115690878906892,0.0627041135229715,0.679452390740948,0.09058995068335139,0.32054760925905207,0.0905899506833514,0
4FGL J1637.5+3005,0.9713314275439683,40.785038,-26.8883244,-28.5297434,6.24360131,2.811865,0.17837596,0.012025535,0.124398865,2.0978276,0.9995839,-0.7596159,-0.6698722,-0.76674634,-0.9987987,-0.4977101,UNAS,None,,,1,0.9979536812810175,0.0035689819839730096,0.002046318718982567,0.0035689819839730087,0.9851248293960138,0.033984916322501384,0.014875170603986276,0.033984916322501384,0.984924555736384,0.01117069245128381,0.01507544426361588,0.01117069245128381,0.9768527978960955,0.01129973491648106,0.023147202103904505,0.01129973491648106,0
4FGL J1638.1-4641c,0.1792752720759026,0.20808755,-25.7181988,-27.3776654,8.00109147,2.284948,0.3540843,0.99475336,3.4935129,2.64391592,-0.99866843,0.879068,-0.028777925,-0.6555192,-0.84173834,-0.9999876,UNAS,None,,,2104,0.07856391090045574,0.09393948185413001,0.9214360890995442,0.09393948185413,0.027046506556789175,0.0774029094572967,0.9729534934432108,0.0774029094572967,0.36840331147097755,0.09559096264616429,0.6315966885290225,0.09559096264616429,0.06291097541634753,0.033975728897828954,0.9370890245836524,0.033975728897828954,0
4FGL J1639.0-2727,0.7438239362199295,12.759099,-25.8607588,-27.7254349,7.08700807,2.3655922,0.15110601,0.14050283,1.8022813,1.83484118,0.2427352,-0.5696066,-0.7096617,-0.5502398,-0.86128825,-0.99999964,UNAS,None,,,0,0.8216472464566645,0.1326611801302123,0.17835275354333538,0.1326611801302123,0.7270550797648582,0.23342383079753107,0.2729449202351419,0.23342383079753107,0.8363015808305738,0.0714716493635471,0.16369841916942618,0.0714716493635471,0.7470458124757597,0.05464250575118409,0.25295418752424026,0.05464250575118409,0
4FGL J1639.2-5638,-0.7639192882342752,-6.5428624,-25.9443343,-27.6452742,6.61264792,2.733327,0.21066956,0.5559045,4.557049,2.30396878,0.9959249,-0.45400092,-0.80726284,-0.9997091,-0.6925538,-0.8340911,UNAS,None,,,0,0.649962347899137,0.2453342033702385,0.3500376521008631,0.2453342033702385,0.22388871852945208,0.24009524336799842,0.776111281470548,0.24009524336799837,0.4523229802920947,0.1236391817403606,0.5476770197079053,0.1236391817403606,0.0875861401231777,0.04256882772207464,0.9124138598768222,0.04256882772207465,0
4FGL J1639.2-0946,0.5192418793878681,23.631876,-26.9491933,-28.1167895,8.47373885,2.0861487,0.1602775,-0.043917764,0.66550696,0.493483707,-0.9976854,0.9785404,-0.09114794,-0.86429137,-0.54474884,0.32482108,UNAS,None,,,0,0.9858288138021342,0.10967211476732681,0.014171186197865818,0.10967211476732681,0.885578985117783,0.19312773733732888,0.11442101488221706,0.19312773733732888,0.9680271632191532,0.022328120264666913,0.03197283678084672,0.02232812026466691,0.6131414304878106,0.12180756914247577,0.38685856951218933,0.12180756914247579,0
4FGL J1639.3-5146,0.32252668169428184,-3.3325295,-24.5638735,-27.1892488,7.51395476,1.9731523,0.08107133,0.30871058,8.381803,2.2098112,-0.07497636,-0.47273585,-0.34395534,-0.55953866,-0.8184031,-0.790234,UNAS,None,3FGL J1639.4-5146,,0,0.0024708205139538694,0.0017937770151046173,0.9975291794860461,0.0017937770151046173,0.008121201168858835,0.013024583683233993,0.9918787988311413,0.013024583683233995,0.05365684970334196,0.03687722859802546,0.9463431502966579,0.036877228598025474,0.004050138775532563,0.0018348043154289642,0.9959498612244675,0.0018348043154289642,0
4FGL J1639.8-4642c,0.34746822360906526,-0.024206404,-23.6230375,-25.1726969,8.02244443,2.7150056,0.1248698,0.14326608,3.8145666,1.49739988,0.116938554,0.9639074,-0.73308045,-0.6932548,-0.8551066,-0.5400404,UNAS,None,,,48,0.027204825741423844,0.10222468727285149,0.9727951742585762,0.10222468727285149,0.011011140430345134,0.02047283913624963,0.9889888595696548,0.02047283913624963,0.1599465182983881,0.0846350506984672,0.8400534817016119,0.0846350506984672,0.002491147373307331,0.0019069515838797963,0.9975088526266928,0.0019069515838797963,0
