0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-27.124708290100997,-26.283128956833405,2.0516248,1.1131437435149867,4.1222673118003925,-0.19615343,-0.59998935,-0.4928175,-0.5934498,-3.2763379,OTHER,SNR,3FGL J0822.6-4250e,PowerLaw,2255.966,Puppis A,0,0.2823441222616663,0.7176558777383352,0.8177565541495972,0.1822434458504023,0.8996236477675963,0.10037635223240392,0.7647033170689439,0.2352966829310572,1.0,0.0,0.0,0.0
-26.654957158395305,-25.736056921124028,2.7226977,1.423264724600888,4.483910511786011,-0.39936692,-0.5999825,-0.8034118,-0.95769894,-3.0452278,OTHER,spp,3FGL J0838.1-4615,LogParabola,1401.3173,,1,0.32358697271414966,0.6764130272858548,0.5994182578915849,0.40058174210841546,0.6384409109861947,0.36155908901380485,0.4363033233988669,0.5636966766011332,1.0,0.237,0.119,0.825
-28.673645235210042,-26.351918336212766,2.5854046,1.1216029827292004,4.016177693354658,-0.477334,-0.9278071,-0.88599765,0.18473783,-3.7674587,OTHER,spp,3FGL J0839.1-4739,PowerLaw,1632.8274,,0,0.8395257958876511,0.1604742041123558,0.9496663043690659,0.05033369563093447,0.9753291980030524,0.02467080199694838,0.7049425476666752,0.29505745233332425,0.0,0.0,0.0,0.0
-29.968725290626715,-25.935175038416673,2.3785477,-1.1639026831203538,4.014454361932868,-0.69284314,-0.7881569,-0.79543555,-0.4549833,-2.0601761,OTHER,spp,3FGL J0843.1-4546,PowerLaw,3553.9956,,1,0.3634596732455906,0.6365403267544116,0.9911770742695079,0.008822925730492578,0.9996151969349759,0.00038480306502418837,0.46713485195959614,0.5328651480404044,1.0,0.0,0.0,0.693
-27.573364904135307,-25.854247990359994,1.9446316,0.49493207977993187,4.5333724703815355,-0.46676356,-0.6380545,-0.58423847,-0.19898026,-1.233045,OTHER,SNR,3FGL J0852.7-4631e,PowerLaw,3544.2734,Vela Jr,512,0.9650166361150245,0.034983363884969455,0.9709952117882806,0.029004788211720228,0.9962486549341196,0.0037513450658795753,0.6709093093881798,0.32909069061182034,0.0,0.0,0.0,0.01
-28.396910610435494,-27.677022288416,2.3757112,0.4170560237793066,3.853456929435911,-0.63732606,-0.8158063,-0.44512504,-0.8377698,-11.247007,OTHER,glc,3FGL J0912.2-6452,PowerLaw,1045.2452,NGC 2808,1,0.9982825197061852,0.0017174802938278396,0.9675880479962378,0.03241195200376107,0.9785179006335558,0.021482099366445417,0.9808817618166689,0.01911823818333134,0.0,0.0,0.0,0.0
-27.538046592740017,-27.809125448390397,2.2100296,0.2668593040932182,3.683796539192846,-0.49798882,-0.4738833,-0.7442837,-0.43384165,40.543133,OTHER,sbg,3FGL J0955.4+6940,PowerLaw,1015.19855,M 82,0,0.9938555403217331,0.006144459678284464,0.9900817673948948,0.00991823260510522,0.986250537075762,0.013749462924238764,0.9637244700892885,0.03627552991071134,0.0,0.0,0.0,0.0
-24.55956811433947,-25.51031576053523,2.546475,3.0531638830624455,3.744561226862562,-0.40063214,-0.6777257,-0.7409849,-0.9165123,-1.6901059,OTHER,HMB,3FGL J1018.9-5856,LogParabola,1350.214,1FGL J1018.6-5856,0,0.000156768184138234,0.999843231815844,0.02734407774827244,0.9726559222517275,0.002450111057627922,0.9975498889423711,0.21290933797277223,0.7870906620272261,1.0,0.997,1.0,1.0
-27.19566826551455,-25.679038891120985,2.3901007,2.1848892193714615,4.051743151116316,-0.28713804,-0.6492822,-0.64168155,-0.7244292,-0.6330746,OTHER,BIN,3FGL J1045.1-5941,LogParabola,3281.8196,Eta Carinae,0,0.005567534328771005,0.9944324656712455,0.10446055521291095,0.8955394447870891,0.1133826754130863,0.8866173245869131,0.3171054543021683,0.6828945456978318,1.0,0.996,1.0,0.998
-26.773122772740987,-25.820890851874466,2.7986279,1.8480577051822762,3.1491851380740763,0.58748084,-0.5106462,-0.76632786,-0.91673636,-0.8029164,OTHER,spp,3FGL J1101.9-6053,LogParabola,1629.2163,,20,4.9719836918970415e-05,0.99995028016307,0.05243652987756729,0.9475634701224317,0.04642027304100602,0.9535797269589937,0.16933230779541483,0.8306676922045858,1.0,0.997,1.0,1.0
-27.39133159496771,-26.030475353309033,2.3874407,2.042186639879946,3.8434693543555967,-0.52505696,-0.5194687,-0.6016011,-0.7671582,-0.087617256,OTHER,spp,3FGL J1111.9-6038,LogParabola,2979.1165,,0,0.005690533956086854,0.9943094660438947,0.08655932033905642,0.9134406796609439,0.11556825442754297,0.8844317455724572,0.32701751639814436,0.6729824836018553,1.0,0.997,1.0,0.993
-28.594215391011183,-27.54979799604484,2.3527286,-1.3925764139626353,3.694121010811121,-0.78464276,-0.7355109,-0.45662904,-0.6552898,9.930705,OTHER,spp,3FGL J1209.1-5224,PowerLaw,1178.4216,,0,0.99954464242196,0.0004553575780327216,0.9954940465832487,0.004505953416751349,0.999912992651408,8.700734859114278e-05,0.9894836888875299,0.010516311112471175,0.0,0.0,0.0,0.0
-27.1455521026532,-25.767150209912998,2.4878008,0.13262291822459926,3.9834520143802186,-0.5104581,-0.72731334,-0.78809196,-0.61285406,-0.31910145,OTHER,spp,3FGL J1212.2-6251,PowerLaw,1541.7622,,16,0.46503458855842567,0.5349654114415764,0.965002498159582,0.034997501840417965,0.9804859005928933,0.019514099407106293,0.3809468267105995,0.6190531732894008,1.0,0.0,0.0,0.973
-27.446042139807012,-25.8353981604236,2.423083,1.4566545657116177,4.0607695084802335,-0.10347571,-0.6206147,-0.6607779,-0.7962457,-0.05242593,OTHER,spp,3FGL J1214.0-6236,LogParabola,2189.5098,,0,0.010248852483546482,0.9897511475164661,0.4367303660781879,0.5632696339218113,0.5129576122319277,0.4870423877680721,0.25637573837390654,0.7436242616260925,1.0,0.677,0.368,1.0
-32.268293506118816,-26.305989969493346,1.6418201,-0.3999867689696722,3.8468623832737743,0.9992894,-0.6587412,-0.5684889,0.13383783,-0.3575578,OTHER,PWN,3FGL J1303.0-6312e,PowerLaw,17494.146,HESS J1303-631,5,0.902742779016224,0.09725722098376274,0.9817567496615319,0.01824325033846732,0.9994423218952367,0.000557678104762086,0.8271909588953295,0.17280904110466952,0.0,0.0,0.0,0.0
-26.529066911335487,-27.415730013225502,2.4269416,-0.5729568977242034,4.040933878500059,-0.67354715,-0.72050136,-0.58678263,-0.62376755,13.373529,OTHER,sbg,3FGL J1305.4-4926,PowerLaw,740.5398,NGC 4945,0,0.9998214840194625,0.00017851598051950884,0.9948687500592533,0.005131249940746311,0.9995601572186495,0.00043984278135125585,0.9941268621538367,0.005873137846161465,0.0,0.0,0.0,0.0
-29.484473100075544,-26.270941431691753,2.1008358,0.6156693957892504,4.111929477671694,0.9996153,-0.5922082,-0.49671358,-0.68759304,0.14045842,OTHER,snr,3FGL J1305.7-6241,PowerLaw,4143.1157,Kes 17,0,0.8531747405350841,0.14682525946491917,0.9374930307892417,0.062506969210758,0.9712673560054598,0.0287326439945415,0.7740327036809831,0.22596729631901574,0.0,0.0,0.0,0.0
