Source_Name_3FGL,Flux_Density,Unc_Energy_Flux100,Spectral_Index_old,Signif_Curve,var_1,hr12_1,hr23_1,hr34_1,hr45_1,GLAT_1,Pivot_Energy_1,SpectrumType_1,GLON_1,AGN_BDT_1,PSR_BDT_1,AGN_NN_1,PSR_NN_1,AGN_LR_1,PSR_LR_1,AGN_RF_1,PSR_RF_1,BDT_P,NN_P,LR_P,RF_P,Flags_1,Source_Name_4FGL,GLON_2,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12_2,hr23_2,Unc_PLEC_Expfactor,hr34_2,hr45_2,hr56,hr67,Variability_Index,Pivot_Energy_2,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT_2,PSR_BDT_2,AGN_NN_2,PSR_NN_2,AGN_LR_2,PSR_LR_2,AGN_RF_2,PSR_RF_2,Times in Testing,Flags_2
3FGL J1646.9-1332,-32.14780448794096,-27.321741410520552,1.8505279,-1.2311372393538431,3.7367153535938042,-0.9655389330360671,0.43912495456518524,-0.54039437661635,-0.34208007827853365,19.892075,6760.85,PowerLaw,5.202477,0.9996080202229,3.9197977711146853E-4,0.9955452986948973,0.004454701305103104,0.9998554500490542,1.4454995094598138E-4,0.996704806686254,0.00329519331374612,0.0,0.0,0.0,0.0,0,4FGL J1646.7-1330,5.2106185,19.958414,-22.1344709244035,1.9644777,0.14506051,-0.04335812,0.6975704,0.9999937,-0.53325,3.7884136E-4,-0.8311323,-0.23350646,-0.62961024,0.13333946,2.815088462000449,8.774336465587181,AGN,bcu,PowerLaw,3FGL J1646.9-1332,TXS 1644-133,0.9796171709697242,0.020382829030275662,0.9883793594895464,0.011620640510453601,0.9953317709648907,0.004668229035108167,0.9568172138038149,0.04318278619618392,320,0
3FGL J1648.0+4230,-28.341593945038316,-27.9486681262838,2.4801893,-0.31816299838539164,3.935766484807233,-0.5082633673348427,-0.8094402089405582,-0.5793509149502245,-0.9970377876340754,40.124744,868.2849,PowerLaw,67.06607,0.9994875923666754,5.12407633332097E-4,0.9934213003867355,0.0065786996132638715,0.9958248114776724,0.0041751885223266436,0.9771384969580803,0.022861503041920674,0.0,0.0,0.0,0.0,0,4FGL J1648.2+4232,67.119415,40.08645,-21.73302076535852,2.4350421,0.105152465,0.12892918,1.9301227,-0.32466954,-0.6010518,0.0023077389,-0.69827026,-0.70513386,-0.8213057,-0.9996834,4.457146202296496,6.776779281409903,AGN,bcu,PowerLaw,3FGL J1648.0+4230,NVSS J164831+423322,0.9998043349611089,1.956650388905544E-4,0.9976469375509045,0.002353062449095837,0.9995652462715673,4.34753728432305E-4,0.9966912010889261,0.0033087989110745348,305,0
3FGL J1650.0+0356,-30.115733184648672,-27.585355064817588,2.165772,-0.3432617331785148,4.33970364443129,-0.8038940577050869,-0.5691681594855132,-0.45343303917900435,-0.3455992768311987,28.68336,2179.5898,PowerLaw,21.856373,0.9999589609228898,4.103907710147451E-5,0.9955444096170436,0.0044555903829566965,0.9997780790012729,2.2192099872667167E-4,0.998998694373747,0.0010013056262527596,0.0,0.0,0.0,0.0,0,4FGL J1649.6+0411,22.040768,28.894821,-22.20840399265587,2.5079463,0.20719239,0.16847469,1.5813189,-0.9998601,0.996867,0.0043444457,-0.6644606,-0.56708825,-0.9999873,-0.33099642,3.911111564190769,6.8578463312076545,AGN,bcu,PowerLaw,3FGL J1650.0+0356,PKS 1646+042,0.9991951701851468,8.048298148533719E-4,0.9959796306148595,0.0040203693851406635,0.9989832880840954,0.0010167119159041507,0.9749618603590687,0.025038139640931264,287,16
3FGL J1700.4-4019c,-26.961488476786585,-24.59210220582523,2.6888115,1.1326823239274126,3.9777180450403375,-0.5571509844888552,-0.4387504986124967,-0.8717828878731855,-0.6609594364911674,1.1909633,1136.6266,PowerLaw,345.36975,0.017789263526195948,0.9822107364737815,0.7713093972045146,0.22869060279548634,0.5992105706691722,0.4007894293308279,0.3052747005697806,0.6947252994302198,1.0,0.021,0.244,1.0,548,4FGL J1700.1-4013,345.4172,1.3055555,-20.27171695241372,2.5671818,0.2476578,0.56393015,3.8851323,0.98628896,0.8586069,0.006967951,-0.5527591,-0.85849094,-0.8561616,-0.9724705,2.2517285864244903,7.130954508746274,OTHER,unk,LogParabola,3FGL J1700.4-4019c,NVSS J165941-401121,0.8559468076848927,0.14405319231508495,0.6142611645819972,0.38573883541800186,0.5959948677165026,0.40400513228349677,0.6357955275466424,0.364204472453358,0,12
3FGL J1704.1+1234,-26.625977035179165,-27.48637572571429,2.583273,-0.7397824980799402,3.850183239372902,-0.7436841626089796,-0.7775476700776924,-0.600326968587261,-0.5631072292368456,29.42443,652.452,PowerLaw,32.46508,0.999878505512556,1.2149448746348596E-4,0.9954154191049366,0.004584580895063238,0.9996952321697309,3.0476783026942564E-4,0.9927343190043122,0.00726568099568679,0.0,0.0,0.0,0.0,0,4FGL J1704.2+1234,32.478844,29.401133,-21.68538622100029,2.4605842,0.08962903,-0.0496907,1.0256469,-0.47280067,-0.8345128,5.4480904E-4,-0.5266386,-0.7200876,-0.45792422,-0.9999492,3.379343507251479,7.015052418173467,AGN,bll,PowerLaw,3FGL J1704.1+1234,NVSS J170409+123421,0.9998717684496012,1.2823155039844739E-4,0.9976463986609483,0.002353601339051416,0.9996053531412158,3.946468587838927E-4,0.9954067717863478,0.004593228213652255,309,0
3FGL J1704.4-0528,-29.072908190178868,-27.194094227746238,2.1847432,-1.0174791295990155,3.7296295260478245,-0.09155674708880325,-0.8231437099419898,-0.2139912802519745,-0.6867092657008667,20.797222,1984.9154,PowerLaw,14.912965,0.9996430234930138,3.5697650699457095E-4,0.9955372799585154,0.004462720041485338,0.9998217787477445,1.782212522548655E-4,0.9885878613087858,0.011412138691213465,0.0,0.0,0.0,0.0,0,4FGL J1704.5-0527,14.937011,20.791054,-20.750922317868117,2.0035574,0.05947014,-0.033813342,1.257555,-0.1788535,-0.6554825,1.6968565E-4,-0.6671562,-0.36027882,-0.60496086,-0.099835426,3.161764083882072,8.158003717266014,AGN,bll,PowerLaw,3FGL J1704.4-0528,NVSS J170433-052839,0.9998439885731204,1.5601142688027983E-4,0.9949721354102785,0.005027864589721347,0.9958608441615168,0.0041391558384831755,0.9979789983861977,0.002021001613802337,297,0
3FGL J1705.5+0948,-25.571349084593265,-27.463562297796408,2.8066092,0.5664811955710058,3.827209284549625,-0.6498868750154532,-0.8665248868218576,-0.8076397756886086,-0.9998406702825234,27.951149,394.3533,PowerLaw,29.762985,0.9985142596855271,0.001485740314458648,0.9570692423320966,0.04293075766790362,0.9070402896611642,0.09295971033883588,0.9658149716034812,0.03418502839651859,0.0,0.0,0.0,0.0,0,4FGL J1706.1+1000,30.049952,27.894829,-22.206544085001198,2.7192745,0.22270203,0.26153478,1.802043,-0.3796041,-0.5399481,0.010421765,-0.77631265,-0.967769,-0.871829,-0.9999996,3.2691977423179424,6.339441245757161,AGN,bcu,PowerLaw,3FGL J1705.5+0948,NVSS J170556+100006,0.9996865564149204,3.134435850801178E-4,0.9953175047351921,0.004682495264808101,0.9963565345724656,0.0036434654275343493,0.9776614032946126,0.022338596705387164,316,0
3FGL J1705.5-4128c,-25.014623372260665,-25.024400204924238,2.7672002,0.990549606927176,3.810527189964532,-0.7327768316984495,-0.8144397685172874,-0.5265731146490452,-0.7449605178737272,-0.28103146,533.48047,PowerLaw,345.0522,0.5093195466995413,0.4906804533004587,0.8191747964050219,0.18082520359497736,0.8119449734443449,0.1880550265556549,0.46522506955577747,0.5347749304442228,0.339,0.0,0.05,0.69,41,4FGL J1705.7-4124,345.13095,-0.26648456,-20.17392596076905,2.497633,0.23846081,0.15522934,2.139195,0.9930996,-0.4822574,0.006733366,-0.6815999,-0.65735215,-0.80461013,-0.99976146,1.8858830512912041,7.854186003397332,OTHER,snr,PowerLaw,3FGL J1705.5-4128c,SNR G344.7-00.1,0.6675630928390326,0.3324369071609668,0.9057270858687677,0.09427291413123091,0.7056591056058755,0.2943408943941236,0.7959463895626969,0.2040536104373023,0,258
3FGL J1715.4-4028,-30.14756266611926,-26.444559287738294,2.1041749,0.31296765554185446,4.092017941070286,-0.9953124444409328,0.6531080490966509,-0.061546474171564405,-0.5528022239876162,-1.1736468,4040.0144,PowerLaw,346.96652,0.9983811908286894,0.001618809171324885,0.9708205711741902,0.02917942882580856,0.9978028906452662,0.002197109354734165,0.9519551500453536,0.04804484995464572,0.0,0.0,0.0,0.0,0,4FGL J1715.4-4025,347.0062,-1.1611056,-20.44437621987876,2.200057,0.13236907,0.100703076,1.5793396,0.2525598,0.50219005,4.896795E-4,-0.6503136,-0.47425288,-0.6447266,-0.90493006,2.945480651884659,8.329483142741386,AGN,bcu,PowerLaw,3FGL J1715.4-4028,PMN J1715-4025,0.9998523343298963,1.4766567010357268E-4,0.9896708824064565,0.010329117593543179,0.9882951082956563,0.011704891704343422,0.9823343250175176,0.017665674982481748,258,4
3FGL J1727.4+0634,-26.56532569148618,-27.229298134182923,2.6870856,0.9744845428387872,3.7924831023836423,-0.7502770908179406,-0.733475581800633,-0.8395218518970501,-0.9991769705848429,21.646387,595.9897,PowerLaw,29.211035,0.940305259524854,0.059694740475137474,0.80974389287852,0.1902561071214797,0.6096223667560668,0.39037763324393265,0.9221218437015868,0.07787815629841319,0.0,0.0,0.023,0.0,0,4FGL J1727.2+0644,29.341675,21.78069,-22.13526879816418,2.605254,0.36113787,0.690921,2.985857,0.97836787,-0.08061002,0.011071171,-0.72416615,-0.87675726,-0.9652077,-0.97294265,2.6085062561805312,6.884435115402613,AGN,bcu,LogParabola,3FGL J1727.4+0634,NVSS J172720+064123,0.9970261601541874,0.00297383984581298,0.8440667740690672,0.15593322593093242,0.8170639053693208,0.18293609463067878,0.9550801517502308,0.04491984824977014,304,1
3FGL J1731.9+5428,-25.21223735283375,-27.84781859621465,2.901923,0.45026713976240246,3.671585725896735,-0.7459156565939671,-0.8593803097360557,-0.8677064333142069,-0.9998719785504135,33.155773,325.1379,PowerLaw,82.19323,0.9966894763132139,0.003310523686794734,0.9529095898782451,0.04709041012175661,0.9163156636178349,0.08368433638216494,0.9370903439286088,0.0629096560713901,0.0,0.0,0.0,0.0,0,4FGL J1733.4+5428,82.198715,32.929665,-22.947763615577045,2.9131863,0.21030328,0.22965017,1.6077316,0.68764096,-0.78200877,0.013095402,-0.86407053,-0.81074387,-0.99642634,-0.9999916,1.924136975648869,5.938685307144675,AGN,bll,PowerLaw,3FGL J1731.9+5428,SDSS J173340.31+542636.9,0.9881693975540617,0.011830602445938317,0.9889914605593323,0.011008539440667719,0.98203059958402,0.017969400415980222,0.9709886924323767,0.029011307567624302,311,0
3FGL J1733.5-3941,-29.400053942844387,-26.78582732468601,2.230005,0.4728496380180336,3.9596241582417484,-0.5765028515170848,-0.8284107686179437,-0.38298934632114917,-0.4634018306889289,-3.610446,2459.8708,PowerLaw,349.5536,0.9992598785453075,7.401214547082244E-4,0.9589421836064542,0.041057816393544604,0.9902165765081494,0.009783423491851429,0.9929401284118178,0.007059871588182556,0.0,0.0,0.0,0.0,4,4FGL J1733.4-3943,349.5264,-3.6160734,-20.964790980417582,2.1665776,0.11217263,0.039941214,0.8097819,-0.9933053,0.9339774,8.722406E-4,-0.75369495,-0.4995671,-0.65132,-0.40108818,2.61172741874172,8.136700442131671,AGN,bcu,PowerLaw,3FGL J1733.5-3941,2MASS J17332704-3942172,0.9998836491921291,1.1635080787122071E-4,0.9932244499292068,0.006775550070792423,0.9976003017081915,0.0023996982918078505,0.9971960684519104,0.0028039315480905725,298,0
3FGL J1733.8-6056,-26.37012343836448,-27.571082847245606,2.5818665,-2.4183805302334966,4.036623372406396,-0.7283422571008035,-0.6930003025051398,-0.8775785359660644,-0.08625908364565732,-14.771928,580.62054,PowerLaw,331.22116,0.9996785099999957,3.2148999997994563E-4,0.9960966834619603,0.0039033165380396254,0.9999993796601949,6.20339805807343E-7,0.9875942819041388,0.012405718095860514,0.0,0.0,0.0,0.0,4,4FGL J1733.6-6054,331.23514,-14.741694,-21.654846619825854,2.341599,0.0954511,-0.014943183,0.31611362,0.61791164,-0.4825898,3.9282293E-4,-0.63506776,-0.6762634,-0.56231046,-0.48877653,3.273410161144367,7.475356526666695,AGN,bcu,PowerLaw,3FGL J1733.8-6056,PMN J1733-6055,0.9999189627571855,8.103724281487729E-5,0.9967935810804625,0.0032064189195384722,0.9998303292251122,1.6967077488798637E-4,0.9985868616684567,0.0014131383315432048,301,0
3FGL J1745.4+4721,-27.184930256554576,-27.800945990094764,2.5581224,-3.8708125903529225,4.166952624358695,-0.6680889687958057,-0.8020927119926328,-0.7588539837609501,-0.04717670524832458,30.430563,638.589,PowerLaw,74.04207,0.9998920162133859,1.0798378659898319E-4,0.9964599121731355,0.0035400878268638143,0.9999999938488097,6.151189517324496E-9,0.9943026094403349,0.005697390559664282,0.0,0.0,0.0,0.0,0,4FGL J1745.1+4731,74.229866,30.515451,-22.688430909579374,2.2381191,0.31606415,0.31825426,1.9170052,0.31468725,0.93158585,0.004444862,-0.626712,-0.49553704,-0.7532128,-0.99956715,2.6821974751641275,7.606170310021598,AGN,bcu,PowerLaw,3FGL J1745.4+4721,NVSS J174501+473247,0.9998607381381917,1.3926186180828444E-4,0.9922181322279853,0.007781867772014804,0.9926024996460953,0.007397500353904857,0.9934273813782415,0.006572618621758154,280,0
3FGL J1748.0+2701,-29.314927111502396,-27.79492249468675,2.2776077,-1.2649270721363084,3.7297879248950117,-0.6867041243150749,-0.5082055637283753,-0.78162418555769,-0.13863312333229885,25.06391,1419.7521,PowerLaw,51.83432,0.9985556196926381,0.0014443803073623728,0.9957956238098297,0.00420437619016899,0.9999446448893888,5.535511061187196E-5,0.9855887998631541,0.014411200136846202,0.0,0.0,0.0,0.0,1,4FGL J1748.1+2702,51.87249,25.0451,-22.546378187679384,2.1082766,0.14020072,-0.070517145,1.0601239,-0.8317944,-0.60353595,5.4672075E-4,-0.7953135,-0.6203802,0.04092117,-0.53177226,2.3154632006874114,8.029580061014142,AGN,bcu,PowerLaw,3FGL J1748.0+2701,87GB 174618.6+270457,0.9998594765312766,1.4052346872324014E-4,0.9973480010782827,0.0026519989217166523,0.9998324362953269,1.6756370467303024E-4,0.9988432288180635,0.001156771181935986,270,0
3FGL J1758.8-2402,-30.84230937432174,-25.901718194427357,1.9936635,1.058079037179795,4.004247337990476,0.989459411988084,-0.7234397187062181,-0.2719685932038522,-0.6884301791286782,-0.043389253,7594.4507,PowerLaw,5.7202964,0.2619728425346692,0.7380271574653454,0.8330587268920729,0.16694127310792747,0.8834282302006067,0.11657176979939374,0.6027989156167941,0.39720108438320645,1.0,0.005,0.0,0.064,20,4FGL J1758.6-2404,5.6631737,-0.03711076,-19.51291160874582,2.3757007,0.12471544,0.100129165,2.4791703,0.25671244,0.24031629,0.0010109228,-0.8331165,-0.64877415,-0.5936492,-0.8979652,2.2899223839255813,8.199853981488161,OTHER,unk,PowerLaw,3FGL J1758.8-2402,1RXS J175835.5-240203,0.6743644043941601,0.32563559560584887,0.5894689031645723,0.4105310968354271,0.4437897991572371,0.5562102008427633,0.7530988174043225,0.24690118259567864,0,4
3FGL J1758.8-2346,-29.86982500260051,-25.779908075463965,2.0799181,1.2186546072587237,3.732863324631658,-0.986165839868991,0.9870489666110761,-0.6542192320595336,-0.6275817580120402,0.08121869,5423.1924,PowerLaw,5.940952,0.23147734199835662,0.7685226580016434,0.5518733688900972,0.4481266311099026,0.5609954918796244,0.4390045081203758,0.4042642053261177,0.5957357946738828,1.0,0.35,0.259,0.927,16,4FGL J1759.1-2347c,5.9618254,0.015929269,-20.407625932476638,2.2479072,0.85037696,0.13254525,1.7330537,-0.9540118,-0.8786249,0.0011753658,0.98802,-0.6746972,-0.6924593,-0.6178713,1.9218719328666336,8.86974409919585,OTHER,unk,PowerLaw,3FGL J1758.8-2346,1RXS J175851.9-234511,0.022887413381304764,0.9771125866186832,0.9246064852292694,0.07539351477073147,0.7611519770976166,0.23884802290238316,0.7317673575897833,0.26823264241021694,0,48
3FGL J1759.2-3848,-29.087395124576886,-27.10923270372056,2.2362862,1.2504443396947706,3.480022271173005,0.8268579954915026,-0.4741166992032683,-0.5100572012363687,-0.9999976931328304,-7.426649,1873.4133,PowerLaw,352.88678,0.40865479875770766,0.5913452012422956,0.2141648613234561,0.785835138676545,0.41033779320148517,0.5896622067985157,0.4886183349357389,0.5113816650642611,0.94,0.997,0.918,0.593,0,4FGL J1759.1-3849,352.86853,-7.417255,-20.61589925826755,2.4166112,0.13345455,0.3349663,4.628112,0.21058479,-0.38371348,0.0022235236,-0.5778471,-0.5429672,-0.9999988,-0.9848215,1.992460876866454,7.128682135242236,AGN,bcu,LogParabola,3FGL J1759.2-3848,NVSS J175926-384753,0.21703366421364995,0.7829663357863498,0.7499807325893505,0.25001926741064956,0.7461428592200343,0.2538571407799654,0.3778517979059579,0.6221482020940424,300,0
