Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J1427.9-4206,-22.53717626,-26.5026616,2.078681,1.904423455,8.054134542,-0.485841113,-0.620358332,-0.64668466,-0.73964369,17.263723,AGN,FSRQ,415.77643,LogParabola,PKS B1424-418,0.998987225,0.001012775,0.983724648,0.016275352,0.999780298,2.20E-04,0.908224714,0.091775286,300,0
3FGL J1457.4-3539,-23.72153753,-26.90514057,2.1609483,1.644001645,7.566886005,-0.501672845,-0.674176636,-0.652753956,-0.754836569,20.53596,AGN,FSRQ,478.17722,LogParabola,PKS 1454-354,0.999554176,4.46E-04,0.985067769,0.014932231,0.999728232,2.72E-04,0.989883578,0.010116422,305,0
3FGL J1504.4+1029,-21.76200549,-26.49865856,2.0750906,2.218919966,9.22635751,-0.503363657,-0.641655157,-0.666361125,-0.789626609,54.579594,AGN,FSRQ,345.17334,LogParabola,PKS 1502+106,0.996211855,0.003788145,0.988754529,0.011245471,0.999937042,6.30E-05,0.862441563,0.137558437,254,0
3FGL J1512.8-0906,-21.58294389,-26.0456039,2.304709,2.046453107,9.306922107,-0.572596067,-0.697299975,-0.687507911,-0.756421193,40.13476,AGN,FSRQ,445.2267,LogParabola,PKS 1510-08,0.978055104,0.021944896,0.990942105,0.009057895,0.99997763,2.24E-05,0.828910765,0.171089235,299,0
3FGL J1522.1+3144,-21.62498443,-26.63994022,2.2473102,1.728629786,7.380773547,-0.572103762,-0.680975793,-0.698888124,-0.750061899,57.021595,AGN,fsrq,310.21817,LogParabola,B2 1520+31,0.999405642,5.94E-04,0.986988589,0.013011411,0.999417627,5.82E-04,0.982655838,0.017344162,307,0
3FGL J1542.9+6129,-25.64320608,-26.92460703,1.8959204,1.24677364,5.873420771,-0.450728453,-0.499732295,-0.488905472,-0.585640661,45.39357,AGN,bll,824.28064,LogParabola,GB6 J1542+6129,0.999878303,1.22E-04,0.987557547,0.012442453,0.99740275,0.00259725,0.985946121,0.014053879,288,0
3FGL J1553.5+1256,-24.62615434,-27.2214537,2.2233565,1.360411316,6.241460329,-0.565679725,-0.640573102,-0.724085649,-0.812490796,45.21973,AGN,fsrq,504.0576,LogParabola,PKS 1551+130,0.99872462,0.00127538,0.985821957,0.014178043,0.996717897,0.003282103,0.978382103,0.021617897,295,0
3FGL J1553.5-3118,-30.4282826,-27.31243089,1.5108533,1.509811901,3.780373498,0.805583807,0.999466854,-0.301959434,-0.373471578,17.209827,AGN,bll,4844.783,LogParabola,1RXS J155333.4-311841,0.947274655,0.052725345,0.584548749,0.415451251,0.822788734,0.177211266,0.785505087,0.214494913,295,0
3FGL J1555.7+1111,-26.05714448,-25.84545707,1.6043319,0.85450192,4.816678874,-0.267866548,-0.412251012,-0.265725992,-0.269642004,43.959652,AGN,BLL,1491.3805,LogParabola,PG 1553+113,0.919014315,0.080985685,0.989060783,0.010939217,0.992426423,0.007573577,0.765553944,0.234446056,274,0
3FGL J1604.6+5714,-25.25330689,-27.50805553,2.3549457,1.320863709,5.39602653,-0.484437598,-0.726538736,-0.685813219,-0.859312045,44.72887,AGN,fsrq,560.05334,LogParabola,GB6 J1604+5714,0.999200029,8.00E-04,0.972549669,0.027450331,0.982007609,0.017992391,0.977275112,0.022724888,286,0
3FGL J1612.4-3100,-29.14750216,-27.59083702,1.8796374,1.391569921,4.143743192,0.999732779,-0.091500398,-0.61840988,-0.658066206,14.646028,AGN,bcu,2426.0156,LogParabola,NVSS J161219-305937,0.99159648,0.00840352,0.645766912,0.354233088,0.82180946,0.17819054,0.909335359,0.090664641,306,0
3FGL J1617.7-7717,-24.45510782,-27.38331624,2.3409398,1.466652311,5.271903009,-0.563112161,-0.727331849,-0.845465093,-0.909699056,-18.859285,AGN,fsrq,412.01508,LogParabola,PKS 1610-77,0.992453522,0.007546478,0.910490247,0.089509753,0.94341053,0.05658947,0.973520674,0.026479326,299,0
