Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,class,CLASS1_1,Source_Name_1,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Category_Prob
-28.3160291,-27.5998318,2.3414557,-0.89772588,3.63061221,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,3FGL J0028.6+7507,1172.9393,PowerLaw,GB6 J0028+7506,0,3FGL J0028.6+7507,0.926748815,0.0732511853,0.878980414,0.121019586,0.854302966,0.145697034,0.90015172,0.0998482796,219,AGN
-27.5777405,-27.7955897,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,3FGL J0028.8+1951,761.7829,PowerLaw,TXS 0025+197,256,3FGL J0028.8+1951,0.909919225,0.0900807752,0.874625576,0.125374424,0.849948781,0.150051219,0.887643173,0.112356827,205,AGN
-28.3124208,-27.7588572,2.284518,-0.487918507,4.31071993,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,3FGL J0029.1-7045,1257.5558,PowerLaw,PKS 0026-710,0,3FGL J0029.1-7045,0.90063405,0.0993659497,0.847828339,0.152171661,0.828947556,0.171052444,0.875331531,0.124668469,220,AGN
-31.7780677,-27.5618344,1.6471963,0.281945223,4.16352433,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,3FGL J0030.2-1646,5034.0356,PowerLaw,1RXS J003019.6-164723,0,3FGL J0030.2-1646,0.930134725,0.0698652752,0.863788657,0.136211343,0.830462836,0.169537164,0.899055094,0.100944906,204,AGN
-24.7129738,-27.7358203,2.5805273,0.410798262,5.13444452,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,3FGL J0030.3-4223,415.28687,PowerLaw,PKS 0027-426,0,3FGL J0030.3-4223,0.883799074,0.116200926,0.825044147,0.174955853,0.806605534,0.193394466,0.857944071,0.142055929,214,AGN
-26.5874349,-27.676105,2.3780944,1.1432792,5.86039498,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,3FGL J0030.7-0209,696.7064,PowerLaw,PKS B0027-024,0,3FGL J0030.7-0209,0.89540236,0.10459764,0.840240393,0.159759607,0.826415245,0.173584755,0.8785323,0.1214677,197,AGN
-32.046529,-27.8475098,1.8239038,0.0584904873,3.49701813,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,3FGL J0031.3+0724,4521.002,PowerLaw,NVSS J003119+072456,0,3FGL J0031.3+0724,0.874697955,0.125302045,0.840648451,0.159351549,0.815490369,0.184509631,0.851621954,0.148378046,214,AGN
-30.0282025,-28.0972033,2.1895173,-4.19954636,3.63803559,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,3FGL J0032.3-2852,1646.3562,PowerLaw,PMN J0032-2849,0,3FGL J0032.3-2852,0.908766239,0.0912337608,0.887211541,0.112788459,0.853572173,0.146427827,0.885674158,0.114325842,215,AGN
-28.4093409,-26.6844545,1.7147852,0.717210473,4.16858447,-0.478698322,-0.313661775,-0.311244387,-0.358970865,-81.22408,AGN,bll,3FGL J0033.6-1921,2398.1309,PowerLaw,KUV 00311-1938,0,3FGL J0033.6-1921,0.875438562,0.124561438,0.833754508,0.166245492,0.798229698,0.201770302,0.852815211,0.147184789,232,AGN
-30.0913616,-27.3147603,1.8063989,0.515180308,3.96503732,-0.619532457,-0.161601058,-0.410343009,-0.347993991,-47.467373,AGN,bll,3FGL J0035.2+1513,3166.7546,PowerLaw,RX J0035.2+1515,0,3FGL J0035.2+1513,0.943310021,0.0566899789,0.890934715,0.109065285,0.872123017,0.127876983,0.924641462,0.0753585377,225,AGN
-28.8069447,-26.9583703,1.897775,-0.225809552,4.24202608,-0.304539978,-0.650992612,-0.34293222,-0.373113405,-2.981383,AGN,bll,3FGL J0035.9+5949,2967.5896,PowerLaw,1ES 0033+595,0,3FGL J0035.9+5949,0.919786007,0.0802139929,0.885281022,0.114718978,0.847760979,0.152239021,0.900680104,0.0993198963,187,AGN
-28.2922029,-27.5607038,2.1514816,-0.33270379,4.19620386,-0.56274702,-0.678579578,-0.465013727,-0.598496933,-50.084618,AGN,bll,3FGL J0037.9+1239,1387.6769,PowerLaw,NVSS J003750+123818,0,3FGL J0037.9+1239,0.903715559,0.0962844406,0.854715245,0.145284755,0.834857057,0.165142943,0.881285136,0.118714864,211,AGN
-29.2967737,-27.8322408,2.1565473,-0.36067063,3.50757278,-0.350721963,-0.716379819,-0.337127589,-0.667029535,-62.474567,AGN,bll,3FGL J0038.0+0012,1550.1482,PowerLaw,NVSS J003808+001336,0,3FGL J0038.0+0012,0.892518201,0.107481799,0.848807981,0.151192019,0.824305893,0.175694107,0.871416909,0.128583091,214,AGN
-27.2521274,-27.8811613,2.43891,0.603063708,4.66792712,-0.669426513,-0.671419095,-0.738779691,-0.876557126,-86.33264,AGN,fsrq,3FGL J0038.0-2501,733.78314,PowerLaw,PKS 0035-252,0,3FGL J0038.0-2501,0.859211419,0.140788581,0.827129359,0.172870641,0.795589745,0.204410255,0.833290307,0.166709693,204,AGN
-32.4587031,-27.9058428,1.7153648,0.988494475,3.59920329,0.96419663,-0.543848945,-0.212505221,-0.524198841,-84.41313,AGN,bcu,3FGL J0039.0-2218,5052.5894,PowerLaw,PMN J0039-2220,0,3FGL J0039.0-2218,0.93630639,0.0636936097,0.889004576,0.110995424,0.864588767,0.135411233,0.915158516,0.0848414838,224,AGN
-30.7436764,-27.8781502,1.9628744,0.616896445,3.56761678,-0.789625944,-0.136783408,-0.557159006,-0.46245255,-19.31416,AGN,bcu,3FGL J0039.1+4330,2760.5237,PowerLaw,NVSS J003907+433015,0,3FGL J0039.1+4330,0.907745411,0.0922545886,0.859859025,0.140140975,0.842652309,0.157347691,0.882446936,0.117553064,212,AGN
-27.1493875,-27.873922,2.5939708,0.908096047,3.83823792,-0.411264825,-0.835268242,-0.925210057,-0.999679366,-72.28967,AGN,fsrq,3FGL J0039.1-0939,568.70325,PowerLaw,TXS 0036-099,0,3FGL J0039.1-0939,0.924031479,0.0759685205,0.86878371,0.13121629,0.848534998,0.151465002,0.893703794,0.106296206,217,AGN
-35.4026758,-27.7000493,1.1322582,0.319675675,3.41029289,-0.726658322,-0.760773846,-0.405176319,0.327153234,-22.005041,AGN,bcu,3FGL J0040.3+4049,37201.97,PowerLaw,B3 0037+405,0,3FGL J0040.3+4049,0.874484441,0.125515559,0.822610433,0.177389567,0.783613317,0.216386683,0.85221203,0.14778797,221,AGN
-31.488284,-28.0578551,1.9462218,0.324038182,3.8968859,0.985893289,-0.635824969,-0.63174011,-0.0439826222,-85.74683,AGN,bcu,3FGL J0040.5-2339,3011.39,PowerLaw,PMN J0040-2340,0,3FGL J0040.5-2339,0.93457567,0.0654243303,0.90824281,0.09175719,0.884981844,0.115018156,0.922990766,0.077009234,188,AGN
-31.6662895,-27.9678952,1.9757644,-2.11811643,3.42304925,0.99984805,-0.944320689,-0.165152943,0.0404966451,-26.171455,AGN,bll,3FGL J0041.9+3639,3549.2144,PowerLaw,RX J0042.0+3641,0,3FGL J0041.9+3639,0.942250696,0.0577493041,0.911208884,0.0887911161,0.871717288,0.128282712,0.914909099,0.0850909014,214,AGN
-28.5356072,-27.8128697,2.3544266,0.387006593,3.95588256,-0.577199007,-0.726099294,-0.50334863,-0.999971566,-39.516415,AGN,fsrq,3FGL J0042.0+2318,1085.7772,PowerLaw,PKS 0039+230,0,3FGL J0042.0+2318,0.881000355,0.118999645,0.827604246,0.172395754,0.811256801,0.188743199,0.856855749,0.143144251,225,AGN
-32.6281959,-27.784678,1.7345864,-3.75526625,3.69664349,-0.881483737,-0.289274144,-0.260989581,-0.177278185,-67.533,AGN,bcu,3FGL J0043.5-0444,6492.1416,PowerLaw,1RXS J004333.7-044257,0,3FGL J0043.5-0444,0.900130165,0.0998698352,0.85895055,0.14104945,0.83606671,0.16393329,0.875454693,0.124545307,221,AGN
-32.3521155,-27.5525314,1.5937259,0.748916836,3.3198247,-0.999854687,0.999275968,-0.292106915,-0.36779637,-74.05682,AGN,bcu,3FGL J0043.7-1117,6018.865,PowerLaw,1RXS J004349.3-111612,0,3FGL J0043.7-1117,0.917079703,0.0829202973,0.88165979,0.11834021,0.857166484,0.142833516,0.901441262,0.0985587379,194,AGN
-27.8358717,-27.3439934,2.0446968,-0.932018391,4.65483858,-0.432409798,-0.618498625,-0.413579651,-0.598304061,-28.41628,AGN,fsrq,3FGL J0043.8+3425,1432.6361,PowerLaw,GB6 J0043+3426,0,3FGL J0043.8+3425,0.922494931,0.0775050688,0.872924151,0.127075849,0.847322641,0.152677359,0.903247536,0.0967524638,231,AGN
-26.0631481,-27.9178278,2.542837,-0.642320881,5.15759959,-0.657116888,-0.734699582,-0.660355779,-0.852533302,-79.96312,AGN,bcu,3FGL J0045.2-3704,509.48514,PowerLaw,PKS 0042-373,0,3FGL J0045.2-3704,0.9002575,0.0997425002,0.849725392,0.150274608,0.82237114,0.17762886,0.876941334,0.123058666,212,AGN
-29.0023209,-27.2695065,1.89904,0.535339489,4.08580004,-0.578409296,-0.540925806,-0.296415459,-0.543390976,-41.403828,AGN,bll,3FGL J0045.3+2126,2334.118,PowerLaw,GB6 J0045+2127,0,3FGL J0045.3+2126,0.905623373,0.0943766273,0.864235942,0.135764058,0.837451463,0.162548537,0.88423075,0.11576925,241,AGN
-29.2258307,-27.4301808,1.9597332,0.12572087,3.99017611,-0.0989862443,-0.476036462,-0.504620423,-0.556359964,-50.559357,AGN,bll,3FGL J0045.7+1217,2168.2095,PowerLaw,GB6 J0045+1217,0,3FGL J0045.7+1217,0.886089019,0.113910981,0.848405868,0.151594132,0.82530911,0.17469089,0.872597449,0.127402551,224,AGN
-25.7001402,-27.642201,2.8206205,-0.434945877,4.14287299,-0.703688092,-0.68903266,-0.84782763,-0.999944815,-32.807045,AGN,fsrq,3FGL J0046.7-8419,395.72586,PowerLaw,PKS 0044-84,0,3FGL J0046.7-8419,0.894701494,0.105298506,0.869622494,0.130377506,0.844346164,0.155653836,0.876314949,0.123685051,211,AGN
-27.3216252,-27.3618304,2.22425,0.360219245,4.30997248,-0.667112027,-0.566173606,-0.510030321,-0.764440144,-5.8951225,AGN,bll,3FGL J0047.0+5658,1172.4714,PowerLaw,GB6 J0047+5657,4,3FGL J0047.0+5658,0.89625108,0.10374892,0.84824743,0.15175257,0.8233908,0.1766092,0.875816045,0.124183955,195,AGN
