Source_Name,AGN_BDT_MEAN,AGN_BDT_STD,PSR_BDT_MEAN,PSR_BDT_STD,AGN_NN_MEAN,AGN_NN_STD,PSR_NN_MEAN,PSR_NN_STD,AGN_RF_MEAN,AGN_RF_STD,PSR_RF_MEAN,PSR_RF_STD,AGN_LR_MEAN,AGN_LR_STD,PSR_LR_MEAN,PSR_LR_STD
4FGL J1520.5+4209,0.9997415208031306,0.0003134097641587897,0.0002584791968694072,0.00031340976415879083,0.9982029074076845,0.001230993526207373,0.0017970925923156743,0.0012309935262073727,0.996354087061692,0.002286353839587175,0.003645912938307976,0.002286353839587168,0.9995132931072536,0.00016852345979000396,0.0004867068927464158,0.00016852345979000412
4FGL J1520.8-0348,0.9447311796023647,0.05420835281596373,0.055268820397635345,0.05420835281596372,0.801981314542023,0.1167547450928877,0.198018685457977,0.1167547450928877,0.8814238632777267,0.04665554186600831,0.11857613672227317,0.04665554186600831,0.8945587199194658,0.026783596633727612,0.10544128008053438,0.026783596633727612
4FGL J1521.1+0421,0.998760293971677,0.0017565917559555643,0.0012397060283228323,0.0017565917559555634,0.9677578600749149,0.025340569627614273,0.03224213992508507,0.025340569627614273,0.9720693755537436,0.021247068698879157,0.027930624446256436,0.02124706869887915,0.9852637554319228,0.004596639918950433,0.01473624456807732,0.004596639918950435
4FGL J1521.8+4338,0.9994308587495049,0.0005845515215549352,0.0005691412504950961,0.0005845515215549339,0.9980614433165605,0.0011595634969435052,0.0019385566834393684,0.0011595634969435047,0.994348665265813,0.0053331685594971995,0.005651334734187074,0.005333168559497189,0.9987399052145021,0.0005437149059931077,0.0012600947854979356,0.0005437149059931072
4FGL J1522.1+3144,0.9948421712498456,0.015644371535598556,0.005157828750154297,0.015644371535598552,0.9768065198237255,0.024166953748976792,0.02319348017627448,0.024166953748976792,0.9894747695685885,0.012454938842968624,0.010525230431411589,0.012454938842968626,0.9974066465028482,0.0022611930771837957,0.0025933534971518107,0.002261193077183796
4FGL J1522.6-2730,0.9974352538266414,0.0037367030305817026,0.0025647461733586605,0.0037367030305817048,0.9921102548544088,0.007222800948860083,0.007889745145591088,0.007222800948860084,0.9721957420726757,0.02361376863227977,0.027804257927324195,0.02361376863227977,0.9960355994972452,0.0013373580998534923,0.003964400502754939,0.0013373580998534956
4FGL J1523.2-3941,0.9989077275200567,0.0012777513547201137,0.0010922724799431692,0.001277751354720113,0.9580306104441678,0.03923207976252949,0.041969389555832216,0.03923207976252949,0.9785267736270331,0.012287826705339327,0.02147322637296683,0.012287826705339318,0.9936564946760401,0.0020558722625971955,0.006343505323960065,0.0020558722625971955
4FGL J1523.2+0533,0.9883618996351378,0.0962877082686644,0.011638100364862356,0.09628770826866441,0.9966986112112093,0.0026032048967745912,0.0033013887887907026,0.002603204896774591,0.9947061141658177,0.008118194746558309,0.00529388583418252,0.008118194746558314,0.9975188393396109,0.0007598659588662646,0.0024811606603891328,0.0007598659588662636
4FGL J1524.8-5904,0.9994971076291975,0.00048114955531232704,0.0005028923708024207,0.00048114955531233,0.9915383415042202,0.005763030647324673,0.008461658495779954,0.005763030647324674,0.993653453553991,0.008958330890804224,0.006346546446008923,0.00895833089080424,0.9915974827992436,0.0026884711525671373,0.0084025172007562,0.0026884711525671356
4FGL J1526.1-0831,0.9991903668434027,0.0008219521520709661,0.000809633156597428,0.0008219521520709648,0.9929324715396781,0.006842264509724678,0.0070675284603218935,0.006842264509724679,0.9885649257338085,0.009250483437033783,0.011435074266191607,0.009250483437033778,0.9959716856503501,0.00129605999006488,0.004028314349649752,0.0012960599900648758
4FGL J1526.7-1529,0.9996660734864858,0.00035291370970599466,0.00033392651351437996,0.0003529137097059928,0.990688168055683,0.0071005248781087485,0.009311831944316954,0.007100524878108746,0.9975170615080168,0.001920328326088187,0.002482938491983344,0.0019203283260881814,0.9919337630201623,0.0022656673657277114,0.00806623697983755,0.0022656673657277097
4FGL J1527.3+3117,0.9997594289190213,0.00019235092300810407,0.00024057108097869467,0.00019235092300810328,0.998103673565845,0.0014812805579406234,0.001896326434154972,0.001481280557940624,0.9951236890703338,0.005130729464615117,0.004876310929666318,0.005130729464615104,0.9990659388897047,0.0003515263847807921,0.0009340611102953438,0.00035152638478079176
4FGL J1528.2-2905,0.9995870880724561,0.0004553607367035297,0.00041291192754378854,0.00045536073670352824,0.9955549261382638,0.005509601429153538,0.004445073861736282,0.0055096014291535385,0.9946081086364064,0.005882424499861518,0.005391891363593624,0.005882424499861509,0.9983156924514625,0.0005716163285274665,0.0016843075485375614,0.0005716163285274657
4FGL J1528.5-2240,0.993474804873777,0.011248066052581957,0.006525195126222977,0.011248066052581955,0.7977562681596323,0.11402534537314249,0.20224373184036767,0.11402534537314249,0.9203995390549872,0.03576044509212159,0.07960046094501287,0.03576044509212159,0.8070357941664067,0.04778841913379219,0.1929642058335933,0.04778841913379219
4FGL J1529.2+3812,0.9994698031648237,0.0004071164928638785,0.000530196835176299,0.0004071164928638771,0.9917242271753404,0.0058292784420623835,0.008275772824659642,0.005829278442062382,0.9941987421432869,0.00604887908292673,0.005801257856713188,0.0060488790829267254,0.9912215425217948,0.0022537046887567917,0.00877845747820523,0.0022537046887567886
4FGL J1529.7+6733,0.9998271633570894,0.00014354511205161722,0.00017283664291047046,0.00014354511205161868,0.9979597134160781,0.001211147391609743,0.002040286583922037,0.0012111473916097436,0.9955395214804617,0.004509602973525623,0.004460478519538331,0.004509602973525635,0.99829764131508,0.000539285049318929,0.0017023586849199874,0.0005392850493189296
4FGL J1530.5-3026,0.9996445426185365,0.00030211024489802695,0.0003554573814634917,0.00030211024489803037,0.9900858286460279,0.007423300559549733,0.009914171353972066,0.007423300559549735,0.9977607061813832,0.0030551588632192405,0.002239293818616807,0.0030551588632192336,0.9904798328499759,0.002655317858957198,0.009520167150024164,0.0026553178589571987
4FGL J1530.9+5736,0.9995001783824953,0.0004143240833977859,0.000499821617504861,0.0004143240833977839,0.9971638319221573,0.0016417214099677339,0.002836168077842519,0.0016417214099677358,0.9968224152329853,0.0033750659474707724,0.003177584767014513,0.0033750659474707703,0.9947454177230522,0.0014901737555532296,0.005254582276947829,0.001490173755553232
4FGL J1531.7+4710,0.9981789646315327,0.003033302941765814,0.0018210353684673494,0.003033302941765812,0.9945681848785305,0.0037903102442631295,0.005431815121469454,0.003790310244263128,0.9899378198479213,0.01233692512302581,0.010062180152078621,0.012336925123025807,0.9890042450408003,0.003608134973390172,0.010995754959199694,0.0036081349733901725
4FGL J1532.0+3016,0.9998301886527935,0.00011815441111106512,0.00016981134720652272,0.00011815441111106466,0.998243001480242,0.001374039468833911,0.0017569985197579648,0.0013740394688339114,0.9988058657961228,0.0007002760282041889,0.0011941342038773216,0.0007002760282041844,0.9991039058567898,0.00026701431452902326,0.0008960941432103141,0.0002670143145290228
