Flux_Density_1,Unc_Energy_Flux100_1,Spectral_Index_old,Signif_Curve_1,var_1,hr12,hr23,hr34,hr45,GLAT_1,Source_Name,Pivot_Energy_1,SpectrumType_1,GLON,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-29.14930237159584,-27.884762157483962,2.3119533,-0.22643609077819515,3.8409798979286696,-0.6096157118203253,-0.6260283608557524,-0.6709078123324567,-0.45703604490283833,-43.910923,3FGL J0007.4+1742,1239.5774,PowerLaw,108.33184,0,0.9984218526043576,0.0015781473956425936,0.9945219680125739,0.0054780319874244785,0.9831231246899466,0.016876875310054953,0.9531916302588469,0.04680836974115366,0.0,0.0,0.0,0.0
-29.518621952015796,-27.811253296988966,2.2756045,-0.020848936486780684,3.793004914905388,-0.23640781773404712,-0.7857580082559009,-0.4598722314558544,-0.5895593077013017,-22.007206,3FGL J0007.9+4006,1504.622,PowerLaw,113.97717,0,0.9995672077034551,0.0004327922965443789,0.9792048517331565,0.02079514826684406,0.9756482301718291,0.024351769828171072,0.968689902338161,0.031310097661839176,0.0,0.0,0.0,0.0
-28.591714124098004,-27.8123655982153,2.2695491,0.4497952458916993,3.5392097654663734,-0.49492585804791145,-0.5450800398095748,-0.6665679906146269,-0.6761528719520202,-46.658096,3FGL J0008.3+1456,1148.4678,PowerLaw,107.67859,0,0.9421479399006616,0.057852060099337035,0.9236064073670659,0.07639359263293452,0.6174142939613373,0.38258570603866215,0.750212384709367,0.2497876152906332,0.0,0.0,0.0,0.0
-28.7628942443307,-27.994615299835594,2.3083522,1.0476684069130653,4.0346306151988065,0.9989722999406816,-0.684107978875886,-0.7668650333131017,-0.999941859799739,-74.11172,3FGL J0010.5-1425,1005.85754,PowerLaw,84.006,0,0.9627067724245026,0.03729322757549574,0.9275147723175624,0.07248522768243673,0.31778161817483425,0.6822183818251656,0.5684520080329368,0.43154799196706384,0.0,0.002,0.991,0.165
-27.95216759423886,-27.448810731980732,2.504053,0.061235917290220446,3.9960422270490206,-0.5965988060456026,-0.8271707467049291,-0.512704790395914,-0.7306166513081951,-66.09583,3FGL J0014.3-0455,964.4531,PowerLaw,99.59009,16,0.9998496017965436,0.00015039820345489217,0.9946529053998031,0.005347094600197872,0.9749897534428823,0.025010246557117706,0.9858763704322242,0.014123629567776914,0.0,0.0,0.0,0.0
-28.404942308166298,-27.871782758376515,2.438119,0.813639431864053,3.9680954842985345,-0.5651304706865975,-0.6487431672129087,-0.9146185519314425,-0.33892222501269914,-44.850296,3FGL J0016.5+1713,890.5665,PowerLaw,111.14098,0,0.992530494400225,0.007469505599776155,0.9791072803780004,0.020892719622000015,0.6955311254349369,0.3044688745650641,0.8538684971711742,0.14613150282882562,0.0,0.0,0.0,0.0
-31.54728771266732,-27.82849692049418,1.8830268,0.1615234341566714,3.587495355354232,0.9994944134846904,-0.4157357536548215,-0.7744112554256379,0.04434334084547855,-47.293262,3FGL J0017.1+1445,3583.9836,PowerLaw,110.67224,0,0.9988768807824312,0.0011231192175695512,0.9977344741074168,0.0022655258925831398,0.9757895831053505,0.024210416894650102,0.9550391517169441,0.04496084828305495,0.0,0.0,0.0,0.0
-32.66525154880992,-27.728900904351107,1.6399021,0.43271269786526106,3.9966331434162568,-0.9988298584244456,0.9996047432273832,-0.20042441311169254,-0.47608342748093824,-58.60079,3FGL J0020.9+0323,6460.085,PowerLaw,108.19788,0,0.9995444278345343,0.0004555721654658776,0.9936655236532588,0.0063344763467409,0.9806965866059291,0.019303413394071003,0.9976557218700571,0.002344278129943093,0.0,0.0,0.0,0.0
-26.572879494614423,-27.729658173659296,2.784271,-1.6638638980526095,3.641846414047368,-0.8458418114467575,-0.5667570782584171,-0.7428607909288512,-0.9999917679566133,-15.7352295,3FGL J0022.7+4651,462.09705,PowerLaw,117.84313,0,0.978371626926191,0.02162837307380806,0.9542579199621575,0.04574208003784306,0.9977413420862721,0.002258657913728685,0.829606841020644,0.17039315897935597,0.0,0.0,0.0,0.0
-29.405559876380547,-28.02364860501849,2.1874866,-0.39339708056426326,3.942383311622283,-0.4091772424736397,-0.4580052167558509,-0.6541771928705498,-0.5462664480616305,-68.35451,3FGL J0026.2-4812,1436.4507,PowerLaw,314.37054,0,0.9997163296898786,0.0002836703101228557,0.996333594348903,0.0036664056510975164,0.9913866833453562,0.008613316654643073,0.9780682719975676,0.021931728002433988,0.0,0.0,0.0,0.0
-29.859866740372272,-28.042485186886914,2.1391132,0.5911794584191239,3.5117344358953235,0.9718754356961963,-0.44261855764458496,-0.5809619294915024,-0.9991398106993409,-84.071144,3FGL J0031.2-2320,1541.3683,PowerLaw,71.50226,0,0.9759101989397951,0.024089801060205224,0.9180562247940257,0.08194377520597473,0.4665462277086003,0.5334537722914005,0.8518836727616762,0.14811632723832246,0.0,0.007,0.74,0.0
