Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J1850.2-0201,30.99849,-0.66888255,-20.580142018030532,2.3034542,0.20461518,0.044803042,0.72845304,0.7386353,0.50074184,0.0013997158,-0.80235827,-0.7639,-0.5505952,-0.6141301,1.5711488254240875,8.418826164210952,PowerLaw,0.07572578,0.15825525,,,,0.0,0.0,30,0.8694193638505526,0.1305806361494472,0.4010808519623562,0.5989191480376446,0.09195563263699977,0.9080443673630013,0.7648610884948708,0.23513891150512928,0.002,0.692,1.0,0.0
4FGL J1850.8-1105,22.969717,-4.895749,-21.12707564155467,2.5266745,0.24103084,0.46851268,3.6440864,0.86237127,-0.7646682,0.008945125,-0.5516184,-0.728259,-0.9195162,-0.9999999,1.8765348297004723,7.230282085673051,LogParabola,0.20914848,0.7803419,,,,0.0,0.0,1,0.20614172315540422,0.793858276844595,0.05341377881397227,0.946586221186025,0.027750320320255137,0.9722496796797457,0.23087967918017732,0.7691203208198227,0.998,0.998,1.0,1.0
4FGL J1851.5+0718,39.45879,3.3015318,-20.57256063275235,2.5036888,0.14722991,0.17829783,2.988115,-0.17155683,-0.6514895,0.0023964853,-0.7852138,-0.42578927,-0.99999696,-0.25132397,1.1454996831903423,7.411726786870539,LogParabola,0.076735355,0.32418028,,,,0.0,0.0,4,0.1364337337908871,0.8635662662091137,0.009565236009086472,0.9904347639909138,0.009577024814065216,0.9904229751859336,0.3840506750453775,0.6159493249546226,1.0,1.0,1.0,0.956
4FGL J1852.2-1309,21.271141,-6.1454973,-20.912985849155017,2.2666948,0.22068211,0.63552856,4.883511,0.8835034,-0.06452415,0.004368665,-0.17353576,-0.506357,-0.9730046,-0.9966521,2.156624238960243,7.506259911821852,LogParabola,0.20310688,0.570907,,,,0.0,0.0,0,0.11457520864215048,0.8854247913578496,0.04417696840929283,0.9558230315907067,0.024391325873850078,0.9756086741261499,0.09402093638877616,0.9059790636112239,0.964,0.998,1.0,1.0
4FGL J1852.6+0203,34.90414,0.6683867,-19.953677416436207,2.5079257,0.14242889,0.13335004,2.3772507,0.87323004,-0.48517334,0.0041707596,-0.68901575,-0.71836215,-0.86737746,-0.3968162,1.5813042226247254,7.878215281656179,PowerLaw,0.07434628,0.5603096,,,,0.0,0.0,2,0.33167598956249544,0.6683240104375041,0.022463070319576933,0.9775369296804229,0.005258285580893324,0.9947417144191071,0.5375604842579664,0.4624395157420333,0.942,1.0,1.0,0.284
4FGL J1853.2-0922c,24.77303,-4.6686044,-21.644952477010868,2.5221386,0.33073974,0.4413179,2.7554915,-0.9995768,0.99959666,0.0083538955,-0.9111285,-0.34811872,-0.86964524,-0.9999922,1.3890106669782487,7.238053639246747,PowerLaw,0.2547766,0.620756,,,,0.0,0.0,32,0.42676354868564487,0.5732364513143552,0.1473766678357236,0.8526233321642751,0.049911647173880774,0.9500883528261196,0.5395774059106537,0.4604225940893465,0.675,0.958,1.0,0.271
4FGL J1853.3-2447,10.771247,-11.429002,-21.759314110592126,2.4574566,0.18475981,0.15058272,1.2650336,-0.9668852,0.99784565,0.0032109546,-0.7941263,-0.7085979,-0.57620883,-0.47136313,2.3161854250794867,7.235497303673695,PowerLaw,0.14499222,0.3333504,,,,0.0,0.0,256,0.9561075870159609,0.043892412984038384,0.950938585383499,0.04906141461650176,0.9181023850474777,0.08189761495252382,0.8080643109226135,0.1919356890773869,0.0,0.002,0.0,0.0
4FGL J1853.6-0620,27.534107,-3.389242,-21.533923038546966,2.340255,0.24007976,0.21334393,1.6936508,-0.99932957,0.9922313,0.011377805,-0.80028826,-0.43328372,-0.99131095,0.77865577,2.3337084742451815,7.840336320316646,PowerLaw,0.14461592,1.7116917,,,,0.0,0.0,1,0.9420300635704634,0.057969936429537273,0.8280926139309134,0.17190738606908593,0.42840557478675867,0.5715944252132411,0.6449009997137654,0.3550990002862337,0.0,0.112,0.885,0.013
4FGL J1853.8-1107,23.27619,-5.5821652,-21.6897001921066,2.511803,0.34975818,0.7426598,2.6809497,-0.9970352,0.9995668,0.001546298,-0.74336326,-0.95473725,0.1841918,-0.46701568,1.8755898846547956,7.374809187074796,PowerLaw,0.15176414,0.22714648,,,,0.0,0.0,24,0.7364967069192264,0.2635032930807732,0.6625965418432512,0.33740345815674877,0.888485224833945,0.11151477516605626,0.7068617890364564,0.2931382109635435,0.018,0.264,0.0,0.0
4FGL J1854.3-3640,359.62442,-16.354572,-22.242837584626006,2.1710796,0.3882694,0.39839005,2.9146216,0.070775256,0.9974724,0.005548014,-0.5641607,-0.24800652,-0.9999988,0.9719433,1.599689585636578,7.616815325634104,PowerLaw,0.24029312,0.9071097,,,,0.0,0.0,0,0.9996400637751374,0.0003599362248631088,0.8383638510088789,0.16163614899112094,0.8535165701900276,0.14648342980997262,0.9260143585680507,0.07398564143194843,0.0,0.032,0.0,0.0
4FGL J1854.7+0153,34.998062,0.11998991,-19.183493639558307,2.439556,0.14395073,0.25206256,5.177643,0.3311681,-0.6205547,0.0032257591,-0.6940562,-0.636403,-0.88566047,-0.9999998,0.08532638525995599,8.041337560561477,LogParabola,0.09322428,0.5229392,,,,0.0,0.0,6,0.20440842597436035,0.7955915740256394,0.00022036053758958286,0.9997796394624108,1.1267910310945095e-05,0.9999887320896885,0.0926547721354398,0.9073452278645617,0.803,1.0,1.0,1.0
