Source_Name,AGN_BDT_SMOTE,AGN_BDT_STD_SMOTE,AGN_NN_SMOTE,AGN_NN_STD_SMOTE,AGN_RF_SMOTE,AGN_RF_STD_SMOTE,AGN_LR_SMOTE,AGN_LR_STD_SMOTE,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffBDT,diffNN,diffRF,diffLR
4FGL J0143.1-3622,0.9935834372845328,0.016031410434511614,0.9830239672100998,0.02050170598587235,0.9571071451353117,0.015483722919011896,0.9945926614413612,0.0027918982239407827,4FGL J0143.1-3622,0.99754949,0.00125305135,0.993179789,0.00835169497,0.987550925,0.00694955492,0.996788873,0.00125160042,0.24739262535062542,0.4953647173019945,1.9661795825154857,0.7866373995320067
4FGL J0143.5-3156,0.9873117136142691,0.010957012107322212,0.9311723415439797,0.07582180588152643,0.883918000161287,0.03331898686997051,0.9051339363232748,0.04140839224496618,4FGL J0143.5-3156,0.981324641,0.0205011099,0.97614758,0.0254704095,0.935992143,0.0322920653,0.95530492,0.0147328016,-0.2920365113631729,0.59317023556911,1.5628969464748652,1.2116139013541216
4FGL J0143.7-5846,0.9960570972084799,0.002877997288489541,0.9819856282757781,0.026342170381449495,0.9389657365038963,0.017893229437020073,0.9659095096351393,0.014197619032854741,4FGL J0143.7-5846,0.995927324,0.00523368951,0.993695036,0.00768516211,0.984577304,0.00799443639,0.978705359,0.00580887414,-0.024795740792799763,0.44451188169627165,2.549096442128887,0.9012672713114618
4FGL J0144.6+2705,0.9675161563088733,0.0208835557993679,0.9240393214153225,0.08979788465943385,0.9308280693514331,0.027805238151662037,0.9524378913424696,0.026039595647664896,4FGL J0144.6+2705,0.993269088,0.0037079563,0.950714729,0.0515643656,0.984800575,0.0143497086,0.958813001,0.0136011733,1.2331679498711698,0.2970605341745657,1.9410912920140067,0.2448236809737903
4FGL J0145.0-2732,0.9935152121304051,0.006334906454285324,0.9895551744756359,0.01258147688427924,0.9483039931464416,0.016572997138654854,0.9997365872796738,2.0932655770340055E-4,4FGL J0145.0-2732,0.998241724,0.00100022051,0.994707073,0.00772068061,0.986627685,0.00650912204,0.999759191,1.4141599E-4,0.7461060244066642,0.4094828112589495,2.3124176956606215,0.10798305085668924
4FGL J0145.9+2319,0.9380555630045714,0.043216832490650225,0.9416372599267054,0.04216779076261896,0.8513727792517006,0.041980478560875285,0.9184213361069705,0.022502111851174397,4FGL J0145.9+2319,0.972865359,0.0157841008,0.977167782,0.0179567157,0.960883504,0.016107734,0.964383445,0.00825192284,0.8054684711786688,0.8425986145044089,2.6086106805452314,2.0425686796428684
4FGL J0146.0-6746,0.9971074418789215,0.001939024809612936,0.9738751247823709,0.02425187074291804,0.949171488793112,0.016181245675463418,0.9821187665300771,0.006924664459737403,4FGL J0146.0-6746,0.998828695,5.90275268E-4,0.990388634,0.0100216858,0.990064923,0.00393273577,0.988495142,0.00316979386,0.8876900968699348,0.680916923592432,2.52721175038441,0.9208208581076393
4FGL J0146.3+4606,0.8843583800700447,0.054009612684771946,0.845667811846328,0.1088114722729284,0.8335667048858125,0.03569516357356013,0.6487011566497444,0.046428044090948556,4FGL J0146.3+4606,0.978925913,0.0108561687,0.941974687,0.054276681,0.965501214,0.013259693,0.830834946,0.0226559323,1.75093892048255,0.8850801587548459,3.6961452450637617,3.9229261735314784
4FGL J0146.9-5202,0.9752817860723866,0.01301145960061562,0.9494900436238104,0.05303128663255371,0.8581463081352685,0.03526368826487898,0.9194730891803596,0.024716777677305665,4FGL J0146.9-5202,0.99153667,0.00376849467,0.977948739,0.0205131559,0.973995386,0.00908125435,0.949762452,0.0125520587,1.2492744416502166,0.5366397306815482,3.2852229464639384,1.2254575905924536
4FGL J0147.7-1321,0.9976159630775536,0.0018241962179445593,0.967756093612746,0.033145202013576174,0.9005163281001451,0.02469106752132847,0.9705289865853127,0.016061745557578635,4FGL J0147.7-1321,0.988460946,0.00783732357,0.9856266,0.014207762,0.957065798,0.0167962255,0.974047853,0.00910125391,-1.1681305481117985,0.5391581677473067,2.2902804769784333,0.2190836856475343
4FGL J0148.2+5201,0.967984364947425,0.02190291104862413,0.8683044324633061,0.1440399190659046,0.7015543931869603,0.05277124179892787,0.8748609287882743,0.0346649643804899,4FGL J0148.2+5201,0.961256263,0.0285287188,0.934713066,0.0884869363,0.914725261,0.0306443977,0.907704496,0.0191377996,-0.23583610587605547,0.46104325778126154,4.039527222521614,0.9474571169676651
4FGL J0148.6+0127,0.9935972689356204,0.0046822482645193534,0.9731553769735014,0.03097224563009643,0.9007667072843661,0.03386108942095477,0.9494227262921995,0.01798426104993393,4FGL J0148.6+0127,0.99152693,0.00430535214,0.988733373,0.010795568,0.9729151,0.0132910003,0.974731289,0.0069418611,-0.44216769779354925,0.5029663077242638,2.1307168183131524,1.4072617516800026
4FGL J0149.6-0734,0.9779018217529292,0.014677794023474074,0.8645243097806877,0.12871427984775155,0.8397495913278772,0.035479222411592015,0.6565196181044497,0.08765982175011294,4FGL J0149.6-0734,0.977755107,0.0142571224,0.95126343,0.0509062715,0.952506456,0.0189640909,0.829847006,0.0362218715,-0.009995695040720426,0.6738888670465377,3.178109806467519,1.9772728763885152
4FGL J0150.6-5448,0.9557318249341799,0.02684258540768879,0.9426462102067092,0.050774173688958917,0.8313776732639716,0.04321349143247048,0.828048611207506,0.05159440675407128,4FGL J0150.6-5448,0.989043198,0.00564176977,0.978309604,0.0200419124,0.961682567,0.0161850965,0.923290897,0.019702955,1.2409897392476357,0.7023924015339698,3.0153752778725416,1.8459808297917593
4FGL J0151.0+0539,0.9869103904104327,0.0101908108736276,0.9092416884089665,0.08278004699880116,0.8464738052707442,0.03903293097898627,0.7762347342258631,0.06661409699488924,4FGL J0151.0+0539,0.978797996,0.0130464312,0.971525404,0.0251878962,0.953179305,0.0185231112,0.898130239,0.02672835,-0.6218094654446777,0.7524000994096502,2.7337301363994846,1.8298755109371063
4FGL J0151.3+8601,0.9799339874225205,0.011678894210399466,0.9698757696223281,0.02430180354897354,0.9346282435140933,0.020196415329408145,0.9588019918407502,0.013623102149748406,4FGL J0151.3+8601,0.993261927,0.00296633387,0.987843399,0.0108353526,0.982135822,0.00813341459,0.981639405,0.0053318768,1.1411987588355512,0.7393537414399327,2.3522777538017143,1.6763739204342363
