Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
4FGL J1620.5-5729,0.9219489628007205,0.058790697575595345,0.07805103719927957,0.058790697575595345,0.7580807141579043,0.19967232885434216,0.24191928584209563,0.19967232885434216,0.7441155025416859,0.08829045799978977,0.25588449745831404,0.08829045799978977,0.6623576814206252,0.07301041964581773,0.3376423185793748,0.07301041964581773
4FGL J1620.8-4958c,0.18779247244946043,0.30242912928110105,0.8122075275505396,0.30242912928110105,0.03151901997640831,0.052403200751539945,0.9684809800235916,0.05240320075153994,0.08395934534834934,0.0382581551640181,0.9160406546516506,0.03825815516401809,0.029133702946693596,0.02228994084723244,0.9708662970533064,0.02228994084723244
4FGL J1620.8-5035c,0.5809082805334076,0.3074819328711205,0.41909171946659235,0.30748193287112047,0.4413522549879576,0.3163885106743743,0.5586477450120424,0.3163885106743743,0.39100846737464634,0.15899379293221966,0.6089915326253538,0.15899379293221966,0.16470110332372803,0.09271453013768016,0.8352988966762719,0.09271453013768016
4FGL J1620.9+4852,0.9981405986916394,0.0019594606929382004,0.0018594013083606201,0.0019594606929382013,0.9928125327417986,0.00840084777182471,0.007187467258201373,0.00840084777182471,0.9670023064431859,0.022281447523375714,0.032997693556814166,0.022281447523375714,0.9775491364889385,0.009075577238960783,0.022450863511061424,0.009075577238960785
4FGL J1621.0-2625,0.9280764983114654,0.08943444610226849,0.07192350168853445,0.08943444610226849,0.6949951228901344,0.25763148044617956,0.30500487710986557,0.25763148044617956,0.6058348930027553,0.10188571823211445,0.39416510699724483,0.10188571823211445,0.7196320347471248,0.09922816591951909,0.2803679652528753,0.09922816591951909
4FGL J1621.4-4511,0.6868121674273252,0.20103565368958978,0.31318783257267474,0.2010356536895898,0.39358422010656513,0.28131687353748697,0.6064157798934348,0.28131687353748697,0.4500756656072024,0.11450273393032276,0.5499243343927976,0.11450273393032274,0.5596696358795243,0.1308330898451613,0.44033036412047577,0.1308330898451613
4FGL J1621.9+6706,0.9957027503166276,0.005093421917101873,0.004297249683372568,0.00509342191710187,0.7526750270928905,0.21381999727815568,0.24732497290710956,0.21381999727815568,0.9840710402191354,0.014901537403588792,0.01592895978086458,0.01490153740358879,0.6455059906284192,0.10736531469433762,0.35449400937158076,0.10736531469433762
4FGL J1622.0-5157c,0.5969075093303993,0.22324961761660586,0.4030924906696007,0.22324961761660586,0.46399460176316587,0.30572695859653204,0.5360053982368342,0.30572695859653204,0.64947528079306,0.09954084015011601,0.35052471920693995,0.09954084015011602,0.2773835619901876,0.10999528311175308,0.7226164380098123,0.10999528311175308
4FGL J1622.2-7202,0.15970212626653899,0.12008509112044202,0.840297873733461,0.12008509112044202,0.17688378657646847,0.17572666519542468,0.8231162134235315,0.17572666519542468,0.14918181227571098,0.07148650867130182,0.8508181877242891,0.07148650867130182,0.21542975444660678,0.05473169178753429,0.7845702455533933,0.05473169178753429
4FGL J1622.5-4726,0.44755301094545324,0.20606765054548856,0.5524469890545467,0.20606765054548853,0.17634449368813693,0.18335907230889842,0.823655506311863,0.18335907230889842,0.35032923207681305,0.10642514861647827,0.649670767923187,0.10642514861647827,0.22732806754954737,0.07445899998606192,0.7726719324504527,0.07445899998606192
4FGL J1622.7-4934c,0.06635032463662324,0.2127590777698521,0.9336496753633768,0.2127590777698521,0.011886527818851052,0.01493631811446539,0.988113472181149,0.01493631811446539,0.018159760315770525,0.011659159462297787,0.9818402396842296,0.011659159462297794,0.0006795134524293756,0.0004759145043530538,0.9993204865475707,0.0004759145043530538
4FGL J1623.0-4624,0.9389624957025163,0.05735595737585886,0.061037504297483634,0.05735595737585886,0.6885243573810457,0.2474331731475545,0.31147564261895433,0.2474331731475545,0.9060936340492829,0.046672208380976514,0.09390636595071722,0.04667220838097651,0.6297667298749194,0.1068642113766192,0.3702332701250806,0.1068642113766192
4FGL J1623.7-2315c,0.9748864891335969,0.02730654128043048,0.025113510866403052,0.02730654128043048,0.9349629343910258,0.11180143642857691,0.0650370656089741,0.1118014364285769,0.863219975561705,0.053969586612086354,0.136780024438295,0.05396958661208637,0.9361791288239962,0.03551360920594025,0.06382087117600366,0.03551360920594025
