Source_Name,AGN_BDT_S,AGN_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffRF,diffLR2,diffBDT,diffNN,diffNN2,diffLR,diffRF2,diffBDT2
4FGL J0442.6-0017,0.9997515495885549,1.7434460682525503E-4,0.9993016542991605,0.0017489352627422631,0.993922402074244,0.005930274789172313,0.9999401364146929,3.943851136392379E-5,4FGL J0442.6-0017,0.999549949,3.37644442E-4,0.994625742,0.010030585,0.99657914,0.00523802122,0.999870748,9.69561039E-5,-0.3357717216684181,0.715668347858914,0.5305282115511137,0.4592369821788041,0.6629233053927088,0.6629233053927088,-0.447995754025902,0.5970795413090066
4FGL J0442.7+6142,0.9948423021185451,0.004383192754241427,0.9894722155334926,0.05646558212549405,0.9943536514889407,0.006059193924718587,0.9604334609782907,0.013856641048040588,4FGL J0442.7+6142,0.998513632,9.82846645E-4,0.982653464,0.0218107487,0.996741756,0.00498748741,0.95775421,0.0148484508,-0.30430020177540257,0.1804397653585984,-0.8172979486263013,0.11264785895422921,0.13191991866029693,0.13191991866029693,-0.3941290773541665,-0.8375926150868729
4FGL J0443.3-6652,0.9995842204251378,3.4147906396174405E-4,0.9997817914488238,6.305725702828995E-4,0.9940726867100335,0.004979754121867584,0.9979412498424449,8.391011455036269E-4,4FGL J0443.3-6652,0.999094345,6.39138091E-4,0.995667768,0.00730510878,0.993986296,0.00678302987,0.997483317,0.00110567953,0.010266622195117718,0.414164167844263,0.6760244294363844,0.5610842798220781,0.32991646485667653,0.32991646485667653,0.012736300987786777,0.7664625720731559
4FGL J0443.4-4152,0.9987646022732775,0.0011277782894084732,0.9991457557666268,0.002207026432317155,0.9974140007522581,0.0027905314728371325,0.9905033442739603,0.003343168990248069,4FGL J0443.4-4152,0.999362026,4.86328818E-4,0.99438039,0.00818815478,0.998631235,0.00179870857,0.990173139,0.00338404598,-0.3666365152468095,0.09757706482469712,-0.48643438187778393,0.5619283316925274,0.0694153759221534,0.0694153759221534,-0.43620158367335393,-0.5297350838664481
4FGL J0444.5+0719,0.9998996539281984,1.266367408648722E-4,0.9997448605780058,0.001065442228649828,0.9960391979793981,0.00401877183426169,0.9995900230800578,2.6399487584602714E-4,4FGL J0444.5+0719,0.99968644,3.21841227E-4,0.995483236,0.00756809869,0.996252298,0.0044414086,0.998238932,0.00123091473,-0.035577680117580876,1.0976317425804305,0.6164759552096843,0.557605191488623,1.0732263240254323,1.0732263240254323,-0.047980278284220614,0.6624817155522369
4FGL J0444.6+3425,0.9972136597546565,0.0027880036214437314,0.999597609808562,0.0018513279894665175,0.9881039057963722,0.012734603574454943,0.9922155324276942,0.003087428786098695,4FGL J0444.6+3425,0.998737472,0.00127270545,0.990891628,0.0163611341,0.994695344,0.00796577333,0.98778686,0.00467305613,-0.4388214542914304,0.9477036664000396,-0.4972047068040722,0.5287394116491768,0.7907124602728149,0.7907124602728149,-0.5176005805826558,-0.546560353660658
4FGL J0445.1-6012,0.999960239189184,3.252701321763834E-5,0.9997714401246982,8.962540927319137E-4,0.9989567054389785,0.0028419151944244912,0.99926710899619,3.3847553274660803E-4,4FGL J0445.1-6012,0.999910313,5.69257892E-5,0.995945177,0.00399804784,0.999569304,7.37504014E-4,0.999115165,4.14123315E-4,-0.20864712783838052,0.36690519631817176,0.7614954669046027,0.9338557058191702,0.2840874757364167,0.2840874757364167,-0.2155583538253776,0.8770399125881548
4FGL J0447.2-2539,0.9986184692626668,0.0010173784606803008,0.991293907765289,0.02199950012916518,0.9951566414888998,0.005741446684108615,0.982153767873495,0.007416332780410445,4FGL J0447.2-2539,0.99927175,4.42820304E-4,0.989703628,0.0134215484,0.997700782,0.00296447692,0.972066454,0.0124148656,-0.39373200404415093,0.8125189751143926,-0.5887685288504684,0.06170943526120542,0.6975357198983972,0.6975357198983972,-0.44311837261189846,-0.6421216514612831
4FGL J0447.4-2747,0.9968074906306585,0.007230218197169195,0.9630997381247293,0.11149089358161496,0.8410435679926238,0.05917090485487212,0.8601734316375684,0.0722704049103609,4FGL J0447.4-2747,0.997997842,0.00399616607,0.992045767,0.00981316086,0.893108515,0.0478422962,0.866042734,0.0708926857,-0.6842315572383036,-0.08121308258493111,-0.14409154201834443,-0.2586269729099673,-0.05797627475404326,-0.05797627475404326,-0.8799079063447711,-0.1646356080660852
4FGL J0448.6-1632,0.999569155057879,3.295884614157884E-4,0.9994982422708065,0.0014625707923800085,0.997648244114668,0.0030985416099653254,0.9933156800718457,0.0023017211414239134,4FGL J0448.6-1632,0.999624356,2.24781733E-4,0.995076609,0.00773358165,0.998366827,0.0028949579,0.993738905,0.00265491585,-0.16945757844865178,-0.15941180514413497,-0.13836805178084033,0.5617863506318883,-0.12044792925596144,-0.12044792925596144,-0.23191003245557154,-0.16748444980096475
