Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O
3FGL J1057.3-2341,271.8262939453125,32.199398040771484,-25.861655801495832,-27.71868768789612,1.2753711037380364,4.190380889154658,2.316833734512329,-0.232220457,-0.391761554,-0.921733497,-0.47238488,AGN,fsrq,512,0.8423125374386827,0.15119577382671126,0.1417211235961605,0.1488351735564922,0.01596633896515687,0.026260193668317403,0.9593450843436208,0.059963155376517994,0.020714299962652043,0.03463072909204362,0.019940615693727314,0.04039562293070173,0.8103805843788284,0.06455064694682036,0.1275869585055288,0.0561591634185051,0.06203245711564267,0.02810107191336559,0.7895200253168615,0.11457310092446295,0.15067628214431303,0.1155912165130664,0.059803692538825504,0.043746048656421434
3FGL J1057.6-2754,274.29339599609375,28.56048011779785,-26.467127108271367,-27.79810284226856,-0.593848182641801,3.8102532946285397,1.885823130607605,0.764440161,-0.598280122,-0.488313656,-0.223088447,AGN,bll,0,0.9984292608120371,0.0010944101582474667,2.573123394760282E-4,2.539550882237396E-4,0.0013134268484868632,9.549462272183493E-4,0.9893833180975197,0.009815817386980355,0.004152605882894302,0.0035895405684526964,0.006464076019586152,0.008301712638747506,0.9755991758221961,0.008893219599347192,0.010506843149679321,0.005746012116234124,0.013893981028124463,0.005255351981556834,0.9786772371492694,0.014044019256682581,6.948088430823431E-4,8.63660806277412E-4,0.02062795400764832,0.01385360739283829
3FGL J1057.9-5227,285.9892883300781,6.644412517547607,-21.962237344221524,-26.59245894580478,4.07311225206982,3.5538450316966856,1.7608576970721899,-0.097086388,-0.451287689,-0.790547352,-0.988992494,PSR,PSR,0,5.842431274018069E-4,0.0014974820397691138,0.9863749611787023,0.023956966565751324,0.013040795693896028,0.023195614062587307,4.132770046381344E-4,0.0025287672569732386,0.9373475679409076,0.07211209939406196,0.062239155054454286,0.07200284466063504,0.013179723333404291,0.013159094500909076,0.8664586912686011,0.048768479242643416,0.1203615853979947,0.046028992775558754,8.816200441581612E-6,4.428297376133399E-5,0.9982807155685548,0.002081380230910541,0.0017104682310038325,0.002067261547233976
3FGL J1058.1+7010,135.85777282714844,43.99989700317383,-25.464529477916894,-27.877715770961096,-0.6141950804465646,4.316259738950362,2.7030575275421143,-0.715763561,-0.783362981,-0.842933151,-0.627413894,AGN,fsrq,0,0.9992380809582887,6.08989143287205E-4,4.1906698696472517E-4,4.1380159529173885E-4,3.4285205474658546E-4,3.2269444172714276E-4,0.9870116549537518,0.014640747445074029,0.0055861977664042,0.007042141311337863,0.007402147279844025,0.010109595444413743,0.9741245275739758,0.010404255198568508,0.010163219338669796,0.007957520245549164,0.015712253087354345,0.006285996386701931,0.9785603996431652,0.015438545737064687,0.004229755363899972,0.00435468520509818,0.017209844992934736,0.014053279244758504
3FGL J1058.4+8112,127.98701477050781,34.787452697753906,-25.520537273633124,-27.457139033753666,0.3926856237134113,5.076575591837767,2.66611385345459,-0.810873002,-0.698217208,-0.847591453,-0.823485527,AGN,fsrq,0,0.9995200731402243,3.6428532648467165E-4,3.795839853183865E-4,3.2524845594631373E-4,1.0034287445726113E-4,8.048330992505006E-5,0.9892680109876751,0.012134886807762407,0.004786522243846204,0.00892751662298959,0.00594546676847884,0.006739347161263161,0.971547676146157,0.012317346962923354,0.015542965895376211,0.010162684633251932,0.012909357958466768,0.006317992645449859,0.9795934728113352,0.012816359998621765,0.004030116831779649,0.003168482892814996,0.016376410356885005,0.011883292255825288
3FGL J1058.5+0133,251.51715087890625,52.77473068237305,-23.450624730998072,-26.707569734596074,1.1818120980422566,6.203364892982167,2.1131031858009672,-0.527786701,-0.63855115,-0.611946578,-0.590110864,AGN,BLL,0,0.9994309678019544,4.964970604921681E-4,1.993531839012029E-4,2.624031631141728E-4,3.696790141443741E-4,3.482459131164375E-4,0.9927491009624326,0.007680518955970684,0.0030582839210112245,0.0037112944089330957,0.004192615116556143,0.005421151632785523,0.9661711238202428,0.020707309823273134,0.01446342606013439,0.013193382946133638,0.0193654501196228,0.015270566929924326,0.9868716737226495,0.017009168510700695,7.114615671250801E-4,0.00114790269743051,0.012416864710225484,0.016902224138692863
3FGL J1058.5-8003,297.9952392578125,-18.279544830322266,-24.063078920325893,-27.165821946176795,1.4000075583357012,5.708042897059254,2.1188378716785086,-0.466534498,-0.659625137,-0.64176815,-0.745151523,AGN,bll,0,0.9979778822079697,0.0013638351549457603,5.905862196436622E-4,4.478367277139271E-4,0.0014315315723866348,0.0011390914555383332,0.9739233872047973,0.02555386554190999,0.006605317964366691,0.009760399331152298,0.01947129483083602,0.0210061542662587,0.963457220345282,0.015869857968869073,0.015860942939660443,0.009620507107057735,0.020681836715057557,0.010357221522113116,0.964102664088586,0.025027625027303397,0.004896095028909731,0.004833844922504944,0.031001240882504288,0.02445804578968504
3FGL J1058.6+5627,149.60630798339844,54.43836975097656,-23.91290834139334,-27.03202277841898,-2.1409306069287144,5.190010875544848,1.9451904296875,-0.486919969,-0.523094385,-0.507240824,-0.368225915,AGN,BLL,0,0.9995931238501942,4.1229072757029877E-4,5.557656365844656E-5,4.053551775171037E-5,3.512995861473707E-4,4.032816201805079E-4,0.9921417247707273,0.010771037769532397,0.003683420225521684,0.008676622453524522,0.00417485500375108,0.004819535464049305,0.980218657144364,0.012751834954245646,0.006024146544985632,0.006190197846344152,0.013757196310650378,0.010836092337710873,0.9962180124873935,0.0038030763986987496,1.2453852975670384E-5,3.8217056412623064E-5,0.0037695336596307327,0.003800045104640278
3FGL J1059.2-1133,264.1001281738281,42.70218276977539,-24.253996569096245,-27.20454612524783,0.47571590042555484,4.9564905947360165,2.1354708671569824,-0.479895217,-0.599590752,-0.476828826,-0.716584254,AGN,bll,0,0.9996562528048886,1.8979405000291434E-4,1.1453962012847667E-4,7.383946227610098E-5,2.2920757498278926E-4,1.539025845913527E-4,0.9861707802061387,0.012865103922998713,0.00560432015106403,0.004988881004408474,0.008224899642797474,0.010623679090072525,0.9789270971352864,0.01088801127475861,0.006783356823822742,0.004253669140358132,0.014289546040890874,0.009526607624238776,0.9630310564933379,0.021574427418848467,0.005200566332527508,0.00477544087700536,0.03176837717413462,0.021216513457029712
3FGL J1059.9+2056,220.5336151123047,63.86092758178711,-26.41814165189885,-27.71029383461203,0.8310353472944921,4.022857175986667,2.5685577392578125,-0.806173477,-0.68077275,-0.959166235,0.783630405,AGN,fsrq,0,0.9971198987411638,0.0038106818319313964,0.002189287517047517,0.0029109052168923176,6.908137417887451E-4,0.001226340561174168,0.9913351170065318,0.008831066749435906,0.0036715502389224083,0.004281029104538578,0.004993332754545754,0.006037220114831332,0.943738878759401,0.022365055192120422,0.02938154270748767,0.016589308672222025,0.02687957853311114,0.01348588246752442,0.9892115335940931,0.01457053692626334,0.0021912547082156126,0.008561825203046375,0.00859721169769132,0.01075816388378935
3FGL J1100.5+4020,175.80221557617188,63.60041427612305,-26.041837311737066,-27.72444428181315,-0.8297574089783085,3.9697698835469764,1.835388422012329,0.977738214,-0.74416484,-0.533734613,0.186531746,AGN,bll,0,0.9989930897615752,8.48083291438649E-4,1.6088776108040033E-4,1.4671058170744302E-4,8.460224773443957E-4,7.801811830199792E-4,0.9922348032649868,0.011571427455699177,0.003658806040653157,0.009353937294776677,0.0041063906943600206,0.0048630147132600575,0.9685481163661761,0.014127132042053835,0.011082439118032363,0.007565019275015655,0.02036944451579151,0.011513889209212752,0.9907845265192755,0.009526555794846809,1.0850688992602265E-4,2.36265799762712E-4,0.009106966590798429,0.009488005595821695
3FGL J1101.5+4106,174.048095703125,63.47674560546875,-26.334214323321152,-27.81276314346025,-1.501158314389982,3.9112642032062466,1.7683309316635132,-0.782648033,-0.131063047,-0.436470061,-0.107363517,AGN,bll,0,0.9997066448063855,1.600946119329576E-4,1.089380623308835E-4,8.079434733149946E-5,1.8441713128365236E-4,1.1125733778304709E-4,0.9920885225414403,0.008415981691994152,0.0031992937688921992,0.004556469238389354,0.004712183689667444,0.005789421387834119,0.9831407382904581,0.005389760338564243,0.006691231479714027,0.0029358658453000107,0.010168030229827896,0.00376971117738649,0.9969508238384831,0.002297865624461711,4.486514126890555E-5,5.806167651805146E-5,0.003004311020248065,0.0022831466618928216
3FGL J1101.9-6053,290.00604248046875,-0.802916407585144,-23.832891209784286,-25.820890851874466,1.8480577051822762,3.1491851380740763,2.0047048218585184,0.58748084,-0.5106462,-0.76632786,-0.91673636,OTHER,spp,20,1.3993200813974612E-4,1.353793777134665E-4,0.9713038554135696,0.04009947842845799,0.0285562125782907,0.04005268820445845,1.6273128489834358E-4,0.001416576820553302,0.8260868385204362,0.0979356700583804,0.17375043019466546,0.09760111943167367,0.011674487338171849,0.0069727563847462055,0.7776015722199299,0.07680614403618345,0.21072394044189824,0.07458967404148927,0.0012308703190552913,0.0013627327273487708,0.7295957659782051,0.12776348864427095,0.26917336370273964,0.12776856851418883
3FGL J1103.1+1155,238.515380859375,60.4071159362793,-25.506294383317424,-27.753511643452335,-1.4888421458777008,5.318318861912363,2.517430067062378,-0.626155062,-0.746134969,-0.789914836,-0.451821845,AGN,fsrq,0,0.9997573823219761,1.528781781325439E-4,8.738728981141804E-5,7.594141463186013E-5,1.5523038821256668E-4,1.1592089153424374E-4,0.9926835602362739,0.007345694629989572,0.0032164986234659693,0.0037715341426059774,0.004099941140260179,0.005038847557335136,0.9786579148909985,0.00702055901694873,0.007223572939383955,0.0032494722477172293,0.014118512169617469,0.005444823931549727,0.9992205864473981,8.353705237689673E-4,8.227422787402751E-6,1.6747171872268666E-5,7.711861298146495E-4,8.329076503996746E-4
3FGL J1103.5-2329,273.1776123046875,33.07616424560547,-25.881378273390364,-27.42342258296777,-0.8979803017533022,3.5976685838833977,1.6447696685791016,0.998715519,-0.608422863,-0.378655088,-0.086036297,AGN,bll,0,0.9923534918517969,0.006791262637114296,9.84741969383213E-4,0.001021057963055796,0.006661766178819843,0.00634944570306357,0.9898409330331795,0.011404047284455635,0.003800077798951755,0.0034899764207972995,0.00635898916786877,0.009464803748617395,0.94547619427527,0.01893790430383408,0.018451690252032096,0.00854092546734656,0.036072115472697945,0.015210754418006983,0.9409719937297258,0.031807593615053274,6.522632252250116E-4,0.001024357907527476,0.058375743045049146,0.031703996150691624
3FGL J1103.9-5357,287.4248352050781,5.648309230804443,-23.970213879051006,-26.841807784793545,1.2208019606208385,5.209084924632389,2.0176830117022653,-0.509755069,-0.593400579,-0.613727856,-0.637546712,AGN,bll,0,0.9941580799603679,0.0043668147724514805,4.463159088716904E-4,3.582214397864956E-4,0.005395604130760362,0.0041886009809423514,0.9320718213418633,0.07046210459383198,0.010255905108419165,0.011968319983731856,0.05767227354971743,0.06443409295428927,0.9235520696271365,0.03150499691309829,0.021729104500719378,0.011907807481412694,0.05471882587214411,0.026724803823850625,0.903933621468546,0.03674508099374604,0.011061526666531344,0.008473581031234675,0.08500485186492272,0.03597609240083185
3FGL J1104.3+0730,245.67330932617188,57.91958999633789,-25.568608574666232,-27.677255153596004,0.03461859670088301,4.126794142311328,2.1930904388427734,-0.467879097,-0.699844418,-0.61168149,-0.393102003,AGN,bll,0,0.9991501058062836,5.224354380529366E-4,2.3768258805408787E-4,1.7110866245577188E-4,6.12211605662218E-4,4.355451074732613E-4,0.9899062423307173,0.009180682919211163,0.003985954416727317,0.003917707620153482,0.006107803252555199,0.00757993979746697,0.9793748884162328,0.007782219091346047,0.007420669145576714,0.003785876861088686,0.01320444243819047,0.005629982865820587,0.97439939492284,0.01547928487441312,0.0033690025023649724,0.003001137935785109,0.02223160257479506,0.014799412833937025
3FGL J1104.4+3812,179.82693481445312,65.03465270996094,-21.683118337414676,-25.697436179164,-0.5221572066437119,6.626855412449957,1.7716422080993652,-0.360062833,-0.454555072,-0.371881221,-0.317998347,AGN,BLL,0,0.8794583669083449,0.1346845567163237,0.0010992693103028053,0.001429127071694965,0.1194423637813522,0.13440141424193267,0.9931161697595258,0.006845043367318443,0.0029587494831268832,0.0035458715195561194,0.003925080757347469,0.004530782929041195,0.7633351255099274,0.06925043782532453,0.021131808495830944,0.019491711233751267,0.21553306599424157,0.06688590417351688,0.9859288272238709,0.016962786332170195,1.4328056204351686E-5,6.209271037718823E-5,0.014056844719924985,0.016957364741190414
3FGL J1105.2-6113,290.5028991699219,-0.9411547183990479,-23.896731886077777,-26.117827555756005,0.5925915292025201,4.026580290011319,2.4327309131622314,-0.641022431,-0.762021346,-0.908316499,-0.357230993,PSR,PSR,528,0.022319650336843043,0.029508608908060285,0.04983690420824302,0.07299126433987672,0.927843445454914,0.08645189342884198,0.11656835083691595,0.14423357975212184,0.07506600888584189,0.05800331001515158,0.8083656402772422,0.16938202659266535,0.11258007327379205,0.04522991335814361,0.203906278389517,0.08279101774066809,0.6835136483366909,0.09421740050495953,0.26251826277107687,0.13151639019656597,0.019913271970854192,0.023296751255311457,0.7175684652580689,0.13336204962462875
3FGL J1105.9+2814,204.05113220214844,66.67290496826172,-25.0458760274236,-27.756738577512955,-0.4201059090872728,5.180933325837026,2.4671597480773926,-0.725571687,-0.605437598,-0.741904397,-0.799801509,AGN,fsrq,0,0.9991187024594317,7.165879106104225E-4,5.833692271641362E-4,6.036178379178333E-4,2.979283134042405E-4,3.028132301264216E-4,0.991440991683618,0.011170099781356828,0.004027634821651242,0.008780321581494149,0.0045313734947307815,0.005348401848415621,0.961790103550974,0.016824955701976885,0.01833125581396081,0.012229480514167381,0.01987864063506516,0.011574162892189538,0.993659878047748,0.005770271567296187,0.0011990324965829096,0.001357655728410556,0.005141089455669123,0.0053411987495242275
