Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags_3FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,Flags_Catalog
3FGL J1330.1-7002,306.249329,-7.42424679,-24.0075855,-26.9510732,1.46650644,6.72202859,2.15356234,-0.457435187,-0.660697828,-0.71269329,-0.660269628,AGN,bcu,656.42834,LogParabola,PKS 1326-697,0,0.999540973,4.46589438E-4,4.59026939E-4,4.46589438E-4,0.985637387,0.0272295569,0.0143626135,0.0272295569,0.988237976,0.00804153095,0.0117620242,0.00804153095,0.999619046,1.63908053E-4,3.8095448E-4,1.63908053E-4,0.998873331,0.00120336237,0.00112666907,0.00120336237,0.879948397,0.189839293,0.120051603,0.189839293,0.97584966,0.0180173877,0.0241503398,0.0180173877,0.999456659,4.04015827E-4,5.43341241E-4,4.04015827E-4,0
3FGL J1330.5+3023,56.0677986,80.8345947,-26.2175605,-27.8674114,-0.439469666,3.66411335,2.59997702,-0.80197453,-0.6563586,-0.56761855,-0.9999898,OTHER,css,652.1419,PowerLaw,3C 286,0,0.99861011,0.00202989709,0.00138988984,0.00202989709,0.996026464,0.010946993,0.00397353635,0.010946993,0.953369743,0.0232904133,0.0466302568,0.0232904133,0.994777046,0.00224879513,0.00522295378,0.00224879513,0.997862164,0.00365937619,0.00213783623,0.00365937619,0.962735031,0.0694284831,0.0372649686,0.0694284831,0.928225741,0.0396428305,0.0717742591,0.0396428305,0.900158481,0.0629123173,0.0998415195,0.0629123173,0
3FGL J1330.6+7002,118.064941,46.7197342,-26.1124983,-27.9141913,-1.50110603,3.86586466,1.84327698,-0.842555023,-0.456245972,-0.328709152,-0.356179238,AGN,bll,3202.6519,PowerLaw,NVSS J133025+700141,0,0.999918999,5.3264269E-5,8.10005856E-5,5.3264269E-5,0.996447679,0.00820576258,0.00355232052,0.00820576258,0.9975961,0.00165405509,0.00240390035,0.00165405509,0.999991896,6.39300924E-6,8.10397702E-6,6.39300924E-6,0.999848252,1.24377189E-4,1.51747514E-4,1.24377189E-4,0.978159525,0.03818996,0.0218404745,0.03818996,0.997159938,0.00369579983,0.00284006195,0.00369579983,0.999849401,1.53768828E-4,1.50598635E-4,1.53768828E-4,0
3FGL J1330.9+5201,108.982018,64.0145493,-26.4838229,-27.9549819,0.373852663,3.8701301,2.24874902,-0.812989049,-0.610133329,-0.844297358,0.421295735,AGN,bcu,1979.0381,PowerLaw,87GB 132842.6+521750,0,0.99949842,7.7049816E-4,5.0158003E-4,7.7049816E-4,0.996215301,0.00902476627,0.00378469905,0.00902476627,0.985237542,0.011931905,0.0147624578,0.011931905,0.999532004,3.72659263E-4,4.67995996E-4,3.72659263E-4,0.9959891,0.00547005223,0.00401089957,0.00547005223,0.973349741,0.0621472336,0.0266502594,0.0621472336,0.940492751,0.0363722745,0.0595072491,0.0363722745,0.98985039,0.0128071035,0.0101496096,0.0128071035,0
3FGL J1331.1-1328,317.518951,48.2619667,-25.7589916,-27.2805839,0.877096645,4.40156311,2.37379742,-0.274271953,-0.557778826,-0.723305922,-0.963227167,AGN,bcu,1526.141,PowerLaw,PMN J1331-1326,16,0.954061955,0.0622783282,0.0459380447,0.0622783282,0.989618256,0.0116640444,0.0103817435,0.0116640444,0.850365342,0.0521443833,0.149634658,0.0521443833,0.957526423,0.00915668114,0.0424735769,0.00915668114,0.927813738,0.0712107879,0.0721862623,0.0712107879,0.909503797,0.0868832997,0.0904962033,0.0868832997,0.756555103,0.0716134162,0.243444897,0.0716134162,0.742317976,0.0669886661,0.257682024,0.0669886661,0
3FGL J1331.5+1711,348.018555,76.4188538,-25.6126152,-27.7568735,0.722007469,3.98171556,2.76348686,-0.761833797,-0.81497032,-0.380438931,-0.865996928,AGN,bll,423.52438,PowerLaw,TXS 1329+174,0,0.99896905,9.11090552E-4,0.0010309502,9.11090552E-4,0.968921009,0.0334049082,0.0310789914,0.0334049082,0.972772113,0.0153640433,0.0272278867,0.0153640433,0.918968638,0.0230935555,0.0810313617,0.0230935555,0.998537486,0.00198253784,0.00146251405,0.00198253784,0.732741908,0.231854872,0.267258092,0.231854872,0.947392775,0.0318044982,0.0526072247,0.0318044982,0.569574437,0.126588202,0.430425563,0.126588202,0
3FGL J1331.8+4718,104.129204,68.3210754,-25.9168443,-27.9782815,0.616248756,4.31128862,2.52874732,-0.580448277,-0.794516828,-0.733052602,-0.778794172,AGN,fsrq,596.7878,PowerLaw,B3 1330+476,0,0.999851802,1.34568644E-4,1.48197681E-4,1.34568644E-4,0.994258402,0.0107469492,0.00574159771,0.0107469492,0.995653169,0.00369167711,0.00434683076,0.00369167711,0.979960135,0.00484045611,0.0200398648,0.00484045611,0.999839866,1.73731513E-4,1.60134266E-4,1.73731513E-4,0.944665214,0.082021482,0.055334786,0.082021482,0.989631976,0.00891242819,0.0103680237,0.00891242819,0.810628213,0.0657757563,0.189371787,0.0657757563,0
3FGL J1332.0-0508,321.365601,56.2633362,-23.4487515,-26.9232489,2.04819915,7.53634779,2.42480681,-0.578933094,-0.734652426,-0.85861912,-0.714214813,AGN,fsrq,543.83813,LogParabola,PKS 1329-049,0,0.999461651,7.77909069E-4,5.38349293E-4,7.77909069E-4,0.995099859,0.0102255604,0.00490014116,0.0102255604,0.923430785,0.0406403225,0.0765692149,0.0406403225,0.99929714,4.07803752E-4,7.02859926E-4,4.07803752E-4,0.997708663,0.00294095758,0.00229133672,0.00294095758,0.970362171,0.0792635865,0.0296378289,0.0792635865,0.940435906,0.0363476703,0.0595640944,0.0363476703,0.999195839,8.13468758E-4,8.04160728E-4,8.13468758E-4,0
3FGL J1332.6-1256,318.240967,48.7047081,-24.3860179,-27.021086,0.64806031,5.69261007,2.41706467,-0.502554494,-0.749128015,-0.650514838,-0.603831908,AGN,fsrq,1056.5782,PowerLaw,PMN J1332-1256,0,0.999794665,3.80341044E-4,2.05334793E-4,3.80341044E-4,0.994730568,0.0113030024,0.00526943238,0.0113030024,0.990496418,0.00798367488,0.0095035825,0.00798367488,0.99966243,1.15283242E-4,3.37569761E-4,1.15283242E-4,0.999598197,4.49397311E-4,4.01802766E-4,4.49397311E-4,0.974407427,0.0525386242,0.0255925729,0.0525386242,0.962811003,0.0247051033,0.0371889973,0.0247051033,0.998823319,7.64635074E-4,0.00117668078,7.64635074E-4,0
3FGL J1332.8+2723,36.960537,80.7987671,-25.8566748,-27.9169546,-1.29967347,4.80813769,2.37949491,-0.588259984,-0.53578383,-0.677120413,-0.896152788,AGN,fsrq,878.44244,PowerLaw,MG2 J133305+2725,0,0.997782899,0.0018364218,0.00221710147,0.0018364218,0.995717525,0.0156778025,0.00428247513,0.0156778025,0.963205775,0.0177782859,0.0367942249,0.0177782859,0.999987059,8.31623427E-6,1.29414154E-5,8.31623427E-6,0.996882862,0.00356086914,0.00311713815,0.00356086914,0.980053298,0.0346302638,0.0199467018,0.0346302638,0.957867352,0.0245198681,0.042132648,0.0245198681,0.999757595,2.70498495E-4,2.42405002E-4,2.70498495E-4,0
3FGL J1333.7+5057,107.154427,64.8598175,-25.313984,-27.7810272,-2.32250991,5.1170454,2.4962182,-0.623529932,-0.761983831,-0.560437371,-0.75209448,AGN,fsrq,721.3809,PowerLaw,CLASS J1333+5057,0,0.999981231,2.11664012E-5,1.87686218E-5,2.11664012E-5,0.997420328,0.0033868667,0.00257967243,0.0033868667,0.996680537,0.00568381048,0.00331946267,0.00568381048,0.999999853,1.36052269E-7,1.47103125E-7,1.36052269E-7,0.999990358,8.41391097E-6,9.64161532E-6,8.41391097E-6,0.983857717,0.0338172051,0.016142283,0.0338172051,0.997205655,0.00431443747,0.00279434507,0.00431443747,0.99999685,4.7094435E-6,3.14990875E-6,4.7094435E-6,0
3FGL J1335.4-2949,314.191376,32.0792656,-26.1136082,-27.7344035,-0.497217965,3.92653368,2.04679322,0.46285019,-0.76299184,-0.167747552,-0.669629692,AGN,bll,2311.7385,PowerLaw,1ES 1332-295,0,0.999893989,8.58684363E-5,1.06011167E-4,8.58684363E-5,0.994771252,0.0109666757,0.00522874779,0.0109666757,0.996718531,0.00249568014,0.00328146874,0.00249568014,0.999638231,1.63456212E-4,3.61768716E-4,1.63456212E-4,0.9999189,8.01849685E-5,8.109962E-5,8.01849685E-5,0.975742377,0.0446632972,0.0242576234,0.0446632972,0.996858432,0.00331555261,0.00314156754,0.00331555261,0.997515731,0.00167386034,0.00248426948,0.00167386034,0
3FGL J1337.6-1257,320.023376,48.3747253,-24.7832349,-27.2781179,1.43925129,4.60603117,2.21876945,-0.664485411,-0.681372873,-0.788822329,-0.624173859,AGN,fsrq,715.7036,LogParabola,PKS 1335-127,0,0.999607647,3.47721997E-4,3.92353301E-4,3.47721997E-4,0.957630666,0.0461007548,0.0423693336,0.0461007548,0.987194423,0.00976875923,0.0128055774,0.00976875923,0.875363082,0.0243534635,0.124636918,0.0243534635,0.998454623,0.00215933058,0.00154537697,0.00215933058,0.654837278,0.24206992,0.345162722,0.24206992,0.977340111,0.0182563355,0.0226598894,0.0182563355,0.463891467,0.10044542,0.536108533,0.10044542,0
3FGL J1338.6-2403,316.565948,37.5644341,-25.6404303,-27.6516281,0.289201135,3.96795156,2.5763092,-0.732338071,-0.662940153,-0.815939413,-0.747979666,AGN,bcu,549.3538,PowerLaw,PKS 1336-237,0,0.999305042,5.54039329E-4,6.94957999E-4,5.54039329E-4,0.99214096,0.0173016676,0.00785903968,0.0173016676,0.98984298,0.00702823469,0.0101570202,0.00702823469,0.98006171,0.00514282749,0.0199382896,0.00514282749,0.997262992,0.00278323301,0.00273700794,0.00278323301,0.905475298,0.111162535,0.0945247023,0.111162535,0.966120038,0.0236047604,0.0338799625,0.0236047604,0.717186809,0.0790184267,0.282813191,0.0790184267,0
3FGL J1338.9+6532,115.168869,50.8637657,-26.133922,-28.1417905,0.251453761,4.0738178,3.01988101,-0.796651629,-0.828800543,-0.83549503,-0.999462509,AGN,fsrq,274.06076,PowerLaw,87GB 133543.8+654752,0,0.970653931,0.151006293,0.0293460686,0.151006293,0.993640398,0.00895997505,0.00635960215,0.00895997505,0.966368723,0.0226510481,0.033631277,0.0226510481,0.972318781,0.00743417753,0.0276812188,0.00743417753,0.994368425,0.0159589774,0.00563157549,0.0159589774,0.917099477,0.112114141,0.0829005234,0.112114141,0.959716718,0.0293581276,0.0402832816,0.0293581276,0.661568864,0.0921965663,0.338431136,0.0921965663,0
