Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing,Times in Testing_O,Flags,AGN_BDT_STD,PSR_BDT_STD,AGN_NN_STD,PSR_NN_STD,AGN_LR_STD,PSR_LR_STD,AGN_RF_STD,PSR_RF_STD,AGN_BDT_O_STD,PSR_BDT_O_STD,AGN_NN_O_STD,PSR_NN_O_STD,AGN_LR_O_STD,PSR_LR_O_STD,AGN_RF_O_STD,PSR_RF_O_STD
4FGL J0900.2-4608,267.02725,-0.010822312,-21.176268878592154,2.5252619,0.28883615,0.7183615,3.2354004,-0.7750105,-0.6796054,0.0036107453,-0.3080998,-0.68061924,-0.9402098,-0.99989694,1.8959302173931496,7.595207775564734,UNASS,None,LogParabola,,,0.20267924324090086,0.7973207567590926,0.8371434204740404,0.1628565795259601,0.6074173043586332,0.3925826956413673,0.7100436279933403,0.2899563720066607,0.3002864660047979,0.6997135339952014,0.5660203932183309,0.43397960678166864,0.07175083002224465,0.9282491699777546,0.33274965737884377,0.6672503426211558,0,0,10,2.7713577410615245E-15,9.265526538198963E-15,0.092924026584349,0.09292402658434895,0.019991882308524403,0.01999188230852438,0.05200842542097966,0.0520084254209797,0.09333359084890053,0.09333359084890054,0.27268078120983563,0.2726807812098356,0.01503309276866916,0.015033092768669161,0.057878880210475915,0.05787888021047586
4FGL J0902.5-4727,268.28357,-0.579613,-21.278646177067642,2.4120827,0.17911065,0.010661393,0.16383739,-0.93474376,0.9978282,0.0011461095,-0.75995255,-0.7877367,-0.5516821,-0.42869985,2.3463350528372056,8.029767116952227,UNASS,None,PowerLaw,1FGL J0902.5-4731c,,0.9891399059132481,0.010860094086751896,0.9928621699520143,0.007137830047984608,0.988567177369381,0.011432822630619512,0.9691171004641993,0.030882899535799906,0.9102592973513649,0.08974070264863465,0.7427030958099069,0.25729690419009205,0.8440308842774319,0.15596911572256827,0.8313740084212717,0.16862599157872663,0,0,28,1.1102230246251565E-16,1.4091834793814538E-16,0.004883589399514786,0.004883589399514781,0.0010858517379821605,0.0010858517379821616,0.016618646219502747,0.01661864621950274,0.02905737917909543,0.029057379179095445,0.16476297774527016,0.16476297774527024,0.03273875636948019,0.03273875636948021,0.04732548384744703,0.04732548384744701
4FGL J0903.5+4057,180.92274,41.709335,-23.194046056253207,1.9584134,0.4802727,0.17780973,0.93511564,-0.9999391,0.99876696,0.0027313053,-0.6134984,-0.38642782,-0.26889825,-1.0,2.3604161694346604,8.241982256711193,UNASS,None,PowerLaw,,,0.9991707470467424,8.29252953243015E-4,0.9986180265842,0.0013819734157991983,0.998424179682677,0.001575820317322507,0.9941650149588083,0.005834985041191179,0.9992828033090928,7.171966909063671E-4,0.9987390989908481,0.0012609010091528543,0.992582070412186,0.007417929587813296,0.9864984134788902,0.013501586521108807,0,0,0,1.4654943925052066E-14,1.3370353760712971E-17,8.828526915276334E-4,8.82852691527636E-4,1.1276943019688845E-4,1.1276943019688829E-4,0.005272094327786373,0.0052720943277863724,3.504671667537488E-4,3.504671667537565E-4,0.002645773938918858,0.002645773938918827,0.0014252948224291867,0.0014252948224291882,0.010273068522898976,0.010273068522898958
4FGL J0904.6+5200,166.16028,41.30653,-23.207476121253144,2.5648255,0.20922506,-0.03361852,0.32814685,0.9987741,-0.806782,0.0022590163,-0.5191623,-0.9564493,-0.9941925,0.9939117,3.3727876190216914,6.761960737515943,UNASS,None,PowerLaw,,,0.9994695231311204,5.30476868865413E-4,0.9990281949537295,9.718050462716384E-4,0.9998379557366386,1.6204426336118211E-4,0.9948359500137276,0.0051640499862728555,0.9996182636788467,3.817363211534569E-4,0.9994100887880609,5.899112119390232E-4,0.9989776910339573,0.0010223089660424257,0.9932170076254279,0.00678299237457129,0,0,4,1.4210854715202004E-14,1.3246768655228997E-17,6.995994470307756E-4,6.995994470307771E-4,2.2296565454700863E-5,2.2296565454700432E-5,0.004291132069894852,0.004291132069894854,1.8834395819334007E-4,1.8834395819333595E-4,0.0011541212030054765,0.0011541212030054774,2.5480960909256864E-4,2.548096090925666E-4,0.006523005572438022,0.006523005572438056
4FGL J0906.1-1011,239.3205,23.89156,-22.581380837074914,2.0668244,0.18338381,0.042387825,0.50848675,0.99991983,-0.81597483,9.0864516E-4,-0.54741275,-0.57694715,-0.7022336,0.025375923,1.107561854896966,7.996883132250935,UNASS,None,PowerLaw,,,0.9995764226997534,4.2357730026647126E-4,0.9885827319684386,0.011417268031561548,0.9863817673674147,0.013618232632584527,0.9936731883939814,0.0063268116060181834,0.9993806531265037,6.1934687349645E-4,0.9782943904205407,0.021705609579460182,0.9267043818496298,0.07329561815036974,0.9904375075988721,0.009562492401129418,0,0,0,1.9872992140790302E-14,6.354615900115422E-18,0.007149011077985243,0.007149011077985246,0.0010986918196773526,0.0010986918196773522,0.007119042576044355,0.0071190425760443545,3.191619696726123E-4,3.191619696726151E-4,0.030354128323147624,0.030354128323147607,0.013305248817111998,0.013305248817111981,0.008701173862748001,0.008701173862747992
4FGL J0906.2-5337,273.27283,-4.2618494,-23.289116902824816,1.6308656,1.2515416,0.9986928,2.7947142,-0.9998612,0.98740107,6.7545124E-4,-1.0,0.99999976,0.8245665,-0.5081864,2.728294756877404,9.673697461834589,UNASS,None,PowerLaw,,,0.9962059088418301,0.003794091158168089,0.9950374968043507,0.004962503195649687,0.999449177781012,5.508222189883956E-4,0.9757240494896892,0.02427595051031057,0.9872780625038924,0.012721937496107106,0.9926572678965074,0.007342732103491977,0.9943893898492625,0.0056106101507372875,0.9638275372340022,0.0361724627659985,0,0,0,1.887379141862766E-15,7.062887008287338E-17,0.004167565645755723,0.004167565645755723,6.446170874639152E-5,6.446170874639228E-5,0.01642609680033943,0.01642609680033943,0.006693419674372629,0.006693419674372608,0.018296557749720156,0.018296557749720128,0.003763084772054359,0.00376308477205436,0.021731277631510858,0.021731277631510882
4FGL J0906.8-2122,248.87865,17.182617,-21.49634324150642,2.5737135,0.16163509,0.9910511,7.5013084,-0.38898557,-0.06985348,0.007306625,-0.77628297,-0.9565938,-0.7888817,-0.981871,1.8633109513440584,6.569075657879408,UNASS,None,LogParabola,,,0.2839013698294609,0.7160986301705538,0.059452305219976465,0.9405476947800223,0.1441588431992233,0.8558411568007768,0.6250775178796278,0.3749224821203708,0.12662883448578793,0.8733711655142098,0.0011296148295080388,0.9988703851704931,0.003288114391659338,0.9967118856083407,0.2742476353141098,0.7257523646858896,0,0,2048,9.582260254357138E-16,1.3700985665480334E-14,0.03720004780887697,0.03720004780887697,0.007544707244703739,0.0075447072447037385,0.058897600855339655,0.058897600855339675,0.09596198400729163,0.09596198400729158,0.0016499513536103049,0.0016499513536101787,6.317151623633068E-4,6.317151623633064E-4,0.05496782119238977,0.05496782119238971
4FGL J0910.1-1816,246.85936,19.746801,-22.680155147019192,1.954779,0.33201438,0.55512375,2.581095,0.9637356,-0.99948573,0.003928169,0.9906559,-0.460822,-0.9990758,0.9818968,2.538133070315957,8.166316888529787,UNASS,None,PowerLaw,,,0.9988327309161773,0.001167269083845115,0.9940428375896828,0.005957162410316813,0.9943031480375094,0.005696851962490293,0.9745981170306552,0.025401882969345053,0.9939800252709187,0.00601997472908089,0.9983635055461262,0.0016364944538723644,0.9863260337063479,0.013673966293652121,0.9618177234556142,0.03818227654438653,0,0,256,2.2426505097428162E-14,1.8263500644807673E-17,0.005023739347963351,0.005023739347963348,5.909233476655071E-4,5.909233476655064E-4,0.014860549458048492,0.014860549458048496,0.002929006029435753,0.002929006029435747,0.003925191019294143,0.003925191019294134,0.004518741279506234,0.00451874127950623,0.021267622677533623,0.02126762267753362
4FGL J0910.9+6055,154.41068,40.228348,-23.003031192036712,2.0706556,0.32258463,0.3382538,1.995822,0.9999997,-0.9361915,0.0027399573,0.36550263,-0.6227085,-0.51382136,-1.0,2.4644615661609404,7.767285376715037,UNASS,None,PowerLaw,,,0.9990297145699361,9.702854300429609E-4,0.9978774120637193,0.0021225879362804984,0.9951684643429741,0.004831535657027654,0.9888616286739776,0.011138371326023407,0.9986264202306046,0.0013735797693948705,0.9996037867186163,3.9621328138324073E-4,0.9879957167435249,0.01200428325647359,0.9828574047373926,0.01714259526260771,0,0,0,2.098321516541546E-14,6.350315677138373E-19,0.001335646184036301,0.0013356461840363,4.713458712863507E-4,4.7134587128635125E-4,0.008255877447580318,0.008255877447580329,6.57751009562093E-4,6.577510095620167E-4,5.640998558222952E-4,5.640998558222726E-4,0.0027730047053375804,0.002773004705337484,0.011201188614607093,0.011201188614607104
4FGL J0911.6-4738c,269.4578,0.42970848,-21.12120885702787,2.717635,0.26832637,0.23999636,1.6554418,0.99798197,-0.26318678,0.0015245905,-0.88813317,-0.73939836,-0.80222994,0.013172459,1.6530142606372167,6.827367445092732,UNASS,None,PowerLaw,,,0.8403910950260068,0.15960890497399322,0.8856281475982728,0.1143718524017269,0.8978086257899323,0.10219137421006799,0.9035458763143793,0.09645412368562067,0.04494960262973013,0.9550503973702712,0.2500261175882189,0.7499738824117804,0.19606712242908167,0.8039328775709179,0.3877006911665241,0.6122993088334759,0,0,37,1.2749208772722356E-15,1.2267251673386837E-15,0.05499762609910102,0.05499762609910105,0.005983537798434629,0.005983537798434639,0.029352873975250295,0.02935287397525027,0.026372694457330544,0.02637269445733052,0.11986498493525387,0.11986498493525387,0.02384836703214699,0.023848367032147006,0.05568008164057634,0.05568008164057634
4FGL J0914.5+6845,144.79068,37.850307,-22.949087223088274,1.8788941,0.4059424,0.23749179,1.2241614,-0.615614,-0.8234881,0.0010521046,-0.76421535,-0.27086973,0.016933026,-0.8502752,2.3456427625294647,8.552004582395915,UNASS,None,PowerLaw,,,0.999130179298022,8.698207019967105E-4,0.9989753145541667,0.0010246854458323316,0.9991889170100411,8.110829899591972E-4,0.9946651029254101,0.005334897074589795,0.9991181328075763,8.818671924245759E-4,0.9997857656112815,2.142343887184151E-4,0.9969342594035322,0.0030657405964677007,0.9919151259823564,0.00808487401764389,0,0,0,1.865174681370263E-14,1.291060007566772E-17,7.429837702740247E-4,7.429837702740237E-4,6.201996125058067E-5,6.201996125058186E-5,0.0046975093579414715,0.004697509357941472,3.355852022060857E-4,3.3558520220608137E-4,3.545967911620228E-4,3.545967911620192E-4,8.858071763359378E-4,8.858071763359391E-4,0.007305592340121021,0.007305592340121029
4FGL J0916.9+7756,134.61452,33.796444,-23.182469723055075,2.2616694,0.21768354,-0.08575798,0.700572,-0.983602,0.9997519,0.0015814087,-0.67924327,-0.7593645,-0.46079636,-0.25320873,2.1380876192325173,7.354886952859832,UNASS,None,PowerLaw,,,0.9985289752627009,0.0014710247373210094,0.998611426036039,0.0013885739639612816,0.9989850765647937,0.0010149234352083956,0.9870195904336898,0.012980409566309529,0.9976352698761272,0.00236473012387346,0.991726948940851,0.008273051059148075,0.9920116835729753,0.007988316427024855,0.945384078682104,0.0546159213178959,0,0,4,2.1871393585115584E-14,1.8390566943407273E-17,8.905120970308888E-4,8.905120970308868E-4,1.1431712845134976E-4,1.1431712845135004E-4,0.009247583807821433,0.009247583807821438,0.0012253689741473905,0.0012253689741474286,0.010947552335265417,0.010947552335265433,0.0018304460804906375,0.0018304460804906358,0.023967202573614278,0.023967202573614274
4FGL J0917.9-4755,270.39236,0.98678577,-20.717313089754487,2.6742027,0.18551163,0.31114304,3.8637419,-0.3154886,-0.5517079,0.01145933,-0.83160675,-0.77740705,-0.88281035,-0.9999483,2.4246435980139056,7.0782032057348765,UNASS,None,LogParabola,,,0.7373518309552376,0.2626481690447786,0.8736499001475535,0.12635009985244644,0.7985111389302247,0.2014888610697744,0.832996067677415,0.167003932322584,0.637848801673528,0.3621511983264714,0.4882703765528837,0.5117296234471163,0.1112899691298162,0.888710030870185,0.3477710062102451,0.652228993789756,0,0,0,1.128941734419453E-14,4.9136444231443506E-15,0.06729500018790563,0.06729500018790562,0.006578771545877078,0.00657877154587708,0.04033893485452992,0.04033893485452991,0.14387222630745566,0.14387222630745558,0.2689012613130724,0.2689012613130724,0.019298876681084032,0.019298876681083967,0.05989226179626783,0.059892261796267825
4FGL J0919.3+6607,147.63333,39.31993,-22.64349513017728,2.0471659,0.21185187,0.0041647,0.03035359,-0.76586276,-0.5114598,0.0010606877,-0.75792205,-0.24005957,-0.57780516,-0.43373,2.486280289246521,8.104275219585988,UNASS,None,PowerLaw,3FGL J0919.4+6604,,0.9999007449727119,9.925502727459202E-5,0.9990891864810948,9.108135189058858E-4,0.9994650124454656,5.3498755453315E-4,0.9990591732368048,9.408267631958983E-4,0.9999082152583305,9.178474166867877E-5,0.999793175174733,2.068248252673247E-4,0.9981183302799547,0.0018816697200443558,0.9979134611879126,0.0020865388120860574,0,0,0,1.354472090042691E-14,9.550416942266968E-19,6.880732875102986E-4,6.880732875102978E-4,4.6741816865741056E-5,4.67418168657408E-5,9.768400616369396E-4,9.768400616369454E-4,3.311049115790045E-5,3.3110491157865545E-5,3.441669808404927E-4,3.4416698084051224E-4,4.4366306056237354E-4,4.436630605623878E-4,0.002389159866152965,0.0023891598661529632
4FGL J0919.5-6203,280.69565,-8.727072,-21.781310992368642,2.1956227,0.28149727,0.7560671,4.7466793,-0.99977326,0.9999035,0.0039918106,0.49110523,-0.47081062,-0.9999888,-0.86448807,2.0276694484758977,7.614769811810833,UNASS,None,LogParabola,,,0.3619046072535649,0.6380953927464356,0.42670889477421053,0.5732911052257896,0.7013587680652635,0.2986412319347368,0.6012354335606841,0.39876456643931646,0.10145512630277535,0.8985448736972248,0.2992264747949975,0.7007735252050028,0.19855368130025522,0.8014463186997448,0.23861844028483523,0.7613815597151654,0,0,0,3.751901756903841E-15,4.195907225541476E-15,0.1776703587917761,0.1776703587917761,0.019947622957579528,0.019947622957579535,0.05782954841680062,0.05782954841680066,0.044029341192993274,0.04402934119299327,0.25171560094945966,0.2517156009494597,0.04070933515044167,0.04070933515044167,0.05754571944311486,0.05754571944311478
4FGL J0926.1-5336,275.3272,-2.1269085,-21.245323133800685,2.3141515,0.2900156,0.73441005,3.7251256,-0.9990828,0.95918167,0.005262508,-0.13018511,-0.37016007,-0.8747985,-0.7696659,2.170595824969627,7.757275667722438,UNASS,None,LogParabola,,,0.2998537547948104,0.7001462452051743,0.7513319324201402,0.2486680675798588,0.7188227228871296,0.28117727711287027,0.637934967313864,0.36206503268613455,0.20610877424925142,0.7938912257507479,0.4560936345545136,0.5439063654454861,0.13927879099277163,0.8607212090072288,0.19682766920385963,0.8031723307961387,0,0,4,4.33385337952803E-16,1.4841044306237045E-14,0.12797439150255388,0.12797439150255388,0.014419526367534621,0.01441952636753461,0.05667978171360323,0.056679781713603265,0.08988604236687961,0.08988604236687965,0.2190787337046388,0.21907873370463884,0.024616893059800832,0.02461689305980083,0.047182179502236896,0.04718217950223674
4FGL J0928.3-2713,256.86426,16.977943,-22.737230772627896,2.3785644,0.18378408,0.03147876,0.3631478,-0.69688624,-0.6010315,0.0012767599,-0.7375539,-0.99899954,0.99288845,-0.9992845,2.7987686428731458,7.23771938358032,UNASS,None,PowerLaw,,,0.999857031520493,1.4296847949806378E-4,0.9989621443327822,0.0010378556672178277,0.9999802798854799,1.972011451954317E-5,0.9964647916262164,0.0035352083737843275,0.9997631213620587,2.368786379405889E-4,0.9994181084992615,5.818915007386839E-4,0.9998003836209824,1.996163790189307E-4,0.993872911146041,0.006127088853957972,0,0,0,8.992806499463768E-15,5.400283303192612E-19,7.666174046794064E-4,7.666174046794075E-4,2.1239202431862058E-6,2.123920243186145E-6,0.004354039419955877,0.0043540394199558735,1.2134306881010061E-4,1.213430688101086E-4,0.001506376989082254,0.001506376989082243,1.1370393610062423E-4,1.1370393610055164E-4,0.007131828397193206,0.007131828397193253
4FGL J0928.4-5256,275.101,-1.4034246,-21.709836795379303,2.0038388,0.15323882,-0.001527538,0.047147546,-0.8348482,0.99140877,4.17611E-4,-0.4407584,-0.7788839,-0.17060918,-0.3227903,2.045918663987766,8.892312845019749,UNASS,None,PowerLaw,3FGL J0928.3-5255,,0.9972816762559717,0.0027183237440159443,0.9942644016232258,0.005735598376773538,0.9945115539022733,0.005488446097727068,0.9914640851997999,0.008535914800200042,0.9792240543591264,0.020775945640873747,0.8925634755586308,0.10743652444136914,0.9617995070947674,0.03820049290523265,0.9633255130107548,0.036674486989245324,0,0,0,1.2323475573339238E-14,1.2024031835944858E-17,0.004070517652628637,0.004070517652628636,4.7827466574883355E-4,4.782746657488339E-4,0.006297434186175,0.006297434186174995,0.008384698229549285,0.008384698229549284,0.09061841799184667,0.09061841799184665,0.009290642007251557,0.009290642007251555,0.020222829162153535,0.020222829162153542
