Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,ASSOC_FGL,Category_4FGL,mixPSR,classPSR,missclassPSR,mixAGN,classAGN,missclassAGN
3FGL J0049.0+4224,122.45456,-20.456451,-26.429257886959668,-27.82127874200839,-0.4755638163191846,3.5725180987362792,1.7653671503067017,0.6103714599423058,-0.7441126672416805,-0.21849052193571153,-0.2857654268078691,UNAS,None,6059.867,PowerLaw,none,0,0.9988915788424779,0.03160389533371554,0.0011084211575221894,0.03160389533371554,0.9931002682720824,0.016227639253531063,0.006899731727917564,0.016227639253531066,0.9964200851411468,0.0023181783551931416,0.0035799148588532967,0.0023181783551931416,0.9997932475781401,9.291758170776788E-5,2.0675242185974634E-4,9.291758170776719E-5,0.9997428897656967,3.5146681606523924E-4,2.571102343032896E-4,3.5146681606523794E-4,0.9703241264695124,0.0648115578127496,0.029675873530487562,0.06481155781274958,0.994305739220749,0.0058694198590147125,0.005694260779250975,0.0058694198590147125,0.9985705677711407,0.001052110779303496,0.0014294322288592772,0.0010521107793034965,3FGL J0049.0+4224,AGN,false,false,false,false,true,false
3FGL J0102.1+0943,127.330734,-53.052097,-25.98769374112786,-27.712073612030004,-0.7310816757674657,3.731490374894761,2.065023422241211,-0.3020753274453917,-0.6902051409815396,-0.5073783832090867,-0.29987821906091255,UNAS,None,2010.3379,PowerLaw,none,256,0.9999293368284471,6.271544267867971E-5,7.066317155286913E-5,6.271544267867975E-5,0.994777465299093,0.01359476553888494,0.005222534700907051,0.013594765538884944,0.9963917099602115,0.0035130900760546465,0.003608290039788475,0.003513090076054644,0.9998869565126899,5.8990215014486646E-5,1.1304348731017355E-4,5.8990215014486876E-5,0.9998970587825107,9.796598800842647E-5,1.0294121748930909E-4,9.796598800842659E-5,0.9779637006127556,0.0595951814205785,0.022036299387244447,0.05959518142057849,0.9943661362734685,0.006548273186828702,0.005633863726531608,0.006548273186828706,0.998587701684815,0.00104502468489556,0.0014122983151850172,0.0010450246848955585,3FGL J0102.1+0943,AGN,false,false,false,false,true,false
3FGL J0112.9-7506,301.0738,-41.94519,-26.434413425360255,-27.97391940421112,-3.0862578821082396,3.6784767361362145,2.1721508502960205,-0.7343473323047949,-0.698580464613628,-0.5521213409043308,-0.4059362319461393,UNAS,None,1641.6904,PowerLaw,none,0,0.9998843670439199,9.522821679142848E-5,1.156329560800513E-4,9.522821679142898E-5,0.9949955739990971,0.012025031715507771,0.0050044260009027884,0.012025031715507775,0.9967940071195582,0.0028383444991590475,0.0032059928804416445,0.0028383444991590444,0.9999998996665678,1.4121937298771044E-7,1.0033343221572955E-7,1.4121937298800045E-7,0.9998973739637996,9.982749692788063E-5,1.0262603620042492E-4,9.982749692787961E-5,0.9790100941636325,0.056716238350846326,0.020989905836367506,0.056716238350846326,0.9963836016470038,0.0043866814255459595,0.003616398352996104,0.004386681425545959,0.9999946824164622,8.884124326909423E-6,5.3175835378062615E-6,8.884124326909995E-6,3FGL J0112.9-7506,AGN,false,false,false,false,true,false
3FGL J0127.6+4851,129.05373,-13.57893,-26.120579033737485,-27.673130769127315,-1.783416814119543,4.204564505679566,2.4481723308563232,-0.5518522621228569,-0.7083981567765543,-0.6338109881565702,-0.7665191891288293,UNAS,None,1047.4584,PowerLaw,none,0,0.999935381068761,6.754632562660244E-5,6.461893123909476E-5,6.754632562660314E-5,0.9929778246662194,0.014771973721941153,0.007022175333780498,0.014771973721941155,0.9976025662394075,0.0027765558171347535,0.0023974337605924454,0.0027765558171347487,0.9999953082159171,3.5448023176454134E-6,4.691784082879638E-6,3.544802317646274E-6,0.9999327955068715,8.344806296266139E-5,6.720449312835682E-5,8.344806296265975E-5,0.9680446179157282,0.06426873731200954,0.031955382084271886,0.06426873731200954,0.995119530677049,0.005960850187959696,0.004880469322951063,0.005960850187959695,0.9999078864352308,9.176907571464982E-5,9.211356476927521E-5,9.176907571464882E-5,3FGL J0127.6+4851,AGN,false,false,false,false,true,false
3FGL J0138.5-4612,279.95227,-68.76349,-26.342062467657062,-27.957480446642087,-0.5641880963143303,3.6933890194102976,2.0609827041625977,-0.29989520611084197,-0.5478038886600485,-0.5488685059004542,-0.5851529309987537,UNAS,None,2009.1926,PowerLaw,none,0,0.9998654860316645,1.1055651427549155E-4,1.3451396833570294E-4,1.1055651427549284E-4,0.994685160101321,0.01387739980563494,0.005314839898679021,0.013877399805634941,0.9955262246316033,0.0033890878954001558,0.004473775368396602,0.003389087895400158,0.9994182691916671,2.5909037854088024E-4,5.817308083328997E-4,2.590903785408786E-4,0.999781663501855,1.9400179065665377E-4,2.1833649814502267E-4,1.940017906566539E-4,0.9768350200450489,0.0622340518359418,0.023164979954951086,0.0622340518359418,0.9907641795204883,0.009091935612207934,0.009235820479511726,0.009091935612207933,0.9917904752806469,0.004905671677360691,0.008209524719353137,0.004905671677360691,3FGL J0138.5-4612,AGN,false,false,false,false,true,false
3FGL J0158.6+0102,155.5121,-57.513157,-26.191634824855793,-27.770433571175833,0.3455815344829678,3.7890877408475756,2.5585057735443115,-0.7249082688828892,-0.9349736098443433,-0.028509537719664458,-0.2902053765254937,UNAS,None,827.643,PowerLaw,none,0,0.9999693575261315,2.9016809698333333E-5,3.0642473868492435E-5,2.901680969833466E-5,0.9943904189874111,0.013902859670081796,0.005609581012588896,0.013902859670081799,0.996443000621128,0.0027128139346754353,0.0035569993788720825,0.0027128139346754366,0.9985993757447041,5.257463185127771E-4,0.0014006242552958455,5.257463185127771E-4,0.9999515394245719,5.9694672394225776E-5,4.846057542807775E-5,5.9694672394226074E-5,0.9758549400968463,0.059870748968321515,0.024145059903153757,0.059870748968321515,0.9883467729406719,0.010384805936045407,0.011653227059328199,0.010384805936045403,0.9951804449553784,0.0031457964205564193,0.004819555044621711,0.0031457964205564206,3FGL J0158.6+0102,AGN,false,false,false,false,true,false
3FGL J0200.3-4108,262.05765,-70.08185,-26.43688569739518,-27.920167937530447,-0.6872598703005195,3.8462885383123977,1.8781707286834717,-0.9888026564481267,0.8269761349571996,-0.47471885160480776,-0.6231220575817921,UNAS,None,3490.8992,PowerLaw,none,0,0.9999221230604081,5.1850906284012815E-5,7.787693959199127E-5,5.185090628401491E-5,0.9947712489078033,0.013773201305902587,0.005228751092196745,0.013773201305902589,0.9970982950108276,0.002146782960595162,0.0029017049891724737,0.0021467829605951523,0.9996153002794563,2.1993369078810766E-4,3.8469972054369216E-4,2.1993369078810704E-4,0.9998916034463788,9.193336205364668E-5,1.0839655362106368E-4,9.193336205364602E-5,0.9774830387975785,0.06235811598205043,0.02251696120242154,0.062358115982050426,0.9968405861150459,0.0039008202723336606,0.0031594138849541267,0.0039008202723336645,0.995996163494151,0.0028844646436775125,0.004003836505849038,0.0028844646436775112,3FGL J0200.3-4108,AGN,false,false,false,false,true,false
3FGL J0216.0+0300,160.32379,-53.597607,-26.653053154491076,-27.893684452068488,-0.8398752926939451,3.6270176046538483,2.013767719268799,-0.8230451519042479,-0.5049686021907196,-0.3758665293178283,-0.6005503627197641,UNAS,None,3324.7903,PowerLaw,none,0,0.999926854573758,4.733732127713163E-5,7.314542624198635E-5,4.733732127713213E-5,0.994770554776563,0.013767896041688071,0.005229445223437113,0.013767896041688073,0.9970104764036294,0.0014467623365519338,0.0029895235963705662,0.0014467623365519307,0.9998452687779639,8.052944498096539E-5,1.5473122203624702E-4,8.05294449809664E-5,0.9999085026137053,6.427738459814667E-5,9.149738629469736E-5,6.427738459814568E-5,0.9779709361944217,0.062090406107272324,0.022029063805578352,0.062090406107272324,0.9957078616994469,0.004057711190442248,0.004292138300553128,0.00405771119044225,0.9980981299357912,0.0014196063086979486,0.0019018700642088938,0.0014196063086979497,3FGL J0216.0+0300,AGN,false,false,false,false,true,false
3FGL J0216.4+0507,158.6026,-51.753777,-26.463472725387728,-27.876963793951983,0.15101239547413606,3.9011666345143925,2.24003005027771,-0.5944720849349635,-0.2955960075724205,-0.8909999889551924,-0.3864808989040241,UNAS,None,1412.2108,PowerLaw,none,0,0.9995536172608954,8.453236328074731E-4,4.463827391047116E-4,8.453236328074741E-4,0.9944196891516688,0.01390160820631509,0.005580310848331275,0.013901608206315093,0.9858902750652823,0.009837519599791239,0.014109724934717736,0.00983751959979123,0.9976561148003652,9.513237894086036E-4,0.002343885199634821,9.513237894086027E-4,0.9972770321651334,0.003687393781121565,0.0027229678348666205,0.0036873937811215665,0.9751821656074119,0.06226251324271279,0.02481783439258815,0.062262513242712786,0.95158763734296,0.033990580939450475,0.048412362657040034,0.033990580939450475,0.9646130126139745,0.02332908585530628,0.035386987386025553,0.02332908585530628,3FGL J0216.4+0507,AGN,false,false,false,false,true,false
3FGL J0221.2+2518,147.33334,-33.273746,-26.300095061598235,-27.762214362721487,-0.18511253730700888,3.6385254390208,1.9356745481491089,-0.9621526475639446,0.5226030796009119,-0.364473908158513,-0.6485734538972411,UNAS,None,3399.047,PowerLaw,none,0,0.9998992090552151,7.532388227815105E-5,1.0079094478477285E-4,7.532388227815116E-5,0.9939003167175902,0.013826516131430567,0.006099683282409844,0.013826516131430568,0.9966239299205766,0.0019537767229808514,0.003376070079423477,0.0019537767229808514,0.9969559504035835,0.0011934132365999486,0.003044049596416521,0.0011934132365999503,0.999763446928055,2.1341899519433855E-4,2.3655307194509015E-4,2.1341899519433942E-4,0.9731763614697165,0.0626394855154518,0.026823638530283515,0.0626394855154518,0.994858775414898,0.005457510008124012,0.0051412245851020204,0.005457510008124013,0.9746136462592999,0.013451462793414371,0.025386353740700026,0.013451462793414373,3FGL J0221.2+2518,AGN,false,false,false,false,true,false
3FGL J0224.1-1846,196.45181,-67.122475,-26.07990414826405,-27.88268344400521,-0.21116970915448327,3.720782951590383,2.4003536701202393,-0.5728396901259544,-0.8119210564867583,-0.33077708144904766,-0.7621781041342908,UNAS,None,884.1159,PowerLaw,none,0,0.9998932368774103,1.1466834310113976E-4,1.067631225897972E-4,1.1466834310114037E-4,0.99447030211142,0.013926048133847083,0.005529697888580015,0.013926048133847084,0.9958323446256554,0.0029975177774517344,0.004167655374344623,0.0029975177774517383,0.997460777176291,9.37304370567119E-4,0.0025392228237089355,9.373043705671179E-4,0.9998309086989091,1.781145845313996E-4,1.6909130109092952E-4,1.7811458453139992E-4,0.9755874505239744,0.05944391894213212,0.02441254947602557,0.05944391894213212,0.9881206229065602,0.010478641307782128,0.011879377093439746,0.010478641307782123,0.9776978224956572,0.011979306842243768,0.022302177504342907,0.011979306842243768,3FGL J0224.1-1846,AGN,false,false,false,false,true,false
3FGL J0224.4+1615,153.12524,-41.091526,-26.303444130609847,-27.66363415391243,-1.0051141377284951,3.9618117582210473,2.261836051940918,-0.6559865188647604,-0.6811092103261182,-0.5994235176491967,-0.4252539113965246,UNAS,None,1622.4056,PowerLaw,none,0,0.9999651103436902,2.311199248647991E-5,3.4889656309746354E-5,2.311199248648008E-5,0.9947691423551585,0.013651666840251988,0.0052308576448415545,0.013651666840251988,0.9975412254351759,0.003195551117820269,0.002458774564824086,0.003195551117820267,0.9999724765048281,1.5515993735700976E-5,2.752349517192032E-5,1.5515993735700752E-5,0.999966876059377,2.9985349993686395E-5,3.3123940622962184E-5,2.9985349993685548E-5,0.9785149914217546,0.061575438817418275,0.02148500857824543,0.061575438817418275,0.9946719770956132,0.006241200894273437,0.005328022904386815,0.0062412008942734345,0.9996207002361808,3.0663450361517123E-4,3.792997638192468E-4,3.066345036151694E-4,3FGL J0224.4+1615,AGN,false,false,false,false,true,false
3FGL J0228.5+8213,126.32635,19.998413,-26.087056145965363,-27.83606487347969,0.10939129914257455,3.7231011316221223,2.7715609073638916,-0.7704688523534737,-0.6280482147359217,-0.8412599188095348,-0.6271608779045807,UNAS,None,378.12604,PowerLaw,none,8,0.9997155131571404,3.7552761266221454E-4,2.844868428596891E-4,3.7552761266221513E-4,0.9931022060255478,0.010757661798095192,0.0068977939744522135,0.010757661798095192,0.9895297791548117,0.0062767320948959775,0.01047022084518839,0.006276732094895969,0.9889078259999046,0.0034639439074533717,0.011092174000095472,0.0034639439074533713,0.9973058287266685,0.003944569457446001,0.0026941712733314226,0.003944569457446001,0.9333844280347745,0.09088417783268517,0.06661557196522551,0.09088417783268517,0.958105783156419,0.029250480587877044,0.04189421684358092,0.02925048058787704,0.816994050584184,0.07797879917444574,0.18300594941581613,0.07797879917444574,3FGL J0228.5+8213,AGN,false,false,false,false,true,false
3FGL J0232.6+0646,162.46416,-48.17772,-25.962092712182343,-27.70930224148723,0.848959108740999,4.006103958807338,2.6659579277038574,-0.7215114827482543,-0.6999667847241238,-0.9194171280701683,-0.8134135739200044,UNAS,None,465.37665,PowerLaw,none,1,0.9952496774257263,0.016495569394941758,0.004750322574273606,0.016495569394941758,0.980995603775647,0.019686533130828222,0.01900439622435306,0.019686533130828222,0.9683689944995992,0.020092772298687396,0.03163100550040079,0.020092772298687393,0.9137339668787479,0.017904990887545002,0.08626603312125203,0.017904990887545002,0.9931852792967352,0.009391267049838144,0.00681472070326489,0.009391267049838144,0.7793584721089344,0.19219515342002771,0.22064152789106556,0.19219515342002771,0.8954335782202429,0.059425446813539985,0.10456642177975707,0.05942544681353997,0.45580728199198384,0.09719038774939391,0.5441927180080162,0.0971903877493939,3FGL J0232.6+0646,AGN,false,false,false,true,false,false
3FGL J0234.2-0629,177.42293,-58.034374,-26.554371621238754,-27.852930540364575,-0.19301100082713618,3.562483276912179,1.813387393951416,-0.10529706249234715,-0.7013063211036313,0.031216300762567747,-0.23066909142580183,UNAS,None,4520.0195,PowerLaw,none,0,0.9999189033185995,7.392861568940586E-5,8.10966814005123E-5,7.392861568940559E-5,0.994654555158061,0.013892539590468848,0.005345444841938966,0.01389253959046885,0.9963202978109795,0.0020230547615548156,0.0036797021890203783,0.002023054761554812,0.9997305739195131,1.1200558270139238E-4,2.6942608048679075E-4,1.1200558270139288E-4,0.9998814237208745,1.1651115292744575E-4,1.1857627912547103E-4,1.1651115292744706E-4,0.9777808264415341,0.0623168031638893,0.022219173558465952,0.0623168031638893,0.9945318653313588,0.005365901281045711,0.00546813466864111,0.005365901281045712,0.9988865745552857,7.636333914330467E-4,0.0011134254447141949,7.63633391433047E-4,3FGL J0234.2-0629,AGN,false,false,false,false,true,false
3FGL J0239.0+2555,151.271,-30.96236,-26.57732011856571,-27.79080963933716,-0.4332450856700798,3.2945188676311643,2.0618743896484375,-0.7862897976199766,-0.7684469703283906,-0.3583952575150139,-0.34499400881332465,UNAS,None,3583.083,PowerLaw,none,0,0.9999230584754991,9.685691712351248E-5,7.694152450087094E-5,9.685691712351423E-5,0.9940630366897482,0.013902412929379732,0.005936963310251844,0.013902412929379734,0.995187348591479,0.005537383117125674,0.004812651408521034,0.005537383117125675,0.9993863331794733,2.8043200500709793E-4,6.136668205266227E-4,2.8043200500709717E-4,0.9999061056127156,1.2659706402737758E-4,9.389438728430627E-5,1.265970640273775E-4,0.974022088660816,0.06265430663431405,0.025977911339184003,0.06265430663431405,0.9944492967142533,0.006760968912231087,0.005550703285746674,0.006760968912231087,0.9917053357882281,0.006519768985426023,0.008294664211772064,0.0065197689854260225,3FGL J0239.0+2555,AGN,false,false,false,false,true,false
3FGL J0239.4+1326,159.19914,-41.696938,-26.019740721376056,-27.630909128110805,-0.9615283842657463,3.932947645997825,1.9952142238616943,-0.9781881122632585,0.5561850385029156,-0.5433693973325063,-0.5966145737305769,UNAS,None,3086.905,PowerLaw,none,0,0.9999465796166678,3.227951020505225E-5,5.3420383332210816E-5,3.2279510205052164E-5,0.99471982037759,0.013759336279302446,0.005280179622409974,0.013759336279302448,0.9973208445911783,0.0019661490620866105,0.0026791554088216834,0.001966149062086606,0.9998731494565868,8.024231722770502E-5,1.2685054341308563E-4,8.024231722770582E-5,0.9999304107399989,4.686508969832288E-5,6.958926000117651E-5,4.686508969832385E-5,0.9783432325106676,0.06159427591321441,0.02165676748933236,0.06159427591321441,0.9961769175383431,0.004809973539231612,0.003823082461656945,0.004809973539231611,0.998419381477423,0.00124399394784954,0.0015806185225769598,0.0012439939478495383,3FGL J0239.4+1326,AGN,false,false,false,false,true,false
