GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
308.98776,-57.21784,-22.719519615674116,2.4660225,0.20892468,0.06215189,0.6173967,-0.7727394,-0.5502337,0.003504895,-0.6826474,-0.7710536,-0.59871155,-0.7340516,2.7849114224416933,7.2744975766295665,,4FGL J0025.5-5936,PowerLaw,0.110613845,0.43063986,,,0.12,0.0,272,0.99997198166443,2.8018335569947093e-05,0.9983440050389503,0.0016559949610499719,0.9997337574705732,0.0002662425294250539,0.9976796146652978,0.002320385334701998,0.0,0.0,0.0,0.0
104.761604,-69.51759,-22.6200299518282,1.9447428,0.23691197,0.08838483,0.88176763,0.91592973,0.96089983,0.0010935222,-0.73101103,-0.08805808,-0.9048024,0.5627683,2.1810984700170537,8.200801308227613,,4FGL J0026.1-0732,PowerLaw,0.117149465,0.34477246,,,0.0,0.0,0,0.999184899686697,0.0008151003133232926,0.9957737465124596,0.004226253487540012,0.9965489553103589,0.0034510446896428427,0.9926440053633042,0.00735599463669564,0.0,0.0,0.0,0.0
113.453476,-56.826523,-22.692305328885155,2.9577625,0.13020572,-0.04769005,0.58481854,0.23386604,-0.768104,0.0016254631,-0.903205,-0.8081589,-0.13240527,-0.9990145,2.3881681170397884,5.769678105753334,,4FGL J0030.6+0539,PowerLaw,0.067918345,0.13201617,,,0.19,0.0,16,0.9982172137868002,0.0017827862132101615,0.9980087462992606,0.0019912537007385454,0.9997680145374246,0.000231985462577226,0.9878285061949258,0.012171493805073418,0.0,0.0,0.0,0.0
327.03723,-79.83805,-23.272454016896994,1.8849779,0.26759788,0.02518245,0.23115736,0.96905583,0.7161944,0.001047607,0.50160897,-0.564899,-0.45460153,-0.20070124,2.01064777983353,8.483395220582771,,4FGL J0030.9-3618,PowerLaw,0.12065578,0.46033093,,,0.0,0.0,4,0.999648833306644,0.00035116669337374257,0.997081105497113,0.0029188945028876686,0.9993564310751545,0.0006435689248458634,0.9975951108809227,0.002404889119076199,0.0,0.0,0.0,0.0
70.318275,-84.105675,-22.200116089431617,2.1493816,0.40240973,0.7693234,3.3719153,-0.9999863,0.99981797,0.0024795088,0.009363027,-0.57584566,-0.9109904,-0.8334808,1.8921057345181638,7.341178426593897,,4FGL J0031.0-2327,LogParabola,0.39643177,0.05713981,3FGL J0031.2-2320,,0.45,0.0,0,0.887365804049971,0.11263419595004028,0.8604535574350962,0.13954644256490403,0.8971165847345768,0.10288341526542356,0.8950473560809601,0.10495264391903879,0.0,0.001,0.0,0.0
308.3834,-60.11082,-22.697660248068402,1.9893942,0.22147551,0.11078512,1.1407472,-0.9171682,-0.396703,0.0020813087,-0.43077707,-0.51527065,-0.31386158,-0.99944484,2.6775325039345046,8.000497438773538,,4FGL J0031.5-5648,PowerLaw,0.11616374,0.4740005,,,0.0,0.0,0,0.9999104144600046,8.958554001658988e-05,0.9985217662056518,0.001478233794347935,0.9998117085360781,0.0001882914639217736,0.9985811795464954,0.0014188204535035753,0.0,0.0,0.0,0.0
308.52026,-61.256878,-24.162045684821468,1.3985571,0.3741302,0.103745095,0.42594868,-0.84182394,-0.98536736,7.551322E-4,0.85680073,-0.15844668,-0.9971966,0.9964225,2.6424270742146367,10.467461828448503,,4FGL J0032.3-5539,PowerLaw,0.22752878,0.953716,,,0.0,0.0,0,0.9996100836915571,0.0003899163084257204,0.9987259301785414,0.0012740698214577836,0.9998911763431982,0.00010882365680146658,0.9944129793091441,0.005587020690856439,0.0,0.0,0.0,0.0
121.13443,1.8261667,-21.308171787094427,2.4277017,0.15504816,0.15892236,2.1845102,0.99889475,-0.22982882,0.0022607548,-0.7140629,-0.689199,-0.6589443,-0.9999955,2.316355790212906,7.559241519455387,,4FGL J0034.6+6438,PowerLaw,0.09372193,0.34943226,,,0.0,0.0,0,0.9652819045178377,0.03471809548215996,0.9706547239905813,0.029345276009417887,0.9097819750680012,0.0902180249319986,0.974686174363473,0.025313825636527097,0.0,0.0,0.0,0.0
100.58408,-79.825195,-23.217733608939092,1.7723575,0.29486796,0.07908534,0.63586444,0.9990171,-0.8651392,9.5736404E-4,-0.43693557,-0.18748175,-0.52123064,-0.27001277,0.9878140524060625,8.681206079402092,,4FGL J0035.2-1739,PowerLaw,0.14010932,0.45488468,,,0.0,0.0,0,0.9994132008660922,0.0005867991339216422,0.9927608865824348,0.007239113417565584,0.9950131844624486,0.004986815537551387,0.994550470364658,0.005449529635340778,0.0,0.0,0.0,0.0
36.389965,-86.83259,-23.254458582302163,2.3432388,0.63978976,0.99663347,1.5991244,0.9984971,-0.65007794,0.0034273851,-0.4919031,-0.37675664,-0.9999725,-0.23161478,1.873907282687725,7.534119715352086,,4FGL J0037.2-2653,PowerLaw,0.1596801,0.0075552347,,,0.0,0.0,4352,0.9917137363360025,0.008286263664016162,0.9695659844539443,0.030434015546055484,0.9498669787677351,0.050133021232264985,0.9465346903824083,0.05346530961759283,0.0,0.0,0.0,0.0
