Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Category_Prob,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,GLON,Flags
3FGL J0009.6-3211,-28.8002771,-28.0248004,2.3097298,0.027075917,3.75029336,-0.596740735,-0.623579577,-0.703260285,-0.637021066,-79.601845,AGN,bcu,1069.8146,PowerLaw,IC 1531,0.999671253,3.29E-4,0.987087086,0.012912914,0.992552953,0.007447047,0.987933563,0.012066437,313,AGN,0.8853181623154399,0.11468183768455996,0.8582392137359283,0.14176078626407218,0.8418108550142294,0.1581891449857704,0.8788394496899528,0.12116055031004744,236,1.25166523,1
3FGL J0012.4+7040,-28.2276076,-27.2959122,2.4837499,-1.56607694,3.94305431,-0.59534088,-0.869545042,-0.568573316,-0.441835598,8.046483,AGN,bcu,1066.8414,PowerLaw,TXS 0008+704,0.99990249,9.75E-5,0.990419888,0.009580112,0.999970277,2.97E-5,0.995032475,0.004967525,300,AGN,0.9008105388645329,0.09918946113546713,0.8369882198738471,0.16301178012615303,0.8195601294326174,0.18043987056738248,0.8748054847137341,0.12519451528626638,208,119.687393,8
3FGL J0013.2-3954,-28.223898,-27.8588636,2.2117834,-1.88502292,4.01147139,-0.564600305,-0.626851708,-0.586269932,-0.350811907,-74.96217,AGN,bll,1139.5116,PowerLaw,PKS 0010-401,0.999888848,1.11E-4,0.991940917,0.008059083,0.999993781,6.22E-6,0.996331869,0.003668131,298,AGN,0.9276412882771904,0.07235871172281033,0.8798992693245531,0.12010073067544635,0.8550010637791432,0.14499893622085736,0.8992180055313671,0.10078199446863274,221,332.323792,0
3FGL J0013.9-1853,-31.1458156,-27.9947326,1.9351506,0.486400709,3.59618299,0.99911541,0.342174432,-0.420619201,-0.836871206,-78.0784,AGN,bll,2844.402,PowerLaw,RBS 0030,0.983623974,0.016376026,0.968098623,0.031901377,0.971576933,0.028423067,0.890069678,0.109930322,313,AGN,0.9259092544711429,0.07409074552885715,0.8827003543979529,0.11729964560204655,0.8601540867463514,0.1398459132536485,0.899449327031153,0.10055067296884619,221,74.6269226,0
3FGL J0014.0-5025,-31.1621834,-28.0085523,1.9238772,0.371497968,3.83681301,-0.739192463,-0.278573801,-0.630847604,-0.448877519,-65.633064,AGN,bll,2914.0332,PowerLaw,RBS 0032,0.999773096,2.27E-4,0.985795604,0.014204396,0.98470984,0.01529016,0.992949185,0.007050815,296,AGN,0.9160938106228835,0.08390618937711697,0.8672178162875008,0.13278218371249922,0.8437197006502243,0.15628029934977597,0.8939198673566325,0.10608013264336702,211,317.451111,0
3FGL J0014.6+6119,-31.2411051,-27.3197198,1.8874854,0.888861568,3.92760936,0.955237768,-0.084374271,-0.277528749,-0.458452091,-1.2385842,AGN,bcu,5187.997,PowerLaw,4C +60.01,0.997927758,0.002072242,0.876973645,0.123026355,0.981199054,0.018800946,0.991015342,0.008984658,308,AGN,0.8856107032623498,0.11438929673765069,0.8423021120787297,0.1576978879212707,0.8130186173576903,0.18698138264230907,0.8601341038756409,0.13986589612435868,229,118.530342,0
3FGL J0014.7+5802,-32.0224643,-27.5716737,1.9128166,-0.3954289,3.67655558,0.923888966,0.82992441,-0.538831261,-0.539200917,-4.4827323,AGN,bll,5677.0996,PowerLaw,1RXS J001442.2+580201,0.999392515,6.07E-4,0.964800473,0.035199527,0.998600201,0.001399799,0.99551488,0.00448512,308,AGN,0.9021355301266403,0.09786446987335994,0.8460536501343382,0.15394634986566177,0.8268202295023724,0.17317977049762767,0.8859790775864899,0.11402092241351015,211,118.075279,0
3FGL J0015.7+5552,-30.6519148,-27.5650533,2.1145282,0.042450492,3.62892606,-0.612040553,-0.708852423,-0.58331449,-0.588342847,-6.6486773,AGN,bcu,3002.9968,PowerLaw,GB6 J0015+5551,0.999741781,2.58E-4,0.961798432,0.038201568,0.984687565,0.015312435,0.997235731,0.002764269,303,AGN,0.9344793305649277,0.06552066943507265,0.8979376597546116,0.10206234024538845,0.8726696375255792,0.1273303624744204,0.9100390446286181,0.08996095537138209,217,117.908981,0
3FGL J0016.3-0013,-25.5007332,-27.7121846,2.6178546,1.22716597,5.0309504,-0.616784239,-0.795090013,-0.908771878,-0.355854503,-61.808758,AGN,fsrq,449.44128,PowerLaw,S3 0013-00,0.999988008,1.2E-5,0.9860668,0.0139332,0.994239146,0.005760854,0.980767167,0.019232833,311,AGN,0.9026550288507359,0.09734497114926385,0.8587315059654316,0.1412684940345687,0.825260724625323,0.1747392753746764,0.8793556809687849,0.12064431903121488,230,104.078606,0
3FGL J0017.2-0643,-29.8271395,-27.8091679,2.1161962,-0.053335694,3.62139184,0.031875911,-0.167553473,-0.69133399,-0.771387465,-68.03635,AGN,bcu,1905.9727,PowerLaw,PMN J0017-0650,0.997685206,0.002314794,0.986874565,0.013125435,0.987839606,0.012160394,0.978892506,0.021107494,322,AGN,0.9040820088119639,0.09591799118803555,0.8558316184898473,0.14416838151015215,0.8088544575073954,0.19114554249260501,0.8713406234481791,0.12865937655182078,232,99.668541,0
3FGL J0017.6-0512,-27.0753891,-27.3903535,2.50629,0.61752695,5.43845215,-0.651864181,-0.716061772,-0.813044896,-0.500378042,-66.64299,AGN,FSRQ,861.1856,PowerLaw,PMN J0017-0512,0.999978241,2.18E-5,0.990832314,0.009167686,0.999448811,5.51E-4,0.991545224,0.008454776,307,AGN,0.8993504966281605,0.10064950337183984,0.8486652112822707,0.1513347887177293,0.8250350320060184,0.17496496799398226,0.878690887534064,0.12130911246593624,210,101.258423,0
3FGL J0018.4+2947,-32.1950904,-27.9788071,1.8645151,-2.43056546,4.03071199,0.884908636,-0.839906357,-0.166074473,-0.173117601,-32.53204,AGN,bll,4720.1187,PowerLaw,RBS 0042,0.99995282,4.72E-5,0.992332027,0.007667973,0.999999655,3.45E-7,0.998298567,0.001701433,316,AGN,0.9028888847215188,0.09711111527848033,0.8608279897032265,0.13917201029677453,0.8323690524951683,0.16763094750483135,0.8782247750412007,0.12177522495879974,217,114.432129,0
3FGL J0018.9-8152,-29.6022225,-27.6622817,2.0754406,-1.17116701,4.45029615,-0.658769818,-0.658890441,-0.518360336,-0.27289898,-35.163124,AGN,bll,2187.517,PowerLaw,PMN J0019-8152,0.999992596,7.4E-6,0.992350081,0.007649919,0.999984323,1.57E-5,0.99922666,7.73E-4,281,AGN,0.9029317930099277,0.09706820699007236,0.8660705767561386,0.1339294232438612,0.8392319711065347,0.16076802889346575,0.884767796217809,0.11523220378219134,202,304.330109,0
3FGL J0019.1-5645,-28.756365,-28.0212093,2.3909311,-0.64464422,4.14085123,-0.882274398,-0.48227178,-0.598547156,-0.279748388,-59.82244,AGN,bcu,1088.913,PowerLaw,PMN J0019-5641,0.999930342,6.97E-5,0.991362318,0.008637682,0.99991767,8.23E-5,0.991559742,0.008440258,272,AGN,0.8629659543468872,0.1370340456531129,0.8220603715232021,0.17793962847679734,0.8002742106028805,0.19972578939711916,0.8325233141898098,0.16747668581018973,192,311.731506,0
3FGL J0019.4+2021,-29.5845041,-27.88706,2.2486298,-0.557360433,4.02142739,0.406755556,-0.863557532,-0.410481412,-0.530666251,-41.877808,AGN,bll,1529.8136,PowerLaw,PKS 0017+200,0.999955406,4.46E-5,0.991888952,0.008111048,0.999789141,2.11E-4,0.99665546,0.00334454,304,AGN,0.9258604582173936,0.07413954178260714,0.8816193854688124,0.11838061453118742,0.859910993628471,0.1400890063715293,0.9035553463503527,0.096444653649647,216,112.843597,0
3FGL J0021.6-2553,-28.9257567,-27.8048643,2.0992868,-1.74733161,4.27064698,-0.663635885,-0.479427086,-0.442544053,-0.601381609,-83.22444,AGN,bll,1520.3076,PowerLaw,CRATES J002132.55-255049.3,0.999956224,4.38E-5,0.991402552,0.008597448,0.999990704,9.3E-6,0.99843584,0.00156416,292,AGN,0.8941010780326569,0.10589892196734346,0.8395003254925115,0.16049967450748823,0.8287755134450903,0.17122448655490932,0.8754875964811194,0.12451240351888021,200,41.8113594,0
3FGL J0021.6-6835,-27.010925,-27.9971022,2.6524696,-0.577948637,3.94837056,-0.653451758,-0.775366819,-0.749340352,-0.999916108,-48.299847,AGN,bcu,532.6547,PowerLaw,PKS 0021-686,0.999597254,4.03E-4,0.990572803,0.009427197,0.998117005,0.001882995,0.977438137,0.022561863,295,AGN,0.9205929070574551,0.07940709294254493,0.8645938509035282,0.13540614909647145,0.8371552513358075,0.16284474866419177,0.8868679837508844,0.1131320162491157,216,307.012085,256
3FGL J0022.1-1855,-29.689771,-27.3059323,1.7990181,0.89170234,4.21757054,0.958960662,-0.377814789,-0.258662286,-0.675488885,-79.38736,AGN,bll,2653.591,PowerLaw,1RXS J002209.2-185333,0.99960945,3.91E-4,0.978892803,0.021107197,0.983113598,0.016886402,0.995405483,0.004594517,302,AGN,0.9256936000870201,0.07430639991297994,0.8821482907563636,0.11785170924363686,0.8630314931269704,0.13696850687302956,0.9034962853773948,0.0965037146226054,201,82.0309677,0
3FGL J0022.1-5141,-29.1126105,-27.6803655,1.9874318,0.539554936,4.08447983,0.31534628,-0.404154307,-0.697587316,-0.252967591,-64.82614,AGN,bll,1760.3436,PowerLaw,1RXS J002159.2-514028,0.999467199,5.33E-4,0.987843053,0.012156947,0.994319106,0.005680894,0.990170095,0.009829905,319,AGN,0.8904947027841101,0.10950529721588939,0.8372514723381519,0.16274852766184827,0.8150153449774322,0.1849846550225682,0.8712355113334854,0.12876448866651524,232,313.620239,0
3FGL J0022.5+0608,-27.2707295,-27.2297569,2.073243,0.898164642,4.5560374,-0.390619162,-0.581622799,-0.512979611,-0.606588703,-56.008762,AGN,bll,1265.673,PowerLaw,PKS 0019+058,0.999947107,5.29E-5,0.984064459,0.015935541,0.987155077,0.012844923,0.994782429,0.005217571,327,AGN,0.8981695141889333,0.10183048581106685,0.8516375506823346,0.14836244931766548,0.8279358770662497,0.1720641229337504,0.8693045364773753,0.13069546352262473,226,110.023605,0
3FGL J0023.5+4454,-26.725246,-27.7359435,2.5684931,-1.35564489,4.24438538,-0.748537858,-0.678308109,-0.773361581,-0.679655957,-17.68494,AGN,fsrq,620.3807,PowerLaw,B3 0020+446,0.999904535,9.55E-5,0.990827442,0.009172558,0.999942872,5.71E-5,0.995504659,0.004495341,298,AGN,0.9051847554870542,0.09481524451294555,0.8561604268710398,0.14383957312896065,0.8355313875647215,0.16446861243527877,0.882779370419778,0.11722062958022234,213,117.748222,0
3FGL J0024.4+0350,-28.7230543,-27.7452758,2.2782264,1.01588757,4.31683724,-0.528792,-0.71047057,-0.741809322,-0.658294945,-58.350433,AGN,fsrq,1194.3387,PowerLaw,GB6 J0024+0349,0.996386023,0.003613977,0.970567541,0.029432459,0.945551632,0.054448368,0.97997135,0.02002865,294,AGN,0.8982532896849584,0.10174671031504133,0.8651148613230306,0.134885138676969,0.8431054010091279,0.1568945989908719,0.8740516304215268,0.1259483695784733,200,110.020332,0
3FGL J0026.7-4603,-28.8529239,-28.0621604,2.450339,-1.04521367,4.04049115,-0.584864002,-0.7991077,-0.484040888,-0.75564025,-70.44581,AGN,bll,1009.74817,PowerLaw,1RXS J002636.3-460101,0.999984295,1.57E-5,0.991332731,0.008667269,0.999890894,1.09E-4,0.996385383,0.003614617,313,AGN,0.8779730745011163,0.1220269254988842,0.8275107186207982,0.17248928137920172,0.8030463224978289,0.1969536775021707,0.8614703393307237,0.1385296606692763,226,315.816589,1
3FGL J0028.6+7507,-28.3160291,-27.5998318,2.3414557,-0.89772588,3.63061221,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,1172.9393,PowerLaw,GB6 J0028+7506,0.943001005,0.056998995,0.989443206,0.010556794,0.99842853,0.00157147,0.914800192,0.085199808,292,AGN,0.926748814659436,0.07325118534056423,0.8789804139688522,0.12101958603114753,0.8543029664782252,0.1456970335217747,0.9001517203643762,0.09984827963562397,219,121.436699,0
3FGL J0028.8+1951,-27.5777405,-27.7955897,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,761.7829,PowerLaw,TXS 0025+197,0.998494962,0.001505038,0.986990869,0.013009131,0.987020464,0.012979536,0.960893082,0.039106918,305,AGN,0.9099192247569743,0.09008077524302514,0.8746255762929065,0.12537442370709326,0.8499487812728325,0.15005121872716723,0.8876431726543668,0.11235682734563325,205,115.682663,256
3FGL J0029.1-7045,-28.3124208,-27.7588572,2.284518,-0.487918507,4.31071993,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,1257.5558,PowerLaw,PKS 0026-710,0.999928471,7.15E-5,0.99094158,0.00905842,0.999607875,3.92E-4,0.996755146,0.003244854,296,AGN,0.9006340503082846,0.09936594969171557,0.8478283389299383,0.15217166107006153,0.8289475555193135,0.17105244448068632,0.875331530699294,0.12466846930070577,220,305.580994,0
3FGL J0030.2-1646,-31.7780677,-27.5618344,1.6471963,0.281945223,4.16352433,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,5034.0356,PowerLaw,1RXS J003019.6-164723,0.999963256,3.67E-5,0.988287465,0.011712535,0.997404176,0.002595824,0.997505825,0.002494175,285,AGN,0.9301347248259332,0.06986527517406696,0.8637886567311974,0.13621134326880277,0.8304628356129043,0.16953716438709546,0.8990550935068268,0.10094490649317352,204,96.5207825,0
3FGL J0030.3-4223,-24.7129738,-27.7358203,2.5805273,0.410798262,5.13444452,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,415.28687,PowerLaw,PKS 0027-426,0.999991663,8.34E-6,0.989152741,0.010847259,0.999084298,9.16E-4,0.995268702,0.004731298,295,AGN,0.8837990736682054,0.11620092633179441,0.8250441470623903,0.1749558529376096,0.8066055341818104,0.19339446581818892,0.857944071031471,0.14205592896852898,214,317.30246,0
3FGL J0030.7-0209,-26.5874349,-27.676105,2.3780944,1.1432792,5.86039498,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,696.7064,PowerLaw,PKS B0027-024,0.999700699,2.99E-4,0.985855229,0.014144771,0.99605625,0.00394375,0.97564757,0.02435243,292,AGN,0.8954023596328907,0.10459764036710938,0.8402403933886388,0.15975960661136154,0.826415244876605,0.17358475512339472,0.8785322999056627,0.12146770009433701,197,110.85923,0
3FGL J0031.3+0724,-32.046529,-27.8475098,1.8239038,0.058490487,3.49701813,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,4521.002,PowerLaw,NVSS J003119+072456,0.999332976,6.67E-4,0.989766659,0.010233341,0.997591695,0.002408305,0.982632124,0.017367876,294,AGN,0.8746979546758175,0.12530204532418274,0.8406484508800646,0.1593515491199356,0.8154903688552331,0.18450963114476676,0.851621953564347,0.14837804643565275,214,114.189453,0
3FGL J0032.3-2852,-30.0282025,-28.0972033,2.1895173,-4.19954636,3.63803558,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,1646.3562,PowerLaw,PMN J0032-2849,0.999838323,1.62E-4,0.991592666,0.008407334,0.999999955,4.5E-8,0.993148102,0.006851898,290,AGN,0.908766239248421,0.0912337607515792,0.8872115410789191,0.11278845892108132,0.8535721727455894,0.14642782725441061,0.8856741584622119,0.11432584153778808,215,9.27487755,0
3FGL J0033.6-1921,-28.4093409,-26.6844545,1.7147852,0.717210473,4.16858447,-0.478698322,-0.313661775,-0.311244387,-0.358970865,-81.22408,AGN,bll,2398.1309,PowerLaw,KUV 00311-1938,0.998779148,0.001220852,0.98555983,0.01444017,0.988783277,0.011216723,0.984735313,0.015264687,321,AGN,0.8754385624641743,0.12456143753582552,0.8337545079459546,0.16624549205404532,0.7982296976131104,0.2017703023868896,0.8528152108503135,0.14718478914968663,232,94.2120819,0
3FGL J0035.2+1513,-30.0913616,-27.3147603,1.8063989,0.515180308,3.96503732,-0.619532457,-0.161601058,-0.410343009,-0.347993991,-47.467373,AGN,bll,3166.7546,PowerLaw,RX J0035.2+1515,0.999812534,1.87E-4,0.986907428,0.013092572,0.990915205,0.009084795,0.997086142,0.002913858,317,AGN,0.9433100211168565,0.056689978883143276,0.8909347150749992,0.10906528492500107,0.8721230171435955,0.12787698285640495,0.9246414622573101,0.07535853774269052,225,117.145523,0
3FGL J0035.9+5949,-28.8069447,-26.9583703,1.897775,-0.225809552,4.24202608,-0.304539978,-0.650992612,-0.34293222,-0.373113405,-2.981383,AGN,bll,2967.5896,PowerLaw,1ES 0033+595,0.999676755,3.23E-4,0.97036768,0.02963232,0.999428281,5.72E-4,0.99641421,0.00358579,269,AGN,0.9197860071461678,0.08021399285383174,0.8852810215462836,0.11471897845371615,0.8477609794043434,0.15223902059565625,0.9006801037224228,0.09931989627757656,187,120.985832,0
3FGL J0037.9+1239,-28.2922029,-27.5607038,2.1514816,-0.33270379,4.19620386,-0.56274702,-0.678579578,-0.465013727,-0.598496933,-50.084618,AGN,bll,1387.6769,PowerLaw,NVSS J003750+123818,0.999937409,6.26E-5,0.991327182,0.008672818,0.99933487,6.65E-4,0.998603667,0.001396333,307,AGN,0.9037155594054923,0.0962844405945078,0.8547152449309343,0.1452847550690662,0.8348570570245567,0.1651429429754434,0.8812851360537162,0.11871486394628435,211,117.78463,0
3FGL J0038.0+0012,-29.2967737,-27.8322408,2.1565473,-0.36067063,3.50757278,-0.350721963,-0.716379819,-0.337127589,-0.667029535,-62.474567,AGN,bll,1550.1482,PowerLaw,NVSS J003808+001336,0.999909296,9.07E-5,0.990250276,0.009749724,0.997366206,0.002633794,0.995948838,0.004051162,314,AGN,0.8925182006148341,0.10748179938516518,0.8488079806257047,0.1511920193742955,0.8243058928060119,0.17569410719398842,0.8714169093138037,0.12858309068619658,214,115.697304,0
3FGL J0038.0-2501,-27.2521274,-27.8811613,2.43891,0.603063708,4.66792712,-0.669426513,-0.671419095,-0.738779691,-0.876557126,-86.33264,AGN,fsrq,733.78314,PowerLaw,PKS 0035-252,0.999788879,2.11E-4,0.985339532,0.014660468,0.991479598,0.008520402,0.98686561,0.01313439,290,AGN,0.85921141934509,0.14078858065490954,0.8271293589338691,0.1728706410661313,0.7955897453572709,0.2044102546427293,0.8332903070925161,0.1667096929074838,204,67.0455399,0
3FGL J0039.0-2218,-32.458703,-27.9058428,1.7153648,0.988494475,3.59920329,0.96419663,-0.543848945,-0.212505221,-0.524198841,-84.41313,AGN,bcu,5052.5894,PowerLaw,PMN J0039-2220,0.999251977,7.48E-4,0.957192327,0.042807673,0.935866969,0.064133031,0.984587771,0.015412229,327,AGN,0.936306390279948,0.06369360972005181,0.889004576248407,0.11099542375159274,0.8645887665105825,0.1354112334894174,0.915158516203217,0.08484148379678343,224,91.9112091,0
3FGL J0039.1+4330,-30.7436764,-27.8781502,1.9628744,0.616896445,3.56761678,-0.789625944,-0.136783408,-0.557159006,-0.46245255,-19.31416,AGN,bcu,2760.5237,PowerLaw,NVSS J003907+433015,0.999663297,3.37E-4,0.961389874,0.038610126,0.946522169,0.053477831,0.996203351,0.003796649,300,AGN,0.907745411379923,0.09225458862007692,0.8598590249671636,0.1401409750328371,0.8426523088986092,0.15734769110139088,0.8824469358414982,0.11755306415850182,212,120.579742,0
3FGL J0039.1-0939,-27.1493875,-27.873922,2.5939708,0.908096047,3.83823792,-0.411264825,-0.835268242,-0.925210057,-0.999679366,-72.28967,AGN,fsrq,568.70325,PowerLaw,TXS 0036-099,0.992078837,0.007921163,0.89934811,0.10065189,0.738035092,0.261964908,0.93223164,0.06776836,297,AGN,0.9240314794961421,0.0759685205038576,0.8687837100627915,0.13121628993720855,0.8485349981661422,0.15146500183385755,0.8937037943709673,0.10629620562903322,217,112.9142,0
3FGL J0040.3+4049,-35.4026758,-27.7000493,1.1322582,0.319675675,3.41029289,-0.726658322,-0.760773846,-0.405176319,0.327153234,-22.005041,AGN,bcu,37201.97,PowerLaw,B3 0037+405,0.991873131,0.008126869,0.979717234,0.020282766,0.982387556,0.017612444,0.804242921,0.195757079,312,AGN,0.8744844414829148,0.12551555851708557,0.8226104329784277,0.1773895670215723,0.7836133171399686,0.21638668286003093,0.8522120296274076,0.1477879703725924,221,120.666451,0
3FGL J0040.5-2339,-31.488284,-28.0578551,1.9462218,0.324038182,3.8968859,0.985893289,-0.635824969,-0.63174011,-0.043982622,-85.74683,AGN,bcu,3011.39,PowerLaw,PMN J0040-2340,0.999854,1.46E-4,0.989202086,0.010797914,0.998162756,0.001837244,0.986673547,0.013326453,289,AGN,0.9345756697416605,0.06542433025833938,0.9082428100230041,0.09175718997699642,0.8849818436848801,0.11501815631511957,0.9229907659954589,0.0770092340045413,188,87.1700058,0
3FGL J0041.9+3639,-31.6662895,-27.9678952,1.9757644,-2.11811643,3.42304925,0.99984805,-0.944320689,-0.165152943,0.040496645,-26.171455,AGN,bll,3549.2144,PowerLaw,RX J0042.0+3641,0.999885124,1.15E-4,0.992006682,0.007993318,0.999997727,2.27E-6,0.992633645,0.007366355,288,AGN,0.9422506958997445,0.05774930410025573,0.9112088838648561,0.08879111613514401,0.8717172875969468,0.12828271240305347,0.9149090986133814,0.08509090138661825,214,120.823502,0
3FGL J0042.0+2318,-28.5356072,-27.8128697,2.3544266,0.387006593,3.95588256,-0.577199007,-0.726099294,-0.50334863,-0.999971566,-39.516415,AGN,fsrq,1085.7772,PowerLaw,PKS 0039+230,0.999608191,3.92E-4,0.981341005,0.018658995,0.97060639,0.02939361,0.97561142,0.02438858,324,AGN,0.8810003553002067,0.11899964469979321,0.8276042461588016,0.17239575384119815,0.8112568012991387,0.18874319870086134,0.8568557485772983,0.1431442514227017,225,120.14492,0
