GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
279.1443,-38.551704,-21.14334607769735,2.3866549,0.055462845,0.01903793,0.639131,-0.64059556,-0.4688754,6.0787203E-4,-0.71610075,-0.6398397,-0.62112343,-0.8145258,2.4921000484801854,6.9287783377193986,4FGL J0427.8-6704,LMB,OTHER,PowerLaw,0.028382856,0.08509205,3FGL J0427.9-6704,1SXPS J042749.2-670434,1.0,0.0,0,0.9963513573900005,0.0036486426099997956,0.9959243916061299,0.004075608393870382,0.9908144008146725,0.00918559918532762,0.9789065256685654,0.021093474331435567,0.0,0.0,0.0,0.0
155.99199,4.6304154,-21.431833504420233,2.6590981,0.18243778,0.3448271,3.1138587,0.23668213,-0.31774235,0.015171907,-0.7242995,-0.87309086,-0.9039322,-0.99609035,2.8582077762307727,6.6930895640419354,4FGL J0452.9+5117,spp,OTHER,LogParabola,0.161586,1.0157055,,SNR G156.2+05.7,0.8,0.0,0,0.9354554951000306,0.06454450489997143,0.7897767596161401,0.21022324038386103,0.5085434286107368,0.4914565713892634,0.7090675416861892,0.2909324583138105,0.0,0.065,0.385,0.0
160.36945,2.6909337,-19.599173863396782,2.378838,0.06906386,0.16561621,5.1052694,-0.03727412,-0.32645833,0.0014100668,-0.71376896,-0.6425872,-0.84830004,-0.81155616,2.3525548468881703,6.733471937003187,4FGL J0500.3+4639e,SNR,OTHER,LogParabola,0.04395271,0.116817094,2FGL J0503.2+4643,HB 9,,,0,0.04205475501471676,0.9579452449852826,0.08926652848190003,0.9107334715181007,0.09637386371336652,0.9036261362866326,0.3778976632373338,0.6221023367626665,1.0,0.987,1.0,0.952
158.98521,7.3269634,-22.57101842746687,2.1176195,0.7015196,0.7394069,2.4041038,-0.9995442,0.9998024,0.012732412,-0.61142325,-0.27327302,-0.8990316,-0.10302374,1.8925413187739026,7.9607410987153155,4FGL J0517.9+5030,spp,OTHER,PowerLaw,0.9365509,2.0850055,,SNR G159.6+07.3,0.8,0.0,0,0.9995556792435846,0.00044432075641477094,0.7936174480935079,0.20638255190649293,0.5089558223293482,0.49104417767065184,0.8898852888031531,0.11011471119684602,0.0,0.073,0.395,0.0
279.35507,-33.386795,-18.129472308932037,2.186611,0.024244213,0.16982087,14.141007,-0.13044882,-0.29326144,6.716066E-4,-0.59227926,-0.6458716,-0.82320917,-0.23658988,2.253520786250972,7.066045464933867,4FGL J0519.9-6845e,GAL,OTHER,LogParabola,0.016041523,0.054799587,3FGL J0526.6-6825e,LMC,,,516,0.011558044226933866,0.9884419557730652,0.003443736038365373,0.9965562639616337,6.851418609484006e-05,0.9999314858139061,0.14126385238362754,0.8587361476163736,1.0,1.0,1.0,1.0
187.42412,-11.330111,-22.13192671411809,2.23058,0.3753365,0.9783059,1.9986765,0.82504565,-0.7793085,0.0010154479,-0.33206767,-0.5279931,-0.7864454,-0.56954885,4.022998209183056,7.73026038033591,4FGL J0521.2+1637,css,OTHER,PowerLaw,0.21498287,0.20545678,,3C 138,0.99609286,0.99724627,0,0.9702524334815833,0.02974756651841788,0.9990706565865538,0.0009293434134466115,0.9864043930681966,0.01359560693180515,0.9406629764237103,0.059337023576289845,0.0,0.0,0.0,0.0
240.6185,-32.721592,-19.295520559119293,2.4568033,0.020236928,0.07603031,4.9887667,-0.27981958,-0.57773316,4.322597E-4,-0.7402816,-0.7212267,-0.74661607,-0.54547846,6.516926682627485,5.984424146547936,4FGL J0522.9-3628,AGN,OTHER,LogParabola,0.010739572,0.031040194,3FGL J0522.9-3628,PKS 0521-36,1.0,0.9998326,0,0.9997482684143641,0.00025173158563594717,0.9996769462523737,0.0003230537476268217,0.999684641719402,0.00031535828059832605,0.9917246744939425,0.00827532550605687,0.0,0.0,0.0,0.0
228.18494,-29.828896,-19.9292276692066,2.0703573,0.06657035,0.42608765,12.526176,-0.23410994,0.0376316,0.001379479,-0.31656882,-0.5760773,-0.9347003,-0.9999939,1.4769846355767198,7.060908890473354,4FGL J0523.3-2527,bin,OTHER,LogParabola,0.049382307,0.15023309,3FGL J0523.3-2528,CRTS J052316.9-252737,,0.0,0,0.002920635586916606,0.9970793644130823,0.002197294186817271,0.9978027058131818,0.0002148323014218757,0.9997851676985796,0.008557369639181594,0.9914426303608174,1.0,1.0,1.0,1.0
226.91878,-29.202547,-22.73279243637723,2.7103372,0.12596004,-0.081738904,0.9143782,-0.33572048,-0.77571964,7.232767E-4,-0.65511024,-0.84006464,-0.44498488,-0.99998605,2.5856640498461774,6.580444388780387,4FGL J0524.4-2413,glc,OTHER,PowerLaw,0.07547678,0.13147476,,NGC 1904,0.9633442,0.8323558,1,0.9998298847260417,0.00017011527395792268,0.9972274407295788,0.0027725592704210262,0.9960859404825264,0.003914059517473374,0.9937210492794025,0.0062789507205962035,0.0,0.0,0.0,0.0
161.3627,7.0529943,-22.627857532337707,2.02089,0.42602834,0.9890646,3.5562277,-0.8054716,-0.9999857,0.0013047012,0.9997895,-0.00713369,-0.8825434,-0.99999756,2.8279832201832784,8.490058554510167,4FGL J0524.7+4824,spp,OTHER,LogParabola,,0.16841847,,SNR G159.6+07.3,0.8,0.0,2048,0.9910056386049849,0.008994361395016697,0.9442158193249522,0.05578418067504793,0.9392595409725117,0.060740459027488945,0.9484616192203844,0.05153838077961521,0.0,0.005,0.0,0.0
280.30667,-32.79878,-22.19510732395863,2.1399925,0.17613736,-0.0076763476,0.10631593,0.9403411,-0.7282086,4.88446E-4,-0.87414426,-0.37183014,-0.23978744,-0.6233243,2.1815469903505984,8.156544275987926,4FGL J0524.8-6938,snr,OTHER,PowerLaw,0.05785136,0.23343587,3FGL J0524.5-6937,LMC SNR N 132D,0.8,0.0,0,0.9914474944625729,0.008552505537426338,0.9982613279723921,0.0017386720276076784,0.9945759882224875,0.005424011777513977,0.9675058803531607,0.03249411964683854,0.0,0.0,0.0,0.0
