Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-27.727842615561407,-27.78736963227493,2.3233023,-0.674834746021869,3.725882489659019,-0.6703641,-0.6277343,-0.68740994,-0.3623248,-51.9359,OTHER,sbg,3FGL J0242.7-0001,PowerLaw,920.24646,NGC 1068,0,0.9902295005107715,0.009770499489228191,0.9962139480126194,0.0037860519873805384,0.9966583609597914,0.0033416390402087027,0.9153723639817346,0.08462763601826577,0.0,0.0,0.0,0.0
-29.46564577842787,-27.665017368058546,2.1977007,0.8938630228120802,3.6175861967408673,-0.5939346,-0.6340726,-0.57058513,-0.9999661,-35.709038,OTHER,pwn,3FGL J0454.6-6825,PowerLaw,1776.1125,PWN G279.8-35.8,0,0.9759692240045275,0.024030775995473843,0.250248309790592,0.7497516902094084,0.11793498026114257,0.8820650197388574,0.6020042475362244,0.3979957524637752,0.0,0.952,1.0,0.071
-28.130343047913584,-27.36523501977798,2.3491838,-0.30276620649875946,3.626638503128031,-0.5906053,-0.8520776,-0.45908022,-0.3842624,6.3492813,OTHER,spp,3FGL J0500.3+5237,PowerLaw,1231.9395,,0,0.9936850467619506,0.0063149532380498,0.9863339462321845,0.013666053767813595,0.9918513828198855,0.008148617180115189,0.9429563600985638,0.057043639901435385,0.0,0.0,0.0,0.0
-22.4214203610387,-26.249608457426937,2.017084,1.8811791306664467,4.226893442106269,-0.49599028,-0.6005208,-0.67542744,-0.64879835,-32.850204,OTHER,GAL,3FGL J0526.6-6825e,LogParabola,396.32202,LMC,0,0.17440974125840164,0.8255902587415987,0.2591662159150188,0.7408337840849806,0.19460194668309544,0.805398053316904,0.6417547438009746,0.3582452561990258,0.994,0.897,1.0,0.02
-18.28548727006569,-25.841143354285013,5.715894,0.8273012478202758,5.597953800203161,-0.99999434,0.99443537,-0.39162585,-0.999101,-5.781213,OTHER,PWN,3FGL J0534.5+2201s,PowerLaw,100.79754,Crab,20,0.9848664017793052,0.015133598220694463,0.9812912343098972,0.018708765690103178,0.9997801987568075,0.00021980124319357058,0.7088857077092889,0.29111429229070984,0.001,0.0,0.0,0.002
-24.729277572010645,-26.13478842627149,2.1944747,0.29605567087980345,4.120546035750273,-0.5254956,-0.6444767,-0.48491386,-0.73834515,-1.4995799,OTHER,SNR,3FGL J0540.3+2756e,PowerLaw,705.1263,S147,0,0.5734528400027391,0.4265471599972608,0.6690329372160646,0.3309670627839336,0.9567814089036061,0.04321859109639432,0.7917817420073174,0.20821825799268212,0.27,0.158,0.003,0.0
-25.978782585902074,-26.94597715768177,2.8348546,1.7669612216938597,3.974079348281132,-0.24274996,-0.7792552,-0.8701869,-0.59673154,-0.7620364,OTHER,spp,3FGL J0610.6+1728,LogParabola,903.2897,,0,0.9492503167248814,0.050749683275118404,0.03692137479951694,0.9630786252004822,0.1041842195206682,0.8958157804793319,0.6085865628391323,0.3914134371608677,0.0,1.0,1.0,0.061
-24.09464834144195,-25.6868500555864,1.999889,2.537691561936918,3.9241041223925874,-0.24429186,-0.5376386,-0.54189444,-0.65352607,3.0336995,OTHER,SNR,3FGL J0617.2+2234e,LogParabola,1444.2197,IC 443,0,0.14040582430530663,0.859594175694694,0.002961994099926781,0.9970380059000757,0.01576141976631405,0.984238580233685,0.5589638869427739,0.4410361130572263,0.922,1.0,1.0,0.208
-28.281231608405992,-26.588836147890373,2.3564208,1.5956516050815772,3.7621928634676847,-0.02327583,-0.5898471,-0.53805995,-0.8921625,-1.3048923,OTHER,spp,3FGL J0631.6+0644,LogParabola,2599.9565,,0,0.0022340888752984704,0.9977659111247016,0.003694708872659862,0.9963052911273402,0.058444347858796535,0.9415556521412024,0.07229057576390588,0.927709424236095,1.0,1.0,1.0,1.0
-27.29474381087447,-26.80111898038221,2.5558372,0.09507338044610561,3.6704433948506954,-0.6274545,-0.836226,-0.8138625,-0.27849662,1.2806075,OTHER,spp,3FGL J0640.9+0752,PowerLaw,947.25964,,17,0.8981865102677582,0.10181348973224212,0.6589629374368353,0.34103706256316496,0.9337554867672755,0.06624451323272482,0.7768541185210288,0.2231458814789711,0.0,0.144,0.0,0.0
