Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
4FGL J1922.7+1428,49.350166,-0.20529965,-19.356704405166305,2.4798536,0.25424013,0.38071048,5.4583673,0.5678446,-0.74517035,0.009013687,-0.5563096,-0.798814,-0.99997216,0.9982179,0.9742027941787681,7.501398096434853,UNASS,None,LogParabola,,None,0.005988802695585599,0.9940111973044136,0.0013207745315590746,0.9986792254684417,1.855070734173122E-4,0.9998144929265836,0.08393739587962895,0.9160626041203702,0,20
4FGL J1924.3+1601,50.902195,0.19600847,-20.682749055417815,2.43563,0.22886856,0.15180905,2.16341,-0.9999428,0.99999964,0.0020504154,-0.68320054,-0.76594114,-0.5883605,-0.99982846,1.992046670741773,8.045464394924862,UNASS,None,PowerLaw,,None,0.6486494881022647,0.351350511897735,0.2119665137948697,0.7880334862051298,0.11232155580158923,0.8876784441984116,0.5651660739655963,0.43483392603440346,0,28
4FGL J1924.8-1035,27.147684,-12.168449,-20.688657429083296,2.2166092,0.18031076,0.48537663,5.188457,0.8683004,-0.21600534,0.0036881983,-0.37275028,-0.52743477,-0.95009935,-0.9999987,1.085145301694715,7.663275669334164,UNASS,None,LogParabola,3FGL J1924.8-1034,None,0.037223654884242084,0.9627763451157582,0.006415004423624918,0.9935849955763758,0.002443667764002277,0.997556332235998,0.05309682275674084,0.9469031772432591,0,0
4FGL J1925.3+1522,50.43136,-0.3215586,-20.156409420935084,2.5713222,0.2019316,0.31615615,4.1056733,0.12840793,-0.74621284,0.0047327923,-0.68093413,-0.7753722,-0.9998984,0.07995996,1.809875676162162,7.31338490688951,UNASS,None,LogParabola,,None,0.013452837443181077,0.9865471625568192,0.011460371189038653,0.9885396288109595,0.005213676203780402,0.9947863237962213,0.16021246044493073,0.8397875395550694,0,24
4FGL J1925.4+1616,51.240833,0.08552094,-19.869578997637703,2.2831724,0.09852308,0.022137256,0.68602717,0.12378692,0.99940395,2.2101277E-4,-0.64707655,-0.7381231,-0.5486471,-0.5553716,1.1317344271492467,8.3124264965679,UNASS,None,PowerLaw,,None,0.8549389365763759,0.145061063423624,0.3143592189753053,0.6856407810246935,0.0367143806976839,0.9632856193023155,0.925475344280501,0.07452465571949837,0,0
4FGL J1926.4+1602,51.151844,-0.24995027,-19.85439653919395,2.4643078,0.1625035,0.15710574,3.0289295,0.96283555,-0.54757893,0.0059384485,-0.67892456,-0.7218178,-0.76480734,-0.54536635,1.7945396940398965,7.79511742518656,UNASS,None,LogParabola,1FGL J1926.1+1601c,None,0.20026772685191668,0.7997322731480841,0.0260809305235812,0.9739190694764179,0.010301400501301515,0.9896985994986988,0.26774759497424333,0.7322524050257564,0,20
4FGL J1929.0+1729,52.716537,-0.088364385,-19.60401373231617,2.5283759,0.13673212,0.39920714,6.8072996,0.9446146,-0.37451708,0.0034421806,-0.6137461,-0.75742835,-0.9999918,-0.0394898,2.955423283811152,7.398593662011936,UNASS,None,LogParabola,,None,0.17244643528188638,0.8275535647181134,0.00438525388109034,0.9956147461189092,0.0017929957293208573,0.9982070042706797,0.12180891174162653,0.8781910882583724,0,0
4FGL J1931.1+1656,52.47954,-0.79363585,-19.529379486385075,2.527173,0.101203084,0.35252947,7.0289817,0.9714396,-0.4691976,0.0026453328,-0.6273259,-0.7889917,-0.9568503,-0.99995947,0.7864983730572374,7.188275566968798,UNASS,None,LogParabola,3FGL J1931.1+1659,None,8.198269180404382E-4,0.9991801730819604,2.163102123203756E-4,0.9997836897876801,3.7544423100572486E-5,0.9999624555768983,0.010462070347833231,0.9895379296521674,0,4
4FGL J1933.4-2711,12.094533,-20.655813,-22.136334457338695,2.586011,0.20716316,0.27508342,2.3538136,0.99998796,-0.6527429,0.006239473,-0.7972938,-0.59870994,-0.99975383,-0.49920478,0.9616945295588354,6.5262353090529865,UNASS,None,PowerLaw,,None,0.9656374224543744,0.03436257754562565,0.176201771001967,0.8237982289980332,0.1767231576862419,0.823276842313758,0.6842471264611233,0.3157528735388758,0,6
4FGL J1934.2-1446,24.243406,-16.02347,-21.894395732922032,2.4683647,0.3632836,0.99885136,3.1184938,0.6882352,-0.48294774,0.022561684,-0.50809205,-0.99999607,0.99977285,-0.99999833,1.2091706018014357,6.7954764871440565,UNASS,None,LogParabola,,None,0.987788700790827,0.01221129920917277,0.8901558343973172,0.10984416560268197,0.9970284310338443,0.0029715689661544494,0.8271788060591936,0.17282119394080656,0,2050
4FGL J1934.2+1036,47.27727,-4.511293,-21.866936258073075,2.6344104,0.26313108,0.26577187,1.9736893,-0.57483876,-0.7277594,0.007860638,-0.6383273,-0.84757364,-0.998431,0.9839778,2.3533959120766075,6.784889322141218,UNASS,None,PowerLaw,,None,0.9927317639875577,0.007268236012443343,0.9373039302178272,0.06269606978217346,0.7931758003466581,0.20682419965334184,0.9195544521177657,0.08044554788223386,0,0
4FGL J1935.0-0553,32.597115,-12.3723135,-22.116724227820118,2.5934384,0.20698048,0.09218527,0.8650213,-0.7342824,-0.5675521,0.0040649455,-0.8347872,-0.39012152,-0.99491894,-0.9972272,2.2993422115966355,6.966269062781994,UNASS,None,PowerLaw,,None,0.9990764034395988,9.235965604001452E-4,0.9451589314407637,0.054841068559236816,0.8664642639556692,0.13353573604432975,0.9699389818563641,0.030061018143636174,0,0
4FGL J1936.6+1921,55.22214,-0.77151924,-20.874897432679806,2.4452648,0.49718237,0.67617315,3.2356393,-0.35285553,-0.5004727,0.00731933,-0.25259575,-0.66919994,-0.9999996,0.9999868,1.3062676720663389,7.540962468937207,UNASS,None,LogParabola,,None,0.05140759902458462,0.9485924009754145,0.14442348305298378,0.8555765169470163,0.017204448743017717,0.9827955512569829,0.19001851284966562,0.8099814871503346,0,24
4FGL J1937.1-0444,33.89388,-12.322288,-22.16284444253774,2.2839787,0.2039231,-0.011247342,0.144852,0.7531859,-0.9118102,0.001966716,-0.6281074,-0.3746944,-0.48834524,-0.9999591,1.5685052855736104,7.862922126181023,UNASS,None,PowerLaw,,None,0.9977955973637528,0.0022044026362458974,0.9768028317113524,0.023197168288647794,0.9644584341476905,0.03554156585230887,0.9866104885911248,0.013389511408875487,0,0
4FGL J1939.7-1242,26.781317,-16.377941,-22.245425443854735,2.5869787,0.29539472,0.44034952,2.5062897,0.99296784,-0.63403094,0.011062804,-0.71901006,-0.6930744,-0.9638449,-0.99998647,1.0260558529917614,6.659020933708407,UNASS,None,PowerLaw,,None,0.9838872578608481,0.016112742139153646,0.123020366059016,0.8769796339409845,0.11465801025641159,0.8853419897435884,0.7782510190029363,0.2217489809970643,0,0
4FGL J1940.2-2511,14.687042,-21.35808,-21.375231931955117,2.3287253,0.13562453,0.26258418,3.3306656,0.99944085,0.35218197,0.0046606646,-0.6439454,-0.70522267,-0.7414983,-0.9998934,1.6288344725298096,7.164509915790811,UNASS,None,LogParabola,,None,0.5963141797587851,0.40368582024121424,0.29166273334472154,0.7083372666552772,0.1955202341550608,0.8044797658449395,0.46982283247879814,0.5301771675212026,0,0
4FGL J1943.9+2841,64.169235,2.3913786,-21.421546102054474,2.5329924,0.26934564,0.3608615,2.434732,0.99788296,-0.60085547,0.005416092,-0.56882364,-0.70385224,-0.99990416,-0.76924306,1.93710188969109,7.189358059930676,UNASS,None,PowerLaw,,None,0.32710136257180294,0.6728986374281969,0.07503453325419514,0.924965466745805,0.11145744136161233,0.8885425586383872,0.5351087592104828,0.46489124078951716,0,9
