Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,GLON,Flags,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Category_Prob
4FGL J0008.4+1455,-46.6767,-21.8397526,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.001451011,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.06542386,7.44850146,AGN,bcu,PowerLaw,3FGL J0008.3+1456,NVSS J000825+145635,107.724068,0,0.99979665,0.000146,0.000203,0.000146,0.998201632,0.003429629,0.001798368,0.003429629,0.99797504,0.003719366,0.00202496,0.003719366,0.995892371,0.001755841,0.004107629,0.001755841,0.999927821,3.67e-05,7.22e-05,3.67e-05,0.995857996,0.002820794,0.004142004,0.002820794,0.997982272,0.003237289,0.002017728,0.003237289,0.998602244,0.000427,0.001397756,0.000427,AGN
4FGL J0008.4-2339,-79.690834,-22.3557112,1.6839513,0.2182928,0.16281697,1.8402169,0.97582525,-0.7381555,0.000803,-0.276594,-0.3899644,0.14149071,-0.75949216,2.35941719,8.71343651,AGN,bll,PowerLaw,3FGL J0008.6-2340,RBS 0016,50.2651405,0,0.998348564,0.001242862,0.001651436,0.001242862,0.998820629,0.003543245,0.001179371,0.003543245,0.991759886,0.010536805,0.008240114,0.010536805,0.999773435,0.000194,0.000227,0.000194,0.999428146,0.000445,0.000572,0.000445,0.994855848,0.003755874,0.005144152,0.003755874,0.99704371,0.003794681,0.00295629,0.003794681,0.999763699,0.000112,0.000236,0.000112,AGN
4FGL J0009.1+0628,-54.868298,-21.5005361,2.1171386,0.09896444,0.04512154,0.9813813,0.99918073,0.16351931,0.000711,-0.6908289,-0.42011616,-0.6028625,-0.49038437,2.42395615,7.534822,AGN,bll,PowerLaw,3FGL J0009.1+0630,TXS 0006+061,104.480736,0,0.999102598,0.000634,0.000897,0.000634,0.997895226,0.003575235,0.002104774,0.003575235,0.997876958,0.004384546,0.002123042,0.004384546,0.989374505,0.005499083,0.010625495,0.005499083,0.999794278,0.000136,0.000206,0.000136,0.995230822,0.002962243,0.004769178,0.002962243,0.998825638,0.002337353,0.001174362,0.002337353,0.997800518,0.000666,0.002199482,0.000666,AGN
4FGL J0009.3+5030,-11.803588,-19.689924,1.987031,0.035371866,0.06981315,4.3845778,0.21764593,-0.44758025,0.000245,-0.49609715,-0.4564068,-0.6103414,-0.5451608,4.88353731,7.17818264,AGN,bll,LogParabola,3FGL J0009.3+5030,NVSS J000922+503028,116.124367,0,0.999796025,0.000143,0.000204,0.000143,0.995867338,0.006477203,0.004132662,0.006477203,0.998291663,0.005065565,0.001708337,0.005065565,0.996957126,0.00108051,0.003042874,0.00108051,0.999909532,6.34e-05,9.05e-05,6.34e-05,0.995485822,0.003220083,0.004514178,0.003220083,0.998120646,0.003779015,0.001879354,0.003779015,0.999145825,0.000325,0.000854,0.000325,AGN
4FGL J0009.7-3217,-79.58928,-22.4192488,2.1981528,0.1775985,0.075799,0.8613283,-0.99999344,0.99998164,0.001664313,-0.5080589,-0.7994823,-0.15733007,-0.9999585,2.77714108,7.44162662,AGN,rdg,PowerLaw,3FGL J0009.6-3211,IC 1531,0.672720671,0,0.999147151,0.001919421,0.000853,0.001919421,0.997383193,0.004475324,0.002616807,0.004475324,0.973202732,0.024105827,0.026797268,0.024105827,0.99959039,0.000359,0.00041,0.000359,0.991543994,0.052312673,0.008456006,0.052312673,0.99281942,0.005175809,0.00718058,0.005175809,0.954663942,0.040313305,0.045336058,0.040313305,0.999905081,4.97e-05,9.49e-05,4.97e-05,AGN
4FGL J0009.8-4317,-71.76617,-22.255112,2.145199,0.11915045,-0.040844724,0.7269835,0.9976258,-0.7498374,0.000715,-0.57202005,-0.5466139,-0.20197983,-0.99989754,2.46083182,7.58049361,AGN,bll,PowerLaw,,SUMSS J000949-431654,327.775055,0,0.999874651,7.65e-05,0.000125,7.65e-05,0.998983176,0.001561827,0.001016824,0.001561827,0.999440399,0.001520334,0.00056,0.001520334,0.999916036,5.17e-05,8.4e-05,5.17e-05,0.999937005,3.33e-05,6.3e-05,3.33e-05,0.996641843,0.002231036,0.003358157,0.002231036,0.999236945,0.002083912,0.000763,0.002083912,0.999943437,2.43e-05,5.66e-05,2.43e-05,AGN
4FGL J0010.6+2043,-41.12827,-22.563906,2.316534,0.3254802,0.21123806,1.5020043,0.99960864,-0.5378855,0.005072495,-0.702886,-0.521426,-0.99986005,-0.99290526,2.95293446,7.16989952,AGN,fsrq,PowerLaw,,TXS 0007+205,110.218742,0,0.99971569,0.000407,0.000284,0.000407,0.997363607,0.0032608,0.002636393,0.0032608,0.982027742,0.015271171,0.017972258,0.015271171,0.983576603,0.006444229,0.016423397,0.006444229,0.9994606,0.001284475,0.000539,0.001284475,0.995508484,0.002526852,0.004491516,0.002526852,0.992107148,0.005850164,0.007892852,0.005850164,0.99693538,0.000988,0.00306462,0.000988,AGN
4FGL J0010.6-3025,-80.482315,-21.8247237,2.4291213,0.109506525,0.10359336,1.7034289,0.90000385,-0.50310785,0.002234478,-0.6358786,-0.8608819,-0.6418626,-0.9999945,4.36220622,6.68249248,AGN,fsrq,PowerLaw,,PKS 0008-307,10.2637081,0,0.999877364,0.000163,0.000123,0.000163,0.998777155,0.002357207,0.001222845,0.002357207,0.983958824,0.018473447,0.016041176,0.018473447,0.99935997,0.000461,0.00064,0.000461,0.999922291,7.91e-05,7.77e-05,7.91e-05,0.994573173,0.004442583,0.005426827,0.004442583,0.990139106,0.012760364,0.009860894,0.012760364,0.999838463,7.7e-05,0.000162,7.7e-05,AGN
4FGL J0010.8-2154,-79.400505,-22.9766412,2.4946294,0.19624367,-0.034287505,0.3283757,0.98301333,-0.41385394,0.001863804,-0.6621985,-0.7733015,-0.55652726,-0.19732912,2.33997129,6.79400747,AGN,bcu,PowerLaw,,PKS 0008-222,60.2811813,0,0.999495062,0.000406,0.000505,0.000406,0.998231516,0.004135385,0.001768484,0.004135385,0.993696061,0.008188387,0.006303939,0.008188387,0.999201667,0.000514,0.000798,0.000514,0.999902721,6.72e-05,9.73e-05,6.72e-05,0.996033711,0.002502435,0.003966289,0.002502435,0.996627966,0.003712212,0.003372034,0.003712212,0.999787273,9.17e-05,0.000213,9.17e-05,AGN
4FGL J0011.4+0057,-60.302692,-21.4667681,2.3197815,0.11698573,0.055365816,0.9152117,-0.40855178,-0.6915806,0.001853443,-0.6581666,-0.46316186,-0.8582718,-0.92524153,4.37340517,7.09646936,AGN,fsrq,PowerLaw,2FGL J0011.3+0054,RX J0011.5+0058,102.407234,0,0.999876327,0.000108,0.000124,0.000108,0.99967573,0.0006,0.000324,0.0006,0.995822196,0.007064645,0.004177804,0.007064645,0.999454933,0.000319,0.000545,0.000319,0.999898453,6.42e-05,0.000102,6.42e-05,0.996850868,0.002482524,0.003149132,0.002482524,0.997609399,0.002929836,0.002390601,0.002929836,0.999864883,6.34e-05,0.000135,6.34e-05,AGN
4FGL J0011.8-3142,-80.23526,-22.9100858,1.9738964,0.28676894,0.14012496,1.0242977,-0.4804183,-0.8730768,0.001906841,-0.6048648,-0.19277471,-0.5248339,-0.53191084,3.02863512,8.18283653,AGN,bcu,PowerLaw,,SUMSS J001141-314220,2.55854559,0,0.999626359,0.000522,0.000374,0.000522,0.998748609,0.002656235,0.001251391,0.002656235,0.968656048,0.030083884,0.031343952,0.030083884,0.999631972,0.000223,0.000368,0.000223,0.996085608,0.057095186,0.003914392,0.057095186,0.99342787,0.005125305,0.00657213,0.005125305,0.965167105,0.03156704,0.034832895,0.03156704,0.999823525,7.55e-05,0.000176,7.55e-05,AGN
4FGL J0012.0+7043,8.111637,-21.5636239,2.4747853,0.1142351,0.008237447,0.16537851,0.91432005,-0.719811,0.001218281,-0.7224102,-0.63522357,-0.6704733,-0.99433124,2.58745216,7.45772302,AGN,bcu,PowerLaw,3FGL J0012.4+7040,TXS 0008+704,119.661102,0,0.996977425,0.002455798,0.003022575,0.002455798,0.993710796,0.014311389,0.006289204,0.014311389,0.989306018,0.013766114,0.010693982,0.013766114,0.961755891,0.015164357,0.038244109,0.015164357,0.999611238,0.000712,0.000389,0.000712,0.995800736,0.003099368,0.004199264,0.003099368,0.997016122,0.005219981,0.002983878,0.005219981,0.994321535,0.001992383,0.005678465,0.001992383,AGN
4FGL J0013.1-3955,-74.936165,-21.5247311,2.0500717,0.10833041,0.07450506,1.4529521,0.75587547,-0.32381836,0.001067878,-0.5099509,-0.58401316,-0.36393547,-0.97305566,2.41275082,7.57848807,AGN,bll,PowerLaw,3FGL J0013.2-3954,PKS 0010-401,332.339874,0,0.999099056,0.000531,0.000901,0.000531,0.998205843,0.002558783,0.001794157,0.002558783,0.997216463,0.005573964,0.002783537,0.005573964,0.999226594,0.000468,0.000773,0.000468,0.999777342,0.000147,0.000223,0.000147,0.996253371,0.002726459,0.003746629,0.002726459,0.998153499,0.003759221,0.001846501,0.003759221,0.999651406,0.000134,0.000349,0.000134,AGN
4FGL J0013.6+4051,-21.451033,-22.4339304,2.21155,0.14623235,-0.001752545,0.012294384,-0.3695242,-0.49439335,0.000443,-0.5855026,-0.64891684,-0.83440757,0.40872505,2.0312457,7.62099098,AGN,agn,PowerLaw,,4C +40.01,115.257797,0,0.997983628,0.001360821,0.002016372,0.001360821,0.997940644,0.002778597,0.002059356,0.002778597,0.994285792,0.009108471,0.005714208,0.009108471,0.993474982,0.002769413,0.006525018,0.002769413,0.999329937,0.000407,0.00067,0.000407,0.996983349,0.001940005,0.003016651,0.001940005,0.993928986,0.007089843,0.006071014,0.007089843,0.998519703,0.000481,0.001480297,0.000481,AGN
4FGL J0013.6-0424,-65.55318,-22.4718272,2.3586702,0.14496373,-0.08897229,1.0614702,-0.99938726,0.96326756,0.00032,-0.74510133,-0.6099102,-0.4173698,-0.99768794,1.81922074,7.52099909,AGN,fsrq,PowerLaw,,PKS 0011-046,99.660202,16,0.998879912,0.001075308,0.001120088,0.001075308,0.98613252,0.026747557,0.01386748,0.026747557,0.989641981,0.013236117,0.010358019,0.013236117,0.990089545,0.008441273,0.009910455,0.008441273,0.999533809,0.005865313,0.000466,0.005865313,0.994571353,0.003562987,0.005428647,0.003562987,0.991909734,0.009838116,0.008090266,0.009838116,0.999010714,0.000403,0.000989,0.000403,AGN
4FGL J0013.9-1854,-78.09192,-21.998807,1.9660697,0.15060115,0.08232986,1.2266417,-0.7748842,-0.45901757,0.001101128,-0.45060542,-0.3900339,-0.6016834,-0.4578393,0.95862498,7.86683316,AGN,bll,PowerLaw,3FGL J0013.9-1853,RBS 0030,74.5878067,0,0.999595925,0.000429,0.000404,0.000429,0.989626881,0.018948049,0.010373119,0.018948049,0.998616915,0.003585331,0.001383085,0.003585331,0.972396181,0.011859228,0.027603819,0.011859228,0.999642542,0.000415,0.000357,0.000415,0.99228481,0.005418967,0.00771519,0.005418967,0.997054045,0.005757266,0.002945955,0.005757266,0.99243461,0.002380136,0.00756539,0.002380136,AGN
