flux_density,unc_energy,spec:_ind,signif_curv,variability,hr12,hr23,hr34,hr45,glat,class,name,pro_agn_nn,pro_psr_nn,pro_agn_lr,pro_psr_lr,pro_agn_rf,pro_psr_rf,pro_agn_bdt,pro_psr_bdt,pro_total_agn,pro_total_psr
2.7215812E-14,9.101473E-13,1.889783,0.6019432087326994,3.9268556557649115,0.9996615104779492,-0.3996023431786813,-0.418055719748217,-0.7715195934629063,27.203981,AGN,3FGL J0937.9-1435,0.9639382310173604,0.036061768982639346,0.9259246068711977,0.0740753931288026,0.98255475916599,0.01744524083402124,0.9992829468144468,7.170531855468597E-4,3.8717005438689953,0.12829945613101004
3.3973846E-13,6.6315334E-13,2.2964528,0.4097891459672409,3.968008118998233,-0.8422914238842292,-0.5748445193142994,-0.3550955795328293,-0.7684074763155938,43.248943,AGN,3FGL J0941.0+6151,0.9788072113263706,0.02119278867362949,0.9669374855026369,0.03306251449736311,0.9814349840241062,0.01856501597590514,0.9975350562502849,0.0024649437497193728,3.9247147371033986,0.0752852628966171
3.4252588E-12,6.495367E-13,2.7351112,0.6467729781033181,3.9768854116092935,-0.7245862837322423,-0.7258989230645956,-0.9981149336858353,-0.9985059059315889,47.513985,AGN,3FGL J0946.2+5209,0.9365314729870728,0.063468527012927,0.9305589712727079,0.06944102872729065,0.9891440533211431,0.010855946678864763,0.9999046191417097,9.538085830555769E-5,3.8561391167226335,0.143860883277388
8.533229E-15,9.265297E-13,1.69938,0.32247740708444916,3.676919467755201,0.9991931653704899,-0.03194543798328459,-0.3606983226225816,-0.42956698665530235,43.266056,AGN,3FGL J0952.8+0711,0.9789349878540539,0.021065012145945403,0.9574477509059798,0.04255224909402068,0.9997100000000001,2.9000000000000016E-4,0.9999813319486528,1.8668051357023785E-5,3.9360740707086865,0.06392592929132311
1.3975197E-13,9.661406E-13,2.2513545,-0.503352450946157,3.774973385378911,-0.6031709174111213,-0.7645492305399489,-0.41372757516672376,-0.45028903739418297,13.3537445,AGN,3FGL J1013.4-4008,0.9855735605799777,0.01442643942002219,0.9957712137014377,0.00422878629856328,0.9922150000000058,0.0077849999999999074,0.9999792423003497,2.0757699662582348E-5,3.973539016581771,0.026460983418247958
2.0920806E-12,8.832419E-13,2.605058,0.6553817599545887,3.784264017515369,-0.6439094994574138,-0.6906801617513807,-0.8160029087258379,-0.9999873568522542,24.449688,AGN,3FGL J1016.9-2653,0.9304585246094124,0.069541475390586,0.9179967251144877,0.08200327488551215,0.9828561183229287,0.017143881677080013,0.9999191494554516,8.085054452149585E-5,3.8312305175022807,0.16876948249769966
6.970634E-14,6.208544E-13,2.0730712,0.30831670647552906,3.7327617850241137,-0.6167957728610689,-0.3979271869280469,-0.6845822403987468,-0.42559603097813836,32.79398,AGN,3FGL J1027.8+8253,0.9802887540372908,0.019711245962709265,0.9675440895370031,0.032455910462996486,0.9973455826355176,0.0026544173644844965,0.9995641038312606,4.3589616876711385E-4,3.944742530041072,0.05525746995895737
1.3334497E-13,1.2966392E-12,2.0194092,-0.3643682761591756,3.84081976430168,-0.7226199448567925,-0.333053303884775,-0.41091321677183107,-0.5318664184143456,6.509114,AGN,3FGL J1033.4-5035,0.9839391012235361,0.01606089877646327,0.9937136150859528,0.0062863849140460505,0.999905,9.500000000000002E-5,0.9999380264717898,6.197352822529692E-5,3.977495742781279,0.022504257218734617
4.1136257E-13,8.6115257E-13,2.3966603,-1.2783363937623566,4.078931674903652,-0.728465019357198,-0.6069864264335868,-0.7803700380139518,-0.3792961505345106,29.232199,AGN,3FGL J1038.0-2425,0.9861379879229867,0.013862012077013946,0.9994399780259853,5.600219740160154E-4,0.9898707436791365,0.010129256320870896,0.9997918017441011,2.0819825588430326E-4,3.9752405113722094,0.02475948862778516
3.9406016E-14,7.538052E-13,2.0938542,-1.493813783318058,4.133422428634811,-0.6941554305768627,-0.3847488882243537,-0.5513584201576446,-0.6187810629488244,40.555935,AGN,3FGL J1039.5+7324,0.986094617672055,0.013905382327945566,0.9995724101636781,4.275898363212173E-4,0.9992300000000006,7.700000000000006E-4,0.9999397682699729,6.023173004351676E-5,3.9848367961057067,0.0151632038943103
2.8199541E-14,9.531405E-13,1.8951391,-0.3572142321856451,3.839878157392413,0.10581593933408202,-0.41578512044986043,-0.21618707237163082,-0.731583104628477,19.057636,AGN,3FGL J1047.8-3737,0.984771456822532,0.015228543177468804,0.9918967115690743,0.008103288430925283,0.9975850000000019,0.002414999999999979,0.9999364083315354,6.359166848739938E-5,3.974189576723144,0.025810423276881468
1.4146938E-13,8.252297E-13,2.1529865,0.099895740939133,4.0671557400245835,-0.1817822137558012,-0.6246748922224886,-0.40554912921252817,-0.9144903859236798,59.610462,AGN,3FGL J1049.7+1548,0.9813254729488401,0.018674527051160485,0.9796083711697712,0.020391628830229432,0.9690180006387382,0.03098199936127451,0.948614032496291,0.05138596750369322,3.8785658772536404,0.12143412274635765
5.8304433E-12,1.0816374E-12,2.4701045,1.0092038592242103,5.9169331430119145,-0.6531359199103126,-0.6696544692745721,-0.7831719119477484,-0.7784791081600314,53.412853,AGN,3FGL J1050.4+0435,0.9806909229029992,0.019309077096999694,0.9786692111223456,0.02133078887765469,0.9976750000000019,0.00232499999999998,0.9999812058104218,1.879418956874492E-5,3.9570163398357687,0.04298366016422311
1.5261331E-12,6.4442673E-13,2.618117,-0.12271038010430213,4.177052023974992,-0.5179475262805885,-0.8179979005608006,-0.6664761321290774,-0.999825413107533,57.50103,AGN,3FGL J1103.3+5239,0.9831771136371394,0.016822886362860487,0.9897633207675136,0.010236679232485415,0.9953000000000037,0.00469999999999995,0.9999567910243669,4.320897565106645E-5,3.968197225429024,0.03180277457099692
1.7002252E-13,9.840993E-13,2.108555,-2.8687856631005006,4.464618206615873,-0.582751830773311,-0.6497274451329282,-0.4263126053872322,-0.5829628447923153,48.63636,AGN,3FGL J1115.0-0701,0.9862923672142943,0.013707632785704528,0.9999868656963947,1.3134303605803834E-5,1.0,0.0,0.9999994098036422,5.901963782846949E-7,3.986278642714331,0.013721357285688617
1.0584526E-13,1.285324E-12,2.0026665,0.24704912256146377,4.207270190121903,-0.6623755114432194,-0.43912058679901256,-0.3097437059634421,-0.5739548659024465,6.6805735,AGN,3FGL J1117.2-5338,0.9799286520500097,0.020071347949990246,0.9826805010882225,0.017319498911777295,0.9998850000000001,1.1500000000000002E-4,0.9998688454686617,1.3115453131756468E-4,3.962362998606894,0.0376370013930851
1.4727492E-13,8.5167344E-13,2.1532753,0.3725095915587261,4.014583131653117,-0.14306173230024366,-0.6515233007893216,-0.6412320480913608,-0.49989355218574094,56.531345,AGN,3FGL J1117.7+0217,0.9805107852014638,0.019489214798535746,0.9691654675824465,0.03083453241755308,0.9936209569538438,0.006379043046160848,0.9977115085160055,0.00228849148397018,3.9410087182537596,0.058991281746219856
3.2355786E-13,8.582147E-13,2.2875624,-0.05405103029023926,3.8026634821652667,0.8490063360961918,-0.7452895807467409,-0.38760436452103764,-0.7959546534391646,33.262474,AGN,3FGL J1123.3-2529,0.982859841344129,0.017140158655872914,0.9833020683234663,0.016697931676534307,0.9894059434303929,0.010594056569614511,0.9998466304428184,1.533695571538347E-4,3.9554144835408067,0.04458551645917557
2.9969172E-13,1.1577248E-12,2.2883708,0.9441451698904385,3.8011106624132984,-0.09225129963034154,-0.6406026783753854,-0.5617936970519364,-0.889376990688213,69.59608,AGN,3FGL J1129.0+3758,0.8735839431344289,0.12641605686557178,0.8472152994056712,0.15278470059433,0.7846800942340156,0.21531990576598364,0.7158251186092437,0.2841748813907593,3.2213044553833594,0.7786955446166448
1.4486721E-14,1.1233976E-12,1.7402625,0.8561008430476389,3.8425270645658705,-0.9904492618808212,0.6707402468482938,-0.04219475126197726,-0.29646512997111557,-15.812871,AGN,3FGL J1130.7-7800,0.972947895088736,0.02705210491126371,0.9325065892775422,0.06749341072245858,0.9985800000000011,0.0014199999999999942,0.9999543095892941,4.5690410687979634E-5,3.9039887939555733,0.09601120604441027
8.598995E-14,9.302332E-13,2.1137707,-0.6223347441524084,3.4617446357799047,-0.9998312853634312,0.9957710834283647,-0.5210746263887533,-0.6938106231472982,13.162734,AGN,3FGL J1132.0-4736,0.9848836759661219,0.015116324033878064,0.99464936696344,0.0053506330365606005,0.9992050000000006,7.950000000000006E-4,0.9999949032210501,5.096778931279221E-6,3.9787329461506125,0.021267053849369943
1.2903102E-12,1.4978561E-12,2.6594715,-0.4169224939985156,3.983079165537082,-0.4598768155290881,-0.7781560677676962,-0.7549140943118616,-0.7695047841933398,-7.6227984,AGN,3FGL J1142.1-6941,0.9788701868874167,0.021129813112583253,0.9950077108516757,0.004992289148324519,0.9722575355395673,0.027742464460446082,0.9990396993053977,9.603006946096169E-4,3.945175132584058,0.05482486741596347
2.1082895E-13,8.9960526E-13,2.3295882,-0.14104638241520512,3.4969865982252,0.45270771404712706,-0.6569621824137352,-0.9018211362018765,-0.09979915355201616,13.370589,AGN,3FGL J1150.7-4816,0.9840561016825154,0.01594389831748417,0.9879857519582015,0.012014248041799704,0.8690712905234734,0.13092870947652874,0.9995626142455416,4.37385754448282E-4,3.840675758409732,0.1593242415902609
1.1867856E-13,7.7497703E-13,2.2214894,-1.4173463215675182,3.7625705715386544,-0.4977767270431319,-0.692555787338802,-0.4473864183404644,-0.7503094784859478,67.7741,AGN,3FGL J1151.5+0957,0.9858818579133813,0.014118142086618789,0.9992197762109314,7.802237890681091E-4,0.9985750000000012,0.0014249999999999927,0.9999832751823087,1.6724817698595867E-5,3.9836599093066227,0.016340090693385486
1.2157833E-13,9.126851E-13,2.0355177,0.4849797994825499,4.0216213487960175,-0.7272655277788749,-0.33533827709321523,-0.318552261714635,-0.741719554706702,62.0972,AGN,3FGL J1200.4+0202,0.976478205967698,0.023521794032302475,0.9583485872439742,0.0416514127560272,0.9986654356955391,0.0013345643044619375,0.9999237952359572,7.620476406994775E-5,3.9334160241431686,0.06658397585686156
1.4446091E-13,9.207506E-13,2.2530088,0.1520834588833411,3.9961779968298696,-0.9236928729371796,-0.441968610713654,-0.24120506912196016,-0.5730966860935209,46.56981,AGN,3FGL J1200.9-1432,0.9838776125705768,0.01612238742942344,0.9849702635149683,0.01502973648503099,0.9851305618205222,0.014869438179487698,0.9999105045623137,8.949543767675016E-5,3.9538889424683807,0.04611105753161888
1.5030033E-12,7.568673E-13,2.714465,0.6484088814869031,3.749401129455094,-0.9366249220258398,-0.4835679820396297,-0.6253459322892745,-0.31235360769648135,78.42608,AGN,3FGL J1205.9+3315,0.9769649638795403,0.02303503612045919,0.9561116323582203,0.04388836764178009,0.9843204008014296,0.015679599198580533,0.9999421244589025,5.787554111148188E-5,3.917339121498093,0.0826608785019313
4.0258104E-13,6.1710364E-13,2.3979633,-0.3000802127475254,3.720046670900897,-0.6745743196659985,-0.7521874667173101,-0.27452734219068364,-0.9138750190994968,40.739056,AGN,3FGL J1209.9+7607,0.9841758641528192,0.015824135847181033,0.9907777269269875,0.009222273073011556,0.9576671031528122,0.04233289684719857,0.9976270959014014,0.002372904098612248,3.9302477901340205,0.0697522098660034
7.0740847E-13,1.0405713E-12,2.483003,0.2279159054950114,4.001938752315986,-0.7418969896136055,-0.6465830659187893,-0.6080584709778499,-0.9997312704544301,55.85352,AGN,3FGL J1216.6-0557,0.9771190131716533,0.022880986828345173,0.9731481500442313,0.026851849955768548,0.9855711906496901,0.014428809350319599,0.9999191544628716,8.084553713430607E-5,3.935757508328446,0.06424249167156762
7.2974104E-14,8.949696E-13,2.046814,-0.23646336751262084,3.73676397021269,0.4759140856413254,-0.5536652247733336,-0.5781351379168628,-0.2294161173973815,25.2004,AGN,3FGL J1220.1-3715,0.9850638252531917,0.014936174746808752,0.9912532109944994,0.008746789005499914,0.9998450000000001,1.5500000000000008E-4,0.9999793865105233,2.061348946427045E-5,3.976141422758215,0.023858577241772937
2.7676548E-13,6.087008E-13,2.517096,0.10989915045517264,3.902867763807746,-0.6597871222117866,-0.807828993075042,-0.8894136004596442,0.5717278106249435,55.79293,AGN,3FGL J1220.3+6055,0.9854002677745088,0.01459973222549259,0.9929416677452682,0.007058332254731147,0.9889908015451551,0.011009198454852704,0.9999610029200603,3.899707991208282E-5,3.967293739984992,0.032706260014988525
4.2298276E-15,6.8835253E-13,1.7372625,-0.7525014458709989,3.846224490832103,0.9978901348157021,-0.4398581104193422,-0.49139232499936175,-0.11265417819313175,37.173252,AGN,3FGL J1222.7+7952,0.9857947463348519,0.01420525366514749,0.9973087146472434,0.0026912853527567525,0.9991600000000006,8.400000000000007E-4,0.9999170416345186,8.295836545557138E-5,3.982180502616614,0.017819497383359816
