Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,TimesinTraining,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J0118.8-2142,-26.524045,-27.0193512,2.3479936,1.74984881,5.68542273,-0.585777069,-0.651196985,-0.652545643,-0.812330384,-81.74139,AGN,fsrq,1182.527,LogParabola,PKS 0116-219,0.999007878,0.000992,0.970393466,0.029606534,0.976003725,0.023996275,0.940810936,0.059189064,310,173.39423,0,AGN
3FGL J0137.0+4752,-24.2236197,-27.0846371,2.146481,1.66101258,6.75347709,-0.527853642,-0.644826093,-0.624237791,-0.777803919,-14.29814,AGN,fsrq,523.1264,LogParabola,OC 457,0.999370806,0.000629,0.97398952,0.02601048,0.998434802,0.001565198,0.974860851,0.025139149,307,130.79414,0,AGN
3FGL J0144.6+2705,-24.6113442,-27.0014879,2.063248,1.1578758,5.13990868,-0.509199606,-0.605412813,-0.588532007,-0.644603281,-34.296246,AGN,bll,541.6454,LogParabola,TXS 0141+268,0.999919225,8.08e-05,0.978347915,0.021652085,0.988761792,0.011238208,0.994112027,0.005887973,285,137.28377,0,AGN
3FGL J0203.6+3043,-25.4722148,-27.2015533,2.046388,1.48520976,6.88163356,-0.31816955,-0.630317437,-0.633039872,-0.702515923,-29.636385,AGN,bll,711.35565,LogParabola,NVSS J020344+304238,0.999825419,0.000175,0.988335844,0.011664156,0.999384111,0.000616,0.983458072,0.016541928,292,140.79199,0,AGN
3FGL J0210.7-5101,-23.5484189,-27.210122,2.1697106,1.55735989,7.27536884,-0.576720058,-0.620530139,-0.716050653,-0.75834166,-61.767708,AGN,BCU,385.0598,LogParabola,PKS 0208-512,0.999758337,0.000242,0.988723505,0.011276495,0.999645911,0.000354,0.971080807,0.028919193,314,276.11172,0,AGN
3FGL J0211.2+1051,-24.8605949,-26.9225145,2.011121,1.52494155,6.3016943,-0.427526911,-0.631099895,-0.530194974,-0.693223442,-47.3637,AGN,BLL,650.088,LogParabola,MG1 J021114+1051,0.999904865,9.51e-05,0.985611973,0.014388027,0.997781169,0.002218831,0.99090424,0.00909576,284,152.59547,0,AGN
3FGL J0217.3+6209,-25.4311951,-26.6785352,2.7263994,2.24140147,3.62915325,0.377290562,-0.728688782,-0.96454191,-0.712321876,0.9379606,AGN,bcu,860.45074,LogParabola,TXS 0213+619,0.038352688,0.961647312,0.09033808,0.90966192,0.047734567,0.952265433,0.492958035,0.507041965,300,132.785,16,PSR
3FGL J0222.6+4301,-24.5374209,-26.0416486,1.8797827,1.03358953,6.78563675,-0.363172011,-0.519811932,-0.443450098,-0.488487875,-16.766998,AGN,BLL,914.4979,LogParabola,3C 66A,0.988701917,0.011298083,0.987090779,0.012909221,0.999877406,0.000123,0.964976893,0.035023107,300,140.15047,0,AGN
3FGL J0223.5+6313,-27.0503914,-26.8879459,2.77602,1.53455724,3.93251488,-0.410276494,-0.693396933,-0.842593708,-0.611934817,2.1842754,AGN,bcu,1153.4891,LogParabola,TXS 0219+628,0.950865625,0.049134375,0.471970142,0.528029858,0.637406603,0.362593397,0.717036306,0.282963694,296,133.0876,1,MIXED
3FGL J0237.9+2848,-22.3078026,-26.9805744,2.1620982,2.1338922,8.20343033,-0.53172815,-0.706876231,-0.690130313,-0.835627265,-28.521528,AGN,FSRQ,326.38458,LogParabola,4C +28.07,0.997650033,0.002349967,0.984620357,0.015379643,0.999699191,0.000301,0.967611629,0.032388371,287,149.47568,0,AGN
3FGL J0238.6+1636,-23.4889229,-26.6469553,2.0574684,1.48122219,8.65111148,-0.467326058,-0.618095332,-0.563243013,-0.708352534,-39.107906,AGN,BLL,473.2966,LogParabola,AO 0235+164,0.999811111,0.000189,0.990435124,0.009564876,0.999989706,1.03e-05,0.991678562,0.008321438,302,156.77744,0,AGN
3FGL J0245.9-4651,-22.9772054,-27.2753207,2.2705967,1.52474457,6.60295824,-0.57542388,-0.685604551,-0.757705986,-0.809251171,-60.10464,AGN,fsrq,322.09976,LogParabola,PKS 0244-470,0.999271929,0.000728,0.984970274,0.015029726,0.998447727,0.001552273,0.981175455,0.018824545,299,261.83582,0,AGN
3FGL J0252.8-2218,-23.3663764,-27.1332031,2.1528223,1.54104564,7.20522871,-0.523924366,-0.644984745,-0.714863931,-0.721116994,-62.09082,AGN,fsrq,373.7373,LogParabola,PKS 0250-225,0.999831402,0.000169,0.988452302,0.011547698,0.999682293,0.000318,0.985395655,0.014604345,315,209.72266,0,AGN
