Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum_Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J0021.6-2553,-28.9257567,-27.8048643,2.0992868,-1.74733161,4.27064698,-0.663635885,-0.479427086,-0.442544053,-0.601381609,-83.22444,AGN,bll,1520.3076,PowerLaw,CRATES J002132.55-255049.3,0.90838217,0.0916178296,0.902756174,0.0972438259,0.901579792,0.0984202079,0.901043094,0.0989569063,293,41.81136,0,AGN
3FGL J0021.6-6835,-27.010925,-27.9971022,2.6524696,-0.577948637,3.94837056,-0.653451758,-0.775366819,-0.749340352,-0.999916108,-48.299847,AGN,bcu,532.6547,PowerLaw,PKS 0021-686,0.923269487,0.0767305132,0.908252597,0.091747403,0.909921961,0.0900780386,0.908338614,0.0916613858,296,307.0121,256,AGN
3FGL J0022.1-1855,-29.689771,-27.3059324,1.7990181,0.89170234,4.21757054,0.958960662,-0.377814789,-0.258662286,-0.675488885,-79.38736,AGN,bll,2653.591,PowerLaw,1RXS J002209.2-185333,0.928603267,0.0713967333,0.927976165,0.0720238352,0.926804852,0.0731951479,0.92837936,0.0716206404,303,82.03097,0,AGN
3FGL J0022.1-5141,-29.1126105,-27.6803655,1.9874318,0.539554936,4.08447983,0.31534628,-0.404154307,-0.697587316,-0.252967591,-64.82614,AGN,bll,1760.3436,PowerLaw,1RXS J002159.2-514028,0.895926289,0.104073711,0.892340215,0.107659785,0.885690151,0.114309849,0.897922779,0.102077221,321,313.62024,0,AGN
3FGL J0022.5+0608,-27.2707295,-27.229757,2.073243,0.898164642,4.5560374,-0.390619162,-0.581622799,-0.512979611,-0.606588703,-56.008762,AGN,bll,1265.673,PowerLaw,PKS 0019+058,0.913087105,0.0869128952,0.91372506,0.08627494,0.913602459,0.0863975411,0.916370715,0.0836292854,327,110.023605,0,AGN
3FGL J0023.5+4454,-26.725246,-27.7359434,2.5684931,-1.35564489,4.24438538,-0.748537858,-0.678308109,-0.773361581,-0.679655957,-17.68494,AGN,fsrq,620.3807,PowerLaw,B3 0020+446,0.927405582,0.0725944184,0.918829968,0.081170032,0.922041418,0.0779585822,0.923081871,0.0769181286,300,117.74822,0,AGN
3FGL J0024.4+0350,-28.7230543,-27.7452758,2.2782264,1.01588757,4.31683724,-0.528792,-0.71047057,-0.741809322,-0.658294945,-58.350433,AGN,fsrq,1194.3387,PowerLaw,GB6 J0024+0349,0.917588271,0.0824117291,0.915041562,0.0849584382,0.911088236,0.0889117638,0.910937591,0.0890624086,295,110.02033,0,AGN
3FGL J0026.7-4603,-28.8529239,-28.0621604,2.450339,-1.04521367,4.04049115,-0.584864002,-0.7991077,-0.484040888,-0.75564025,-70.44581,AGN,bll,1009.74817,PowerLaw,1RXS J002636.3-460101,0.884533208,0.115466792,0.88748901,0.11251099,0.878191562,0.121808438,0.883619946,0.116380054,314,315.8166,1,AGN
3FGL J0028.6+7507,-28.3160291,-27.5998318,2.3414557,-0.89772588,3.63061221,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,1172.9393,PowerLaw,GB6 J0028+7506,0.928695697,0.0713043033,0.9162464,0.0837536004,0.917177937,0.0828220629,0.919362508,0.0806374916,294,121.4367,0,AGN
3FGL J0028.8+1951,-27.5777405,-27.7955897,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,761.7829,PowerLaw,TXS 0025+197,0.918831721,0.081168279,0.918356973,0.0816430274,0.914409685,0.0855903151,0.913567027,0.0864329735,305,115.68266,256,AGN
3FGL J0029.1-7045,-28.3124208,-27.7588572,2.284518,-0.487918507,4.31071993,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,1257.5558,PowerLaw,PKS 0026-710,0.904555389,0.0954446112,0.897387658,0.102612342,0.897655956,0.102344044,0.8968308,0.1031692,297,305.581,0,AGN
3FGL J0030.2-1646,-31.7780677,-27.5618344,1.6471963,0.281945223,4.16352433,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,5034.0356,PowerLaw,1RXS J003019.6-164723,0.937580745,0.0624192549,0.924422835,0.0755771646,0.924597466,0.0754025336,0.927209988,0.0727900119,286,96.52078,0,AGN
3FGL J0030.3-4223,-24.7129738,-27.7358203,2.5805273,0.410798262,5.13444452,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,415.28687,PowerLaw,PKS 0027-426,0.913090249,0.0869097515,0.905672961,0.094327039,0.902544457,0.0974555429,0.901160463,0.0988395375,296,317.30246,0,AGN
3FGL J0030.7-0209,-26.5874349,-27.676105,2.3780944,1.1432792,5.86039498,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,696.7064,PowerLaw,PKS B0027-024,0.921894992,0.0781050082,0.917061501,0.0829384989,0.919080942,0.0809190577,0.92540154,0.0745984601,293,110.85923,0,AGN
3FGL J0031.3+0724,-32.046529,-27.8475098,1.8239038,0.0584904873,3.49701813,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,4521.002,PowerLaw,NVSS J003119+072456,0.901823269,0.0981767312,0.895956434,0.104043566,0.889623612,0.110376388,0.893498164,0.106501836,295,114.18945,0,AGN
3FGL J0032.3-2852,-30.0282025,-28.0972033,2.1895173,-4.19954636,3.63803559,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,1646.3562,PowerLaw,PMN J0032-2849,0.927109564,0.0728904357,0.917034603,0.0829653969,0.917367774,0.0826322258,0.923032512,0.0769674882,291,9.274878,0,AGN
3FGL J0033.6-1921,-28.4093409,-26.6844545,1.7147852,0.717210473,4.16858447,-0.478698322,-0.313661775,-0.311244387,-0.358970865,-81.22408,AGN,bll,2398.1309,PowerLaw,KUV 00311-1938,0.905353473,0.0946465272,0.907421398,0.0925786016,0.894783343,0.105216657,0.902165145,0.0978348551,323,94.21208,0,AGN
3FGL J0035.2+1513,-30.0913616,-27.3147603,1.8063989,0.515180308,3.96503732,-0.619532457,-0.161601058,-0.410343009,-0.347993991,-47.467373,AGN,bll,3166.7546,PowerLaw,RX J0035.2+1515,0.954437199,0.0455628005,0.93968889,0.0603111103,0.942897567,0.0571024328,0.94348284,0.0565171604,317,117.14552,0,AGN
3FGL J0035.9+5949,-28.8069447,-26.9583703,1.897775,-0.225809552,4.24202608,-0.304539978,-0.650992612,-0.34293222,-0.373113405,-2.981383,AGN,bll,2967.5896,PowerLaw,1ES 0033+595,0.937166718,0.0628332817,0.934732181,0.0652678194,0.934532024,0.0654679758,0.937409871,0.0625901288,268,120.98583,0,AGN
3FGL J0037.9+1239,-28.2922029,-27.5607038,2.1514816,-0.33270379,4.19620386,-0.56274702,-0.678579578,-0.465013727,-0.598496933,-50.084618,AGN,bll,1387.6769,PowerLaw,NVSS J003750+123818,0.925071404,0.0749285962,0.920695223,0.0793047767,0.915297199,0.0847028013,0.919477693,0.0805223075,308,117.78463,0,AGN
3FGL J0038.0+0012,-29.2967737,-27.8322408,2.1565473,-0.36067063,3.50757278,-0.350721963,-0.716379819,-0.337127589,-0.667029535,-62.474567,AGN,bll,1550.1482,PowerLaw,NVSS J003808+001336,0.919965699,0.0800343011,0.915203506,0.0847964937,0.908209947,0.0917900527,0.917700597,0.0822994035,316,115.6973,0,AGN
3FGL J0038.0-2501,-27.2521274,-27.8811613,2.43891,0.603063708,4.66792712,-0.669426513,-0.671419095,-0.738779691,-0.876557126,-86.33264,AGN,fsrq,733.78314,PowerLaw,PKS 0035-252,0.904384062,0.0956159375,0.906622727,0.0933772734,0.901552324,0.098447676,0.901944453,0.0980555468,292,67.04554,0,AGN
3FGL J0039.0-2218,-32.4587031,-27.9058428,1.7153648,0.988494475,3.59920329,0.96419663,-0.543848945,-0.212505221,-0.524198841,-84.41313,AGN,bcu,5052.5894,PowerLaw,PMN J0039-2220,0.939198173,0.0608018267,0.926942504,0.0730574965,0.92369682,0.0763031796,0.930980888,0.0690191119,329,91.91121,0,AGN
3FGL J0039.1+4330,-30.7436764,-27.8781502,1.9628744,0.616896445,3.56761678,-0.789625944,-0.136783408,-0.557159006,-0.46245255,-19.31416,AGN,bcu,2760.5237,PowerLaw,NVSS J003907+433015,0.91586399,0.0841360104,0.909089679,0.0909103208,0.911531973,0.0884680274,0.908476557,0.0915234427,302,120.57974,0,AGN
3FGL J0039.1-0939,-27.1493875,-27.873922,2.5939708,0.908096047,3.83823792,-0.411264825,-0.835268242,-0.925210057,-0.999679366,-72.28967,AGN,fsrq,568.70325,PowerLaw,TXS 0036-099,0.920065319,0.0799346814,0.910121017,0.0898789834,0.910704198,0.0892958019,0.915142269,0.0848577307,298,112.9142,0,AGN
3FGL J0040.3+4049,-35.4026758,-27.7000493,1.1322582,0.319675675,3.41029289,-0.726658322,-0.760773846,-0.405176319,0.327153234,-22.005041,AGN,bcu,37201.97,PowerLaw,B3 0037+405,0.904327234,0.0956727664,0.902252857,0.0977471432,0.900806434,0.0991935657,0.903786707,0.0962132935,313,120.66645,0,AGN
3FGL J0040.5-2339,-31.488284,-28.0578551,1.9462218,0.324038182,3.8968859,0.985893289,-0.635824969,-0.63174011,-0.0439826222,-85.74683,AGN,bcu,3011.39,PowerLaw,PMN J0040-2340,0.935620921,0.0643790793,0.928641574,0.0713584256,0.934654768,0.0653452318,0.933370692,0.0666293082,290,87.170006,0,AGN
3FGL J0041.9+3639,-31.6662895,-27.9678952,1.9757644,-2.11811643,3.42304925,0.99984805,-0.944320689,-0.165152943,0.0404966451,-26.171455,AGN,bll,3549.2144,PowerLaw,RX J0042.0+3641,0.940703097,0.0592969031,0.933334877,0.0666651227,0.932178523,0.0678214768,0.933806084,0.0661939163,288,120.8235,0,AGN
3FGL J0042.0+2318,-28.5356072,-27.8128697,2.3544266,0.387006593,3.95588256,-0.577199007,-0.726099294,-0.50334863,-0.999971566,-39.516415,AGN,fsrq,1085.7772,PowerLaw,PKS 0039+230,0.910841817,0.0891581832,0.904423859,0.095576141,0.905849053,0.0941509469,0.907966401,0.0920335994,324,120.14492,0,AGN
3FGL J0043.5-0444,-32.6281959,-27.784678,1.7345864,-3.75526625,3.69664349,-0.881483737,-0.289274144,-0.260989581,-0.177278185,-67.533,AGN,bcu,6492.1416,PowerLaw,1RXS J004333.7-044257,0.903986723,0.0960132769,0.89788836,0.10211164,0.894692268,0.105307732,0.894742327,0.105257673,295,117.79628,0,AGN
3FGL J0043.7-1117,-32.3521155,-27.5525314,1.5937259,0.748916836,3.3198247,-0.999854687,0.999275968,-0.292106915,-0.36779637,-74.05682,AGN,bcu,6018.865,PowerLaw,1RXS J004349.3-111612,0.92571052,0.0742894796,0.925426876,0.0745731239,0.924067841,0.0759321589,0.922220369,0.0777796315,273,116.04734,0,AGN
3FGL J0043.8+3425,-27.8358717,-27.3439934,2.0446968,-0.932018391,4.65483858,-0.432409798,-0.618498625,-0.413579651,-0.598304061,-28.41628,AGN,fsrq,1432.6361,PowerLaw,GB6 J0043+3426,0.920928199,0.0790718008,0.909547506,0.0904524938,0.91232612,0.0876738801,0.912110475,0.0878895247,313,121.159805,0,AGN
3FGL J0045.2-3704,-26.0631481,-27.9178278,2.542837,-0.642320881,5.15759959,-0.657116888,-0.734699582,-0.660355779,-0.852533302,-79.96312,AGN,bcu,509.48514,PowerLaw,PKS 0042-373,0.905988271,0.094011729,0.902314681,0.0976853189,0.898512414,0.101487586,0.901607817,0.0983921833,306,310.0371,0,AGN
3FGL J0045.3+2126,-29.0023209,-27.2695065,1.89904,0.535339489,4.08580004,-0.578409296,-0.540925806,-0.296415459,-0.543390976,-41.403828,AGN,bll,2334.118,PowerLaw,GB6 J0045+2127,0.923963825,0.0760361746,0.919836565,0.0801634346,0.920097928,0.0799020718,0.917702323,0.0822976768,322,121.0586,0,AGN
3FGL J0045.7+1217,-29.2258307,-27.4301808,1.9597332,0.12572087,3.99017611,-0.0989862443,-0.476036462,-0.504620423,-0.556359964,-50.559357,AGN,bll,2168.2095,PowerLaw,GB6 J0045+1217,0.921770257,0.0782297429,0.911323866,0.0886761343,0.911875292,0.0881247079,0.919064833,0.0809351672,322,120.74098,0,AGN
3FGL J0046.7-8419,-25.7001402,-27.642201,2.8206205,-0.434945877,4.14287299,-0.703688092,-0.68903266,-0.84782763,-0.999944815,-32.807045,AGN,fsrq,395.72586,PowerLaw,PKS 0044-84,0.932041462,0.0679585383,0.922706753,0.0772932472,0.923349576,0.0766504242,0.916359506,0.0836404939,293,303.0702,0,AGN
3FGL J0047.0+5658,-27.3216252,-27.3618304,2.22425,0.360219245,4.30997248,-0.667112027,-0.566173606,-0.510030321,-0.764440144,-5.8951225,AGN,bll,1172.4714,PowerLaw,GB6 J0047+5657,0.930399164,0.0696008364,0.928644325,0.0713556753,0.924000728,0.0759992723,0.922260901,0.077739099,297,122.33373,4,AGN
3FGL J0047.9+5447,-34.5983605,-27.6653678,1.3335099,-0.305934302,3.39750775,0.966020177,-0.74059564,-0.57030539,0.537221397,-8.071238,AGN,bcu,21680.848,PowerLaw,1RXS J004754.5+544758,0.920799088,0.0792009116,0.917301107,0.0826988933,0.91111223,0.0888877697,0.912115004,0.0878849963,326,122.42279,0,AGN
3FGL J0048.0+2236,-27.1819752,-27.5981672,2.33307,0.965056629,5.48339238,-0.428990101,-0.707750181,-0.594473584,-0.849520392,-40.264175,AGN,fsrq,908.46466,PowerLaw,NVSS J004802+223525,0.89632595,0.10367405,0.903409189,0.0965908115,0.892693059,0.107306941,0.89759356,0.10240644,316,121.908806,0,AGN
3FGL J0048.0+3950,-30.7799706,-27.6445679,1.8768142,-1.52402308,4.21011877,-0.484036243,-0.524301672,-0.5121685,-0.157812219,-23.023993,AGN,bll,3476.9182,PowerLaw,B3 0045+395,0.923147851,0.0768521487,0.916139127,0.0838608734,0.91774199,0.0822580102,0.916667443,0.0833325566,296,122.22112,0,AGN
3FGL J0049.4-4149,-30.5989686,-28.0316546,2.1545312,-0.4255341,3.45972626,-0.71689362,-0.84262422,-0.208316804,-0.189250456,-75.29762,AGN,bcu,2240.492,PowerLaw,1RXS J004939.9-415133,0.887115449,0.112884551,0.891880901,0.108119099,0.886066204,0.113933796,0.889331564,0.110668436,328,304.39722,0,AGN
3FGL J0049.4-5401,-29.9635868,-28.0616365,2.1434119,-1.95489911,3.8058952,-0.696883111,-0.637135218,-0.499682885,-0.345717804,-63.103218,AGN,bcu,1746.9349,PowerLaw,PMN J0049-5402,0.906973896,0.0930261045,0.895328111,0.104671889,0.894758727,0.105241273,0.902439854,0.0975601464,316,303.5892,0,AGN
3FGL J0049.7+0237,-27.6944554,-27.6896955,2.2440412,0.0184444505,4.47711241,-0.594381336,-0.647715291,-0.456055271,-0.757359225,-60.24447,AGN,bll,1022.2843,PowerLaw,PKS 0047+023,0.933358447,0.066641553,0.930477633,0.0695223672,0.934987572,0.0650124283,0.934597967,0.0654020327,338,122.090866,0,AGN
3FGL J0049.8-5737,-27.9290249,-27.8468771,2.4621935,-0.114525766,3.94139358,-0.77740244,-0.685855923,-0.685317495,-0.291872088,-59.50251,AGN,fsrq,938.1754,PowerLaw,PKS 0047-579,0.91961388,0.0803861199,0.91220242,0.0877975804,0.912189643,0.0878103566,0.912330006,0.0876699938,303,303.3507,0,AGN
3FGL J0050.0-4458,-27.6836481,-28.0502386,2.5278618,-0.60357708,4.22721542,-0.722253491,-0.527455499,-0.63016457,-0.999950155,-72.15446,AGN,bcu,693.9973,PowerLaw,PMN J0049-4457,0.89874736,0.10125264,0.891203221,0.108796779,0.888071129,0.111928871,0.895153698,0.104846302,308,303.73032,0,AGN
3FGL J0050.4-0449,-27.4056007,-27.6555928,2.449884,-0.350498259,4.14165411,-0.549710465,-0.705605035,-0.632910844,-0.924294953,-67.70284,AGN,fsrq,823.89746,PowerLaw,PKS 0047-051,0.917073785,0.0829262155,0.909277765,0.0907222354,0.90656558,0.0934344205,0.905163789,0.0948362111,315,122.30691,0,AGN
3FGL J0050.6-0929,-26.2961311,-27.039417,2.0930758,0.225407147,5.742705,-0.467293989,-0.587401878,-0.548819222,-0.543507508,-72.355736,AGN,BLL,1023.0648,PowerLaw,PKS 0048-09,0.93418272,0.0658172804,0.926262544,0.0737374563,0.928359537,0.0716404626,0.926436163,0.0735638374,301,122.33088,0,AGN
3FGL J0051.2-6241,-30.1027661,-27.0977915,1.663153,0.606664573,3.915655,-0.661922229,-0.30001264,-0.222515857,-0.299425319,-54.44019,AGN,bcu,3901.6074,PowerLaw,1RXS J005117.7-624154,0.931380716,0.0686192839,0.923321182,0.0766788177,0.9231188,0.0768812004,0.921135492,0.0788645084,305,302.96347,0,AGN
3FGL J0054.8-2455,-29.9335986,-27.3140974,1.7780507,0.428167514,3.85403588,0.925061074,-0.459121109,-0.300588613,-0.50298522,-87.66247,AGN,bll,2908.0095,PowerLaw,FRBA J0054-2455,0.90838194,0.0916180596,0.901706052,0.0982939478,0.901609603,0.0983903974,0.903596195,0.0964038053,271,142.52641,0,AGN
3FGL J0055.2-1213,-28.7045989,-27.9611396,2.396758,-0.503640879,4.23107685,-0.535220184,-0.744959328,-0.65583418,-0.433280916,-75.07811,AGN,bcu,996.72266,PowerLaw,TXS 0052-125,0.889428095,0.110571905,0.890623111,0.109376889,0.888975463,0.111024537,0.892650574,0.107349426,286,126.51033,0,AGN
3FGL J0056.3-0935,-30.988731,-27.4854581,1.7902223,-0.0774787391,4.01681327,0.900278198,-0.470998399,-0.420360695,-0.143503202,-72.42695,AGN,bll,4041.2075,PowerLaw,TXS 0053-098,0.927780706,0.0722192938,0.91939836,0.0806016396,0.92242569,0.0775743105,0.921620109,0.0783798915,291,126.954124,0,AGN
3FGL J0056.3-2116,-30.1799147,-27.4642035,1.8079817,0.50269502,4.09456687,0.0330734483,-0.292620307,-0.423264966,-0.403767176,-84.047516,AGN,bll,2856.4712,PowerLaw,PMN J0056-2117,0.936157461,0.0638425386,0.928394085,0.0716059149,0.928403152,0.0715968479,0.92605878,0.0739412201,279,133.93503,0,AGN
3FGL J0057.9-0542,-28.7267717,-27.7141041,2.4153802,-0.983677706,3.77150438,-0.523015,-0.713244239,-0.667961008,-0.689409593,-68.5243,AGN,fsrq,1120.5619,PowerLaw,PKS 0055-059,0.94407569,0.0559243099,0.934423546,0.0655764544,0.930721646,0.0692783539,0.9337653,0.0662346995,290,127.34853,1,AGN
