flux,unc,signif_curv,Spectral_Index,var,CLASS
-29.68977101,-27.30593233,0.891702341,1.7990181,4.217570544,AGN
-29.11261053,-27.68036548,0.539554959,1.9874318,4.084479832,AGN
-27.27072952,-27.22975693,0.898164605,2.073243,4.556037369,AGN
-26.72524604,-27.73594345,-1.355644896,2.5684931,4.244385355,AGN
-28.72305429,-27.74527579,1.01588758,2.2782264,4.316837267,AGN
-28.85292391,-28.06216035,-1.045213672,2.450339,4.040491142,AGN
-28.31602912,-27.59983178,-0.897725905,2.3414557,3.630612223,AGN
-27.57774044,-27.79558966,0.680839507,2.4336774,3.750542839,AGN
-28.31242085,-27.75885718,-0.487918464,2.284518,4.310719961,AGN
-31.77806771,-27.56183441,0.281945241,1.6471963,4.163524319,AGN
-24.7129738,-27.73582027,0.410798272,2.5805273,5.134444515,AGN
-26.58743494,-27.67610498,1.143279192,2.3780944,5.860394983,AGN
-32.04652901,-27.84750982,0.058490491,1.8239038,3.497018138,AGN
-30.02820248,-28.09720327,-4.199546353,2.1895173,3.638035591,AGN
-28.40934083,-26.6844545,0.717210496,1.7147852,4.168584451,AGN
-30.09136163,-27.31476023,0.515180309,1.8063989,3.965037314,AGN
-28.80694465,-26.95837026,-0.225809552,1.897775,4.242026107,AGN
-28.29220285,-27.56070374,-0.332703785,2.1514816,4.196203892,AGN
-29.29677367,-27.83224081,-0.360670654,2.1565473,3.507572778,AGN
-27.25212735,-27.8811613,0.603063704,2.43891,4.667927112,AGN
-32.45870306,-27.90584282,0.988494462,1.7153648,3.599203293,AGN
-30.74367641,-27.87815024,0.61689642,1.9628744,3.567616744,AGN
-27.14938753,-27.87392199,0.908096084,2.5939708,3.838237928,AGN
-35.40267577,-27.70004925,0.319675681,1.1322582,3.410292918,AGN
-31.48828402,-28.05785514,0.324038171,1.9462218,3.896885898,AGN
-31.66628944,-27.9678952,-2.118116435,1.9757644,3.423049255,AGN
-28.53560721,-27.81286971,0.387006625,2.3544266,3.955882545,AGN
-32.6281959,-27.78467797,-3.755266234,1.7345864,3.69664352,AGN
-32.35211548,-27.55253139,0.748916829,1.5937259,3.319824707,AGN
-27.83587171,-27.34399339,-0.932018396,2.0446968,4.65483858,AGN
-26.0631481,-27.91782783,-0.642320884,2.542837,5.157599569,AGN
-29.00232087,-27.2695065,0.535339465,1.89904,4.085800052,AGN
-29.22583076,-27.43018076,0.12572088,1.9597332,3.990176135,AGN
-25.70014023,-27.64220101,-0.434945866,2.8206205,4.142872992,AGN
-27.32162518,-27.36183035,0.360219245,2.22425,4.309972454,AGN
-34.59836045,-27.66536773,-0.305934307,1.3335099,3.397507747,AGN
-27.18197523,-27.59816716,0.965056645,2.33307,5.483392392,AGN
-30.77997061,-27.64456785,-1.524023088,1.8768142,4.210118768,AGN
-30.59896865,-28.03165457,-0.42553412,2.1545312,3.459726243,AGN
-29.96358682,-28.06163647,-1.954899083,2.1434119,3.805895187,AGN
-27.69445538,-27.68969549,0.018444454,2.2440412,4.477112416,AGN
-27.9290249,-27.84687707,-0.114525767,2.4621935,3.941393574,AGN
-27.68364812,-28.05023865,-0.603577093,2.5278618,4.227215476,AGN
-27.40560074,-27.6555928,-0.350498258,2.449884,4.141654134,AGN
-26.29613115,-27.03941696,0.225407108,2.0930758,5.74270501,AGN
-26.17964515,-27.5013437,1.428506837,2.104655,5.591344815,AGN
-30.10276611,-27.09779152,0.606664585,1.663153,3.915655013,AGN
-29.93359864,-27.31409736,0.42816754,1.7780507,3.854035894,AGN
-28.70459894,-27.96113959,-0.503640884,2.396758,4.231076809,AGN
-30.98873102,-27.48545809,-0.077478751,1.7902223,4.016813267,AGN
-30.17991471,-27.46420354,0.502695011,1.8079817,4.094566871,AGN
-28.72677166,-27.71410406,-0.983677719,2.4153802,3.771504368,AGN
-27.78455357,-27.50302361,0.974034117,2.0583463,4.158745745,AGN
-27.48429442,-27.81532494,0.27923512,2.407292,4.725769686,AGN
-26.29956452,-27.78543587,0.95904494,2.6164255,4.164633032,AGN
-32.40630357,-27.74082066,-0.323688904,1.7376362,3.616808874,AGN
-28.06699695,-27.80890989,0.561416134,2.48396,3.954546481,AGN
-29.14015594,-27.04094962,1.245670125,1.7965821,4.516279103,AGN
-25.34709935,-27.75834195,0.79141611,2.6916668,4.624612821,AGN
-24.07367191,-26.97735176,1.6581496,2.0943375,7.308328313,AGN
-29.94203411,-27.58479891,-1.340424133,2.0390236,3.835006155,AGN
-30.38277058,-27.79428188,0.890394879,1.983666,3.965885963,AGN
-25.64324777,-27.86309155,0.859465611,2.608352,4.515869592,AGN
-28.15768424,-27.86738854,0.299611845,2.3259218,4.18362196,AGN
-29.80221439,-27.8922662,-0.036311935,2.1802132,3.4869659,AGN
-28.71906138,-27.80227379,0.723975249,2.3936923,3.767615861,AGN
