flux,unc,signif_curv,Spectral_Index_1,var,GLAT,CLASS
-24.7129737963,-27.7358202728,0.4107982723,2.5805273,5.1344445151,-74.13968,AGN
-26.5874349428,-27.6761049799,1.1432791922,2.3780944,5.8603949829,-64.54405,AGN
-32.0465290111,-27.8475098184,0.0584904914,1.8239038,3.4970181381,-55.11534,AGN
-30.0282024769,-28.0972032654,-4.1995463534,2.1895173,3.6380355907,-85.441284,AGN
-28.4093408276,-26.6844544969,0.7172104958,1.7147852,4.1685844506,-81.22408,AGN
-30.0913616254,-27.3147602346,0.5151803089,1.8063989,3.9650373141,-47.467373,AGN
-28.806944652,-26.9583702608,-0.225809552,1.897775,4.242026107,-2.981383,AGN
-28.292202853,-27.5607037394,-0.3327037853,2.1514816,4.1962038921,-50.084618,AGN
-29.2967736728,-27.8322408073,-0.3606706542,2.1565473,3.5075727783,-62.474567,AGN
-27.2521273535,-27.8811612958,0.6030637044,2.43891,4.6679271118,-86.33264,AGN
-32.4587030568,-27.9058428202,0.9884944617,1.7153648,3.5992032929,-84.41313,AGN
-30.743676405,-27.8781502376,0.6168964198,1.9628744,3.5676167438,-19.31416,AGN
-27.1493875313,-27.8739219935,0.9080960839,2.5939708,3.8382379275,-72.28967,AGN
-35.4026757739,-27.7000492518,0.3196756814,1.1322582,3.410292918,-22.005041,AGN
-31.4882840173,-28.0578551391,0.3240381713,1.9462218,3.8968858982,-85.74683,AGN
-31.6662894405,-27.9678951992,-2.1181164348,1.9757644,3.423049255,-26.171455,AGN
-28.5356072135,-27.8128697078,0.387006625,2.3544266,3.955882545,-39.516415,AGN
-32.6281958962,-27.7846779682,-3.7552662341,1.7345864,3.6966435204,-67.533,AGN
-32.3521154807,-27.5525313944,0.7489168291,1.5937259,3.3198247071,-74.05682,AGN
-27.8358717057,-27.3439933878,-0.9320183958,2.0446968,4.65483858,-28.41628,AGN
-26.0631481022,-27.9178278294,-0.6423208843,2.542837,5.1575995689,-79.96312,AGN
-29.0023208659,-27.2695065025,0.5353394646,1.89904,4.0858000516,-41.403828,AGN
-29.2258307643,-27.4301807612,0.1257208799,1.9597332,3.9901761351,-50.559357,AGN
-25.7001402338,-27.6422010086,-0.4349458662,2.8206205,4.1428729918,-32.807045,AGN
-27.3216251826,-27.3618303532,0.3602192446,2.22425,4.3099724538,-5.8951225,AGN
-34.5983604519,-27.6653677347,-0.3059343075,1.3335099,3.3975077474,-8.071238,AGN
-27.1819752271,-27.5981671634,0.9650566452,2.33307,5.4833923922,-40.264175,AGN
-30.7799706067,-27.6445678466,-1.5240230878,1.8768142,4.2101187682,-23.023993,AGN
-30.598968654,-28.0316545713,-0.4255341202,2.1545312,3.4597262432,-75.29762,AGN
-29.9635868195,-28.0616364658,-1.9548990827,2.1434119,3.805895187,-63.103218,AGN
-27.6944553767,-27.6896954913,0.0184444539,2.2440412,4.4771124157,-60.24447,AGN
-27.9290249018,-27.8468770728,-0.1145257669,2.4621935,3.9413935735,-59.50251,AGN
-27.6836481187,-28.0502386517,-0.6035770934,2.5278618,4.2272154763,-72.15446,AGN
-27.4056007359,-27.6555927971,-0.3504982584,2.449884,4.1416541338,-67.70284,AGN
-26.2961311501,-27.0394169627,0.2254071084,2.0930758,5.7427050101,-72.355736,AGN
-26.1796451457,-27.5013437039,1.4285068374,2.104655,5.5913448148,-69.68921,AGN
-30.1027661131,-27.097791517,0.6066645845,1.663153,3.9156550125,-54.44019,AGN
-29.9335986371,-27.3140973625,0.42816754,1.7780507,3.8540358935,-87.66247,AGN
-28.7045989394,-27.9611395925,-0.5036408836,2.396758,4.2310768095,-75.07811,AGN
