0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
4FGL J0537.8-6909,279.55023,-31.742825,5648.531,-20.52747249622286,2.0045516,0.06279695,-0.037493497,1.4733363,-0.9998355,0.992121,1.0407293E-4,0.6666667,-0.40342712,-0.6130444,-0.6470529,-0.14941165,1.4745854353336707,PowerLaw,0.020711595,0.088872194,0FGL J0538.4-6856,3FHL J0537.9-6909,pwn,,N 157B,LMC-Galaxy field,0.9998788,0.9954455,4,0.998594544424691,0.001405455575306613,0.9638033090563759,0.03619669094362408,0.9851998519583534,0.014800148041647978,0.9774921622368755,0.02250783776312624,0.0,0.0,0.0,0.0
4FGL J0540.3+2756e,180.24426,-1.4998169,1107.1104,-18.7762994845757,2.1986804,0.055631332,0.124881044,4.463512,-0.52644295,-0.35393333,7.272519E-4,0.6666667,-0.5095046,-0.54472876,-0.78083557,-0.6160107,2.054523365636576,LogParabola,0.03126732,0.08962882,3FGL J0540.3+2756e,,SNR,,Sim 147,,,,4,0.9013223290848733,0.09867767091515037,0.852628981474672,0.14737101852532694,0.8961378987284384,0.10386210127156165,0.8003206785769191,0.19967932142307912,0.0,0.028,0.0,0.0
4FGL J0608.6+1149,197.51508,-3.909119,3205.2861,-21.946418816479486,2.2113583,0.18688767,-0.009533196,0.106578134,0.9952768,-0.6609152,0.0014186411,0.6666667,-0.92136365,0.24368474,-0.6630582,-0.6608048,2.48791834352637,PowerLaw,0.08367809,0.18788368,,,unk,,NVSS J060835+114942,,0.0,0.8162799,0,0.9997485705182717,0.0002514294817215207,0.9733849892824997,0.02661501071750002,0.9986835035407041,0.0013164964592954397,0.9975496146491653,0.002450385350833441,0.0,0.0,0.0,0.0
4FGL J0608.8+2034c,189.86746,0.35267115,1711.7826,-20.82185119256474,2.5035691,0.19330128,0.24593559,2.9081452,-0.79330295,0.98025215,0.00429836,0.6666667,-0.72710353,-0.7275743,-0.81585705,-0.9991911,2.232217031676917,PowerLaw,0.1300282,0.5451563,2FGL J0608.3+2037,,unk,,NVSS J060900+203746,,0.0,0.81158346,32,0.8060836396915919,0.19391636030840673,0.9527724953752552,0.04722750462474521,0.9453627751926436,0.054637224807356694,0.926937985788205,0.0730620142117956,0.0,0.001,0.0,0.0
4FGL J0617.2+2234e,189.04765,3.0334508,3665.2312,-16.706329463408395,2.056883,0.015746957,0.12396469,20.777721,0.31100628,-0.24356602,1.4078073E-4,0.6666667,-0.5481992,-0.5528164,-0.69399655,-0.65096515,2.2116676500416363,LogParabola,0.005873362,0.019310035,3FGL J0617.2+2234e,3FHL J0617.2+2234e,SNR,,IC 443,,,,0,0.42590778811789726,0.5740922118820991,0.33006573803014605,0.6699342619698538,2.561093006253845e-06,0.999997438906994,0.616591629081153,0.38340837091884683,1.0,0.801,1.0,0.046
4FGL J0618.1+7819,135.67383,24.865604,2314.3413,-22.543894871377148,2.1701653,0.10951475,-0.099867634,1.6801864,0.99998194,-0.6234372,4.4889198E-4,0.6666667,-0.7057972,-0.29045883,-0.8350089,0.21960782,1.0209501561064285,PowerLaw,0.03871525,0.21864551,3FGL J0618.0+7819,,sbg,,NGC 2146,,0.98871547,0.97111225,0,0.997354582675121,0.002645417324891004,0.9567671973121735,0.043232802687826526,0.926783715384506,0.07321628461549505,0.9833272496821756,0.016672750317824003,0.0,0.001,0.0,0.0
4FGL J0632.8+0550,205.61147,-1.4479226,16727.78,-22.299918275765293,1.883186,0.29710582,-0.097915374,1.8098494,0.99664974,-0.7567915,6.6190003E-4,0.6666667,-0.9419617,-0.30532157,-0.24132273,-0.5881465,2.0506344433417074,PowerLaw,0.062764056,0.14116468,,3FHL J0632.7+0550,hmb,,HESS J0632+057,Monoceros field,0.8,0.9237122,0,0.999699151045861,0.00030084895415572485,0.942260999590629,0.05773900040937126,0.8632071091238491,0.13679289087615162,0.9947520983737695,0.005247901626230786,0.0,0.013,0.0,0.0
4FGL J0634.2+0436e,206.87491,-1.7003806,882.7264,-18.57239326100951,2.2745686,0.049197767,0.21472685,8.398416,-0.22390887,-0.23224363,0.0014076988,0.6666667,-0.5789766,-0.69440067,-0.7340929,-0.69972885,0.33719189953122475,LogParabola,0.036433537,0.109554686,3FGL J0634.1+0424,,snr,,Rosette,Monoceros field,,,4,0.05075327249944026,0.9492467275005385,0.3226826616968709,0.6773173383031295,0.010075947968938142,0.9899240520310612,0.3423197940556613,0.6576802059443386,1.0,0.811,1.0,0.994
4FGL J0639.4+0655e,205.40027,0.5034855,755.66,-18.343428455105176,2.2635696,0.086279474,0.2782915,7.823113,0.15073337,-0.38044348,0.0022123721,0.6666667,-0.6161301,-0.7518496,-0.79682565,-0.733148,1.8795206960872244,LogParabola,0.050736595,0.150137,3FGL J0640.9+0752,,SNR,,Monoceros,,,,4,0.002153075085904506,0.9978469249141149,0.38053736416698875,0.6194626358330115,0.10899386158572359,0.891006138414276,0.27758903058038914,0.7224109694196089,1.0,0.776,1.0,1.0
4FGL J0647.7-4418,253.67218,-19.200987,1775.3699,-22.039728932916383,2.1913476,0.2429732,0.24422783,2.0523918,-0.80333453,-0.36062613,0.00293395,0.6666667,-0.5486745,-0.38640213,-0.8704826,-0.99963266,2.376707772059971,PowerLaw,0.15382117,0.4548465,3FGL J0647.1-4415,,hmb,,RX J0648.0-4418,,0.8513498,0.80371433,0,0.9986002997167994,0.00139970028321956,0.9741392910285958,0.02586070897140471,0.9980990182138751,0.0019009817861242988,0.9838246752152798,0.016175324784720932,0.0,0.0,0.0,0.0
4FGL J0647.7+0031,212.05276,-0.57211107,884.1549,-21.157970912904425,2.5571864,0.11770544,0.071447216,1.1355928,0.9999041,0.09467661,0.0012395246,0.6666667,-0.8277371,-0.77152747,-0.52082795,-0.67575896,1.6665289151223703,PowerLaw,0.07986805,0.09520179,3FGL J0647.6+0032,,spp,,SNR G213.0-00.6,,0.8,0.0,258,0.9953783374791096,0.004621662520895261,0.9718632468831034,0.02813675311689584,0.9719147007461447,0.028085299253854883,0.9806418399718285,0.019358160028170805,0.0,0.0,0.0,0.0
4FGL J0650.6+2055,194.05469,9.203488,5243.5503,-21.50638663177718,1.7403374,0.11110891,0.093325414,1.9551245,0.98433596,-0.629751,3.5930585E-4,0.6666667,-0.14365885,-0.3472423,-0.37760496,-0.3885587,2.0099835862242075,PowerLaw,0.05121575,0.16082345,3FGL J0650.5+2055,3FHL J0650.6+2055,unk,,NVSS J065035+205556,,0.0,0.9463466,0,0.9992390144924456,0.0007609855075556924,0.9635064897376329,0.036493510262367086,0.9898188588748055,0.010181141125194334,0.998454055097719,0.0015459449022815455,0.0,0.0,0.0,0.0
4FGL J0709.7-3009,241.97298,-9.645979,3772.7314,-22.27787471359981,1.9954093,0.16195838,0.032281943,0.47147113,0.9910213,-0.9671859,5.4665055E-4,0.6666667,0.63375586,-0.77591753,-0.27227283,-0.40882826,2.3047690048918525,PowerLaw,0.07201365,0.21982841,,3FHL J0709.7-3008,unk,,1RXS J070947.9-300901,,0.0,0.9446162,0,0.9999297538230321,7.024617698771229e-05,0.9728507151126394,0.02714928488735998,0.9994151369690885,0.0005848630309121873,0.9984339204964969,0.0015660795035038176,0.0,0.0,0.0,0.0
4FGL J0809.5-4714,262.72278,-7.6400313,1508.5957,-21.872492549501292,2.38827,0.21926966,0.13068742,1.3123947,-0.36397618,-0.53365684,0.0020405913,0.6666667,-0.7158996,-0.71665174,-0.5310323,-0.9999602,1.677619412062267,PowerLaw,0.12180061,0.29682782,,,unk,,Gamma02 Velorum,,0.0,0.8383361,0,0.9997021560397176,0.0002978439602582085,0.9734948273507914,0.02650517264920925,0.9963114355034521,0.0036885644965480324,0.9940646987833223,0.00593530121667794,0.0,0.0,0.0,0.0
4FGL J0822.1-4253e,260.30905,-3.3742685,1894.2987,-18.534654315102465,2.041768,0.033792682,0.10194356,5.8746843,-0.36550823,-0.313167,2.2321974E-4,0.6666667,-0.47648987,-0.42766535,-0.6523173,-0.5755602,1.892982887404212,LogParabola,0.017142283,0.048652463,3FGL J0822.6-4250e,3FHL J0822.1-4253e,SNR,,Puppis A,,,,0,0.9898401657090072,0.010159834290977292,0.6658910407873226,0.33410895921267775,0.7531347575826602,0.24686524241733973,0.8271096924236748,0.1728903075763256,0.0,0.282,0.0,0.0
4FGL J0833.1-4511e,263.3321,-3.10605,6632.442,-18.160795571947713,2.2073536,0.04536196,0.027837083,1.0781418,0.49180454,0.7613189,9.184763E-5,0.6666667,-0.3767195,-0.5584806,-0.7297409,-0.59504575,2.4818850612108028,PowerLaw,0.024177087,0.055280432,3FGL J0833.1-4511e,,PWN,,Vela X,,,,0,0.8603657250675069,0.13963427493248975,0.9622001956425185,0.03779980435748064,0.9269311133791641,0.07306888662083656,0.8758374777541706,0.12416252224582919,0.0,0.001,0.0,0.0
4FGL J0838.7-2827,250.57239,7.809594,1304.6708,-20.396783714166077,2.122518,0.0807656,0.28074825,6.4832973,0.81092,-0.10819604,0.0017630799,0.6666667,-0.48365363,-0.47838613,-0.9331557,-0.9914816,1.7643563050453928,LogParabola,0.06225511,0.206467,3FGL J0838.8-2829,,unk,,1RXS J083842.1-282723,,0.0,0.9642502,0,0.0025621911481196868,0.9974378088518566,0.3742630380590888,0.6257369619409109,0.2587787091630592,0.7412212908369409,0.1864974069402433,0.8135025930597577,1.0,0.759,1.0,1.0
4FGL J0851.9-4620e,266.26007,-1.2322998,6999.5693,-18.461504043511884,1.7815572,0.020546166,-0.01281672,1.0516888,0.9917186,-0.4710782,4.050309E-5,0.6666667,-0.56820893,-0.43300146,-0.41023302,-0.19787234,2.48102586049368,PowerLaw,0.008514093,0.029919153,3FGL J0852.7-4631e,3FHL J0851.9-4620e,SNR,,RX J0852.0-4622,,,,0,0.7578801785872765,0.24211982141271374,0.9666742737839356,0.033325726216065076,0.9903616348635487,0.009638365136451145,0.9309101126276175,0.06908988737238174,0.0,0.0,0.0,0.0
4FGL J0852.5-3123,254.77513,8.371002,9166.346,-22.683748608702338,1.7633686,0.4310684,0.16913265,1.1179553,-0.9770147,-0.9999569,0.0012909642,0.6666667,0.9999955,-0.56144994,-0.25951207,-0.2682175,1.9472735865007131,PowerLaw,0.21291097,0.7228481,,3FHL J0852.5-3124,unk,,NVSS J085238-312331,,0.0,0.84441847,0,0.998767517793567,0.001232482206434386,0.967766814869799,0.03223318513020012,0.9994765793976617,0.0005234206023386208,0.9952368549704331,0.004763145029568083,0.0,0.001,0.0,0.0
4FGL J0858.0-3130,255.60423,9.196126,5870.02,-21.80607170272496,1.8104843,0.14447413,0.047732808,0.831776,0.99781835,-0.93807214,4.329169E-4,0.6666667,0.22234987,-0.38825926,-0.48197287,-0.17112976,2.555865705945939,PowerLaw,0.06421295,0.21230616,3FGL J0858.1-3130,3FHL J0858.0-3131,unk,,NVSS J085802-313040,,0.0,0.98605096,0,0.9998782150109032,0.00012178498908483109,0.9712021371577391,0.0287978628422602,0.9988567431982576,0.00114325680174244,0.9989226813943288,0.0010773186056712307,0.0,0.0,0.0,0.0
4FGL J0904.7-4908c,269.78375,-1.4360971,701.959,-21.127563395254878,2.7643707,0.270497,0.58164185,3.7125587,-0.7002094,-0.12683375,0.004839268,0.6666667,-0.87636447,-0.83516103,-0.72825205,-0.9999998,1.270184167799902,LogParabola,0.13987103,0.3369747,3FGL J0905.6-4917,,unk,,1RXS J090505.3-490324,,0.0,0.8047491,49,0.9746107868304594,0.025389213169528732,0.8301866704432416,0.16981332955675757,0.7931866593381092,0.20681334066189141,0.883090452995834,0.11690954700416514,0.0,0.038,0.0,0.0
4FGL J0910.0+4257,178.2341,42.924023,903.70844,-22.14736178073683,2.5162601,0.38856333,0.5278365,2.4584827,0.9996925,-0.6061924,0.008660955,0.6666667,-0.6227254,-0.91758364,-0.99983925,0.9992558,2.3204123003803727,PowerLaw,0.38136956,0.7378901,,,css,,3C 216,,0.0,0.96243405,0,0.9955213686979506,0.004478631302049188,0.9637032474752675,0.03629675252473253,0.9554308729213061,0.044569127078694884,0.9647924130621403,0.03520758693785974,0.0,0.0,0.0,0.0
4FGL J0912.1-6449,282.17368,-11.215276,1297.8901,-21.456251015820836,2.3138397,0.17780812,0.2777572,3.0664134,0.96543825,0.7890016,0.0030550077,0.6666667,-0.5045285,-0.6613404,-0.8332424,-0.99809575,1.9964324105327087,LogParabola,0.12216962,0.37743372,3FGL J0912.2-6452,,glc,,NGC 2808,,0.9973071,0.0,0,0.9153005278862122,0.08469947211378294,0.8842297092939391,0.11577029070606003,0.8940966114813175,0.10590338851868103,0.9188841067136054,0.0811158932863944,0.0,0.022,0.0,0.0
4FGL J0921.7-6317,281.7689,-9.40067,1760.3008,-21.736767034924224,2.2315495,0.30244607,0.40420043,3.1826384,-0.94050187,0.8844471,0.005580947,0.6666667,-0.5728391,-0.37759072,-0.99927205,-0.9996066,1.1987892142931833,LogParabola,0.21969612,0.7104067,,,lmb,,2S 0921-630,,0.86303204,0.0,256,0.9183097979174596,0.08169020208253544,0.8740225968018369,0.12597740319816256,0.8966522766949292,0.10334772330507123,0.8965077826690455,0.10349221733095493,0.0,0.035,0.0,0.0
